Target,Response,Informant
salt and pepper,salt and pepper,NY1
salt and pepper,salt and pepper,NY2A
salt and pepper,salt and pepper,NY2B
salt and pepper,salt and pepper,NY2C
salt and pepper,salt and pepper,NY3A
salt and pepper,salt and pepper,NY3B
salt and pepper,salt and pepper,NY3C
salt and pepper,salt and pepper,NY3D
salt and pepper,salt and pepper,NY4A
salt and pepper,salt and pepper,NY4B
salt and pepper,salt and pepper,NY4C
salt and pepper,salt and pepper,NY5A
salt and pepper,salt and pepper,NY5B
salt and pepper,salt and pepper,NY5C
salt and pepper,salt and pepper,NY5D
salt and pepper,salt and pepper,NY5E
salt and pepper,salt and pepper,NY5F
salt and pepper,salt and pepepr,NY5G
salt and pepper,salt and pepper,NY5H!
salt and pepper,salt and pepper,NY5I!
salt and pepper,salt and pepper,NY6A
salt and pepper,salt and pepper,NY6B
salt and pepper,salt and pepper,NY7A
salt and pepper,salt and pepper,NY7B
salt and pepper,salt and pepper,NY7C
salt and pepper,salt and pepper,NY7D
salt and pepper,salt and pepper,NY7E
salt and pepper,salt and pepper,NY7F
salt and pepper,salt and pepper,NY7G
salt and pepper,salt and pepper,NY7H
salt and pepper,salt and pepper,NY7I
salt and pepper,salt and pepper,NY7J!
salt and pepper,salt and pepper,NY7K!
salt and pepper,salt and pepper,NY7L!
salt and pepper,salt and pepper,NY7M!
salt and pepper,salt and pepper,NY8
salt and pepper,salt and pepper,NY9A
salt and pepper,salt and pepper,NY9B
salt and pepper,salt and pepper,NY9C
salt and pepper,salt and pepper,NY10A
salt and pepper,salt and pepper,NY10B!
salt and pepper,salt and pepper,NY11
salt and pepper,salt and pepper,NY12A
salt and pepper,salt and pepper,NY12A
salt and pepper,salt and pepper,NY12B
salt and pepper,salt and pepper,NY12C!
salt and pepper,salt and pepper,NY13A
salt and pepper,salt and pepper,NY13B!
salt and pepper,salt and pepper,NY14A
salt and pepper,salt and pepper,NY14B
salt and pepper,salt and peppper,NY15A
salt and pepper,salt and pepper,NY15B
salt and pepper,salt and pepper,NY16A
salt and pepper,salt and pepper,NY16B
salt and pepper,salt and pepper,NY17A
salt and pepper,salt and pepper,NY17B
salt and pepper,salt and pepper,NY18A
salt and pepper,salt and pepper,NY18B
salt and pepper,salt and pepper,NY18C!
salt and pepper,salt and pepper,NY19
salt and pepper,salt and pepper,NY20A
salt and pepper,salt and pepper,NY20B
salt and pepper,salt and pepper,NY21
salt and pepper,salt and pepper,NY22
salt and pepper,,NY23A
salt and pepper,pepper and salt,NY23A
salt and pepper,vinegar,NY23B
salt and pepper,pepper and salt,NY23B
salt and pepper,salt and pepper,NY23C
salt and pepper,salt and pepper,NY24A
salt and pepper,salt and pepper,NY24B!
salt and pepper,salt and pepper,NY25A
salt and pepper,salt and pepper,NY25B
salt and pepper,salt and pepper,NY26A
salt and pepper,pepper and salt,NY26B
salt and pepper,salt pork,NY26B
salt and pepper,,NY26C
salt and pepper,pepper and salt,NY27A
salt and pepper,salt pepper,NY27B
salt and pepper,salt and pepper,NY27C
salt and pepper,pepper and salt,NY28A
salt and pepper,salt and pepper,NY28B
salt and pepper,salt and pepper,NY28B
salt and pepper,,NY28C
salt and pepper,salt and pepper,NY29A
salt and pepper,salt and pepper,NY29B
salt and pepper,salt and pepper,NY29C
salt and pepper,salt and pepper,NY30A
salt and pepper,salt and butter and pepper,NY30B
salt and pepper,,NY30C
salt and pepper,,NY30D
salt and pepper,salt and pepper,NY30E
salt and pepper,salt and pepper,NY31A
salt and pepper,a east wind,NY31A
salt and pepper,salt and pepper,NY31B
salt and pepper,pepper and salt,NY32A
salt and pepper,salt and pepper,NY32B
salt and pepper,salt and pepper,NY33A
salt and pepper,,NY33B
salt and pepper,salt and pepper,NY33C
salt and pepper,salt,NY34A
salt and pepper,pepper,NY34A
salt and pepper,,NY34B
salt and pepper,salt and pepper,NY34C
salt and pepper,salt and pepper,NY34D!
salt and pepper,salt and pepper,NY35A
salt and pepper,salt and pepper,NY35B
salt and pepper,salt and pepper,NY35C!
salt and pepper,salt and pepper,NY36A
salt and pepper,salt and pepper,NY36B
