Target,Response,Informant
salt pork,salt pork,NY1
salt pork,salt pork,NY2A
salt pork,salt pork,NY2B
salt pork,salt pork,NY2C
salt pork,side,NY3A
salt pork,,NY3B
salt pork,,NY3C
salt pork,,NY3D
salt pork,side of pork,NY4A
salt pork,,NY4B
salt pork,,NY4C
salt pork,,NY5A
salt pork,,NY5B
salt pork,,NY5C
salt pork,,NY5D
salt pork,,NY5E
salt pork,,NY5F
salt pork,,NY5G
salt pork,,NY5H!
salt pork,,NY5I!
salt pork,side,NY6A
salt pork,salt pork,NY6B
salt pork,,NY7A
salt pork,,NY7B
salt pork,salt pork,NY7C
salt pork,,NY7D
salt pork,,NY7E
salt pork,side of pork,NY7F
salt pork,,NY7G
salt pork,,NY7H
salt pork,,NY7I
salt pork,,NY7J!
salt pork,side,NY7K!
salt pork,,NY7L!
salt pork,,NY7M!
salt pork,,NY8
salt pork,side of pork,NY9A
salt pork,side pork,NY9B
salt pork,,NY9C
salt pork,side meat,NY10A
salt pork,salt pork,NY10B!
salt pork,side pork,NY11
salt pork,salt pork,NY12A
salt pork,salt pork,NY12A
salt pork,side,NY12A
salt pork,side pork,NY12B
salt pork,,NY12C!
salt pork,salt pork,NY13A
salt pork,salt pork,NY13B!
salt pork,pickled pork,NY13B!
salt pork,salt pork,NY14A
salt pork,salt pork,NY14B
salt pork,round pork,NY15A
salt pork,salt pork,NY15A
salt pork,salt pork,NY15B
salt pork,side of pork,NY16A
salt pork,salt pork,NY16B
salt pork,salt pork,NY17A
salt pork,salt pork,NY17B
salt pork,side pork,NY18A
salt pork,salt pork,NY18B
salt pork,side pork,NY18B
salt pork,salt pork,NY18C!
salt pork,side pork,NY19
salt pork,salt pork,NY20A
salt pork,salt pork,NY20B
salt pork,salt pork,NY21
salt pork,salt pork,NY22
salt pork,salt pork,NY23A
salt pork,pork,NY23A
salt pork,pork,NY23B
salt pork,salt pork,NY23C
salt pork,side pork,NY24A
salt pork,salt pork,NY24B!
salt pork,salt pork,NY25A
salt pork,pork,NY25A
salt pork,pork,NY25B
salt pork,salt pork,NY25B
salt pork,side pork,NY25B
salt pork,the meat,NY26A
salt pork,side pork,NY26A
salt pork,meat,NY26B
salt pork,pork,NY26B
salt pork,dried beef,NY26B
salt pork,salt pork,NY26B
salt pork,,NY26C
salt pork,bacon,NY27A
salt pork,hams,NY27A
salt pork,pork,NY27A
salt pork,side pork,NY27A
salt pork,salt pork,NY27A
salt pork,pork,NY27B
salt pork,salt pork,NY27B
salt pork,hams,NY27B
salt pork,salt pork,NY27C
salt pork,salt pork,NY28A
salt pork,pork,NY28B
salt pork,the pork,NY28B
salt pork,the meat,NY28B
salt pork,salt pork,NY28B
salt pork,,NY28C
salt pork,salt pork,NY29A
salt pork,pork,NY29A
salt pork,salt pork,NY29B
salt pork,pork,NY29C
salt pork,side pork,NY29C
salt pork,salt pork,NY29C
salt pork,side pork,NY30A
salt pork,salt pork,NY30A
salt pork,salt pork,NY30B
salt pork,pork,NY30C
salt pork,meat strips,NY30C
salt pork,salt pork,NY30D
salt pork,salt pork,NY30E
salt pork,side pork,NY31A
salt pork,back pork,NY31A
salt pork,pork,NY31A
salt pork,salt pork,NY31A
salt pork,salt pork,NY31B
salt pork,salted,NY32A
salt pork,fat pork,NY32A
salt pork,salted pork,NY32A
salt pork,pork,NY32A
salt pork,pork,NY32B
salt pork,salt pork,NY32B
salt pork,pork,NY33A
salt pork,salt pork,NY33A
salt pork,,NY33B
salt pork,salt pork,NY33C
salt pork,pork,NY33C
salt pork,salt pork,NY34A
salt pork,pork,NY34A
salt pork,,NY34B
salt pork,salt pork,NY34C
salt pork,pork,NY34C
salt pork,pork,NY34D!
salt pork,pork,NY34D!
salt pork,salt pork,NY34D!
salt pork,salt pork,NY35A
salt pork,salt pork,NY35B
salt pork,salt pork,NY35C!
salt pork,salt pork,NY36A
salt pork,salt pork,NY36B
salt pork,salt pork,NY37A
salt pork,salt pork,NY37B
salt pork,salt pork,NY37C!
salt pork,salt pork,NY38A
salt pork,salt pork,NY38B
salt pork,salt pork,NY38C
salt pork,salt pork,NY39A
salt pork,salt pork,NY39B
salt pork,salt pork,NY40A
salt pork,salt pork,NY40B
salt pork,salt pork,NY41
salt pork,salt pork,NY42A
salt pork,side pork,NY42B
salt pork,salt pork,NY43A
salt pork,salt pork,NY43B
salt pork,salt pork,NY43C!
