Target,Response,Informant
sat down,sat down,NY1
sat down,set down,NY2A
sat down,sat down,NY2B
sat down,sat down,NY2B
sat down,sat down,NY2C
sat down,sat down,NY2C
sat down,set down,NY3A
sat down,sat down,NY3B
sat down,sat down,NY3C
sat down,sat down,NY3D
sat down,sat down,NY4A
sat down,sat down,NY4B
sat down,sit down,NY4B
sat down,sat down,NY4C
sat down,sit down,NY5A
sat down,sat down,NY5B
sat down,sat down,NY5C
sat down,sat down,NY5D
sat down,sat down,NY5E
sat down,sat down,NY5F
sat down,sat down,NY5G
sat down,sat down,NY5H!
sat down,sat down,NY5I!
sat down,set down,NY6A
sat down,sit down,NY6A
sat down,sat down,NY6B
sat down,sat down,NY7A
sat down,sat down,NY7B
sat down,sat down,NY7C
sat down,sat down,NY7D
sat down,sat down,NY7E
sat down,sat down,NY7F
sat down,sat down,NY7G
sat down,sat down,NY7H
sat down,sat down,NY7I
sat down,sat down,NY7J!
sat down,sat down,NY7K!
sat down,sat down,NY7L!
sat down,sat down,NY7M!
sat down,sat down,NY8
sat down,sat down,NY9A
sat down,sat down,NY9B
sat down,sat down,NY9C
sat down,sat down,NY10A
sat down,sat down,NY10B!
sat down,sat down,NY11
sat down,sat down,NY12A
sat down,sat down,NY12A
sat down,sat down,NY12B
sat down,sat down,NY12C!
sat down,sat down,NY13A
sat down,sat down,NY13B!
sat down,set down,NY14A
sat down,sat down,NY14A
sat down,set down,NY14B
sat down,set down,NY15A
sat down,sat down,NY15B
sat down,set down,NY16A
sat down,set down,NY16B
sat down,sat down,NY17A
sat down,sat down,NY17B
sat down,sat down,NY18A
sat down,sat down,NY18B
sat down,sat down,NY18C!
sat down,set down,NY19
sat down,set down,NY20A
sat down,set down,NY20B
sat down,set down,NY21
sat down,set down,NY22
sat down,sit down,NY23A
sat down,I set there,NY23B
sat down,he sit down,NY23B
sat down,umbrella set in,NY23B
sat down,sat down,NY23C
sat down,set down,NY24A
sat down,sat down,NY24B!
sat down,it sat up,NY25A
sat down,sat down,NY25A
sat down,set down,NY25A
sat down,set on,NY25A
sat down,we sat down,NY25B
sat down,we sit down,NY25B
sat down,it sat there,NY25B
sat down,sat on the stoop,NY26A
sat down,sat down,NY26B
sat down,we set hair,NY26C
sat down,that house sit,NY27A
sat down,the br?n sit like this,NY27A
sat down,you set on,NY27A
sat down,sat there,NY27B
sat down,he sit down,NY27C
sat down,sit down,NY28A
sat down,sat down,NY28A
sat down,sat,NY28A
sat down,sat down,NY28B
sat down,,NY28C
sat down,he sat down,NY29A
sat down,sat down,NY29B
sat down,set down,NY29C
sat down,he set down,NY30A
sat down,sit right cross the road,NY30B
sat down,,NY30C
sat down,,NY30D
sat down,you sat,NY30E
sat down,sat down,NY30E
sat down,he set on,NY31A
sat down,the mother set there,NY31A
sat down,he set there,NY31B
sat down,sat down,NY31B
sat down,I sit across,NY31B
sat down,to set down,NY32A
sat down,they sit,NY32A
sat down,sit down,NY32A
sat down,sat,NY32A
sat down,sat down,NY32B
sat down,sit down,NY33A
sat down,sit down,NY33B
sat down,he set here,NY33B
sat down,he sat there,NY33B
sat down,sat down,NY33C
sat down,set down,NY34A
sat down,,NY34B
sat down,set down,NY34C
sat down,sat down,NY34C
sat down,sat down,NY34D!
sat down,set down,NY35A
sat down,sat down,NY35B
sat down,sat down,NY35C!
sat down,sat down,NY36A
sat down,sat down,NY36B
sat down,sat himself down,NY37A
sat down,sat down,NY37B
sat down,sat down,NY37C!
sat down,set down,NY38A
sat down,sat down,NY38B
sat down,sat down,NY38C
sat down,sat down,NY39A
sat down,set down,NY39B
sat down,set down,NY40A
sat down,sat down,NY40B
sat down,set down,NY41
sat down,set down,NY42A
sat down,sat down,NY42B
sat down,set down,NY43A
sat down,sat down,NY43B
sat down,sat down,NY43C!
sat down,set down,NY44A
sat down,sat down,NY44B
sat down,you set there,NY45A
sat down,I sit down,NY45A
sat down,,NY45B
sat down,,NY45C
sat down,sat down,NY45D!
sat down,sit,NY46A
sat down,sit down,NY46A
sat down,set here,NY46B
sat down,set,NY46B
sat down,sat down,NY46B
sat down,sit down,NY46C
sat down,sat,NY46C
sat down,sat down,NY46C
sat down,sat down,NY47A
sat down,sat up,NY47A
sat down,setting down,NY47A
sat down,sat there,NY47A
sat down,sat right down,NY47A
sat down,sat down,NY47B
sat down,he set there,NY48A
sat down,set down,NY48A
sat down,,NY48B
sat down,set down,NY48C
sat down,I sit,NY48C
sat down,set down,NY48C
sat down,you sat,NY48D
sat down,sat down,NY48D
sat down,and sit down,NY49A
sat down,sat down,NY49B
sat down,set,NY49C
sat down,set there,NY49C
sat down,sat down,NY49C
sat down,set there,NY49C
sat down,sit,NY49D
sat down,sat,NY49D
sat down,sat down,NY50A
sat down,I set there,NY50A
sat down,I set right down,NY50B
sat down,I set down,NY51A
sat down,he sat there,NY51A
sat down,I set down,NY51A
sat down,he sat here,NY51A
sat down,sat down,NY51A
sat down,we set down,NY51A
sat down,set down,NY51A
sat down,he sat here,NY51A
sat down,sat down,NY51B
sat down,,NY51C
sat down,,NY51D
sat down,sat,NY51E!
sat down,set,NY51E!
sat down,set there,NY52A
sat down,sat here,NY52B
sat down,sat down,NY52C
sat down,set,NY52C
sat down,he sit down,NY53A
sat down,sat up,NY53B!
sat down,sat down,NY53B!
sat down,sat down,NY54A
sat down,sat down,NY54B
sat down,sat down,NY55A
sat down,sat down,NY55B
sat down,set down,NY56A
sat down,sat down,NY56B
sat down,sat,NY57A
sat down,set down,NY57A
sat down,set,NY57B
sat down,sat down,NY57C!
sat down,sat down,NY58A
sat down,sit down,NY58B
sat down,set down,NY58B
sat down,we set,NY58B
sat down,,NY58C
sat down,I've sat,NY58D!
sat down,sat down,NY58D!
sat down,sat down,NY58E!
sat down,sat down,NY58F!
sat down,sat down,NY59A
sat down,sat down,NY59B
sat down,set down,NY60A
sat down,sat down,NY60B!
sat down,sit right down,NY61A
sat down,he sit down,NY61A
sat down,sat down,NY61B
sat down,he set on it,NY62A
sat down,I set there,NY62B
sat down,I set there,NY62B
sat down,won't set on,NY62B
sat down,we set,NY62C
sat down,he set down,NY62C
sat down,sat down,NY62D!
sat down,set,NY62D!
sat down,set down,NY63A
sat down,that sit in there,NY63B
sat down,sit down,NY63B
sat down,set down,NY63C
sat down,sat down,NY63D!
sat down,sat down,NY64A
sat down,sat down,NY64B
sat down,sat,NY64B
sat down,,NY64C!
sat down,sat down,NJ1A
sat down,set down,NJ1B
sat down,sat down,NJ2A
sat down,set down,NJ2B
sat down,set down,NJ3A
sat down,sat down,NJ3B
sat down,set down,NJ4A
sat down,set down,NJ4B
sat down,set down,NJ5A
sat down,set down,NJ5B
sat down,sit down,NJ6A
sat down,sat down,NJ6B
sat down,sit down,NJ6B
sat down,set down,NJ7A
sat down,sat down,NJ7B!
sat down,sat down,NJ8A
sat down,sat down,NJ8B
sat down,sat down,NJ9A
sat down,sat down,NJ9B
sat down,sat down,NJ10A
sat down,set down,NJ10B
sat down,sat down,NJ10C
sat down,sat down,NJ10D!
sat down,sit down,NJ11A
sat down,sat down,NJ11B
sat down,sit down,NJ11C
sat down,sat down,NJ12A
sat down,sit down,NJ12B
sat down,set down,NJ13A
sat down,set down,NJ13B
sat down,sat down,NJ14A
sat down,sat down,NJ14B
sat down,sat down,NJ15A
sat down,sit down,NJ15B
sat down,sit down,NJ16A
sat down,sat down,NJ16B
sat down,sat down,NJ17A
sat down,sat down,NJ17B
sat down,sat down,NJ18A
sat down,sat down,NJ18B
sat down,sat down,NJ18C!
sat down,sat down,NJ18D!
sat down,sat down,NJ19A
sat down,sat down,NJ19B!
sat down,zat neer,NJ20A
sat down,sat down,NJ20A
sat down,sat down,NJ20B
sat down,set down,NJ21A
sat down,sat down,NJ21B
sat down,sit down,PA1A
sat down,set down,PA1B
sat down,sat down,PA1C
sat down,sat down,PA1D
sat down,sat down,PA1E!
sat down,sat down,PA1F!
sat down,sat down,PA1G!
sat down,sat down,PA1H!
sat down,set down,PA2A
sat down,sat down,PA2B
sat down,sit down,PA3A
sat down,sat down,PA3B
sat down,sat down,PA3C
sat down,set down,PA4A
sat down,sat down,PA4B!
sat down,set down,PA5A
sat down,sit down,PA5B
sat down,set down,PA5C
sat down,set down,PA5D
sat down,sat down,PA5E!
sat down,sit down,PA6A
sat down,set down,PA6B
sat down,sat down,PA6C
sat down,sat down,PA6D!
sat down,sat down,PA7A
sat down,set down,PA7A
sat down,sat down,PA7B
sat down,sit down,PA7B
sat down,sat down,PA7C
sat down,sat down,PA7D!
sat down,sat,PA8A
sat down,set down,PA8A
sat down,plants sat out,PA8A
sat down,sat down,PA8B
sat down,sat down,PA8C
sat down,sat down,PA8D!
sat down,set down,PA9A
sat down,set down,PA9B
sat down,sat down,PA9C!
sat down,sat down,PA10
sat down,help yourself,PA11A
sat down,sat down,PA11B
sat down,set down,PA12A
sat down,set down,PA12B
sat down,sat down,PA12B
sat down,set down,PA13A
sat down,sat down,PA13B
sat down,sat down,PA14A
sat down,sat down,PA14B
sat down,,PA14C
sat down,sat down,PA15A
sat down,sat down,PA15B
sat down,sat down,PA15C!
sat down,sit down,PA16A
sat down,sat down,PA16B
sat down,sat down,PA16C
sat down,sat down,PA17A
sat down,sat down,PA17B
sat down,set down,PA18A
sat down,sat down,PA18B!
sat down,set down,PA19A
sat down,set down,PA19B
sat down,sat down,PA20A
sat down,sat down,PA20B
sat down,set down,PA21A
sat down,sat down,PA21A
sat down,sat down,PA21B
sat down,sat down,PA22A
sat down,sit down,PA22B
sat down,sat down,PA22B
sat down,set down,PA23A
sat down,sat down,PA23B
sat down,set down,PA24A
sat down,sat down,PA24A
sat down,sat down,PA24B
sat down,sat down,PA25A
sat down,set down,PA25B
sat down,sat down,PA26A
sat down,sit down,PA26B
sat down,set down,PA27A
sat down,sat,PA27A
sat down,sat down,PA27B
sat down,set down,PA28A
sat down,sat down,PA28B!
sat down,set down,PA29A
sat down,sat down,PA29B
sat down,set down,PA30A
sat down,sat down,PA30B
sat down,sat down,PA31A
sat down,sat down,PA31B
sat down,set down,PA32A
sat down,sit down,PA32B
sat down,set down,PA33A
sat down,sit down,PA33B
sat down,set down,PA34A
sat down,set down,PA34B
sat down,sat down,PA34C!
sat down,set down,PA35A
sat down,set down,PA35B
sat down,,PA35C
sat down,set down,PA36A
sat down,set down,PA36B
sat down,sat down,PA37A
sat down,sat down,PA37B
sat down,,PA37C
sat down,set down,PA38A
sat down,sat down,PA38A
sat down,set down,PA38B
sat down,sat down,PA39A
sat down,set down,PA39B
sat down,sit down,PA40A
sat down,set down,PA40B
sat down,set down,PA41A
sat down,sat down,PA41B
sat down,sat down,PA41B
sat down,set down,PA42A
sat down,set down,PA42B
sat down,set down,PA43A
sat down,set down,PA43B
sat down,set down,PA44A
sat down,sat down,PA44B
sat down,sit down,PA45A
sat down,set down,PA45B
sat down,sat down,PA46A
sat down,sat down,PA46B
sat down,set down,PA47A
sat down,set down,PA47B
sat down,set down,PA48A
sat down,set down,PA48B
sat down,sat down,PA48C
sat down,set down,PA49A
sat down,set down,PA49B
