Target,Response,Informant
Saturday,Saturday,NY1
Saturday,,NY2A
Saturday,Saturday,NY2B
Saturday,,NY2C
Saturday,Saturday,NY3A
Saturday,Saturday,NY3B
Saturday,Saturday,NY3C
Saturday,Saturday,NY3D
Saturday,Saturday,NY4A
Saturday,Saturday,NY4B
Saturday,Saturday,NY4C
Saturday,Saturday,NY5A
Saturday,Saturday,NY5B
Saturday,Saturday,NY5C
Saturday,Saturday,NY5D
Saturday,Saturday,NY5E
Saturday,Saturday,NY5F
Saturday,Saturday,NY5G
Saturday,Saturday,NY5H!
Saturday,Saturday,NY5I!
Saturday,Saturday,NY6A
Saturday,Saturday,NY6B
Saturday,Saturday,NY7A
Saturday,Saturday,NY7B
Saturday,Saturday,NY7C
Saturday,Saturday,NY7D
Saturday,Saturday,NY7E
Saturday,Saturday,NY7F
Saturday,Saturday,NY7G
Saturday,Saturday,NY7H
Saturday,Saturday,NY7I
Saturday,Saturday,NY7J!
Saturday,Saturday,NY7K!
Saturday,Saturday,NY7L!
Saturday,Saturday,NY7M!
Saturday,Saturday,NY8
Saturday,Saturday,NY9A
Saturday,Saturday,NY9B
Saturday,Saturday,NY9C
Saturday,Saturday,NY10A
Saturday,Saturday,NY10B!
Saturday,Saturday,NY11
Saturday,Saturday,NY12A
Saturday,Saturday,NY12B
Saturday,Saturday,NY12C!
Saturday,Saturday,NY13A
Saturday,Saturday,NY13B!
Saturday,Saturday,NY14A
Saturday,Saturday,NY14B
Saturday,Saturday,NY15A
Saturday,Saturday,NY15B
Saturday,Saturday,NY16A
Saturday,Saturday,NY16B
Saturday,Saturday,NY17A
Saturday,Saturday,NY17B
Saturday,Saturday,NY18A
Saturday,Saturday,NY18B
Saturday,Saturday,NY18C!
Saturday,Saturday,NY19
Saturday,Saturday,NY20A
Saturday,Saturday,NY20B
Saturday,Saturday,NY21
Saturday,Saturday,NY22
Saturday,,NY23A
Saturday,Saturday,NY23B
Saturday,Saturday,NY23C
Saturday,Sunday,NY23C
Saturday,Sabbath,NY23C
Saturday,Saturday,NY24A
Saturday,Saturday,NY24B!
Saturday,Sabbath is Sunday,NY25A
Saturday,Saturday,NY25A
Saturday,Saturday,NY25B
Saturday,Saturday,NY26A
Saturday,Saturday,NY26B
Saturday,Saturday,NY26C
Saturday,Sabbath,NY27A
Saturday,Saturday,NY27A
Saturday,Sunday,NY27A
Saturday,Saturday,NY27B
Saturday,Saturday,NY27C
Saturday,Saturday,NY28A
Saturday,Saturday,NY28B
Saturday,Saturday,NY28C
Saturday,Saturday,NY29A
