Target,Response,Informant
sauce,sauce,NY1
sauce,sauce,NY1
sauce,sauce,NY2A
sauce,sauce,NY2A
sauce,sauce,NY2B
sauce,sauce,NY2B
sauce,sauce,NY2C
sauce,sauce,NY3A
sauce,sauce,NY3B
sauce,sauce,NY3C
sauce,sauce,NY3D
sauce,sauce,NY4A
sauce,sauce,NY4B
sauce,sauce,NY4C
sauce,sauce,NY5A
sauce,sauce,NY5B
sauce,sauce,NY5C
sauce,sauce,NY5D
sauce,sauce,NY5E
sauce,sauce,NY5F
sauce,sauce,NY5G
sauce,sauce,NY5H!
sauce,sauce,NY5I!
sauce,sauce,NY6A
sauce,sauce,NY6B
sauce,sauce,NY7A
sauce,sauce,NY7B
sauce,sauce,NY7C
sauce,sauce,NY7D
sauce,sauce,NY7E
sauce,sauce,NY7F
sauce,pudding sauce,NY7G
sauce,sauce,NY7H
sauce,sauce,NY7I
sauce,sauce,NY7J!
sauce,sauce,NY7K!
sauce,sauce,NY7L!
sauce,sauce,NY7M!
sauce,sauce,NY8
sauce,sauce,NY9A
sauce,sauce,NY9B
sauce,sauce,NY9C
sauce,sauce,NY10A
sauce,sauce,NY10B!
sauce,sauce,NY11
sauce,syrup,NY12A
sauce,sauce,NY12A
sauce,sauce,NY12B
sauce,sauce,NY12C!
sauce,dope,NY13A
sauce,sauce,NY13B!
sauce,sauce,NY14A
sauce,sauce,NY14B
sauce,sauce,NY15A
sauce,sauce,NY15B
sauce,sauce,NY16A
sauce,sauce,NY16B
sauce,dip,NY17A
sauce,sauce,NY17B
sauce,sauce,NY18A
sauce,sauce,NY18B
sauce,sauce,NY18C!
sauce,sauce,NY19
sauce,sauce,NY20A
sauce,sauce,NY20B
sauce,,NY21
sauce,sauce,NY22
sauce,sauce,NY22
sauce,gravy,NY23A
sauce,dressing,NY23B
sauce,sauce dish,NY23B
sauce,applesauce,NY23C
sauce,dressing,NY23C
sauce,cold sauce,NY23C
sauce,sauce,NY24A
sauce,sauce,NY24B!
sauce,sauce,NY25A
sauce,a gravy,NY25A
sauce,saucy,NY25A
sauce,cold sauce,NY25B
sauce,butter sauce,NY25B
sauce,a sauce,NY26A
sauce,sauce,NY26A
sauce,sauce,NY26B
sauce,pepper sauce,NY26B
sauce,sweet gravy,NY27A
sauce,dressing,NY27A
sauce,sauce,NY27B
sauce,sauce,NY27C
sauce,sauce,NY28A
sauce,pudding,NY28A
sauce,brown sugar,NY28A
sauce,pudding sauce,NY28B
sauce,,NY28C
sauce,pudding sauce,NY29A
sauce,cinnamon sauce,NY29B
sauce,cinnamon gravy,NY29B
sauce,a sauce,NY29C
sauce,sour gravy,NY30A
sauce,a sauce,NY30B
sauce,,NY30C
sauce,dressing,NY30D
sauce,sour sauce,NY30E
sauce,a sauce,NY30E
sauce,a sauce,NY31A
sauce,sour sauce,NY31A
sauce,dressing,NY31A
sauce,pudding,NY31B
sauce,a gravy,NY31B
sauce,sauce,NY32A
sauce,a dressing,NY32A
sauce,sauce,NY32B
sauce,a syrup,NY32B
sauce,dressing,NY33A
sauce,sauce,NY33A
sauce,,NY33B
sauce,hard sauce,NY33C
sauce,sauce,NY34A
sauce,sauce,NY34A
sauce,,NY34B
sauce,sauce,NY34C
sauce,hard sauce,NY34D!
sauce,sauce,NY35A
sauce,sauce,NY35B
sauce,sauce,NY35C!
sauce,sauce,NY36A
sauce,sauce,NY36B
sauce,sauce,NY37A
sauce,sauce,NY37B
sauce,sauce,NY37C!
sauce,dressing,NY38A
sauce,sauce,NY38B
sauce,sauce,NY38C
sauce,sauce,NY39A
sauce,sauce,NY39B
sauce,sauce,NY40A
sauce,sauce,NY40B
sauce,sauce,NY41
sauce,sauce,NY42A
sauce,sauce,NY42B
sauce,dressing,NY43A
sauce,sauce,NY43B
sauce,sauce,NY43C!
sauce,sauce,NY44A
sauce,sauce,NY44B
sauce,a dressing,NY45A
sauce,a balanced ration,NY45B
sauce,sauce,NY45C
sauce,brandy sauce,NY45D!
sauce,a syrup,NY46A
sauce,syrup,NY46B
sauce,sauce,NY46C
sauce,syrup,NY46C
sauce,applesauce,NY47A
sauce,a sauce,NY47A
sauce,sauce,NY47B
sauce,a dressing,NY48A
sauce,a sauce,NY48A
sauce,,NY48B
sauce,dressing,NY48C
sauce,pudding sauce,NY48C
sauce,a white sauce,NY48D
sauce,,NY49A
sauce,sauce,NY49B
sauce,sauce,NY49C
sauce,sauce,NY49D
sauce,soup,NY49D
sauce,a meat gravy,NY50A
sauce,a soup,NY50A
sauce,a dressing,NY50A
sauce,a sauce,NY50A
sauce,a sauce,NY50B
sauce,dressing,NY51A
sauce,sauce,NY51A
sauce,bread pudding,NY51A
sauce,a syrup,NY51B
sauce,a sauce,NY51C
sauce,,NY51D
sauce,a sauce,NY51E!
sauce,butter sauce,NY51E!
sauce,hard sauce,NY51E!
sauce,sauce dishes,NY51E!
