Target,Response,Informant
sausage,sausage,NY1
sausage,sausage,NY2A
sausage,sausage,NY2A
sausage,sausage,NY2A
sausage,frankfurter,NY2A
sausage,sausage,NY2B
sausage,sausage,NY2B
sausage,sausage,NY2C
sausage,sausage,NY3B
sausage,sausage,NY3C
sausage,sausage,NY3D
sausage,sausage,NY4A
sausage,sausages,NY4B
sausage,sausage,NY4B
sausage,sausage,NY4C
sausage,sausage,NY5A
sausage,sausage,NY5B
sausage,sausage,NY5C
sausage,sausage,NY5D
sausage,sausage,NY5E
sausage,sausage,NY5F
sausage,sausage,NY5G
sausage,sausage,NY5H!
sausage,sausage,NY5I!
sausage,sausage,NY6A
sausage,sausage,NY6B
sausage,sausage,NY7A
sausage,sausage,NY7B
sausage,sausage,NY7C
sausage,sausages,NY7D
sausage,sausage,NY7E
sausage,sausage,NY7F
sausage,sausage,NY7G
sausage,sausage,NY7H
sausage,sausage,NY7I
sausage,sausage,NY7J!
sausage,sausage,NY7K!
sausage,sausage,NY7L!
sausage,sausage,NY7M!
sausage,sausage,NY8
sausage,sausage,NY9A
sausage,sausage,NY9B
sausage,sausage,NY9C
sausage,sausage,NY10A
sausage,sausage,NY10B!
sausage,sausage,NY11
sausage,sausage,NY12A
sausage,sausage,NY12A
sausage,sausage,NY12B
sausage,sausage,NY12C!
sausage,sausage,NY13A
sausage,sausage,NY13B!
sausage,sausage,NY14A
sausage,sausage,NY14A
sausage,sausage,NY14B
sausage,sausage,NY15A
sausage,sausage,NY15B
sausage,sausage,NY16A
sausage,sausage,NY16B
sausage,sausage,NY17A
sausage,sausage,NY17B
sausage,sausage,NY18A
sausage,sausage,NY18B
sausage,sausage,NY18C!
sausage,sausage,NY19
sausage,sausage,NY20A
sausage,sausage,NY20B
sausage,sausage,NY21
sausage,sausage,NY22
sausage,sausage,NY23A
sausage,sausage,NY23B
sausage,sausage,NY23B
sausage,sausage,NY23C
sausage,sausage,NY24A
sausage,sausage,NY24B!
sausage,sausage,NY25A
sausage,"belly, tits and all",NY25A
sausage,sausage,NY25A
sausage,sausage,NY25B
sausage,sausage,NY26A
sausage,sausage,NY26B
sausage,,NY26C
sausage,sausage,NY27A
sausage,sausages,NY27B
sausage,sausage,NY27C
sausage,sausage,NY27C
sausage,sausage,NY28A
sausage,sausage,NY28B
sausage,minced meat,NY28B
sausage,,NY28C
sausage,sausage,NY29A
sausage,pork sausage,NY29B
sausage,sausage,NY29B
sausage,sausage,NY29C
sausage,sausage,NY30A
sausage,"sewed, rolled up into rims",NY30A
sausage,sausage,NY30B
sausage,,NY30C
sausage,sausage,NY30D
sausage,sausage,NY30E
sausage,sausage,NY31A
sausage,sausage,NY31A
sausage,sausage,NY31B
sausage,sausage,NY32A
sausage,sausage,NY32B
sausage,sausage,NY33A
sausage,sausage,NY33B
sausage,sausage,NY33C
sausage,sausage,NY34A
sausage,,NY34B
sausage,sausage,NY34C
sausage,sausage,NY34D!
sausage,sausage,NY35A
sausage,sausage,NY35B
sausage,sausage,NY35C!
sausage,sausage,NY36A
sausage,sausage,NY36B
sausage,sausage,NY37A
sausage,sausage,NY37B
sausage,sausage,NY37C!
sausage,sausage,NY38A
sausage,sausage,NY38B
sausage,sausage,NY38C
sausage,sausage,NY39A
sausage,sausage,NY39B
sausage,sausage,NY40A
sausage,sausage,NY40B
sausage,sausage,NY41
sausage,sausage,NY42A
sausage,sausage,NY42B
sausage,sausage,NY43A
sausage,sausage,NY43B
sausage,sausage,NY43C!
sausage,sausage,NY44A
sausage,sausage,NY44B
sausage,sausage,NY45A
sausage,,NY45B
sausage,sausage,NY45C
sausage,sausage,NY45D!
sausage,sausage,NY45D!
sausage,sausage,NY46A
sausage,sausage,NY46B
sausage,sausage,NY46B
sausage,sausage,NY46C
sausage,sausage,NY47A
sausage,sausage,NY47B
sausage,sausage,NY48A
sausage,,NY48B
sausage,sausage,NY48C
sausage,sausage,NY48D
sausage,sausage,NY49A
sausage,sausage,NY49B
sausage,sausage,NY49C
sausage,sausage,NY49C
sausage,sausage,NY49D
sausage,farmers sausage,NY49D
sausage,sausage,NY50A
sausage,sausage,NY50B
sausage,sausage,NY51A
sausage,sausage,NY51A
sausage,sausage,NY51B
sausage,sausage,NY51C
sausage,sausage,NY51D
sausage,sausage,NY51E!
sausage,sausage,NY52A
sausage,sausage gravey,NY52B
sausage,sausage,NY52B
sausage,sausage,NY52C
sausage,sausage,NY53A
sausage,sausage,NY53B!
sausage,sausage,NY54A
sausage,sausage,NY54B
sausage,sausage,NY55A
sausage,sausage,NY55B
sausage,sausage,NY56A
sausage,pork sausage,NY56A
sausage,sausage,NY56B
sausage,sausage stuffing,NY56B
sausage,sausage,NY57A
sausage,sausage,NY57B
sausage,sausage,NY57C!
sausage,sausage,NY58A
sausage,sausage,NY58B
sausage,a sausage stuffer,NY58B
sausage,sausage,NY58C
sausage,sausage,NY58D!
sausage,sausage,NY58E!
sausage,sausage,NY58F!
sausage,sausage,NY59A
sausage,sausage,NY59B
sausage,,NY60A
sausage,sausage,NY60B!
sausage,sausage,NY60B!
sausage,sausage,NY61A
sausage,sausage,NY61B
sausage,sausage,NY62A
sausage,sausage,NY62B
sausage,sausage,NY62C
sausage,pork sausage,NY62C
sausage,sausage,NY62D!
sausage,sausage,NY63A
sausage,sausage,NY63B
sausage,sausage,NY63C
sausage,sausage,NY63D!
sausage,sausage,NY64A
sausage,sausage,NY64B
sausage,sausage,NY64C!
sausage,sausage,NJ1A
sausage,sausage,NJ1B
sausage,sausage,NJ2A
sausage,sausage,NJ2B
sausage,sausage,NJ3A
sausage,sausage meat,NJ3B
sausage,sausage meat,NJ4A
sausage,sausage,NJ4B
sausage,sausage,NJ5A
sausage,sausage,NJ5B
sausage,sausage,NJ6A
sausage,sausage,NJ6B
sausage,sausage,NJ7A
sausage,sausage,NJ7B!
sausage,sausage,NJ8A
sausage,sausage,NJ8B
sausage,sausage,NJ9A
sausage,sausage,NJ9B
sausage,sausage,NJ10A
sausage,sausage,NJ10B
sausage,sausage,NJ10C
sausage,sausage,NJ10D!
sausage,sausage,NJ11A
sausage,sausage,NJ11B
sausage,sausage,NJ11C
sausage,sausage,NJ12A
sausage,sausage,NJ12B
sausage,sausage,NJ13A
sausage,sausage,NJ13B
sausage,sausage,NJ14A
sausage,sausage,NJ14B
sausage,sausage,NJ15A
sausage,sausage,NJ15A
sausage,sausage,NJ15B
sausage,sausage,NJ16A
sausage,sausage,NJ16A
sausage,sausage,NJ16B
sausage,sausage,NJ17A
sausage,sausage,NJ17B
sausage,sausage,NJ18A
sausage,sausage,NJ18B
sausage,sausage,NJ18C!
sausage,sausage,NJ18D!
sausage,sausage,NJ19A
sausage,sausage,NJ19B!
sausage,wurst,NJ20A
sausage,sausage,NJ20A
sausage,rollichies,NJ20A
sausage,sausage,NJ20B
sausage,sausage,NJ21A
sausage,sausage,NJ21B
sausage,sausage,PA1A
sausage,sausage,PA1B
sausage,sausage,PA1C
sausage,sausage,PA1D
sausage,sausage,PA1D
sausage,sausage,PA1E!
sausage,sausage,PA1F!
sausage,sausage,PA1G!
sausage,sausage,PA1H!
sausage,sausage,PA2A
sausage,sausage,PA2B
sausage,sausage,PA3A
sausage,sausage,PA3B
sausage,sausage,PA3C
sausage,sausage,PA4A
sausage,sausage,PA4B!
sausage,sausage,PA5A
sausage,,PA5B
