Target,Response,Informant
second,second,NY1
second,,NY2A
second,second,NY2B
second,,NY2C
second,second,NY3A
second,second,NY3B
second,second,NY3C
second,second,NY3D
second,second,NY4A
second,second,NY4B
second,second,NY4C
second,second,NY5A
second,second,NY5B
second,second,NY5C
second,second,NY5D
second,second,NY5E
second,second,NY5F
second,second,NY5G
second,second,NY5H!
second,second,NY5I!
second,second,NY6A
second,second,NY6B
second,second,NY7A
second,second,NY7B
second,second,NY7C
second,second,NY7D
second,second,NY7E
second,second,NY7F
second,second,NY7G
second,second,NY7H
second,second,NY7I
second,second,NY7J!
second,second,NY7K!
second,second,NY7L!
second,second,NY7M!
second,second,NY8
second,second,NY9A
second,second,NY9B
second,second,NY9C
second,second,NY10A
second,second,NY10B!
second,second,NY11
second,second,NY12A
second,second,NY12B
second,second,NY12C!
second,second,NY13A
second,second,NY13B!
second,second,NY14A
second,second,NY14B
second,second,NY15A
second,second,NY15B
second,second,NY16A
second,second,NY16B
second,second,NY17A
second,second,NY17B
second,second,NY18A
second,second,NY18B
second,second,NY18C!
second,second,NY19
second,second,NY20A
second,second,NY20B
second,second,NY21
second,second,NY22
second,second,NY23A
second,second,NY23B
second,second year,NY23C
second,second,NY23C
second,second,NY24A
second,second,NY24B!
second,second day,NY25A
second,second,NY25B
second,second,NY26A
second,second,NY26B
second,,NY26C
second,second,NY27A
second,second,NY27B
second,second,NY27C
second,second,NY28A
second,second story,NY28B
second,second time,NY28B
second,,NY28C
second,second,NY29A
second,second,NY29B
second,second,NY29C
second,second,NY30A
second,second day,NY30B
second,second,NY30B
second,second,NY30C
second,second,NY30D
second,second,NY30E
second,second,NY31A
second,second,NY31B
second,second,NY32A
second,second day,NY32A
second,second,NY32B
second,second,NY33A
second,second,NY33B
second,second,NY33C
second,second,NY34A
second,,NY34B
second,second,NY34C
second,second,NY34D!
second,second,NY35A
second,second,NY35B
second,,NY35C!
second,second,NY36A
second,second,NY36B
second,second,NY37A
second,second,NY37B
second,second,NY37C!
second,second,NY38A
second,second,NY38B
second,,NY38C
second,second,NY39A
second,second,NY39B
second,second,NY40A
second,second,NY40B
second,second,NY41
second,second,NY42A
second,second,NY42B
second,,NY43A
second,second,NY43B
second,second,NY43C!
second,second,NY44A
second,second,NY44B
second,second,NY45A
second,,NY45B
second,,NY45C
