Target,Response,Informant
seven,seven,NY1
seven,,NY2A
seven,seven,NY2B
seven,,NY2C
seven,seven,NY3A
seven,seven,NY3B
seven,seven,NY3C
seven,seven,NY3D
seven,seven,NY4A
seven,seven,NY4B
seven,seven,NY4C
seven,seven,NY5A
seven,seven,NY5B
seven,seven,NY5C
seven,seven,NY5D
seven,seven,NY5E
seven,seven,NY5F
seven,seven,NY5G
seven,seven,NY5H!
seven,seven,NY5I!
seven,seven,NY6A
seven,seven,NY6B
seven,seven,NY7A
seven,seven,NY7B
seven,seven,NY7C
seven,seven,NY7D
seven,seven,NY7E
seven,seven,NY7F
seven,seven,NY7G
seven,seven,NY7H
seven,seven,NY7I
seven,seven,NY7J!
seven,seven,NY7K!
seven,seven,NY7L!
seven,seven,NY7M!
seven,seven,NY8
seven,seven,NY9A
seven,seven,NY9B
seven,seven,NY9C
seven,seven,NY10A
seven,seven,NY10B!
seven,seven,NY11
seven,seven,NY12A
seven,seven,NY12B
seven,seven,NY12C!
seven,seven,NY13A
seven,seven,NY13B!
seven,seven,NY14A
seven,seven,NY14B
seven,seven,NY15A
seven,seven,NY15B
seven,seven,NY16A
seven,seven,NY16B
seven,seven,NY17A
seven,seven,NY17B
seven,seven,NY18A
seven,seven,NY18B
seven,seven,NY18C!
seven,seven,NY19
seven,seven,NY20A
seven,seven,NY20B
seven,seven,NY21
seven,seven,NY22
seven,,NY23A
seven,seven,NY23B
seven,seven,NY23B
seven,seven,NY23B
seven,seven,NY23C
seven,seven,NY23C
seven,seven,NY24A
seven,seven,NY24B!
seven,seven,NY25A
seven,seven,NY25B
seven,seven,NY26A
seven,seven,NY26B
seven,seven,NY26C
seven,seven,NY27A
seven,seven,NY27A
seven,,NY27B
seven,seven,NY27C
seven,seven,NY28A
seven,seven,NY28B
seven,seven,NY28B
seven,,NY28C
seven,seven,NY29A
seven,seven,NY29A
seven,seven,NY29B
seven,seven,NY29C
seven,seven,NY30A
seven,seven,NY30A
seven,seven,NY30B
seven,seven,NY30B
seven,seven,NY30C
seven,seven,NY30D
seven,seven,NY30E
seven,seven,NY30E
seven,seven,NY30E
seven,seven,NY31A
seven,seven,NY31B
seven,seven,NY31B
seven,seven,NY32A
seven,seven,NY32B
seven,,NY33A
seven,seven,NY33B
seven,seven,NY33B
seven,seven,NY33C
seven,seventh,NY34A
seven,,NY34B
seven,,NY34C
seven,seven,NY34D!
seven,seven,NY35A
seven,seven,NY35B
seven,,NY35C!
seven,seven,NY36A
seven,seven,NY36B
seven,seven,NY37A
seven,seven,NY37B
seven,seven,NY37C!
seven,seven,NY38A
seven,seven,NY38B
seven,,NY38C
seven,seven,NY39A
seven,seven,NY39B
seven,seven,NY40A
seven,seven,NY40B
seven,seven,NY41
seven,seven,NY42A
seven,seven,NY42B
seven,,NY43A
seven,seven,NY43B
seven,seven,NY43C!
seven,seven,NY44A
seven,seven,NY44B
seven,seven,NY45A
seven,seven,NY45A
seven,,NY45B
seven,,NY45C
seven,seven,NY45D!
seven,seven,NY46A
seven,seven,NY46B
seven,seven,NY46B
seven,seven,NY46C
seven,seven,NY47A
seven,seven,NY47A
seven,seven,NY47B
seven,seven,NY48A
seven,seven,NY48A
seven,,NY48B
seven,seven,NY48C
seven,seven,NY48C
seven,seven,NY48D
seven,seven,NY49A
seven,,NY49B
seven,seven,NY49C
seven,seven,NY49C
seven,seven,NY49C
seven,seven,NY49D
seven,seventh,NY49D
seven,seven,NY50A
seven,seven,NY50A
seven,seven,NY50B
seven,seven,NY50B
seven,seven,NY51A
seven,seven,NY51B
seven,seven,NY51B
seven,seven,NY51C
seven,,NY51D
seven,seven,NY51E!
seven,seven,NY52A
seven,seven,NY52B
seven,seven,NY52B
seven,seven,NY52C
seven,seven,NY52C
seven,seven,NY53A
seven,seven,NY53A
seven,seven,NY53B!
seven,seven,NY54A
seven,seven,NY54B
seven,seven,NY54B
seven,seven,NY54B
seven,seven,NY55A
seven,seven,NY55B
seven,seven,NY56A
seven,seven,NY56B
seven,seven,NY57A
seven,,NY57B
seven,seven,NY57C!
seven,seven,NY58A
seven,seven,NY58A
seven,seven,NY58B
seven,seven,NY58B
seven,,NY58C
seven,seven,NY58D!
seven,seven,NY58E!
seven,,NY58F!
seven,seven,NY59A
seven,seven,NY59B
seven,seven,NY60A
seven,seven,NY60B!
seven,seven,NY60B!
seven,seven,NY61A
seven,seven,NY61B
seven,seven,NY62A
seven,seven,NY62B
seven,seven,NY62B
seven,seven,NY62C
seven,seven,NY62C
seven,seven,NY62D!
seven,seven,NY63A
seven,seven,NY63B
seven,seventh,NY63B
seven,seven,NY63B
seven,seven,NY63C
seven,seven,NY63D!
seven,seven,NY64A
seven,seven,NY64B
seven,seven,NY64B
seven,seven,NY64C!
seven,seven,NJ1A
seven,seven,NJ1B
seven,seven,NJ2A
seven,seven,NJ2B
seven,seven,NJ3A
seven,seven,NJ3B
seven,seven,NJ4A
seven,seven,NJ4B
seven,seven,NJ5A
seven,seven,NJ5B
seven,seven,NJ6A
seven,seven,NJ6B
seven,seven,NJ7A
seven,seven,NJ7B!
seven,seven,NJ8A
seven,seven,NJ8B
seven,seven,NJ9A
seven,seven,NJ9B
seven,seven,NJ10A
seven,seven,NJ10B
seven,seven,NJ10C
seven,seven,NJ10D!
seven,seven,NJ11A
seven,seven,NJ11B
seven,seven,NJ11C
seven,seven,NJ12A
seven,seven,NJ12B
seven,seven,NJ13A
seven,seven,NJ13B
seven,seven,NJ14A
seven,seven,NJ14B
seven,seven,NJ15A
seven,seven,NJ15B
seven,seven,NJ16A
seven,seven,NJ16B
seven,seven,NJ17A
seven,seven,NJ17B
seven,seven,NJ18A
seven,seven,NJ18B
seven,seven,NJ18C!
seven,seven,NJ18D!
seven,seven,NJ19A
seven,seven,NJ19B!
seven,seven,NJ20A
seven,zeven,NJ20A
seven,seven,NJ20B
seven,seven,NJ21A
seven,seven,NJ21B
seven,seven,PA1A
seven,seven,PA1B
seven,seven,PA1C
seven,seven,PA1D
seven,seven,PA1E!
seven,seven,PA1F!
seven,seven,PA1G!
seven,seven,PA1H!
seven,seven,PA2A
seven,seven,PA2B
seven,seven,PA3A
seven,seven,PA3B
seven,seven,PA3C
