Target,Response,Informant
shades,curtains,NY1
shades,shades,NY1
shades,curtains,NY2A
shades,shades,NY2B
shades,curtains,NY2B
shades,shades,NY2C
shades,curtain,NY2C
shades,shades,NY3A
shades,shades,NY3B
shades,curtains,NY3C
shades,shades,NY3C
shades,shades,NY3D
shades,curtains,NY3D
shades,shades,NY4A
shades,shutters,NY4B
shades,shades,NY4B
shades,blinds,NY4B
shades,window shades,NY4C
shades,curtains,NY4C
shades,shades,NY5A
shades,blinds,NY5A
shades,shades,NY5B
shades,blinds,NY5C
shades,shades,NY5C
shades,shades,NY5D
shades,shades,NY5E
shades,shades,NY5F
shades,shades,NY5G
shades,shades,NY5H!
shades,shades,NY5I!
shades,shades,NY6A
shades,window shades,NY6B
shades,shades,NY7A
shades,blinds,NY7A
shades,shades,NY7B
shades,blinds,NY7B
shades,shades,NY7C
shades,shades,NY7D
shades,shades,NY7E
shades,shades,NY7F
shades,shades,NY7G
shades,blinds,NY7G
shades,shades,NY7H
shades,shades,NY7I
shades,shades,NY7J!
shades,shades,NY7K!
shades,blinds,NY7L!
shades,shades,NY7M!
shades,shades,NY8
shades,shades,NY9A
shades,shades,NY9B
shades,shades,NY9C
shades,shades,NY10A
shades,curtains,NY10A
shades,shades,NY10B!
shades,shades,NY11
shades,window curtains,NY12A
shades,shades,NY12A
shades,curtains,NY12B
shades,shades,NY12B
shades,shades,NY12C!
shades,shade,NY13A
shades,shades,NY13B!
shades,shades,NY14A
shades,shades,NY14B
shades,window curtains,NY15A
shades,shades,NY15A
shades,shades,NY15B
shades,curtains,NY16A
shades,shades,NY16A
shades,shades,NY16B
shades,shades,NY17A
shades,curtains,NY17A
shades,shades,NY17A
shades,shades,NY17B
shades,shades,NY18A
shades,shades,NY18B
shades,shades,NY18C!
shades,shades,NY19
shades,shades,NY20A
shades,shades,NY20B
shades,shades,NY21
shades,shades,NY22
shades,curtains,NY23A
shades,curtains,NY23B
shades,curtains,NY23C
shades,curtains,NY23C
shades,side curtains,NY23C
shades,shades,NY24A
shades,curtains,NY24A
shades,shades,NY24B!
shades,window shade,NY25A
shades,shades,NY25A
shades,curtains,NY25A
shades,shades,NY25B
shades,window shades,NY25B
shades,curtains,NY25B
shades,window curtains,NY25B
shades,shades,NY26A
shades,window curtains,NY26A
shades,shade,NY26B
shades,curtains,NY26B
shades,shade,NY26C
shades,shades,NY27A
shades,curtain,NY27B
shades,curtains,NY27C
shades,window curtains,NY27C
shades,shades,NY27C
shades,window shades,NY27C
shades,curtains,NY28A
shades,window shades,NY28A
shades,blinds,NY28B
shades,curtains,NY28B
shades,paper curtains,NY28C
shades,paper curtains,NY28C
shades,paper shades,NY28C
shades,curtains,NY29A
shades,blinds,NY29B
shades,shades,NY29B
shades,shutters,NY29B
shades,shades,NY29C
shades,curtains,NY29C
shades,curtains,NY30A
shades,paper shades,NY30B
shades,curtains,NY30B
shades,curtains,NY30C
shades,curtains,NY30D
shades,shades,NY30E
shades,curtains,NY30E
shades,paper curtain,NY31A
shades,white curtain,NY31A
shades,shades,NY31B
shades,shades,NY32A
shades,shades,NY32B
shades,shades,NY33A
shades,curtain,NY33A
shades,,NY33B
shades,window shades,NY33C
shades,curtains,NY33C
shades,shades,NY34A
shades,green,NY34A
shades,curtains,NY34A
shades,outside blinds,NY34B
shades,shades,NY34B
shades,shades,NY34C
shades,curtains,NY34C
shades,curtains,NY34D!
shades,shades,NY34D!
shades,shades,NY35A
shades,window shades,NY35B
shades,shades,NY35C!
shades,shades,NY36A
shades,curtains,NY36A
shades,shades,NY36B
shades,curtains,NY36B
shades,shades,NY37A
shades,shades,NY37B
shades,shades,NY37C!
shades,window shades,NY38A
shades,window shades,NY38B
shades,window shades,NY38C
shades,curtains,NY39A
shades,shades,NY39B
shades,shades,NY40A
shades,shades,NY40B
shades,shades,NY41
shades,shades,NY42A
shades,shades,NY42B
shades,curtains,NY43A
shades,shades,NY43B
shades,,NY43C!
shades,shades,NY44A
shades,curtains,NY44A
shades,window shades,NY44B
shades,shades,NY45A
shades,lace curtains,NY45A
shades,shade,NY45B
shades,lace curtains,NY45B
shades,green shades,NY45C
shades,curtains,NY45D!
shades,shades,NY45D!
shades,blinds,NY46A
shades,roller curtains,NY46A
shades,curtains,NY46B
shades,shades,NY46C
shades,curtains,NY47A
shades,blind,NY47A
shades,window shades,NY47A
shades,shades,NY47B
shades,shades,NY48A
shades,spring shades,NY48A
shades,green curtains,NY48B
shades,lace curtain,NY48C
shades,curtains,NY48C
shades,shades,NY48D
shades,curtains,NY49A
shades,curtains,NY49B
shades,shades,NY49C
shades,shades,NY49D
