Target,Response,Informant
shut the door,shut the door,NY1
shut the door,shut the door,NY2A
shut the door,shut the door,NY2B
shut the door,shut the door,NY2C
shut the door,shut the door,NY3A
shut the door,shut the door,NY3B
shut the door,shut the door,NY3C
shut the door,shut the door,NY3D
shut the door,shut the door,NY4A
shut the door,shut the door,NY4A
shut the door,shut the door,NY4B
shut the door,shut the door,NY4C
shut the door,shut the door,NY5A
shut the door,shut the door,NY5B
shut the door,shut the door,NY5C
shut the door,shut the door,NY5D
shut the door,shut the door,NY5E
shut the door,shut the door,NY5F
shut the door,shut the door,NY5G
shut the door,shut the door,NY5H!
shut the door,shut the door,NY5I!
shut the door,shut the door,NY6A
shut the door,shut the door,NY6B
shut the door,shut the door,NY7A
shut the door,shut the door,NY7B
shut the door,shut the door,NY7C
shut the door,shut the door,NY7D
shut the door,shut the door,NY7E
shut the door,shut the door,NY7F
shut the door,shut the door,NY7G
shut the door,shut the door,NY7H
shut the door,shut the door,NY7I
shut the door,shut the door,NY7J!
shut the door,shut the door,NY7K!
shut the door,shut the door,NY7L!
shut the door,shut the door,NY7M!
shut the door,shut the door,NY8
shut the door,shut the door,NY9A
shut the door,shut the door,NY9B
shut the door,shut the door,NY9C
shut the door,shut the door,NY10A
shut the door,shut the door,NY10B!
shut the door,shut the door,NY11
shut the door,shut,NY12A
shut the door,shut the door,NY12A
shut the door,shut the door,NY12A
shut the door,shut the door,NY12B
shut the door,shut the door,NY12C!
shut the door,shut the door,NY13A
shut the door,shut the door,NY13B!
shut the door,shut the door,NY14A
shut the door,shut the door,NY14B
shut the door,shut the door,NY15A
shut the door,shut the door,NY15B
shut the door,shut the door,NY16A
shut the door,shut the door,NY16B
shut the door,close the door,NY17A
shut the door,shut the door,NY17A
shut the door,shut the door,NY17B
shut the door,shut the door,NY18A
shut the door,shut the door,NY18B
shut the door,shut the door,NY18C!
shut the door,shut the door,NY19
shut the door,shut the door,NY20A
shut the door,shut the door,NY20B
shut the door,shut the door,NY21
shut the door,shut the door,NY22
shut the door,,NY23A
shut the door,shut down,NY23B
shut the door,shut the door,NY23B
shut the door,shut the door,NY23C
shut the door,shut the door,NY24A
shut the door,shut the door,NY24B!
shut the door,shut the door,NY25A
shut the door,shut,NY25A
shut the door,shut the door,NY25B
shut the door,shut the door,NY26A
shut the door,shut the door,NY26B
shut the door,close the door,NY26B
shut the door,,NY26C
shut the door,shut the door,NY27A
shut the door,door,NY27B
shut the door,shut the door,NY27C
shut the door,shut the door,NY28A
shut the door,shut you up,NY28B
shut the door,shut the door,NY28B
shut the door,shut the door,NY28C
shut the door,shut the door,NY29A
shut the door,close the drafts,NY29B
shut the door,shut,NY29B
shut the door,shut the door,NY29C
shut the door,door that was shut,NY30A
shut the door,close the door,NY30B
shut the door,shut the door,NY30B
shut the door,shut your mouth,NY30B
shut the door,shut,NY30C
shut the door,shut the door,NY30C
shut the door,shut over it,NY30C
shut the door,shut the door,NY30D
shut the door,close the door,NY30E
shut the door,shut the door,NY30E
shut the door,close the window,NY30E
shut the door,close it the door,NY31A
shut the door,shut it,NY31A
shut the door,shut the door,NY31B
shut the door,close that door,NY31B
shut the door,shut the door,NY32A
shut the door,shut off,NY32A
shut the door,close the door,NY32B
shut the door,shut down,NY32B
shut the door,shut the door,NY33A
shut the door,close the door,NY33B
shut the door,shut the door,NY33B
shut the door,shut the door,NY33C
shut the door,shut this door,NY34A
shut the door,,NY34B
shut the door,,NY34C
shut the door,shut the door,NY34D!
shut the door,shut the door,NY35A
shut the door,shut the door,NY35B
shut the door,shut the door,NY35C!
shut the door,shut the door,NY36A
shut the door,shut the door,NY36B
shut the door,shut the door,NY37A
shut the door,shut the door,NY37B
shut the door,shut the door,NY37C!
shut the door,shut the door,NY38A
shut the door,shut the door,NY38B
shut the door,shut the door,NY38C
shut the door,shut the door,NY39A
shut the door,shut the door,NY39B
shut the door,shut the door,NY40A
shut the door,shut the door,NY40B
shut the door,shut the door,NY41
shut the door,shut the door,NY42A
shut the door,shut the door,NY42B
shut the door,shut the door,NY43A
shut the door,shut the door,NY43B
shut the door,shut the door,NY43C!
shut the door,shut the door,NY44A
shut the door,shut the door,NY44B
shut the door,shut the door,NY45A
shut the door,,NY45B
shut the door,,NY45C
shut the door,close the door,NY45D!
shut the door,shut the door,NY45D!
shut the door,shut the door,NY46A
shut the door,shut it,NY46B
shut the door,who rung it,NY46B
shut the door,close the door,NY46B
shut the door,rang,NY46C
shut the door,shut it,NY46C
shut the door,close the door,NY46C
shut the door,shut up,NY47A
shut the door,shut,NY47A
shut the door,close the door,NY47A
shut the door,shut the door,NY47A
shut the door,shut the door,NY47B
shut the door,shut the door,NY48A
shut the door,,NY48B
shut the door,shut the door,NY48C
shut the door,door,NY48C
shut the door,close the door,NY48C
shut the door,shut,NY48C
shut the door,shut that door,NY48D
shut the door,shut it up,NY49A
shut the door,shut the door,NY49B
shut the door,slam it,NY49C
shut the door,door,NY49C
shut the door,close it,NY49C
shut the door,push it shut,NY49C
shut the door,door,NY49D
shut the door,close it,NY49D
shut the door,shut it,NY49D
shut the door,close the door,NY50A
shut the door,shut the door,NY50A
shut the door,doors,NY50A
shut the door,shut up,NY50B
shut the door,close the door,NY50B
shut the door,shut the door,NY51A
shut the door,close the door,NY51A
shut the door,shut the door,NY51B
shut the door,shut the door,NY51C
shut the door,side door,NY51D
shut the door,shut the door,NY51D
shut the door,,NY51E!
shut the door,shut the door,NY52A
shut the door,,NY52B
shut the door,close the doors,NY52C
shut the door,close the door,NY53A
shut the door,shut it up,NY53A
shut the door,shut,NY53B!
shut the door,close the door,NY53B!
shut the door,doors,NY53B!
shut the door,the door's closed,NY53B!
shut the door,shut the door,NY54A
shut the door,close the door,NY54B
shut the door,close the door,NY55A
shut the door,shut up,NY55A
shut the door,shut it,NY55A
shut the door,shut in,NY55B
shut the door,close the door,NY55B
shut the door,shut the door,NY56A
shut the door,close the door,NY56A
shut the door,shut the door,NY56B
shut the door,close the door,NY56B
shut the door,shut off,NY57A
shut the door,shut it off,NY57A
shut the door,shut that door,NY57B
shut the door,shut that door,NY57B
shut the door,shut in,NY57C!
shut the door,shut the door,NY57C!
shut the door,shut,NY58A
shut the door,shut the door,NY58A
shut the door,shut that door,NY58B
shut the door,close the door,NY58B
shut the door,shut up,NY58B
shut the door,shut the door,NY58B
shut the door,,NY58C
shut the door,close the door,NY58D!
shut the door,shut the door,NY58D!
shut the door,shut off,NY58E!
shut the door,close the door,NY58E!
shut the door,,NY58F!
shut the door,close the door,NY59A
shut the door,shut,NY59A
shut the door,shut the door,NY59B
shut the door,shut,NY60A
shut the door,close the door,NY60A
shut the door,shut in,NY60A
shut the door,shut the door,NY60B!
shut the door,shut the blinds,NY60B!
shut the door,shut up,NY60B!
shut the door,shut the dampers,NY61A
shut the door,close the door,NY61B
shut the door,close the door,NY62A
shut the door,shut it,NY62A
shut the door,shut down,NY62B
shut the door,shut the door,NY62B
shut the door,close that door,NY62C
shut the door,shut the door,NY62D!
shut the door,shut up,NY62D!
shut the door,close the door,NY62D!
shut the door,close the door,NY63A
shut the door,close it,NY63B
shut the door,shut it,NY63B
shut the door,shut the door,NY63C
shut the door,shut the door,NY63D!
shut the door,shut the door,NY64A
shut the door,close the door,NY64A
shut the door,close the door,NY64B
shut the door,shut the door,NY64C!
shut the door,shut the door,NJ1A
shut the door,shut the door,NJ1B
shut the door,shut the door,NJ2A
shut the door,shut the door,NJ2A
shut the door,push that door to,NJ2A
shut the door,shut the door,NJ2B
shut the door,shut the door,NJ3A
