Target,Response,Informant
sit down,sit up,NY1
sit down,sit down,NY1
sit down,set up,NY2A
sit down,set down,NY2B
sit down,set up the,NY2C
sit down,sit down,NY3A
sit down,set down,NY3B
sit down,sit down,NY3C
sit down,sit down,NY3D
sit down,set down,NY4A
sit down,sit down,NY4B
sit down,sit down,NY4C
sit down,sit down,NY5A
sit down,sit down,NY5B
sit down,sit down,NY5C
sit down,sit down,NY5D
sit down,sit down,NY5E
sit down,sit down,NY5F
sit down,sit down,NY5G
sit down,sit down,NY5H!
sit down,sit down,NY5I!
sit down,sit down,NY6A
sit down,set down,NY6B
sit down,sit down,NY7A
sit down,sit down,NY7B
sit down,sit down,NY7C
sit down,set down,NY7D
sit down,sit down,NY7E
sit down,sit down,NY7F
sit down,sit down,NY7G
sit down,sit down,NY7H
sit down,sit down,NY7I
sit down,sit down,NY7J!
sit down,sit down,NY7K!
sit down,sit down,NY7L!
sit down,sit down,NY7M!
sit down,sit down,NY8
sit down,sit down,NY9A
sit down,sit down,NY9B
sit down,sit down,NY9C
sit down,sit down,NY10A
sit down,sit down,NY10B!
sit down,sit down,NY11
sit down,set down,NY12A
sit down,sit down,NY12A
sit down,sit down,NY12B
sit down,sit down,NY12C!
sit down,sit down,NY13A
sit down,sit down,NY13B!
sit down,sit down,NY14A
sit down,sit down,NY14B
sit down,set down,NY15A
sit down,sit down,NY15B
sit down,set down,NY16A
sit down,sat down,NY16B
sit down,set down,NY17A
sit down,set down,NY17B
sit down,set down,NY18A
sit down,set down,NY18B
sit down,sit down,NY18C!
sit down,sit down,NY19
sit down,set down,NY20A
sit down,sit down,NY20B
sit down,set down,NY21
sit down,sat down,NY22
sit down,sit down,NY23A
sit down,sit down,NY23B
sit down,sit down,NY23B
sit down,sit down,NY23B
sit down,sit down,NY23C
sit down,to sit down,NY23C
sit down,set down,NY24A
sit down,sit down,NY24B!
sit down,sit down,NY25A
sit down,sat behind her,NY25A
sit down,set,NY25A
sit down,sit down,NY25A
sit down,sit down,NY25A
sit down,to sit on,NY25A
sit down,sit down,NY25A
sit down,sit down,NY25B
sit down,set down,NY26A
sit down,have a chair,NY26B
sit down,sit down,NY26B
sit down,set on them,NY26C
sit down,have a seat,NY27A
sit down,have a seat,NY27A
sit down,sit down,NY27B
sit down,sit down,NY27C
sit down,they were setting,NY27C
sit down,to sit on,NY28A
sit down,sit down,NY28A
sit down,sit down,NY28B
sit down,sit down,NY28B
sit down,,NY28C
sit down,sit down,NY29A
sit down,sit down,NY29B
sit down,sit on the step,NY29C
sit down,sit down,NY29C
sit down,they'd set down,NY30A
sit down,set down,NY30A
sit down,setting in,NY30B
sit down,set still,NY30B
sit down,sit down,NY30B
sit down,,NY30C
sit down,sit down,NY30D
sit down,sit down,NY30E
sit down,sit there,NY30E
sit down,sit down,NY31A
sit down,have a chair,NY31A
sit down,to sit on,NY31A
sit down,to set on,NY31A
sit down,sit down,NY31B
sit down,sets down,NY31B
sit down,sit on it,NY31B
sit down,sit down,NY32A
sit down,sit down,NY32B
sit down,to set in,NY32B
sit down,sit down,NY33A
sit down,he's setting here,NY33B
sit down,sit down,NY33B
sit down,sit down,NY33C
sit down,sit down,NY34A
sit down,sit down,NY34B
sit down,,NY34C
sit down,sit in the middle,NY34D!
sit down,set down,NY35A
sit down,sit down,NY35B
sit down,sit down,NY35C!
sit down,sit down,NY36A
sit down,sit down,NY36B
sit down,sit down,NY37A
sit down,sit down,NY37B
sit down,sit down,NY37C!
sit down,set down,NY38A
sit down,set down,NY38B
sit down,sit down,NY38C
sit down,sit down,NY39A
sit down,sit down,NY39B
sit down,set down,NY40A
sit down,set down,NY40B
sit down,sit down,NY41
sit down,set down,NY42A
sit down,set down,NY42B
sit down,set down,NY43A
sit down,sit down,NY43B
sit down,sit down,NY43C!
sit down,set down,NY44A
sit down,sit down,NY44B
sit down,sit down,NY45A
sit down,sit down,NY45A
sit down,setting up,NY45A
sit down,have a chair,NY45A
sit down,,NY45B
sit down,have a chair,NY45C
sit down,sit down,NY45D!
sit down,sitting down,NY46A
sit down,sit down,NY46A
sit down,set out,NY46B
sit down,sit down,NY46B
sit down,did set up,NY46B
sit down,set down,NY46B
sit down,sit down,NY46C
sit down,have a chair,NY47A
sit down,sitting down,NY47A
sit down,sit down,NY47A
sit down,sit down,NY47B
sit down,sit down,NY48A
sit down,used to set in the kitchen,NY48A
sit down,set down,NY48A
sit down,sit right down,NY48A
sit down,to sit down in,NY48B
sit down,sit down,NY48B
sit down,set right down,NY48B
sit down,sit down,NY48C
sit down,setting up,NY48C
sit down,sit down,NY48D
sit down,sit down,NY49A
sit down,set down,NY49B
sit down,set,NY49C
sit down,sit down,NY49C
sit down,be seated,NY49C
sit down,sit down,NY49D
sit down,to sit on,NY50A
sit down,sit down,NY50B
sit down,could set on it,NY50B
sit down,sit down,NY51A
sit down,sit down,NY51B
sit down,sit down,NY51C
sit down,sit down,NY51D
sit down,sit,NY51E!
sit down,sit down,NY52A
sit down,sat,NY52B
sit down,,NY52B
sit down,sit down,NY52C
sit down,sit down,NY53A
sit down,sit down,NY53A
sit down,sit down,NY53B!
sit down,sat down,NY53B!
sit down,sit down,NY53B!
sit down,get to the table,NY54A
