Target,Response,Informant
sitting,sitting,NY1
sitting,,NY2A
sitting,setting,NY2A
sitting,setting,NY2B
sitting,sitting,NY46B
sitting,sitting,NY46C
sitting,setting,NY52A
sitting,setting,NY53A
sitting,sitting,WV4B
sitting,sitting,DE2A
sitting,setting,DE5A
sitting,sitting,MD13E!
sitting,setting,MD16
sitting,setting,MD20A
sitting,setting,MD22A
sitting,setting,DC1A
sitting,setting,VA8A
sitting,setting,VA14A
sitting,setting,VA23B
sitting,setting,VA26A
sitting,sitting,VA30C!
sitting,setting,VA34A
sitting,setting,VA38
sitting,setting,VA45A
sitting,setting,VA46A
sitting,setting,VA54A
sitting,setting,VA55A
sitting,setting,VA61C
sitting,setting,VA65A
sitting,setting,VA65B
sitting,setting,VA70A
sitting,setting,NC7A
sitting,setting,NC10A
sitting,setting,NC14B
sitting,setting,NC20A
sitting,setting,NC22A
sitting,setting,NC25B
sitting,setting,NC29A
sitting,setting,NC32A
sitting,setting,NC35A
sitting,setting,NC40A
sitting,setting,NC47
sitting,setting,NC54A
sitting,setting,NC59
sitting,setting,NC65B
sitting,setting,NC67B
sitting,setting,NC67B
sitting,setting,NC69B
sitting,setting,NC73B
sitting,setting,SC3A
sitting,setting,SC6A
sitting,setting,SC10B!
sitting,setting,SC11I!
sitting,sitting,SC12B
sitting,setting,SC12B
sitting,sitting,SC14A
sitting,setting,SC22B
sitting,setting,SC25A
sitting,setting,SC27A
sitting,setting,SC27A
sitting,setting,SC30A
sitting,setting,SC33A
sitting,sitting,SC35C
sitting,setting,SC41A
sitting,sitting,SC42D!
sitting,sitting,GA1F!
sitting,setting,GA3A
sitting,sitting,GA5C
sitting,setting,GA9B
sitting,setting,GA10A
sitting,setting,GA13A
sitting,setting,GA15A
sitting,sitting,GA16B
sitting,setting,GA24A
sitting,sitting,GA26
sitting,setting,GA26
sitting,setting,GA34A
sitting,setting,GA43
