Target,Response,Informant
six,six,NY1
six,,NY2A
six,six,NY2B
six,,NY2C
six,six,NY3A
six,six,NY3B
six,six,NY3C
six,six,NY3D
six,six,NY4A
six,six,NY4B
six,six,NY4C
six,six,NY5A
six,six,NY5B
six,six,NY5C
six,six,NY5D
six,six,NY5E
six,six,NY5F
six,six,NY5G
six,six,NY5H!
six,six,NY5I!
six,six,NY6A
six,six,NY6B
six,six,NY7A
six,six,NY7B
six,six,NY7C
six,six,NY7D
six,six,NY7E
six,six,NY7F
six,six,NY7G
six,six,NY7H
six,six,NY7I
six,six,NY7J!
six,six,NY7K!
six,six,NY7L!
six,six,NY7M!
six,six,NY8
six,six,NY9A
six,six,NY9B
six,six,NY9C
six,six,NY10A
six,six,NY10B!
six,six,NY11
six,six,NY12A
six,six,NY12B
six,six,NY12C!
six,six,NY13A
six,six,NY13B!
six,six,NY14A
six,six,NY14B
six,six,NY15A
six,six,NY15B
six,six,NY16A
six,six,NY16B
six,six,NY17A
six,six,NY17B
six,six,NY18A
six,six,NY18B
six,six,NY18C!
six,six,NY19
six,six,NY20A
six,six,NY20B
six,six,NY21
six,six,NY22
six,,NY23A
six,six,NY23B
six,six,NY23C
six,six,NY24A
six,six,NY24B!
six,six,NY25A
six,six,NY25A
six,six,NY25B
six,six,NY26A
six,six,NY26A
six,six,NY26B
six,,NY26C
six,six,NY27A
six,,NY27B
six,six,NY27C
six,six,NY27C
six,six,NY28A
six,six,NY28B
six,,NY28C
six,six,NY29A
six,six,NY29B
six,six,NY29C
six,six,NY30A
six,six,NY30B
six,six,NY30C
six,six,NY30D
six,six,NY30E
six,six,NY30E
six,six,NY31A
six,six,NY31A
six,six,NY31B
six,six,NY32A
six,six,NY32B
six,six,NY33A
six,six,NY33B
six,six,NY33C
six,six,NY34A
six,,NY34B
six,six,NY34C
six,six,NY34C
six,six,NY34D!
six,six,NY35A
six,six,NY35B
six,,NY35C!
six,six,NY36A
six,six,NY36B
six,six,NY37A
six,six,NY37B
six,six,NY37C!
six,six,NY38A
six,six,NY38B
six,,NY38C
six,six,NY39A
six,six,NY39B
six,six,NY40A
six,six,NY40B
six,six,NY41
six,six,NY42A
six,six,NY42B
six,,NY43A
six,six,NY43B
six,six,NY43C!
six,six,NY44A
six,six,NY44B
six,six,NY45A
six,,NY45B
six,,NY45C
six,six,NY45D!
six,six,NY46A
six,six,NY46B
six,six,NY46C
six,six,NY47A
six,six,NY47B
six,six,NY48A
six,six,NY48B
six,six,NY48C
six,six,NY48C
six,six,NY48D
six,,NY49A
six,,NY49B
six,six,NY49C
six,six,NY49C
six,six,NY49D
six,six,NY50A
six,six,NY50A
six,six,NY50B
six,six,NY51A
six,six,NY51A
six,six,NY51B
six,six,NY51C
six,six,NY51D
six,six,NY51E!
six,six,NY52A
six,six,NY52A
six,,NY52B
six,six,NY52C
six,six,NY53A
