Target,Response,Informant
sixth,sixth,NY1
sixth,,NY2A
sixth,sixth,NY2B
sixth,,NY2C
sixth,sixth,NY3A
sixth,sixth,NY3B
sixth,sixth,NY3C
sixth,sixth,NY3D
sixth,sixth,NY4A
sixth,sixth,NY4B
sixth,sixth,NY4C
sixth,sixth,NY5A
sixth,sixth,NY5B
sixth,sixth,NY5C
sixth,sixth,NY5D
sixth,sixth,NY5E
sixth,sixth,NY5F
sixth,sixth,NY5G
sixth,sixth,NY5H!
sixth,sixth,NY5I!
sixth,sixth,NY6A
sixth,sixth,NY6B
sixth,sixth,NY7A
sixth,sixth,NY7B
sixth,sixth,NY7C
sixth,sixth,NY7D
sixth,sixth,NY7E
sixth,sixth,NY7F
sixth,sixth,NY7G
sixth,sixth,NY7H
sixth,sixth,NY7I
sixth,sixth,NY7J!
sixth,sixth,NY7K!
sixth,sixth,NY7L!
sixth,sixth,NY7M!
sixth,sixth,NY8
sixth,sixth,NY9A
sixth,sixth,NY9B
sixth,sixth,NY9C
sixth,sixth,NY10A
sixth,sixth,NY10B!
sixth,sixth,NY11
sixth,sixth,NY12A
sixth,sixth,NY12B
sixth,sixth,NY12C!
sixth,sixth,NY13A
sixth,sixth,NY13B!
sixth,sixth,NY14A
sixth,sixth,NY14B
sixth,sixth,NY15A
sixth,sixth,NY15B
sixth,sixth,NY16A
sixth,sixth,NY16B
sixth,sixth,NY17A
sixth,sixth,NY17B
sixth,sixth,NY18A
sixth,sixth,NY18B
sixth,sixth,NY18C!
sixth,sixth,NY19
sixth,sixth,NY20A
sixth,sixth,NY20B
sixth,sixth,NY21
sixth,sixth,NY22
sixth,,NY23A
sixth,sixth,NY23B
sixth,sixth,NY23C
sixth,sixth,NY24A
sixth,sixth,NY24B!
sixth,sixth,NY25A
sixth,sixth,NY25A
sixth,sixth,NY25B
sixth,sixth,NY26A
sixth,sixth,NY26B
sixth,,NY26C
sixth,sixth,NY27A
sixth,,NY27B
sixth,sixth,NY27C
sixth,sixth,NY28A
sixth,sixth,NY28B
sixth,,NY28C
sixth,sixth,NY29A
sixth,sixth,NY29B
sixth,sixth,NY29C
sixth,sixth,NY30A
sixth,sixth,NY30B
sixth,,NY30C
sixth,,NY30D
sixth,sixth,NY30E
sixth,sixth,NY31A
sixth,sixth,NY31B
sixth,sixth,NY32A
sixth,sixth,NY32B
sixth,,NY33A
sixth,sixth,NY33B
sixth,sixth,NY33C
sixth,sixth,NY34A
sixth,,NY34B
sixth,,NY34C
sixth,sixth,NY34D!
sixth,sixth,NY35A
sixth,sixth,NY35B
sixth,,NY35C!
sixth,sixth,NY36A
sixth,sixth,NY36B
sixth,sixth,NY37A
sixth,sixth,NY37B
sixth,sixth,NY37C!
sixth,sixth,NY38A
sixth,sixth,NY38B
sixth,,NY38C
sixth,sixth,NY39A
sixth,sixth,NY39B
sixth,sixth,NY40A
sixth,sixth,NY40B
sixth,sixth,NY41
sixth,sixth,NY42A
sixth,sixth,NY42B
sixth,,NY43A
sixth,sixth,NY43B
sixth,sixth,NY43C!
sixth,sixth,NY44A
sixth,sixth,NY44B
sixth,sixth,NY45A
sixth,sixth,NY45B
sixth,,NY45C
sixth,sixth,NY45D!
sixth,sixth,NY46A
sixth,sixth,NY46B
sixth,sixth,NY46C
sixth,sixth,NY47A
sixth,sixth,NY47B
sixth,sixth,NY48A
sixth,,NY48B
sixth,sixth,NY48C
sixth,sixth,NY48D
sixth,,NY49A
sixth,,NY49B
sixth,sixth grade,NY49C
sixth,sixth man,NY49D
sixth,sixth,NY50A
sixth,sixth,NY50B
sixth,sixth,NY51A
sixth,sixth,NY51B
sixth,sixth,NY51C
sixth,,NY51D
sixth,,NY51E!
sixth,sixth,NY52A
sixth,,NY52B
sixth,sixth man,NY52C
sixth,sixth,NY53A
sixth,sixth,NY53B!
sixth,,NY54A
sixth,sixth man,NY54B
sixth,sixth,NY55A
sixth,sixth,NY55B
sixth,sixth,NY56A
sixth,sixth,NY56B
sixth,sixth,NY57A
sixth,,NY57B
sixth,sixth,NY57C!
sixth,sixth,NY58A
sixth,sixth,NY58B
sixth,,NY58C
sixth,sixth,NY58D!
sixth,sixth,NY58E!
sixth,,NY58F!
sixth,sixth,NY59A
sixth,sixth,NY59B
sixth,sixth,NY60A
sixth,sixth,NY60A
sixth,sixth,NY60B!
sixth,sixth,NY61A
sixth,sixth,NY61B
sixth,sixth,NY62A
sixth,sixth,NY62B
sixth,sixth,NY62C
sixth,sixth,NY62C
sixth,sixth,NY62D!
sixth,sixth,NY63A
sixth,sixth,NY63B
sixth,sixth,NY63C
sixth,sixth,NY63D!
sixth,sixth,NY64A
sixth,sixth,NY64B
sixth,,NY64C!
sixth,sixth,NJ1A
sixth,sixth,NJ1B
sixth,sixth,NJ2A
sixth,sixth,NJ2B
sixth,sixth,NJ3A
sixth,sixth,NJ3B
sixth,sixth,NJ4A
sixth,sixth,NJ4B
sixth,sixth,NJ5A
sixth,sixth,NJ5B
sixth,sixth,NJ6A
sixth,sixth,NJ6B
sixth,sixth,NJ7A
sixth,sixth,NJ7B!
sixth,sixth,NJ8A
sixth,sixth,NJ8B
sixth,sixth,NJ9A
sixth,sixth,NJ9B
sixth,sixth,NJ10A
sixth,sixth,NJ10B
sixth,sixth,NJ10C
sixth,sixth,NJ10D!
sixth,sixth,NJ11A
sixth,sixth,NJ11B
sixth,sixth,NJ11C
sixth,sixth,NJ12A
sixth,sixth,NJ12B
sixth,sixth,NJ13A
sixth,sixth,NJ13B
sixth,sixth,NJ14A
sixth,sixth,NJ14B
sixth,sixth,NJ15A
sixth,sixth,NJ15B
sixth,sixth,NJ16A
sixth,sixth,NJ16B
sixth,sixth,NJ17A
sixth,sixth,NJ17B
sixth,sixth,NJ18A
sixth,sixth,NJ18B
sixth,sixth,NJ18C!
sixth,sixth,NJ18D!
sixth,sixth,NJ19A
sixth,sixth,NJ19B!
sixth,sixth,NJ20A
sixth,sixth,NJ20B
sixth,sixth,NJ21A
sixth,sixth,NJ21B
sixth,sixth,PA1A
sixth,sixth,PA1B
sixth,sixth,PA1C
sixth,sixth,PA1D
sixth,sixth,PA1E!
sixth,sixth,PA1F!
sixth,sixth,PA1G!
sixth,sixth,PA1H!
sixth,sixth,PA2A
sixth,sixth,PA2B
sixth,sixth,PA3A
sixth,sixth,PA3B
sixth,sixth,PA3C
sixth,sixth,PA4A
sixth,sixth,PA4B!
sixth,sixth,PA5A
sixth,sixth,PA5B
sixth,sixth,PA5C
sixth,sixth,PA5D
sixth,sixth,PA5E!
sixth,sixth,PA6A
sixth,sixth,PA6B
sixth,sixth,PA6C
sixth,sixth,PA6D!
sixth,sixth,PA7A
sixth,sixth,PA7B
sixth,sixth,PA7C
sixth,sixth,PA7D!
sixth,sixth,PA8A
sixth,sixth,PA8B
sixth,sixth,PA8C
sixth,sixth,PA8D!
sixth,sixth,PA9A
sixth,sixth,PA9B
sixth,sixth,PA9C!
sixth,sixth,PA10
sixth,sixth,PA11A
sixth,sixth,PA11B
sixth,sixth,PA12A
sixth,sixth,PA12B
sixth,sixth,PA13A
sixth,sixth,PA13B
sixth,sixth,PA14A
sixth,sixth,PA14B
sixth,,PA14C
sixth,sixth,PA15A
sixth,sixth,PA15B
sixth,sixth,PA15C!
sixth,sixth,PA16A
sixth,sixth,PA16B
sixth,,PA16C
sixth,sixth,PA17A
sixth,sixth,PA17B
sixth,sixth,PA18A
sixth,sixth,PA18B!
sixth,sixth,PA19A
sixth,sixth,PA19B
sixth,sixth,PA20A
sixth,sixth,PA20B
sixth,sixth,PA21A
sixth,sixth,PA21B
sixth,sixth,PA22A
sixth,sixth,PA22B
sixth,sixth,PA23A
sixth,sixth,PA23B
sixth,sixth,PA24A
sixth,sixth,PA24B
sixth,sixth,PA25A
sixth,sixth,PA25B
sixth,sixth,PA26A
sixth,sixth,PA26B
sixth,sixth,PA27A
sixth,sixth,PA27B
sixth,sixth,PA28A
sixth,sixth,PA28B!
sixth,sixth,PA29A
sixth,sixth,PA29B
sixth,sixth,PA30A
sixth,sixth,PA30B
sixth,sixth,PA31A
sixth,sixth,PA31B
sixth,sixth,PA32A
sixth,sixth,PA32B
sixth,sixth,PA33A
sixth,sixth,PA33B
sixth,sixth,PA34A
sixth,sixth,PA34B
sixth,,PA34C!
sixth,sixth,PA35A
sixth,sixth,PA35B
sixth,,PA35C
sixth,sixth,PA36A
sixth,sixth,PA36B
sixth,sixth,PA37A
sixth,sixth,PA37B
sixth,,PA37C
sixth,sixth,PA38A
sixth,sixth,PA38B
sixth,sixth,PA39A
sixth,sixth,PA39B
sixth,sixth,PA40A
sixth,sixth,PA40B
sixth,sixth,PA41A
sixth,sixth,PA41B
sixth,sixth,PA42A
sixth,sixth,PA42B
sixth,sixth,PA43A
sixth,sixth,PA43B
sixth,sixth,PA44A
sixth,sixth,PA44B
sixth,sixth,PA45A
sixth,sixth,PA45B
sixth,sixth,PA46A
sixth,sixth,PA46B
sixth,sixth,PA47A
sixth,sixth,PA47B
sixth,sixth,PA48A
sixth,sixth,PA48B
sixth,sixth,PA48C
sixth,sixth,PA49A
sixth,sixth,PA49B
sixth,,PA50A
sixth,sixth,PA50B
sixth,sixth,PA50C!
sixth,sixth,PA51A
sixth,sixth,PA51B
sixth,sixth,PA52A
sixth,sixth,PA52B!
sixth,sixth,PA53A
sixth,sixth,PA53B
sixth,sixth,PA54A
sixth,sixth,PA54B
sixth,sixth,PA55A
sixth,sixth,PA55B
sixth,sixth,PA56A
sixth,sixth,PA56B
sixth,sixth,PA57A
sixth,sixth,PA57B
sixth,sixth,PA58A
sixth,sixth,PA58B
sixth,sixth,PA59A
sixth,sixth,PA59B
sixth,sixth,PA60A
sixth,sixth,PA60B
sixth,sixth,PA61A
sixth,sixth,PA61B
sixth,sixth,PA62A
sixth,sixth,PA62B
sixth,sixth,PA63A
sixth,sixth,PA63B
sixth,sixth,PA64A
sixth,sixth,PA64B
sixth,sixth,PA65A
sixth,sixth,PA65B
sixth,sixth,PA66A
sixth,sixth,PA66B
sixth,sixth,PA67A
sixth,sixth,PA67B
sixth,sixth,WV1!
sixth,sixth,WV2
sixth,sixth,WV3
sixth,sixth,WV4A
sixth,sixth,WV4B
sixth,sixth,WV5
sixth,sixth,WV6A
sixth,sixth,WV6B
sixth,sixth,WV7A
sixth,sixth,WV7B
sixth,sixth,WV8A
sixth,sixth,WV8B
sixth,sixth,WV9A
sixth,sixth,WV9B
sixth,sixth,WV10A
sixth,sixth,WV10B
sixth,sixth,WV10C
sixth,sixth,WV11A
sixth,sixth,WV11B!
sixth,sixth,WV12A
sixth,sixth,WV12B
sixth,sixth,WV13A
sixth,sixth,WV13B
sixth,sixth,WV14A
sixth,sixth,WV14B
sixth,sixth,WV15A
sixth,sixth,WV15B
sixth,sixth,WV16A
sixth,sixth,WV16B
sixth,,WV17A
sixth,sixth,WV17B
sixth,sixth,WV17C
sixth,sixth,WV18A
sixth,sixth,WV18B
sixth,sixth,WV19A
sixth,sixth,WV19B
sixth,sixth,WV20A
sixth,sixth,WV20B
sixth,sixth,WV21A
sixth,sixth,WV21B
sixth,sixth,WV22A
sixth,sixth,WV22B
sixth,sixth,WV23A
sixth,sixth,WV23B
sixth,sixth,WV24A
sixth,sixth,WV24B
sixth,sixth,WV25A
sixth,sixth,WV25B
sixth,sixth,WV26A
sixth,sixth,WV26B
sixth,sixth,WV27A
sixth,sixth,WV27B
sixth,sixth,WV28A
sixth,sixth,WV28B
sixth,sixth,WV29A
sixth,sixth,WV29B
sixth,sixth,WV30A
sixth,sixth,WV30B
sixth,sixth,WV31A
sixth,sixth,WV31B
sixth,sixth,WV32A
sixth,sixth,WV32B
sixth,sixth,WV33A
sixth,sixth,WV33B
sixth,sixth,WV34A
sixth,sixth,WV34B
sixth,sixth,WV35A
sixth,sixth,WV35B
sixth,sixth,WV36A
sixth,sixth,WV36B
sixth,sixth,WV37A
sixth,sixth,WV37B!
sixth,sixth,WV38A
sixth,sixth,WV38B
sixth,sixth,WV39A
sixth,sixth,WV39B
sixth,sixth,WV39C!
sixth,sixth,WV40A
sixth,sixth,WV40B
sixth,sixth,WV41A
sixth,sixth,WV41B
sixth,sixth,WV42A
sixth,sixth,WV42B
sixth,sixth,WV43A
sixth,sixth,WV43B
sixth,sixth,WV44A
sixth,sixth,WV44B
sixth,sixth,WV45A
sixth,sixth,WV45B
sixth,sixth,WV46A
sixth,sixth,WV46B
sixth,sixth,WV47A
sixth,sixth,WV47B
sixth,sixth,WV48A
sixth,,WV48B
sixth,,WV48C
sixth,sixth,WV48D
sixth,sixth,WV49A
sixth,sixth,WV49B
sixth,sixth,WV50A
sixth,sixth,WV50B
sixth,sixth,WV51A
sixth,sixth,WV51B
sixth,sixth,WV52A
sixth,sixth,WV52B
sixth,sixth,WV52C!
sixth,sixth,WV53A
sixth,,WV53B
sixth,sixth,WV53C!
sixth,sixth,WV54A
sixth,sixth,WV54B
sixth,sixth,DE1A
sixth,sixth,DE1B
sixth,sixth,DE1C!
sixth,sixth,DE2A
sixth,sixth,DE2B
sixth,,DE2C
sixth,sixth,DE3A
sixth,sixth,DE3B
sixth,sixth,DE3C!
sixth,sixth,DE4
sixth,sixth,DE5A
sixth,sixth,DE5B
sixth,sixth,DE6A
sixth,sixth,DE6B
sixth,sixth,MD1A
sixth,sixth,MD1B
sixth,sixth,MD2A
sixth,sixth,MD2B
sixth,sixth,MD3A
sixth,sixth,MD3B
sixth,sixth,MD4A
sixth,sixth,MD4B
sixth,sixth,MD4C
sixth,sixth,MD5A
sixth,sixth,MD5B
sixth,sixth,MD6A
sixth,sixth,MD6B
sixth,sixth,MD7A
sixth,sixth,MD7B
sixth,sixth,MD7C!
sixth,sixth,MD8A
sixth,sixth,MD8B
sixth,sixth,MD9N
sixth,sixth,MD9A
sixth,sixth,MD9B
sixth,sixth,MD10A
sixth,sixth,MD10B
sixth,sixth,MD11
sixth,sixth,MD12A
sixth,sixth,MD12B
sixth,sixth,MD13A
sixth,sixth,MD13B
sixth,sixth,MD13C
sixth,sixth,MD13D!
sixth,sixth,MD13E!
sixth,sixth,MD13F!
sixth,,MD13G
sixth,sixth,MD14
sixth,sixth,MD15A
sixth,sixth,MD15B
sixth,sixth,MD16
sixth,sixth,MD17A
sixth,sixth,MD17B
sixth,sixth,MD18A
sixth,sixth,MD18B
sixth,sixth,MD19A
sixth,sixth,MD19B
sixth,sixth,MD20A
sixth,sixth,MD20B
sixth,sixth,MD20C!
sixth,sixth,MD21A
sixth,sixth,MD21B
sixth,,MD22N
sixth,sixth,MD22M
sixth,sixth,MD22A
sixth,sixth,MD22B
sixth,sixth,MD22C!
sixth,sixth,MD23A
sixth,,MD23B
sixth,sixth,MD23C
sixth,sixth,MD24
sixth,sixth,MD25
sixth,sixth,MD26A
sixth,,MD26B
sixth,sixth,MD27A
sixth,sixth,MD27B
sixth,sixth,DC1A
sixth,sixth,DC1B!
sixth,sixth,VA1!
sixth,sixth,VA2A
sixth,sixth,VA2B
sixth,sixth,VA3A
sixth,sixth,VA3B
sixth,,VA3C
sixth,sixth,VA4N
sixth,sixth,VA5A
sixth,sixth,VA5B
sixth,sixth,VA6A
sixth,sixth,VA6B
sixth,sixth,VA7A
sixth,sixth,VA7B
sixth,sixth,VA8A
sixth,sixth,VA8B
sixth,sixth,VA8C!
sixth,sixth,VA9A
sixth,sixth,VA9B!
sixth,sixth,VA10A
sixth,sixth,VA10B
sixth,sixth,VA11A
sixth,sixth,VA11B
sixth,sixth,VA12N
sixth,sixth,VA12A
sixth,sixth,VA12B!
sixth,sixth,VA13A
sixth,sixth,VA13B
sixth,sixth,VA14A
sixth,sixth,VA14B
sixth,sixth,VA14C
sixth,,VA15N
sixth,sixth,VA15A
sixth,sixth,VA15B
sixth,sixth,VA16A
sixth,sixth,VA16B
sixth,sixth,VA17A
sixth,sixth,VA17B
sixth,sixth,VA18
sixth,sixth,VA19A
sixth,sixth,VA19B
sixth,sixth,VA19C!
sixth,sixth,VA20A
sixth,sixth,VA20B
sixth,,VA20C
sixth,sixth,VA21N
sixth,sixth,VA21A
sixth,sixth,VA21B
sixth,sixth,VA22
sixth,sixth,VA23A
sixth,sixth,VA23B
sixth,sixth,VA24
sixth,sixth,VA25
sixth,,VA26A
sixth,sixth,VA26B
sixth,sixth,VA26C
sixth,sixth,VA27
sixth,sixth,VA28A
sixth,sixth,VA28B
sixth,sixth,VA29
sixth,sixth,VA30A
sixth,,VA30B!
sixth,sixth,VA30C!
sixth,sixth,VA30D!
sixth,sixth,VA30E!
sixth,,VA31A
sixth,sixth,VA31B
sixth,sixth,VA31C
sixth,sixth,VA32!
sixth,sixth,VA33A
sixth,sixth,VA33B
sixth,sixth,VA34A
sixth,sixth,VA34B
sixth,sixth,VA35A
sixth,sixth,VA35B
sixth,sixth,VA36A
sixth,sixth,VA36B
sixth,sixth,VA37
sixth,sixth,VA38
sixth,sixth,VA39!
sixth,sixth,VA40A
sixth,sixth,VA40B
sixth,sixth,VA41A
sixth,sixth,VA41B
sixth,sixth,VA42A
sixth,sixth,VA42B
sixth,sixth,VA43N
sixth,sixth,VA43A
sixth,sixth,VA43B
sixth,sixth,VA44A
sixth,sixth,VA44B
sixth,sixth,VA45A
sixth,sixth,VA45B
sixth,sixth,VA46N
sixth,,VA46A
sixth,sixth,VA46B!
sixth,sixth,VA47
sixth,sixth,VA48A
sixth,sixth,VA48B
sixth,sixth,VA49A
sixth,sixth,VA49B
sixth,sixth,VA50A
sixth,sixth,VA50B
sixth,sixth,VA51A
sixth,sixth,VA51B
sixth,,VA51C
sixth,sixth,VA52A
sixth,sixth,VA52B
sixth,sixth,VA52C!
sixth,sixth,VA53A
sixth,sixth,VA53B
sixth,sixth,VA54A
sixth,sixth,VA54B
sixth,sixth,VA55A
sixth,sixth,VA55B
sixth,sixth,VA56A
sixth,sixth,VA56B
sixth,sixth,VA57A
sixth,sixth,VA57B
sixth,sixth,VA58
sixth,sixth,VA59N
sixth,sixth,VA59A
sixth,sixth,VA59B!
sixth,sixth,VA60
sixth,sixth,VA61A
sixth,sixth,VA61B!
sixth,,VA61C
sixth,sixth,VA62A
sixth,sixth,VA62B
sixth,sixth,VA63A
sixth,sixth,VA63B
sixth,sixth,VA64A
sixth,sixth,VA64B
sixth,,VA65A
sixth,sixth,VA65B
sixth,sixth,VA65C!
sixth,sixth,VA66A
sixth,sixth,VA66B
sixth,sixth,VA67A
sixth,sixth,VA67B
sixth,sixth,VA68A
sixth,sixth,VA68B
sixth,sixth,VA69A
sixth,sixth,VA69B
sixth,sixth,VA70A
sixth,sixth,VA70B
sixth,sixth,VA71A
sixth,sixth,VA71B
sixth,sixth,VA72A
sixth,sixth,VA72B
sixth,sixth,VA73
sixth,sixth,VA74A
sixth,sixth,VA74B!
sixth,sixth,VA75A
sixth,sixth,VA75B
sixth,sixth,NC1
sixth,sixth,NC2A
sixth,sixth,NC2B
sixth,sixth,NC3A
sixth,sixth,NC3B
sixth,sixth,NC4A
sixth,sixth,NC4B
sixth,sixth,NC5A
sixth,sixth,NC5B
sixth,sixth,NC6!
sixth,sixth,NC7A
sixth,sixth,NC7B
sixth,sixth,NC8N
sixth,sixth,NC8A
sixth,sixth,NC8B
sixth,sixth,NC9A
sixth,sixth,NC9B
sixth,,NC10A
sixth,sixth,NC10B
sixth,sixth,NC10C
sixth,sixth,NC11A
sixth,sixth,NC11B
sixth,sixth,NC12A
sixth,sixth,NC12B
sixth,sixth,NC13A
sixth,sixth,NC13B
sixth,sixth,NC14N
sixth,sixth,NC14A
sixth,sixth,NC14B
sixth,sixth,NC14C!
sixth,sixth,NC15A
sixth,sixth,NC15B
sixth,,NC15C
sixth,sixth,NC16A
sixth,sixth,NC16B
sixth,sixth,NC17A
sixth,sixth,NC17B
sixth,sixth,NC18A
sixth,sixth,NC18B
sixth,sixth,NC19A
sixth,sixth,NC19B
sixth,sixth,NC20A
sixth,sixth,NC20B
sixth,sixth,NC20C
sixth,sixth,NC21A
sixth,sixth,NC21B
sixth,sixth,NC22A
sixth,sixth,NC22B
sixth,sixth,NC23A
sixth,sixth,NC23B
sixth,sixth,NC23C!
sixth,,NC23D!
sixth,sixth,NC24N
sixth,sixth,NC24A
sixth,sixth,NC24B
sixth,sixth,NC25N
sixth,sixth,NC25A
sixth,sixth,NC25B
sixth,sixth,NC26A
sixth,sixth,NC26B
sixth,sixth,NC26C!
sixth,sixth,NC27A
sixth,sixth,NC27B
sixth,sixth,NC28A
sixth,sixth,NC28B
sixth,sixth,NC28C
sixth,sixth,NC29A
sixth,sixth,NC29B
sixth,sixth,NC30A
sixth,sixth,NC30B
sixth,sixth,NC31A
sixth,sixth,NC31B
sixth,sixth,NC32A
sixth,sixth,NC32B!
sixth,sixth,NC33A
sixth,sixth,NC33B
sixth,sixth,NC34A
sixth,sixth,NC34B
sixth,sixth,NC35A
sixth,sixth,NC35B
sixth,sixth,NC36N
sixth,sixth,NC36A
sixth,sixth,NC36B
sixth,sixth,NC37A
sixth,sixth,NC37B
sixth,sixth,NC38N
sixth,,NC38A
sixth,sixth,NC38B
sixth,sixth,NC39A
sixth,sixth,NC39B!
sixth,sixth,NC40A
sixth,sixth,NC40B
sixth,sixth,NC41!
sixth,sixth,NC42A
sixth,sixth,NC42B
sixth,sixth,NC43A
sixth,sixth,NC43B
sixth,sixth,NC44
sixth,sixth,NC45A
sixth,,NC45B
sixth,sixth,NC46A
sixth,sixth,NC46B
sixth,sixth,NC46C!
sixth,sixth,NC47
sixth,sixth,NC48
sixth,sixth,NC49
sixth,sixth,NC50A
sixth,sixth,NC50B!
sixth,sixth,NC51A
sixth,sixth,NC51B
sixth,sixth,NC52N
sixth,sixth,NC52A
sixth,sixth,NC52B
sixth,sixth,NC53A
sixth,sixth,NC53B
sixth,sixth,NC54A
sixth,sixth,NC54B
