Target,Response,Informant
smell of it,,NY1
smell of it,,NY2A
smell of it,,NY2B
smell of it,,NY2C
smell of it,smell,NY3A
smell of it,smell,NY3B
smell of it,smell of,NY3C
smell of it,smell of,NY3D
smell of it,smell of,NY4A
smell of it,smell,NY4B
smell of it,smell,NY4C
smell of it,smell,NY5A
smell of it,smell,NY5B
smell of it,smell,NY5C
smell of it,smell,NY5D
smell of it,smell,NY5E
smell of it,smell,NY5F
smell of it,smell,NY5G
smell of it,smell,NY5H!
smell of it,smell,NY5I!
smell of it,smell,NY6A
smell of it,smell,NY6B
smell of it,smell,NY7A
smell of it,smell,NY7B
smell of it,smell,NY7C
smell of it,smell,NY7D
smell of it,smell,NY7E
smell of it,smell,NY7F
smell of it,smell,NY7G
smell of it,smell,NY7H
smell of it,smell,NY7I
smell of it,smell,NY7J!
smell of it,smell,NY7K!
smell of it,smell,NY7L!
smell of it,smell,NY7M!
smell of it,smell,NY8
smell of it,smell,NY9A
smell of it,smell of,NY9B
smell of it,smell of,NY9C
smell of it,smell of,NY10A
smell of it,smell,NY10B!
smell of it,smell,NY11
smell of it,smell of,NY12A
smell of it,smell it,NY12A
smell of it,smell,NY12B
smell of it,smell,NY12C!
smell of it,smell,NY13A
smell of it,smell,NY13B!
smell of it,smell of,NY14A
smell of it,smell,NY14B
smell of it,smell,NY15A
smell of it,smell,NY15B
smell of it,smell,NY16A
smell of it,smell of,NY16B
smell of it,smell of,NY17A
smell of it,smell of,NY17B
smell of it,smell,NY18A
smell of it,smell of,NY18B
smell of it,smell,NY18C!
smell of it,smell of,NY19
smell of it,smell of,NY20A
smell of it,smell of it,NY20B
smell of it,smell of,NY21
smell of it,smell,NY22
smell of it,,NY23A
smell of it,smell of it,NY23B
smell of it,snuff it,NY23C
smell of it,smell of,NY24A
smell of it,smell,NY24B!
smell of it,smell that,NY25A
smell of it,smell of it,NY25B
smell of it,smell of it,NY26A
smell of it,smell of it,NY26B
smell of it,,NY26C
smell of it,taste of it,NY27A
smell of it,smell of it,NY27A
smell of it,smell of it,NY27B
smell of it,smell of it,NY27C
smell of it,smell it,NY28A
smell of it,smell it,NY28B
smell of it,,NY28C
