Target,Response,Informant
smoked pork,,NY1
smoked pork,,NY2A
smoked pork,,NY2B
smoked pork,,NY2C
smoked pork,bacon,NY3A
smoked pork,bacon,NY3B
smoked pork,bacon,NY3C
smoked pork,bacon,NY3C
smoked pork,bacon,NY3D
smoked pork,bacon,NY4A
smoked pork,bacon,NY4B
smoked pork,bacon,NY4C
smoked pork,bacon,NY4C
smoked pork,bacon,NY5A
smoked pork,bacon,NY5B
smoked pork,bacon,NY5B
smoked pork,bacon,NY5C
smoked pork,bacon,NY5D
smoked pork,bacon,NY5E
smoked pork,bacon,NY5F
smoked pork,bacon,NY5G
smoked pork,bacon,NY5G
smoked pork,bacon,NY5H!
smoked pork,bacon,NY5H!
smoked pork,bacon,NY5I!
smoked pork,bacon,NY6A
smoked pork,bacon,NY6B
smoked pork,bacon,NY7A
smoked pork,bacon,NY7B
smoked pork,bacon,NY7C
smoked pork,bacon,NY7D
smoked pork,bacon,NY7D
smoked pork,bacon,NY7E
smoked pork,bacon,NY7E
smoked pork,bacon,NY7F
smoked pork,bacon,NY7G
smoked pork,bacon,NY7G
smoked pork,bacon,NY7H
smoked pork,bacon,NY7H
smoked pork,bacon,NY7I
smoked pork,bacon,NY7I
smoked pork,bacon,NY7J!
smoked pork,bacon,NY7K!
smoked pork,bacon,NY7L!
smoked pork,bacon,NY7M!
smoked pork,bacon,NY7M!
smoked pork,bacon,NY8
smoked pork,bacon,NY9A
smoked pork,bacon,NY9B
smoked pork,bacon,NY9C
smoked pork,bacon,NY10A
smoked pork,bacon,NY10B!
smoked pork,bacon,NY11
smoked pork,bacon,NY12A
smoked pork,bacon,NY12A
smoked pork,bacon,NY12B
smoked pork,bacon,NY12C!
smoked pork,bacon,NY13A
smoked pork,bacon,NY13B!
smoked pork,bacon,NY14A
smoked pork,bacon,NY14B
smoked pork,bacon,NY15A
smoked pork,bacon,NY15B
smoked pork,bacon,NY16A
smoked pork,bacon,NY16B
smoked pork,bacon,NY17A
smoked pork,bacon,NY17B
smoked pork,bacon,NY18A
smoked pork,bacon,NY18B
smoked pork,bacon,NY18C!
smoked pork,bacon,NY19
smoked pork,bacon,NY20A
smoked pork,bacon,NY20B
smoked pork,bacon,NY21
smoked pork,bacon,NY22
smoked pork,bacon,NY23A
smoked pork,chunk,NY23A
smoked pork,ham,NY23A
smoked pork,salt pork,NY23B
smoked pork,bacon,NY23B
smoked pork,smoke meat,NY23B
smoked pork,bacon,NY23C
smoked pork,streak of fat and streak of lean,NY23C
smoked pork,slaps of bacon,NY23C
smoked pork,smoke beef,NY23C
smoked pork,bacon,NY24A
smoked pork,bacon,NY24B!
smoked pork,hams,NY25A
smoked pork,slabs of meat,NY25A
smoked pork,bacon,NY25A
smoked pork,chunk meat,NY25A
smoked pork,bacon,NY25B
smoked pork,smoke meat,NY25B
smoked pork,slabs,NY25B
smoked pork,bacon,NY26A
smoked pork,bacon,NY26A
smoked pork,hams,NY26A
smoked pork,strips,NY26A
smoked pork,bacon,NY26B
smoked pork,bacon,NY26B
smoked pork,hams,NY26B
smoked pork,bacon butts,NY26B
smoked pork,,NY26C
smoked pork,chunk bacon,NY27A
smoked pork,bacon,NY27B
smoked pork,slap of bacon,NY27C
smoked pork,bacon,NY27C
smoked pork,ham,NY27C
smoked pork,a chunk of bacon,NY28A
smoked pork,ham,NY28A
smoked pork,bacon,NY28A
smoked pork,shoulders,NY28A
smoked pork,bacon,NY28B
smoked pork,ham,NY28B
smoked pork,strip of bacon,NY28B
smoked pork,shoulders,NY28B
smoked pork,,NY28C
smoked pork,side,NY29A
smoked pork,bacon,NY29A
smoked pork,slab bacon,NY29B
smoked pork,jowls,NY29B
smoked pork,ham,NY29B
smoked pork,chunk bacon,NY29B
smoked pork,bacon,NY29B
smoked pork,slabs,NY29C
smoked pork,bacon,NY29C
smoked pork,sides,NY29C
smoked pork,bacon,NY30A
smoked pork,a strip of bacon,NY30A
smoked pork,ham,NY30A
smoked pork,smoked ham,NY30A
smoked pork,bacon,NY30B
smoked pork,bacon,NY30B
smoked pork,bacon,NY30B
smoked pork,side of bacon,NY30B
smoked pork,,NY30C
smoked pork,bacon,NY30D
smoked pork,ham,NY30D
smoked pork,a slab,NY30D
smoked pork,streak a lean,NY30E
smoked pork,slaps of bacon,NY30E
smoked pork,hams,NY30E
smoked pork,bacon,NY30E
smoked pork,side of bacon,NY30E
smoked pork,hams,NY31A
smoked pork,slab of bacon,NY31A
smoked pork,smoke meat,NY31A
smoked pork,bacon,NY31A
smoked pork,shoulders,NY31A
smoked pork,chunk,NY31B
smoked pork,bacon slabs,NY31B
smoked pork,smoke meat,NY31B
smoked pork,smoke bacon,NY31B
smoked pork,bacon strips,NY31B
smoked pork,bacon,NY31B
smoked pork,bacon,NY32A
smoked pork,smoked pork,NY32A
smoked pork,slab a bacon,NY32A
smoked pork,bacon,NY32B
smoked pork,slab,NY32B
smoked pork,ham,NY33A
smoked pork,bacon,NY33A
smoked pork,bacon,NY33B
smoked pork,ham,NY33C
smoked pork,bacon,NY33C
smoked pork,slab bacon,NY33C
smoked pork,side,NY34A
smoked pork,slab,NY34A
smoked pork,bacon,NY34A
smoked pork,,NY34B
smoked pork,bacon,NY34C
smoked pork,side of bacon,NY34C
smoked pork,ham,NY34C
smoked pork,strips,NY34C
smoked pork,bacon,NY34D!
smoked pork,bacon,NY35A
smoked pork,bacon,NY35B
smoked pork,bacon,NY35C!
smoked pork,bacon,NY36A
smoked pork,bacon,NY36B
smoked pork,bacon,NY37A
smoked pork,bacon,NY37B
smoked pork,bacon,NY37C!
smoked pork,bacon,NY38A
smoked pork,bacon,NY38B
smoked pork,bacon,NY38C
smoked pork,bacon,NY39A
smoked pork,bacon,NY39B
smoked pork,bacon,NY40A
smoked pork,bacon,NY40B
smoked pork,bacon,NY41
smoked pork,bacon,NY42A
smoked pork,bacon,NY42B
smoked pork,bacon,NY43A
smoked pork,bacon,NY43B
