Target,Response,Informant
smoky,,NY1
smoky,,NY2A
smoky,,NY2B
smoky,,NY2C
smoky,,NY3A
smoky,,NY3B
smoky,,NY3C
smoky,,NY3D
smoky,,NY4A
smoky,,NY4B
smoky,,NY4C
smoky,,NY5A
smoky,,NY5B
smoky,,NY5C
smoky,,NY5D
smoky,,NY5E
smoky,,NY5F
smoky,,NY5G
smoky,,NY5H!
smoky,,NY5I!
smoky,,NY6A
smoky,,NY6B
smoky,,NY7A
smoky,,NY7B
smoky,,NY7C
smoky,,NY7D
smoky,,NY7E
smoky,,NY7F
smoky,,NY7G
smoky,,NY7H
smoky,,NY7I
smoky,,NY7J!
smoky,,NY7K!
smoky,,NY7L!
smoky,,NY7M!
smoky,,NY8
smoky,,NY9A
smoky,,NY9B
smoky,,NY9C
smoky,,NY10A
smoky,,NY10B!
smoky,,NY11
smoky,,NY12A
smoky,,NY12B
smoky,,NY12C!
smoky,,NY13A
smoky,,NY13B!
smoky,,NY14A
smoky,,NY14B
smoky,,NY15A
smoky,,NY15B
smoky,,NY16A
smoky,,NY16B
smoky,,NY17A
smoky,,NY17B
smoky,,NY18A
smoky,,NY18B
smoky,,NY18C!
smoky,,NY19
smoky,,NY20A
smoky,,NY20B
smoky,,NY21
smoky,,NY22
smoky,,NY23A
smoky,,NY23B
smoky,,NY23C
smoky,,NY24A
smoky,,NY24B!
smoky,,NY25A
smoky,,NY25B
smoky,,NY26A
smoky,,NY26B
smoky,,NY26C
smoky,,NY27A
smoky,,NY27B
smoky,,NY27C
smoky,,NY28A
smoky,,NY28B
smoky,,NY28C
smoky,,NY29A
smoky,,NY29B
smoky,,NY29C
smoky,,NY30A
smoky,,NY30B
smoky,,NY30C
smoky,,NY30D
smoky,,NY30E
smoky,,NY31A
smoky,,NY31B
smoky,,NY32A
smoky,,NY32B
smoky,,NY33A
smoky,,NY33B
smoky,,NY33C
smoky,,NY34A
smoky,,NY34B
smoky,,NY34C
smoky,,NY34D!
smoky,,NY35A
smoky,,NY35B
smoky,,NY35C!
smoky,,NY36A
smoky,,NY36B
smoky,,NY37A
smoky,,NY37B
smoky,,NY37C!
smoky,,NY38A
smoky,,NY38B
smoky,,NY38C
smoky,,NY39A
smoky,,NY39B
smoky,,NY40A
smoky,,NY40B
smoky,,NY41
smoky,,NY42A
smoky,,NY42B
smoky,,NY43A
smoky,,NY43B
smoky,,NY43C!
smoky,,NY44A
smoky,,NY44B
smoky,,NY45A
smoky,,NY45B
smoky,,NY45C
smoky,,NY45D!
smoky,,NY46A
smoky,,NY46B
smoky,,NY46C
smoky,,NY47A
smoky,,NY47B
smoky,,NY48A
smoky,,NY48B
smoky,,NY48C
smoky,,NY48D
smoky,,NY49A
smoky,,NY49B
smoky,,NY49C
smoky,,NY49D
smoky,,NY50A
smoky,,NY50B
smoky,,NY51A
smoky,,NY51B
smoky,,NY51C
smoky,,NY51D
smoky,,NY51E!
smoky,,NY52A
smoky,,NY52B
smoky,,NY52C
smoky,,NY53A
smoky,,NY53B!
smoky,,NY54A
smoky,,NY54B
smoky,,NY55A
smoky,,NY55B
smoky,,NY56A
smoky,,NY56B
smoky,,NY57A
smoky,,NY57B
smoky,,NY57C!
smoky,,NY58A
smoky,,NY58B
smoky,,NY58C
smoky,,NY58D!
smoky,,NY58E!
smoky,,NY58F!
smoky,,NY59A
smoky,,NY59B
smoky,,NY60A
smoky,,NY60B!
smoky,,NY61A
smoky,,NY61B
smoky,,NY62A
smoky,,NY62B
smoky,,NY62C
smoky,,NY62D!
smoky,,NY63A
smoky,,NY63B
smoky,,NY63C
smoky,,NY63D!
smoky,,NY64A
smoky,,NY64B
smoky,,NY64C!
smoky,,NJ1A
smoky,,NJ1B
smoky,,NJ2A
smoky,,NJ2B
smoky,,NJ3A
smoky,,NJ3B
smoky,,NJ4A
smoky,,NJ4B
smoky,,NJ5A
smoky,,NJ5B
smoky,,NJ6A
smoky,,NJ6B
smoky,,NJ7A
smoky,,NJ7B!
smoky,,NJ8A
smoky,,NJ8B
smoky,,NJ9A
smoky,,NJ9B
smoky,,NJ10A
smoky,,NJ10B
smoky,,NJ10C
smoky,,NJ10D!
smoky,,NJ11A
smoky,,NJ11B
smoky,,NJ11C
smoky,,NJ12A
smoky,,NJ12B
smoky,,NJ13A
smoky,,NJ13B
smoky,,NJ14A
smoky,,NJ14B
smoky,,NJ15A
smoky,,NJ15B
smoky,,NJ16A
smoky,,NJ16B
smoky,,NJ17A
smoky,,NJ17B
smoky,,NJ18A
smoky,,NJ18B
smoky,,NJ18C!
smoky,,NJ18D!
smoky,,NJ19A
smoky,,NJ19B!
smoky,,NJ20A
smoky,,NJ20B
smoky,,NJ21A
smoky,,NJ21B
smoky,,PA1A
smoky,,PA1B
smoky,,PA1C
smoky,,PA1D
smoky,,PA1E!
smoky,,PA1F!
smoky,,PA1G!
smoky,,PA1H!
smoky,,PA2A
smoky,,PA2B
smoky,,PA3A
smoky,,PA3B
smoky,,PA3C
smoky,,PA4A
smoky,,PA4B!
smoky,,PA5A
smoky,,PA5B
smoky,,PA5C
smoky,,PA5D
smoky,,PA5E!
smoky,,PA6A
smoky,,PA6B
smoky,,PA6C
smoky,,PA6D!
smoky,,PA7A
smoky,,PA7B
smoky,,PA7C
smoky,,PA7D!
smoky,,PA8A
smoky,,PA8B
smoky,,PA8C
smoky,,PA8D!
smoky,,PA9A
smoky,,PA9B
smoky,,PA9C!
smoky,,PA10
smoky,,PA11A
smoky,,PA11B
smoky,,PA12A
smoky,,PA12B
smoky,,PA13A
smoky,,PA13B
smoky,,PA14A
smoky,,PA14B
smoky,,PA14C
smoky,,PA15A
smoky,,PA15B
smoky,,PA15C!
smoky,,PA16A
smoky,,PA16B
smoky,,PA16C
smoky,,PA17A
smoky,,PA17B
smoky,,PA18A
smoky,,PA18B!
smoky,,PA19A
smoky,,PA19B
smoky,,PA20A
smoky,,PA20B
smoky,,PA21A
smoky,,PA21B
smoky,,PA22A
smoky,,PA22B
smoky,,PA23A
smoky,,PA23B
smoky,,PA24A
smoky,,PA24B
smoky,,PA25A
smoky,,PA25B
smoky,,PA26A
smoky,,PA26B
smoky,,PA27A
smoky,,PA27B
smoky,,PA28A
smoky,,PA28B!
smoky,,PA29A
smoky,,PA29B
smoky,,PA30A
smoky,,PA30B
smoky,,PA31A
smoky,,PA31B
smoky,,PA32A
smoky,,PA32B
smoky,,PA33A
smoky,,PA33B
smoky,,PA34A
smoky,,PA34B
smoky,,PA34C!
smoky,,PA35A
smoky,,PA35B
smoky,,PA35C
smoky,,PA36A
smoky,,PA36B
smoky,,PA37A
smoky,,PA37B
smoky,,PA37C
smoky,,PA38A
smoky,,PA38B
smoky,,PA39A
smoky,,PA39B
smoky,,PA40A
smoky,,PA40B
smoky,,PA41A
smoky,,PA41B
smoky,,PA42A
smoky,,PA42B
smoky,,PA43A
smoky,,PA43B
smoky,,PA44A
smoky,,PA44B
smoky,,PA45A
smoky,,PA45B
smoky,,PA46A
smoky,,PA46B
smoky,,PA47A
smoky,,PA47B
smoky,,PA48A
smoky,,PA48B
smoky,,PA48C
smoky,,PA49A
smoky,,PA49B
smoky,,PA50A
smoky,,PA50B
smoky,,PA50C!
smoky,,PA51A
smoky,,PA51B
smoky,,PA52A
smoky,,PA52B!
smoky,,PA53A
smoky,,PA53B
smoky,,PA54A
smoky,,PA54B
smoky,,PA55A
smoky,,PA55B
smoky,,PA56A
smoky,,PA56B
smoky,,PA57A
smoky,,PA57B
smoky,,PA58A
smoky,,PA58B
smoky,,PA59A
smoky,,PA59B
smoky,,PA60A
smoky,,PA60B
smoky,,PA61A
smoky,,PA61B
smoky,,PA62A
smoky,,PA62B
smoky,,PA63A
smoky,,PA63B
smoky,,PA64A
smoky,,PA64B
smoky,,PA65A
smoky,,PA65B
smoky,,PA66A
smoky,,PA66B
smoky,,PA67A
smoky,,PA67B
smoky,,WV1!
smoky,,WV2
smoky,,WV3
smoky,,WV4A
smoky,smoky,WV4B
smoky,,WV5
smoky,,WV6A
smoky,,WV6B
smoky,,WV7A
smoky,,WV7B
smoky,,WV8A
smoky,,WV8B
smoky,,WV9A
smoky,,WV9B
smoky,,WV10A
smoky,,WV10B
smoky,,WV10C
smoky,,WV11A
smoky,,WV11B!
smoky,,WV12A
smoky,,WV12B
smoky,,WV13A
smoky,,WV13B
smoky,,WV14A
smoky,,WV14B
smoky,,WV15A
smoky,,WV15B
smoky,,WV16A
smoky,,WV16B
smoky,,WV17A
smoky,,WV17B
smoky,,WV17C
smoky,,WV18A
smoky,,WV18B
smoky,,WV19A
smoky,,WV19B
smoky,,WV20A
smoky,,WV20B
smoky,,WV21A
smoky,,WV21B
smoky,,WV22A
smoky,,WV22B
smoky,,WV23A
smoky,,WV23B
smoky,,WV24A
smoky,,WV24B
smoky,,WV25A
smoky,,WV25B
smoky,,WV26A
smoky,,WV26B
smoky,,WV27A
smoky,,WV27B
smoky,,WV28A
smoky,,WV28B
smoky,,WV29A
smoky,,WV29B
smoky,,WV30A
smoky,,WV30B
smoky,,WV31A
smoky,,WV31B
smoky,,WV32A
smoky,,WV32B
smoky,,WV33A
smoky,,WV33B
smoky,,WV34A
smoky,,WV34B
smoky,,WV35A
smoky,,WV35B
smoky,,WV36A
smoky,,WV36B
smoky,,WV37A
smoky,,WV37B!
smoky,,WV38A
smoky,,WV38B
smoky,,WV39A
smoky,,WV39B
smoky,,WV39C!
smoky,,WV40A
smoky,,WV40B
smoky,,WV41A
smoky,,WV41B
smoky,,WV42A
smoky,,WV42B
smoky,,WV43A
smoky,,WV43B
smoky,,WV44A
smoky,,WV44B
smoky,,WV45A
smoky,,WV45B
smoky,,WV46A
smoky,,WV46B
smoky,,WV47A
smoky,,WV47B
smoky,,WV48A
smoky,,WV48B
smoky,,WV48C
smoky,,WV48D
smoky,,WV49A
smoky,,WV49B
smoky,,WV50A
smoky,,WV50B
smoky,,WV51A
smoky,,WV51B
smoky,,WV52A
smoky,,WV52B
smoky,,WV52C!
smoky,,WV53A
smoky,,WV53B
smoky,,WV53C!
smoky,,WV54A
smoky,,WV54B
smoky,,DE1A
smoky,,DE1B
smoky,,DE1C!
smoky,smoky,DE2A
smoky,,DE2B
smoky,,DE2C
smoky,,DE3A
smoky,,DE3B
smoky,,DE3C!
smoky,,DE4
smoky,hazy,DE5A
smoky,,DE5B
smoky,,DE6A
smoky,,DE6B
smoky,,MD1A
smoky,,MD1B
smoky,,MD2A
smoky,,MD2B
smoky,,MD3A
smoky,,MD3B
smoky,,MD4A
smoky,,MD4B
smoky,hazy,MD4C
smoky,smoky,MD4C
smoky,,MD5A
smoky,,MD5B
smoky,,MD6A
smoky,,MD6B
smoky,,MD7A
smoky,,MD7B
smoky,,MD7C!
smoky,,MD8A
smoky,,MD8B
smoky,smoky,MD9N
smoky,hazy,MD9N
smoky,,MD9A
smoky,,MD9B
smoky,,MD10A
smoky,,MD10B
smoky,,MD11
smoky,,MD12A
smoky,,MD12B
smoky,,MD13A
smoky,,MD13B
smoky,,MD13C
smoky,,MD13D!
smoky,hazy,MD13E!
smoky,,MD13F!
smoky,,MD13G
smoky,,MD14
smoky,,MD15A
smoky,,MD15B
smoky,smoky,MD16
smoky,,MD17A
smoky,,MD17B
smoky,,MD18A
smoky,,MD18B
smoky,,MD19A
smoky,,MD19B
smoky,hazy,MD20A
smoky,smoky,MD20A
smoky,,MD20B
