Target,Response,Informant
snack,snack,NY1
snack,lunch,NY1
snack,time to mug up,NY2A
snack,lunch,NY2A
snack,bite,NY2B
snack,lunch,NY2B
snack,lunch,NY2C
snack,snack,NY3A
snack,bite,NY3A
snack,snack,NY3B
snack,lunch,NY3C
snack,snack,NY3D
snack,bite,NY3D
snack,bite,NY4A
snack,snatch,NY4A
snack,bite,NY4B
snack,snack,NY4C
snack,lunch,NY4C
snack,picky,NY5A
snack,smack,NY5A
snack,bite,NY5B
snack,snack,NY5B
snack,snack,NY5C
snack,snack,NY5D
snack,snack,NY5E
snack,snack,NY5F
snack,snack,NY5G
snack,lunch,NY5G
snack,bite,NY5H!
snack,snack,NY5H!
snack,snack,NY5I!
snack,snack,NY6A
snack,snack,NY6B
snack,bite,NY7A
snack,snack,NY7A
snack,snack,NY7B
snack,snack,NY7C
snack,bite,NY7D
snack,lunch,NY7D
snack,bite,NY7E
snack,snack,NY7F
snack,bite,NY7F
snack,snack,NY7G
snack,snack,NY7H
snack,snack,NY7I
snack,bite,NY7J!
snack,snack,NY7K!
snack,bite,NY7K!
snack,snack,NY7L!
snack,bite,NY7L!
snack,pick me up,NY7L!
snack,snack,NY7M!
snack,snack,NY8
snack,bite,NY9A
snack,snack,NY9B
snack,bite,NY9C
snack,snack,NY9C
snack,piece,NY10A
snack,bite,NY10B!
snack,snack,NY10B!
snack,snack,NY11
snack,bite,NY11
snack,bite,NY12A
snack,piece,NY12A
snack,lunch,NY12A
snack,piece,NY12A
snack,bite,NY12B
snack,snack,NY12B
snack,bite,NY12C!
snack,lunch,NY12C!
snack,bite,NY13A
snack,lunch,NY13A
snack,make some coffee,NY13A
snack,snack,NY13B!
snack,snack,NY14A
snack,lunch,NY14A
snack,piece,NY14A
snack,piece,NY14B
snack,snack,NY15A
snack,lunch,NY15A
snack,piece,NY15A
snack,lunch,NY15B
snack,piece,NY15B
snack,bite,NY15B
snack,snack,NY16A
snack,lunch,NY16A
snack,bite,NY16B
snack,bite,NY17A
snack,lunch,NY17A
snack,piece,NY17A
snack,lunch,NY17B
snack,piece,NY18A
snack,lunch,NY18B
snack,bite,NY18B
snack,snack,NY18C!
snack,bite,NY18C!
snack,lunch,NY19
snack,bite,NY19
snack,lunch,NY20A
snack,bite,NY20A
snack,snack,NY20B
snack,bite,NY20B
snack,lunch,NY21
snack,snack,NY21
snack,bite,NY22
snack,piece,NY22
snack,lunch,NY23A
snack,snack,NY23B
snack,a lunch,NY23B
snack,,NY23C
snack,lunch,NY24A
snack,bite,NY24A
snack,lunch,NY24B!
snack,piece,NY24B!
snack,bite,NY24B!
snack,a lunch,NY25A
snack,lunch,NY25B
snack,snack,NY25B
snack,a lunch,NY26A
snack,piece,NY26B
snack,lunch,NY27A
snack,lunch,NY27B
snack,lunch,NY27C
snack,a lunch,NY28A
snack,a snack,NY28A
snack,lunch,NY28B
snack,lunch,NY28B
snack,,NY28C
snack,a piece,NY29A
snack,a lunch,NY29A
snack,lunch,NY29B
snack,snack,NY29C
snack,lunch,NY30A
snack,a lunch,NY30B
snack,,NY30C
snack,luncheon,NY30D
snack,lunch,NY30E
snack,a lunch,NY31A
snack,snack,NY31A
snack,lunch,NY31A
snack,a lunch,NY31B
snack,lunch,NY32A
snack,a bite,NY32B
snack,lunch,NY33A
snack,lunch,NY33B
snack,lunch,NY33C
snack,snack,NY33C
snack,a lunch,NY34A
snack,snack,NY34A
snack,,NY34B
snack,lunch,NY34C
snack,snack,NY34D!
snack,lunch,NY35A
snack,snack,NY35A
snack,bite,NY35A
snack,snack,NY35B
snack,lunch,NY35B
snack,bite,NY35C!
snack,lunch,NY35C!
snack,bite,NY36A
snack,lunch,NY36A
snack,bite,NY36B
snack,lunch,NY36B
snack,snack,NY37A
snack,lunch,NY37A
snack,bite,NY37A
snack,snack,NY37B
snack,lunch,NY37B
snack,snack,NY37C!
snack,bite,NY37C!
snack,lunch,NY38A
snack,piece,NY38A
snack,lunch,NY38B
snack,snack,NY38B
snack,lunch,NY38C
snack,snack,NY38C
snack,lunch,NY39A
snack,piece,NY39A
snack,lunch,NY39B
snack,bite,NY39B
snack,piece,NY40A
snack,piece,NY40B
snack,lunch,NY40B
snack,piece,NY41
snack,lunch,NY41
snack,lunch,NY42A
snack,bite,NY42A
snack,lunch,NY42B
snack,bite,NY42B
snack,lunch,NY43A
snack,snack,NY43B
snack,lunch,NY43B
snack,bite,NY43B
snack,bite,NY43C!
snack,bite,NY44A
snack,lunch,NY44A
snack,piece,NY44A
snack,piece,NY44B
snack,piecing,NY45A
snack,piece,NY45A
snack,,NY45B
snack,bite,NY45C
snack,a snack,NY45D!
snack,lunch,NY46A
snack,snack,NY46B
snack,piece,NY46C
snack,piecing,NY46C
snack,piece,NY47A
snack,a bite,NY47A
snack,bite,NY47B
snack,snack,NY48A
snack,a lunch,NY48A
snack,,NY48B
snack,snack,NY48C
snack,a bite,NY48C
snack,afternoon snack,NY48D
snack,,NY49A
snack,piece,NY49B
snack,snack,NY49C
snack,snack,NY49D
snack,lunch,NY50A
snack,snack,NY50A
snack,a lunch,NY50B
snack,lunch,NY51A
snack,lunch,NY51B
snack,snack,NY51B
snack,snack,NY51C
snack,lunch,NY51C
snack,snack,NY51C
snack,,NY51D
snack,a snack,NY51E!
snack,snacks,NY52A
snack,lunch,NY52A
snack,snack,NY52B
snack,lunch,NY52B
snack,snacks,NY52C
snack,a lunch,NY53A
snack,a bite,NY53A
snack,,NY53B!
snack,snack,NY54A
snack,lunch,NY54A
