Target,Response,Informant
soda pop,soft drink,NY1
soda pop,soft drinks,NY2A
soda pop,soda water,NY2B
soda pop,belly wash,NY2B
soda pop,soda,NY2C
soda pop,soft drinks,NY2C
soda pop,setting,NY2C
soda pop,soda,NY46C
soda pop,pop,WV4B
soda pop,soft drink,DE2A
soda pop,pop,DE2A
soda pop,soft drinks,DE5A
soda pop,soft drinks,MD4C
soda pop,soft drinks,MD13E!
soda pop,pop,MD16
soda pop,soft drinks,MD20A
soda pop,pop,MD22A
soda pop,soft drinks,MD22A
soda pop,pop,DC1A
soda pop,soft drinks,VA8A
soda pop,soft drinks,VA14A
soda pop,soft drinks,VA23B
soda pop,pop,VA26A
soda pop,soft drinks,VA30C!
soda pop,cool drinks,VA34A
soda pop,dope,VA38
soda pop,pop,VA38
soda pop,cool drinks,VA45A
soda pop,pop,VA46A
soda pop,pop,VA54A
soda pop,soft drinks,VA55A
soda pop,pop,VA55A
soda pop,pop,VA61C
soda pop,pop,VA61C
soda pop,pop,VA65A
soda pop,soft drink,VA65B
soda pop,pop,VA65B
soda pop,pop,VA70A
soda pop,cold drink,VA70A
soda pop,pop,NC7A
soda pop,cool drinks,NC7A
soda pop,pop,NC10A
soda pop,cold drinks,NC14B
soda pop,soft drinks,NC14B
soda pop,pop,NC14B
soda pop,dope,NC14B
soda pop,pop,NC20A
soda pop,soda pop,NC22A
soda pop,dope,NC22A
soda pop,pop,NC25B
soda pop,soft drinks,NC25B
soda pop,dope,NC25B
soda pop,soft drinks,NC29A
soda pop,pop,NC32A
soda pop,soft drink,NC35A
soda pop,soda pop,NC40A
soda pop,pop,NC40A
soda pop,cold drink,NC47
soda pop,soft drinks,NC54A
soda pop,doke,NC54A
soda pop,pop,NC59
soda pop,pop,NC65B
soda pop,pop,NC67B
soda pop,soft drinks,NC67B
soda pop,soda water,NC69B
soda pop,cold drink,NC73B
soda pop,dope,SC3A
soda pop,cool drinks,SC6A
soda pop,dope,SC6A
soda pop,soft drinks,SC6A
soda pop,soft drinks,SC11I!
soda pop,cool drinks,SC12B
soda pop,foams up,SC12B
soda pop,soda pop,SC12B
soda pop,dope,SC12B
soda pop,cool drinks,SC14A
soda pop,dope,SC14A
soda pop,cool drinks,SC22B
soda pop,cool drink,SC25A
soda pop,soft drinks,SC30A
soda pop,dope,SC30A
soda pop,cool drinks,SC30A
soda pop,cool drink,SC33A
soda pop,soft drinks,SC35C
soda pop,soft drinks,SC35C
soda pop,cool drink,SC41A
soda pop,pop,SC42D!
soda pop,soft drink,SC42D!
soda pop,soft drinks,GA1F!
soda pop,cocola,GA1F!
soda pop,dope,GA1F!
soda pop,soft drinks,GA3A
soda pop,cold drinks,GA3A
soda pop,dope,GA3A
soda pop,cold drink,GA10A
soda pop,dope,GA10A
soda pop,soda pop,GA10A
soda pop,dope,GA13A
soda pop,cold drinks,GA13A
soda pop,cool drink,GA15A
soda pop,cold drink,GA24A
soda pop,cool drinks,GA34A
soda pop,soft drinks,GA37A
soda pop,dopes,GA42A
soda pop,cool drink,GA43
