Target,Response,Informant
sofa,sofa,NY1
sofa,sofa,NY2A
sofa,sofa,NY2B
sofa,sofa,NY2C
sofa,sofa,NY2C
sofa,sofa,NY3A
sofa,sofa,NY3A
sofa,sofa,NY3B
sofa,sofa,NY3C
sofa,sofa,NY3D
sofa,sofa,NY4A
sofa,lounge,NY4A
sofa,sofa,NY4B
sofa,sofa,NY4C
sofa,sofa,NY5A
sofa,sofa,NY5B
sofa,sofa,NY5C
sofa,sofa,NY5D
sofa,sofa,NY5E
sofa,sofa,NY5F
sofa,sofa,NY5G
sofa,sofa,NY5H!
sofa,sofa,NY5I!
sofa,sofa,NY6A
sofa,sofa,NY6B
sofa,sofa,NY7A
sofa,sofa,NY7B
sofa,sofa,NY7C
sofa,sofa,NY7D
sofa,sofa,NY7E
sofa,sofa,NY7E
sofa,sofa,NY7F
sofa,sofa,NY7G
sofa,sofa,NY7H
sofa,sofa,NY7I
sofa,sofa,NY7J!
sofa,sofa,NY7J!
sofa,sofa,NY7K!
sofa,sofa,NY7L!
sofa,sofa,NY7M!
sofa,sofa,NY8
sofa,sofa,NY9A
sofa,sofa,NY9B
sofa,sofa,NY9C
sofa,sofa,NY10A
sofa,lounge,NY10A
sofa,sofa,NY10B!
sofa,sofa,NY11
sofa,lounge,NY12A
sofa,sofa,NY12A
sofa,sofa,NY12B
sofa,te‰Û_te-aÌÏ-te‰Û_te,NY12C!
sofa,sofa,NY13A
sofa,sofa,NY13B!
sofa,sofa,NY14A
sofa,sofa,NY14B
sofa,sofa,NY15A
sofa,sofa,NY15B
sofa,sofa,NY16A
sofa,sofa,NY16B
sofa,te‰Û_te-aÌÏ-te‰Û_te,NY16B
sofa,sofa,NY17A
sofa,sofa,NY17A
sofa,lounge,NY17A
sofa,sofa,NY17B
sofa,lounge,NY18A
sofa,sofa,NY18A
sofa,sofa,NY18B
sofa,sofa,NY18C!
sofa,sofa,NY19
sofa,sofa,NY20A
sofa,sofa,NY20B
sofa,sofa,NY21
sofa,sofa,NY22
sofa,settee,NY23A
sofa,bench,NY23B
sofa,lounge,NY23B
sofa,loveseats,NY23C
sofa,settees,NY23C
sofa,sofas,NY23C
sofa,sofa,NY24A
sofa,sofa,NY24B!
sofa,couches,NY25A
sofa,benches,NY25A
sofa,bed,NY25A
sofa,sofa,NY25B
sofa,couches,NY26A
sofa,center table,NY26B
sofa,couch,NY26B
sofa,couch,NY26C
sofa,couch,NY27A
sofa,benches,NY27A
sofa,board bedstead,NY27A
sofa,sofa,NY27A
sofa,bunk,NY27A
sofa,couch,NY27B
sofa,settee,NY27C
sofa,benches,NY27C
sofa,settee,NY27C
sofa,sofa,NY27C
sofa,davenport,NY28A
sofa,cord bed,NY28A
sofa,couch,NY28A
sofa,sofa,NY28B
sofa,couch,NY28B
sofa,davenport,NY28C
sofa,couch,NY28C
sofa,lounge,NY29A
sofa,lounge,NY29B
sofa,sofa,NY29B
sofa,sofa,NY29C
sofa,lounges,NY30A
sofa,lounge,NY30B
sofa,couch,NY30C
sofa,settee,NY30C
sofa,organ,NY30C
sofa,sofa,NY30D
sofa,davenport,NY30E
sofa,sofa,NY30E
sofa,couch,NY30E
sofa,lounge,NY31A
sofa,bench,NY31A
sofa,settee,NY31B
sofa,sofa,NY31B
sofa,lounge,NY31B
sofa,lounge,NY32A
sofa,floats,NY32A
sofa,benches,NY32A
sofa,valence,NY32A
sofa,lounge,NY32B
sofa,couch,NY33A
sofa,,NY33B
sofa,couch,NY33C
sofa,couch,NY34A
sofa,sofa,NY34B
sofa,lounge,NY34B
sofa,lounge,NY34C
sofa,sofas,NY34C
sofa,lounge,NY34C
sofa,te‰Û_te,NY34D!
sofa,davenport,NY34D!
sofa,sofa,NY34D!
sofa,sofa,NY35A
sofa,sofa,NY35B
sofa,sofa,NY35C!
sofa,sofa,NY36A
sofa,sofa,NY36B
sofa,sofa,NY37A
sofa,sofa,NY37B
sofa,sofa,NY37C!
sofa,sofa,NY38A
sofa,te‰Û_te,NY38B
sofa,sofa,NY38B
sofa,sofa,NY38C
sofa,sofa,NY39A
sofa,lounge,NY39A
sofa,sofa,NY39B
sofa,sofa,NY40A
sofa,lounge,NY40A
sofa,sofa,NY40B
sofa,lounge,NY40B
sofa,sofa,NY41
sofa,sofa,NY42A
sofa,sofa,NY42B
sofa,couch,NY43A
sofa,sofa,NY43A
sofa,sofa,NY43B
sofa,te‰Û_te,NY43B
sofa,sofa,NY43C!
sofa,sofa,NY44A
sofa,te‰Û_te-aÌÏ-te‰Û_te,NY44A
sofa,sofa,NY44B
sofa,couch,NY45A
sofa,lounge,NY45B
sofa,couch,NY45C
sofa,lounge,NY45C
sofa,sofa,NY45D!
sofa,divan,NY45D!
sofa,couch,NY46A
sofa,piano,NY46A
sofa,sofa,NY46B
sofa,davenport,NY46B
sofa,te‰Û_te,NY46B
sofa,sofa,NY46B
sofa,davenport,NY46C
sofa,sofa,NY46C
sofa,couch,NY47A
sofa,lounge,NY47A
sofa,sofa,NY47A
sofa,sofa,NY47B
sofa,te‰Û_te,NY47B
sofa,lounge,NY48A
sofa,te‰Û_te,NY48A
sofa,sofas,NY48A
sofa,couch,NY48B
sofa,seat,NY48B
sofa,couches,NY48C
sofa,settee,NY48C
sofa,hair cloth,NY48C
sofa,sofa,NY48C
sofa,loveseat,NY48C
sofa,davenport,NY48C
sofa,couch,NY48D
sofa,settee,NY48D
sofa,davenport,NY48D
sofa,te‰Û_te,NY48D
sofa,wooden bench,NY49A
sofa,sofa,NY49B
sofa,couch,NY49C
sofa,davenport,NY49C
sofa,davenport,NY49C
sofa,davenport,NY49D
sofa,lounge,NY50A
sofa,couches,NY50A
sofa,couches,NY50B
sofa,davenports,NY50B
sofa,settees,NY50B
sofa,settee,NY51A
sofa,davenports,NY51A
sofa,sofa,NY51A
sofa,benches,NY51A
sofa,daybed,NY51A
sofa,couch,NY51B
sofa,sofa,NY51B
sofa,couch,NY51C
sofa,sofa,NY51D
sofa,couch,NY51D
sofa,davenport,NY51D
sofa,lounge,NY51E!
sofa,sofa,NY51E!
sofa,couch,NY51E!
sofa,couch,NY52A
sofa,sofa,NY52B
sofa,sofa,NY52C
sofa,sofa,NY53A
sofa,couch,NY53A
sofa,mohair,NY53A
sofa,sofa,NY53B!
sofa,davenport,NY53B!
sofa,couch,NY54A
sofa,davenport,NY54A
sofa,sofa,NY54B
sofa,te‰Û_te-aÌÏ-te‰Û_te,NY55A
sofa,sofa,NY55A
sofa,couch,NY55A
sofa,couch,NY55B
sofa,te‰Û_te-aÌÏ-te‰Û_te,NY55B
sofa,davenport,NY55B
sofa,couch,NY56A
sofa,benches,NY56A
sofa,te‰Û_te,NY56A
sofa,lounge,NY56B
sofa,cushions,NY56B
sofa,settees,NY56B
sofa,lounge,NY57A
sofa,davenport,NY57A
sofa,davenport,NY57B
sofa,sofa,NY57B
sofa,settee,NY57B
sofa,daybed,NY57B
sofa,couch,NY57B
sofa,couch,NY57C!
sofa,lounge,NY57C!
sofa,sofa,NY57C!
sofa,couches,NY58A
sofa,couch,NY58A
sofa,sofa,NY58B
sofa,settee,NY58B
sofa,davenport,NY58C
sofa,sofa,NY58C
sofa,sofa,NY58D!
sofa,settee,NY58D!
sofa,sofa,NY58E!
sofa,davenport,NY58F!
sofa,divan,NY58F!
sofa,empire sofa,NY58F!
sofa,sofa,NY58F!
sofa,te‰Û_te,NY59A
sofa,couch,NY59A
sofa,sofa,NY59A
sofa,lounge,NY59B
sofa,settee,NY60A
sofa,lounge,NY60A
sofa,sofa,NY60B!
sofa,lounge,NY61A
sofa,lounge,NY61B
sofa,bench,NY61B
sofa,settee,NY61B
sofa,lounge,NY62A
sofa,couch,NY62B
sofa,settee,NY62C
sofa,settee,NY62D!
sofa,couch,NY63A
sofa,davenport,NY63A
sofa,loveseat,NY63B
sofa,te‰Û_te,NY63C
sofa,sofa,NY63C
sofa,couch,NY63D!
sofa,hair cloth,NY63D!
sofa,couch,NY63D!
sofa,loveseat,NY63D!
sofa,sofa,NY63D!
sofa,lounge,NY64A
sofa,day bed,NY64A
sofa,couch,NY64B
sofa,sofa,NY64C!
sofa,lounge,NY64C!
sofa,couch,NY64C!
sofa,sofa,NJ1A
sofa,sofa,NJ1B
sofa,sofa,NJ2A
sofa,settle,NJ2A
sofa,sofa,NJ2A
sofa,sofa,NJ2B
sofa,sofa,NJ3A
sofa,sofa,NJ3B
sofa,sofa,NJ4A
sofa,sofa,NJ4B
sofa,sofa,NJ5A
sofa,sofa,NJ5B
sofa,sofa,NJ6A
sofa,sofa,NJ6B
sofa,sofa,NJ7A
sofa,sofa,NJ7B!
sofa,sofa,NJ8A
sofa,settle,NJ8A
sofa,sofa,NJ8B
sofa,sofa,NJ9A
sofa,lounge,NJ9A
sofa,sofa,NJ9B
sofa,sofa,NJ10A
sofa,lounge,NJ10B
sofa,sofa,NJ10B
sofa,sofa,NJ10C
sofa,te‰Û_te,NJ10C
sofa,sofa,NJ10D!
sofa,sofa,NJ11A
sofa,couch,NJ11B
sofa,sofa,NJ11B
sofa,sofa,NJ11C
sofa,lounge,NJ11C
sofa,te‰Û_te,NJ12A
sofa,sofa,NJ12A
sofa,sofa,NJ12B
sofa,sofa,NJ13A
sofa,sofa,NJ13B
sofa,sofa,NJ14A
sofa,sofa,NJ14B
sofa,lounge,NJ15A
sofa,sofa,NJ15A
sofa,sofa,NJ15B
sofa,sofa,NJ16A
sofa,lounge,NJ16A
sofa,sofa,NJ16B
sofa,sofa,NJ17A
sofa,lounge,NJ17B
sofa,sofa,NJ17B
sofa,sofa,NJ18A
sofa,lounge,NJ18A
sofa,sofa,NJ18B
sofa,couch,NJ18C!
