Target,Response,Informant
soot,soot,NY1
soot,soot,NY1
soot,soot,NY2A
soot,soot,NY2B
soot,soot,NY2B
soot,soot,NY2C
soot,soot,NY2C
soot,soot,NY2C
soot,soot,NY3A
soot,soot,NY3B
soot,soot,NY3C
soot,soot,NY3D
soot,soot,NY4A
soot,soot,NY4B
soot,soot,NY4C
soot,soot,NY5A
soot,soot,NY5B
soot,soot,NY5C
soot,soot,NY5D
soot,soot,NY5E
soot,soot,NY5F
soot,soot,NY5G
soot,soot,NY5H!
soot,soot,NY5I!
soot,soot,NY6A
soot,soot,NY6B
soot,soot,NY7A
soot,soot,NY7B
soot,soot,NY7C
soot,soot,NY7D
soot,soot,NY7E
soot,soot,NY7F
soot,soot,NY7G
soot,soot,NY7H
soot,soot,NY7I
soot,soot,NY7J!
soot,soot,NY7K!
soot,soot,NY7L!
soot,soot,NY7M!
soot,soot,NY8
soot,soot,NY9A
soot,soot,NY9B
soot,soot,NY9C
soot,soot,NY10A
soot,soot,NY10B!
soot,soot,NY11
soot,soot,NY12A
soot,soot,NY12A
soot,soot,NY12B
soot,soot,NY12C!
soot,soot,NY13A
soot,soot,NY13B!
soot,soot,NY14A
soot,soot,NY14B
soot,soot,NY15A
soot,soot,NY15B
soot,soot,NY16A
soot,soot,NY16B
soot,soot,NY17A
soot,soot,NY17A
soot,soot,NY17B
soot,soot,NY18A
soot,soot,NY18B
soot,soot,NY18C!
soot,soot,NY19
soot,soot,NY20A
soot,soot,NY20B
soot,soot,NY21
soot,soot,NY22
soot,soot,NY22
soot,soot,NY23A
soot,creosote,NY23B
soot,soot,NY23B
soot,soot,NY23C
soot,soot,NY24A
soot,soot,NY24B!
soot,soot,NY25A
soot,soot,NY25B
soot,soot,NY26A
soot,soot,NY26B
soot,soot,NY26C
soot,soot,NY27A
soot,soot,NY27B
soot,soot,NY27C
soot,soot,NY27C
soot,soot,NY28A
soot,soot,NY28B
soot,soot,NY28C
soot,soot,NY29A
soot,smut,NY29A
soot,soot,NY29B
soot,soot,NY29C
soot,soot,NY30A
soot,creosote,NY30B
soot,soot,NY30B
soot,smut nose,NY30B
soot,soot,NY30C
soot,soot,NY30D
soot,soot,NY30E
soot,soot,NY31A
soot,soot,NY31B
soot,soot,NY32A
soot,soot,NY32B
soot,soot,NY33A
soot,soot,NY33B
soot,soot,NY33B
soot,soot,NY33C
soot,creosote,NY33C
soot,soot,NY33C
soot,soot,NY34A
soot,soot,NY34B
soot,creosote,NY34B
soot,creosote,NY34B
soot,soot,NY34C
soot,soot,NY34D!
soot,soot,NY35A
soot,soot,NY35B
soot,soot,NY35C!
soot,soot,NY36A
soot,soot,NY36B
soot,soot,NY37A
soot,soot,NY37B
soot,soot,NY37C!
soot,soot,NY38A
soot,soot,NY38B
soot,soot,NY38B
soot,soot,NY38C
soot,soot,NY39A
soot,soot,NY39B
soot,soot,NY40A
soot,soot,NY40A
soot,soot,NY40B
soot,soot,NY41
soot,soot,NY42A
soot,soot,NY42B
soot,soot,NY43A
soot,soot,NY43B
soot,soot,NY43B
soot,soot,NY43C!
soot,soot,NY44A
soot,soot,NY44B
soot,soot,NY44B
soot,soot,NY45A
soot,soot,NY45B
soot,soot,NY45C
soot,soot,NY45D!
soot,soot,NY45D!
soot,soot,NY46A
soot,soot,NY46B
soot,soot,NY46C
soot,creosote,NY47A
soot,soot,NY47A
soot,soot,NY47A
soot,soot,NY47B
soot,soot,NY48A
soot,creosote,NY48A
soot,soot,NY48B
soot,soot,NY48C
soot,soot,NY48C
soot,soot,NY48D
soot,soot,NY49A
soot,soot,NY49B
soot,soot,NY49C
soot,soot,NY49D
soot,soot,NY49D
soot,soot,NY50A
soot,soot,NY50A
soot,soot,NY50A
soot,soot,NY50B
soot,creosote,NY51A
soot,soot,NY51A
soot,soot,NY51B
soot,soot,NY51C
soot,creosote,NY51C
soot,soot,NY51C
soot,creosote,NY51D
soot,soot,NY51D
soot,soot,NY51E!
soot,soot,NY52A
soot,creosote,NY52A
soot,soot,NY52B
soot,soot,NY52C
soot,soot,NY53A
soot,soot,NY53B!
soot,soot,NY54A
soot,soot,NY54B
soot,soot,NY55A
soot,soot,NY55B
soot,soot,NY56A
soot,soot,NY56B
soot,soot,NY57A
soot,soot,NY57A
soot,creosote,NY57B
soot,soot,NY57B
soot,soot,NY57C!
soot,soot,NY58A
soot,soot,NY58A
soot,soot,NY58B
soot,creosote,NY58B
soot,soot,NY58C
soot,soot,NY58D!
soot,soot,NY58E!
soot,soot,NY58F!
soot,soot,NY59A
soot,soot,NY59B
soot,soot,NY60A
soot,soot,NY60B!
soot,soot,NY61A
