Target,Response,Informant
southeast wind,,NY1
southeast wind,,NY2A
southeast wind,,NY2B
southeast wind,,NY2C
southeast wind,southeaster,NY3A
southeast wind,southeaster,NY3B
southeast wind,southeaster,NY3C
southeast wind,southeaster,NY3D
southeast wind,southeaster,NY4A
southeast wind,southeaster,NY4B
southeast wind,southeast wind,NY4C
southeast wind,southeast wind,NY5A
southeast wind,southeast,NY5B
southeast wind,southeast wind,NY5C
southeast wind,southeast wind,NY5D
southeast wind,southeast wind,NY5E
southeast wind,southeast,NY5F
southeast wind,southeast wind,NY5G
southeast wind,southeast wind,NY5H!
southeast wind,southeast wind,NY5I!
southeast wind,southeaster,NY5I!
southeast wind,southeaster,NY6A
southeast wind,southeast wind,NY6B
southeast wind,southeast,NY7A
southeast wind,southeast,NY7B
southeast wind,southeast wind,NY7C
southeast wind,southeast wind,NY7D
southeast wind,southeast wind,NY7E
southeast wind,southeast wind,NY7F
southeast wind,southeast wind,NY7G
southeast wind,southeast,NY7H
southeast wind,southeast wind,NY7I
southeast wind,southeast wind,NY7J!
southeast wind,southeast wind,NY7K!
southeast wind,southeast wind,NY7L!
southeast wind,southeaster,NY7M!
southeast wind,southeast wind,NY7M!
southeast wind,southeast wind,NY8
southeast wind,southeast wind,NY9A
southeast wind,southeast wind,NY9B
southeast wind,southeast,NY9C
southeast wind,southeast,NY10A
southeast wind,southeast wind,NY10B!
southeast wind,southeast,NY11
southeast wind,southeast,NY12A
southeast wind,southeast,NY12B
southeast wind,southeast wind,NY12C!
southeast wind,southeast,NY13A
southeast wind,southeast,NY13B!
southeast wind,southeast,NY14A
southeast wind,southeast wind,NY14B
southeast wind,southeast,NY15A
southeast wind,southeast wind,NY15B
southeast wind,southeast wind,NY16A
southeast wind,southeast wind,NY16B
southeast wind,southeast wind,NY17A
southeast wind,southeast,NY17B
southeast wind,southeast,NY18A
southeast wind,southeast wind,NY18B
southeast wind,southeast,NY18C!
southeast wind,southeast,NY19
southeast wind,southeast,NY20A
southeast wind,southeast wind,NY20B
southeast wind,southeast,NY21
southeast wind,southeast wind,NY22
southeast wind,,NY23A
southeast wind,southeast wind,NY23B
southeast wind,southeast wind,NY23C
southeast wind,southeaster,NY23C
southeast wind,southeast wind,NY24A
southeast wind,southeast,NY24B!
southeast wind,southeast wind,NY25A
southeast wind,southeast wind,NY25B
southeast wind,southeast wind,NY26A
southeast wind,southeast wind,NY26B
southeast wind,,NY26C
southeast wind,southeast wind,NY27A
southeast wind,,NY27B
southeast wind,southeaster,NY27C
southeast wind,southeast wind,NY28A
southeast wind,southeast wind,NY28B
southeast wind,,NY28C
southeast wind,southeast wind,NY29A
southeast wind,southeast wind,NY29B
southeast wind,southeaster,NY29C
southeast wind,southeast wind,NY30A
southeast wind,southeast wind,NY30B
southeast wind,,NY30C
southeast wind,,NY30D
southeast wind,southeaster,NY30E
southeast wind,southeaster,NY30E
southeast wind,a east wind,NY31A
southeast wind,southeast wind,NY31A
southeast wind,southeast wind,NY31B
southeast wind,southeast wind,NY32A
southeast wind,southeast wind,NY32B
southeast wind,,NY33A
southeast wind,southeast wind,NY33B
southeast wind,southeast wind,NY33C
southeast wind,southeast wind,NY34A
southeast wind,southeast,NY34A
southeast wind,,NY34B
southeast wind,,NY34C
southeast wind,southeast wind,NY34D!
southeast wind,southeaster,NY34D!
southeast wind,southeast wind,NY35A
southeast wind,southeast wind,NY35B
southeast wind,,NY35C!
southeast wind,southeast wind,NY36A
southeast wind,southeast,NY36B
southeast wind,southeast,NY37A
southeast wind,southeast,NY37B
southeast wind,southeast,NY37C!
southeast wind,southeast,NY38A
southeast wind,southeast,NY38B
southeast wind,,NY38C
southeast wind,southeast wind,NY39A
southeast wind,southeast,NY39B
southeast wind,southeast,NY40A
southeast wind,southeast,NY40B
southeast wind,southeast,NY41
southeast wind,southeast wind,NY42A
southeast wind,southeast,NY42B
southeast wind,,NY43A
southeast wind,southeast wind,NY43B
southeast wind,southeast wind,NY43C!
southeast wind,southeast,NY44A
southeast wind,southeast,NY44B
southeast wind,southeast wind,NY45A
southeast wind,,NY45B
southeast wind,,NY45C
southeast wind,southeast wind,NY45D!
southeast wind,southeast,NY46A
southeast wind,,NY46B
southeast wind,,NY46C
southeast wind,southeast wind,NY47A
southeast wind,southeast,NY47B
southeast wind,southeast wind,NY48A
southeast wind,southeaster,NY48A
southeast wind,,NY48B
southeast wind,southeast wind,NY48C
southeast wind,southeast wind,NY48D
southeast wind,,NY49A
southeast wind,,NY49B
southeast wind,southeast wind,NY49C
southeast wind,southeast,NY49D
southeast wind,east breeze,NY49D
southeast wind,southeast wind,NY50A
southeast wind,southeast,NY50A
southeast wind,southeast wind,NY50B
southeast wind,an east wind,NY50B
southeast wind,southeast wind,NY51A
southeast wind,southeast wind,NY51B
southeast wind,,NY51C
southeast wind,,NY51D
southeast wind,,NY51E!
southeast wind,southeast wind,NY52A
southeast wind,,NY52B
southeast wind,southeast wind,NY52C
southeast wind,southeast wind,NY53A
southeast wind,southeast wind,NY53B!
southeast wind,southeast,NY54A
southeast wind,southeast wind,NY54B
southeast wind,southeast wind,NY55A
southeast wind,southeaster,NY55B
southeast wind,southeast wind,NY56A
southeast wind,southeast,NY56B
southeast wind,an east wind,NY56B
southeast wind,southeast,NY57A
southeast wind,,NY57B
southeast wind,southeast,NY57C!
southeast wind,southeast wind,NY58A
southeast wind,southeast,NY58B
southeast wind,southeast,NY58B
southeast wind,,NY58C
southeast wind,southeast wind,NY58D!
southeast wind,southeast wind,NY58E!
southeast wind,,NY58F!
southeast wind,southeast wind,NY59A
southeast wind,southeast wind,NY59B
southeast wind,southeast wind,NY60A
southeast wind,southeast wind,NY60B!
southeast wind,southeast winds,NY61A
southeast wind,east winds,NY61A
southeast wind,southeasters,NY61A
southeast wind,southeast wind,NY61B
southeast wind,an eastern storm,NY62A
southeast wind,southeast,NY62A
southeast wind,southeast,NY62B
southeast wind,southeast wind,NY62C
southeast wind,southeast wind,NY62D!
southeast wind,southeast wind,NY63A
southeast wind,southeast wind,NY63B
southeast wind,southeast wind,NY63C
southeast wind,southeast wind,NY63D!
southeast wind,southeast,NY64A
southeast wind,southeast,NY64A
southeast wind,southeast wind,NY64B
southeast wind,southeast wind,NY64C!
southeast wind,southeaster,NJ1A
southeast wind,southeaster,NJ1B
southeast wind,southeaster,NJ2A
southeast wind,southeaster,NJ2B
southeast wind,southeaster,NJ3A
southeast wind,southeaster,NJ3B
southeast wind,southeaster,NJ4A
southeast wind,southeaster,NJ4B
southeast wind,southeaster,NJ5A
southeast wind,southeaster,NJ5B
southeast wind,southeaster,NJ6A
southeast wind,southeaster,NJ6B
southeast wind,southeaster,NJ7A
southeast wind,southeast wind,NJ7B!
southeast wind,southeaster,NJ8A
southeast wind,southeaster,NJ8B
southeast wind,southeast,NJ9A
southeast wind,southeast wind,NJ9B
southeast wind,southeaster,NJ10A
southeast wind,southeast,NJ10B
southeast wind,southeast,NJ10C
southeast wind,southeast wind,NJ10D!
southeast wind,southeast,NJ11A
southeast wind,southeast,NJ11B
southeast wind,southeast wind,NJ11C
southeast wind,southeast wind,NJ12A
southeast wind,southeast,NJ12B
southeast wind,southeast wind,NJ13A
southeast wind,southeast,NJ13B
southeast wind,southeast wind,NJ14A
southeast wind,southeast,NJ14B
southeast wind,southeast,NJ15A
southeast wind,southeast wind,NJ15B
southeast wind,southeast,NJ16A
southeast wind,southeast wind,NJ16B
southeast wind,southeast,NJ17A
southeast wind,southeast wind,NJ17B
southeast wind,southeast,NJ18A
southeast wind,southeast wind,NJ18B
southeast wind,southeast wind,NJ18C!
southeast wind,southeast,NJ18D!
southeast wind,southeast wind,NJ19A
southeast wind,southeast,NJ19B!
southeast wind,southeast,NJ20A
southeast wind,southeast,NJ20B
southeast wind,southeast wind,NJ21A
southeast wind,,NJ21B
southeast wind,southeast wind,PA1A
southeast wind,southeast wind,PA1B
southeast wind,southeast wind,PA1C
southeast wind,southeast wind,PA1D
southeast wind,southeast wind,PA1E!
southeast wind,southeast wind,PA1F!
southeast wind,southeast wind,PA1G!
southeast wind,southeaster,PA1H!
southeast wind,southeast,PA2A
southeast wind,southeast wind,PA2B
southeast wind,,PA3A
southeast wind,southeast wind,PA3B
southeast wind,southeast wind,PA3C
southeast wind,southeast wind,PA4A
southeast wind,southeast wind,PA4B!
southeast wind,southeast,PA5A
southeast wind,southeast wind,PA5B
southeast wind,southeast wind,PA5C
southeast wind,southeast wind,PA5D
southeast wind,southeast,PA5E!
southeast wind,southeast,PA6A
southeast wind,southeast,PA6B
southeast wind,southeast,PA6C
southeast wind,southeast,PA6D!
southeast wind,southeast wind,PA7A
southeast wind,southeast wind,PA7B
southeast wind,southeast,PA7C
southeast wind,southeast wind,PA7D!
southeast wind,southeast,PA8A
southeast wind,southeast wind,PA8B
southeast wind,southeast wind,PA8C
southeast wind,southeast wind,PA8D!
southeast wind,southeast,PA9A
southeast wind,southeast,PA9B
southeast wind,southeast wind,PA9C!
southeast wind,southeast wind,PA10
southeast wind,southeast,PA11A
southeast wind,southeast,PA11B
southeast wind,southeast,PA12A
southeast wind,southeast wind,PA12B
southeast wind,southeast,PA13A
southeast wind,southeast,PA13B
southeast wind,southeast wind,PA14A
southeast wind,southeast wind,PA14B
southeast wind,,PA14C
southeast wind,southeast,PA15A
southeast wind,southeast wind,PA15B
southeast wind,southeast,PA15C!
southeast wind,southeast wind,PA16A
southeast wind,southeast,PA16B
southeast wind,,PA16C
southeast wind,southeast wind,PA17A
southeast wind,southeast wind,PA17B
southeast wind,southeast,PA18A
southeast wind,southeast,PA18B!
southeast wind,southeast wind,PA19A
southeast wind,southeast wind,PA19B
southeast wind,southeast wind,PA20A
southeast wind,southeast wind,PA20B
southeast wind,southeast,PA21A
southeast wind,southeast wind,PA21B
southeast wind,southeast wind,PA22A
southeast wind,southeast,PA22B
southeast wind,southeast wind,PA23A
southeast wind,southeast wind,PA23B
southeast wind,southeast,PA24A
southeast wind,southeast,PA24B
southeast wind,southeast wind,PA25A
southeast wind,,PA25B
southeast wind,southeast wind,PA26A
southeast wind,southeast wind,PA26B
southeast wind,southeast,PA27A
southeast wind,southeast,PA27B
southeast wind,southeast,PA28A
southeast wind,southeast,PA28B!
southeast wind,southeast,PA29A
southeast wind,,PA29B
southeast wind,southeast,PA30A
southeast wind,southeast,PA30B
southeast wind,southeast,PA31A
southeast wind,southeast,PA31B
southeast wind,southeast wind,PA32A
southeast wind,southeast wind,PA32B
southeast wind,southeast,PA33A
southeast wind,southeast wind,PA33B
southeast wind,southeast,PA34A
southeast wind,southeast,PA34B
southeast wind,,PA34C!
southeast wind,southeast,PA35A
southeast wind,southeast wind,PA35B
southeast wind,,PA35C
southeast wind,southeast,PA36A
southeast wind,southeast,PA36B
southeast wind,southeast wind,PA37A
southeast wind,southeast,PA37B
southeast wind,,PA37C
southeast wind,southeast,PA38A
southeast wind,southeast,PA38B
southeast wind,,PA39A
southeast wind,southeast wind,PA39B
southeast wind,,PA40A
southeast wind,southeast wind,PA40B
southeast wind,southeast wind,PA41A
southeast wind,southeast wind,PA41B
southeast wind,southeast,PA42A
southeast wind,southeast wind,PA42B
southeast wind,southeast wind,PA43A
southeast wind,southeast,PA43B
southeast wind,southeast wind,PA44A
southeast wind,southeast wind,PA44B
southeast wind,southeast wind,PA45A
southeast wind,southeast,PA45B
southeast wind,southeast wind,PA46A
southeast wind,southeast wind,PA46B
southeast wind,southeast,PA47A
southeast wind,southeast wind,PA47B
southeast wind,southeast,PA48A
southeast wind,southeast wind,PA48B
southeast wind,southeast wind,PA48C
southeast wind,southeast wind,PA49A
southeast wind,southeast wind,PA49B
southeast wind,,PA50A
southeast wind,southeast wind,PA50B
southeast wind,southeast,PA50C!
southeast wind,southeast wind,PA51A
southeast wind,southeast wind,PA51B
southeast wind,southeast wind,PA52A
southeast wind,southeast,PA52B!
southeast wind,southeast wind,PA53A
southeast wind,southeast wind,PA53B
southeast wind,,PA54A
southeast wind,southeast,PA54B
southeast wind,southeast,PA55A
southeast wind,southeast wind,PA55B
southeast wind,southeast,PA56A
southeast wind,southeast,PA56B
southeast wind,southeast wind,PA57A
southeast wind,southeast wind,PA57B
southeast wind,southeast wind,PA58A
southeast wind,southeast wind,PA58B
southeast wind,southeast wind,PA59A
southeast wind,southeast,PA59B
southeast wind,southeast,PA60A
southeast wind,southeast wind,PA60B
southeast wind,southeast,PA61A
southeast wind,southeast,PA61B
southeast wind,southeast wind,PA62A
southeast wind,southeast,PA62B
southeast wind,southeast,PA63A
southeast wind,southeast,PA63B
southeast wind,southeast,PA64A
southeast wind,southeast,PA64B
southeast wind,southeast wind,PA65A
southeast wind,southeast wind,PA65B
southeast wind,southeast,PA66A
southeast wind,southeast,PA66B
southeast wind,southeast,PA67A
southeast wind,southeast wind,PA67B
southeast wind,southeast wind,WV1!
southeast wind,southeast,WV2
southeast wind,southeast wind,WV3
southeast wind,southeast wind,WV4A
southeast wind,southeast wind,WV4B
southeast wind,southeast wind,WV5
southeast wind,southeast wind,WV6A
southeast wind,southeast wind,WV6B
southeast wind,southeast wind,WV7A
southeast wind,southeast wind,WV7B
southeast wind,southeast,WV8A
southeast wind,southeast,WV8B
southeast wind,southeast wind,WV9A
southeast wind,southeast wind,WV9B
southeast wind,southeast,WV10A
southeast wind,southeast wind,WV10B
southeast wind,southeast wind,WV10C
southeast wind,southeast,WV11A
southeast wind,southeast,WV11B!
southeast wind,southeast,WV12A
southeast wind,southeast,WV12B
southeast wind,southeast wind,WV13A
southeast wind,southeast,WV13B
southeast wind,southeast wind,WV14A
southeast wind,southeast wind,WV14B
southeast wind,southeast wind,WV15A
southeast wind,southeast,WV15B
southeast wind,southeast,WV16A
southeast wind,southeast,WV16B
southeast wind,,WV17A
southeast wind,southeast,WV17B
southeast wind,southeast,WV17C
southeast wind,southeast,WV18A
southeast wind,southeast,WV18B
southeast wind,southeast,WV19A
southeast wind,southeast wind,WV19B
southeast wind,southeast wind,WV20A
southeast wind,southeast wind,WV20B
southeast wind,southeast wind,WV21A
southeast wind,southeast wind,WV21B
southeast wind,southeast wind,WV22A
southeast wind,southeast wind,WV22B
southeast wind,southeast wind,WV23A
southeast wind,southeast wind,WV23B
southeast wind,southeast wind,WV24A
southeast wind,southeast,WV24B
southeast wind,southeast wind,WV25A
southeast wind,southeast wind,WV25B
southeast wind,southeast wind,WV26A
southeast wind,southeast,WV26B
southeast wind,southeast wind,WV27A
southeast wind,southeast wind,WV27B
southeast wind,southeast,WV28A
southeast wind,southeast wind,WV28B
southeast wind,southeast wind,WV29A
southeast wind,southeast,WV29B
southeast wind,southeast wind,WV30A
southeast wind,southeast wind,WV30B
southeast wind,southeast,WV31A
southeast wind,southeast wind,WV31B
southeast wind,southeast wind,WV32A
southeast wind,southeast,WV32B
southeast wind,southeast,WV33A
southeast wind,southeast wind,WV33B
southeast wind,southeast wind,WV34A
southeast wind,southeast,WV34B
southeast wind,southeast wind,WV35A
southeast wind,southeast wind,WV35B
southeast wind,southeast wind,WV36A
southeast wind,southeast wind,WV36B
southeast wind,southeast,WV37A
southeast wind,southeast wind,WV37B!
southeast wind,southeast wind,WV38A
southeast wind,southeast wind,WV38B
southeast wind,southeast wind,WV39A
southeast wind,southeast wind,WV39B
southeast wind,southeast wind,WV39C!
southeast wind,southeast wind,WV40A
southeast wind,southeast wind,WV40B
southeast wind,southeast wind,WV41A
southeast wind,southeast,WV41B
southeast wind,southeast wind,WV42A
southeast wind,southeast wind,WV42B
southeast wind,southeast wind,WV43A
southeast wind,,WV43B
southeast wind,southeast wind,WV44A
southeast wind,southeast wind,WV44B
southeast wind,southeast,WV45A
southeast wind,southeast wind,WV45B
southeast wind,southeast wind,WV46A
southeast wind,southeast wind,WV46B
southeast wind,southeast wind,WV47A
southeast wind,southeast wind,WV47B
southeast wind,southeast wind,WV48A
southeast wind,,WV48B
southeast wind,,WV48C
southeast wind,southeast,WV48D
southeast wind,southeast wind,WV49A
southeast wind,southeast,WV49B
southeast wind,southeast wind,WV50A
southeast wind,southeast wind,WV50B
southeast wind,southeast,WV51A
southeast wind,southeast,WV51B
southeast wind,southeast,WV52A
southeast wind,southeast,WV52B
southeast wind,southeast wind,WV52C!
southeast wind,southeast,WV53A
southeast wind,,WV53B
southeast wind,southeast wind,WV53C!
southeast wind,southeast,WV54A
southeast wind,southeast,WV54B
southeast wind,southeaster,DE1A
southeast wind,southeaster,DE1B
southeast wind,southeaster,DE1C!
southeast wind,southeast wind,DE2A
southeast wind,southeast wind,DE2B
southeast wind,,DE2C
southeast wind,southeaster,DE3A
southeast wind,southeaster,DE3B
southeast wind,southeaster,DE3C!
southeast wind,southeaster,DE4
southeast wind,southeaster,DE5A
southeast wind,southeaster,DE5B
southeast wind,southeast wind,DE6A
southeast wind,southeaster,DE6B
southeast wind,southeast wind,MD1A
southeast wind,southeast wind,MD1B
southeast wind,southeaster,MD2A
southeast wind,southeaster,MD2B
southeast wind,southeaster,MD3A
southeast wind,southeast wind,MD3B
southeast wind,southeaster,MD4A
southeast wind,southeaster,MD4B
southeast wind,southeast wind,MD4C
southeast wind,southeaster,MD5A
southeast wind,southeaster,MD5B
southeast wind,southeaster,MD6A
southeast wind,southeaster,MD6B
southeast wind,southeaster,MD7A
southeast wind,southeaster,MD7B
southeast wind,southeaster,MD7C!
southeast wind,southeaster,MD8A
southeast wind,southeaster,MD8B
southeast wind,southeaster,MD9N
southeast wind,southeaster,MD9A
southeast wind,southeaster,MD9B
southeast wind,southeast,MD10A
southeast wind,southeast,MD10B
southeast wind,southeast wind,MD11
southeast wind,southeast wind,MD12A
southeast wind,southeast wind,MD12B
southeast wind,southeast wind,MD13A
southeast wind,southeast wind,MD13B
southeast wind,southeaster,MD13C
southeast wind,southeast wind,MD13D!
southeast wind,southeast wind,MD13E!
southeast wind,southeast wind,MD13F!
southeast wind,,MD13G
southeast wind,southeast wind,MD14
southeast wind,southeast wind,MD15A
southeast wind,southeast wind,MD15B
southeast wind,southeast wind,MD16
southeast wind,southeast wind,MD17A
southeast wind,southeast wind,MD17B
southeast wind,southeast wind,MD18A
southeast wind,southeast wind,MD18B
southeast wind,southeaster,MD19A
southeast wind,southeast,MD19B
southeast wind,southeaster,MD20A
southeast wind,southeaster,MD20B
southeast wind,southeaster,MD20C!
southeast wind,southeaster,MD21A
southeast wind,southeaster,MD21B
southeast wind,,MD22N
southeast wind,southeaster,MD22M
southeast wind,southeaster,MD22A
southeast wind,southeaster,MD22B
southeast wind,southeast wind,MD22C!
southeast wind,southeaster,MD23A
southeast wind,,MD23B
southeast wind,southeast wind,MD23C
southeast wind,southeaster,MD24
southeast wind,southeast wind,MD25
southeast wind,southeast wind,MD26A
southeast wind,,MD26B
southeast wind,southeast wind,MD27A
southeast wind,southeast wind,MD27B
southeast wind,southeast wind,DC1A
southeast wind,southeast,DC1B!
southeast wind,southeast,VA1!
southeast wind,southeast wind,VA2A
southeast wind,southeaster,VA2B
southeast wind,southeast wind,VA3A
southeast wind,southeast wind,VA3B
southeast wind,,VA3C
southeast wind,southeast wind,VA4N
