Target,Response,Informant
southwest wind,,NY1
southwest wind,,NY2A
southwest wind,,NY2B
southwest wind,,NY2C
southwest wind,southwester,NY3A
southwest wind,southwester,NY3B
southwest wind,southwester,NY3C
southwest wind,southwester,NY3D
southwest wind,southwester,NY4A
southwest wind,southwest,NY4B
southwest wind,southwester,NY4B
southwest wind,southwest wind,NY4C
southwest wind,southwest wind,NY5A
southwest wind,southwest wind,NY5B
southwest wind,southwest wind,NY5C
southwest wind,southwest wind,NY5D
southwest wind,southwest wind,NY5E
southwest wind,southwest wind,NY5F
southwest wind,southwest wind,NY5G
southwest wind,southwest wind,NY5H!
southwest wind,southwester,NY5I!
southwest wind,southwest wind,NY5I!
southwest wind,southwester,NY6A
southwest wind,southwest wind,NY6B
southwest wind,southwest,NY7A
southwest wind,southwest,NY7B
southwest wind,southwest wind,NY7C
southwest wind,southwest wind,NY7D
southwest wind,southwest wind,NY7E
southwest wind,southwest wind,NY7F
southwest wind,southwest wind,NY7G
southwest wind,southwest,NY7H
southwest wind,southwest wind,NY7I
southwest wind,southwest wind,NY7J!
southwest wind,southwest wind,NY7K!
southwest wind,southwest wind,NY7L!
southwest wind,southwest wind,NY7M!
southwest wind,southwester,NY7M!
southwest wind,southwest wind,NY8
southwest wind,southwest wind,NY9A
southwest wind,southwest wind,NY9B
southwest wind,southwest,NY9C
southwest wind,southwest,NY10A
southwest wind,southwest wind,NY10B!
southwest wind,southwest wind,NY11
southwest wind,southwest wind,NY12A
southwest wind,southwest wind,NY12B
southwest wind,southwest wind,NY12C!
southwest wind,southwest wind,NY13A
southwest wind,southwest wind,NY13B!
southwest wind,southwest wind,NY14A
southwest wind,southwest wind,NY14B
southwest wind,southwest wind,NY15A
southwest wind,southwest wind,NY15B
southwest wind,southwest wind,NY16A
southwest wind,southwest wind,NY16B
southwest wind,southwest wind,NY17A
southwest wind,southwest wind,NY17B
southwest wind,southwest wind,NY18A
southwest wind,southwest wind,NY18B
southwest wind,southwest wind,NY18C!
southwest wind,southwest,NY19
southwest wind,southwest,NY20A
southwest wind,southwest wind,NY20B
southwest wind,southwest wind,NY21
southwest wind,southwest wind,NY22
southwest wind,,NY23A
southwest wind,southwest wind,NY23B
southwest wind,southwest wind,NY23C
southwest wind,southwest wind,NY24A
southwest wind,southwest wind,NY24B!
southwest wind,southwest wind,NY25A
southwest wind,southwest wind,NY25B
southwest wind,southwest wind,NY26A
southwest wind,southwest wind,NY26B
southwest wind,,NY26C
southwest wind,southwest wind,NY27A
southwest wind,,NY27B
southwest wind,southwest wind,NY27C
southwest wind,southwest wind,NY28A
southwest wind,southwest wind,NY28B
southwest wind,,NY28C
southwest wind,southwest wind,NY29A
southwest wind,southwest wind,NY29B
southwest wind,southwester,NY29C
southwest wind,southwest wind,NY30A
southwest wind,southwest,NY30A
southwest wind,western wind,NY30B
southwest wind,southwest wind,NY30B
southwest wind,,NY30C
southwest wind,,NY30D
southwest wind,southwest,NY30E
southwest wind,southwest wind,NY30E
southwest wind,southwester,NY30E
southwest wind,southwest wind,NY31A
southwest wind,southwest wind,NY31B
southwest wind,southwest wind,NY32A
southwest wind,southwest wind,NY32B
southwest wind,southwest,NY32B
southwest wind,,NY33A
southwest wind,southwest wind,NY33B
southwest wind,southwest wind,NY33C
southwest wind,southwest,NY34A
southwest wind,,NY34B
southwest wind,,NY34C
southwest wind,southwest wind,NY34D!
southwest wind,southwester,NY34D!
southwest wind,southwest wind,NY35A
southwest wind,southwest wind,NY35B
southwest wind,,NY35C!
southwest wind,southwest wind,NY36A
southwest wind,southwest wind,NY36B
southwest wind,southwest,NY37A
southwest wind,southwest wind,NY37B
southwest wind,southwest wind,NY37C!
southwest wind,southwest wind,NY38A
southwest wind,southwest wind,NY38B
southwest wind,,NY38C
southwest wind,southwest wind,NY39A
southwest wind,southwest wind,NY39B
southwest wind,southwest wind,NY40A
southwest wind,southwest wind,NY40B
southwest wind,southwest wind,NY41
southwest wind,southwest wind,NY42A
southwest wind,southwest,NY42B
southwest wind,,NY43A
southwest wind,southwest wind,NY43B
southwest wind,southwest wind,NY43C!
southwest wind,southwest wind,NY44A
southwest wind,southwest wind,NY44B
southwest wind,southwest wind,NY45A
southwest wind,,NY45B
southwest wind,,NY45C
southwest wind,southwest wind,NY45D!
southwest wind,southwest wind,NY46A
southwest wind,,NY46B
southwest wind,,NY46C
southwest wind,southwest wind,NY47A
southwest wind,southwest wind,NY47B
southwest wind,southwest wind,NY48A
southwest wind,,NY48B
southwest wind,southwest,NY48C
southwest wind,southwest wind,NY48D
southwest wind,,NY49A
southwest wind,,NY49B
southwest wind,southwest wind,NY49C
southwest wind,west wind,NY49C
southwest wind,southwesterly,NY49C
southwest wind,southwest,NY49D
southwest wind,southwest wind,NY50A
southwest wind,southwest,NY50B
southwest wind,southwest wind,NY51A
southwest wind,southwest wind,NY51B
southwest wind,west storm,NY51B
southwest wind,southwest,NY51B
southwest wind,,NY51C
southwest wind,,NY51D
southwest wind,,NY51E!
southwest wind,southwest,NY52A
southwest wind,,NY52B
southwest wind,southwest wind,NY52C
southwest wind,west wind,NY52C
southwest wind,southwest wind,NY53A
southwest wind,southwest wind,NY53B!
southwest wind,southwest,NY54A
southwest wind,southwest wind,NY54B
southwest wind,southwest wind,NY55A
southwest wind,southwest wind,NY55B
southwest wind,southwest wind,NY56A
southwest wind,southwest wind,NY56B
southwest wind,,NY57A
southwest wind,,NY57B
southwest wind,southwest wind,NY57C!
southwest wind,southwest wind,NY58A
southwest wind,southwest wind,NY58B
southwest wind,southwest,NY58B
southwest wind,,NY58C
southwest wind,heavy west wind,NY58D!
southwest wind,southwest wind,NY58D!
southwest wind,southwester,NY58E!
southwest wind,southwest,NY58E!
southwest wind,,NY58F!
southwest wind,southwest wind,NY59A
southwest wind,southwest wind,NY59B
southwest wind,southwest wind,NY60A
southwest wind,southwester,NY60B!
southwest wind,southwest,NY61A
southwest wind,southwest wind,NY61B
southwest wind,southwest wind,NY62A
southwest wind,southwest wind,NY62B
southwest wind,westerly wind,NY62C
southwest wind,southwest wind,NY62C
southwest wind,southwest gale,NY62D!
southwest wind,southwest wind,NY63A
southwest wind,southwest wind,NY63B
southwest wind,southwest wind,NY63C
