Target,Response,Informant
spoiled,spoiled,NY1
spoiled,spoilt,NY2A
spoiled,spoilt,NY2B
spoiled,spoiled,NY2B
spoiled,spoiled,NY2C
spoiled,spoiled,NY3B
spoiled,spoiled,NY3C
spoiled,spoiled,NY3D
spoiled,spoilt,NY4A
spoiled,spoilt,NY4A
spoiled,rusty,NY4B
spoiled,spoilt,NY4B
spoiled,spoilt,NY4C
spoiled,spoiled,NY5A
spoiled,spoiled,NY5B
spoiled,tainted,NY5B
spoiled,spoiled,NY5C
spoiled,spoiled,NY5D
spoiled,spoiled,NY5E
spoiled,spoilt,NY5F
spoiled,spoiled,NY5G
spoiled,spoilt,NY5H!
spoiled,spoiled,NY5I!
spoiled,lean of pork,NY6A
spoiled,spoilt,NY6A
spoiled,spoiled,NY6B
spoiled,went bad,NY7A
spoiled,spoilt,NY7A
spoiled,spoiled,NY7B
spoiled,spoiled,NY7C
spoiled,spoiled,NY7D
spoiled,spoiled,NY7E
spoiled,spoiled,NY7F
spoiled,spoiled,NY7G
spoiled,tainted,NY7H
spoiled,spoiled,NY7H
spoiled,tainted,NY7H
spoiled,spoiled,NY7I
spoiled,spoiled,NY7J!
spoiled,spoiled,NY7K!
spoiled,spoilt,NY7L!
spoiled,spoiled,NY7M!
spoiled,spoiled,NY8
spoiled,spoiled,NY9A
spoiled,spoiled,NY9B
spoiled,spoilt,NY9B
spoiled,spoilt,NY9C
spoiled,spoilt,NY10A
spoiled,spoiled,NY10B!
spoiled,spoiled,NY11
spoiled,spoiled,NY12A
spoiled,spoilt,NY12A
spoiled,spoiled,NY12B
spoiled,spoiled,NY12C!
spoiled,spoilt,NY13A
spoiled,spoiled,NY13B!
spoiled,spoiled,NY14A
spoiled,spoiled,NY14B
spoiled,spoilt,NY15A
spoiled,spoilt,NY15A
spoiled,spoiled,NY15B
spoiled,spoilt,NY16A
spoiled,spoiled,NY16B
spoiled,spoiled,NY17A
spoiled,spoilt,NY17A
spoiled,spoiled,NY17B
spoiled,spoilt,NY18A
spoiled,tainted,NY18A
spoiled,spoiled,NY18B
spoiled,spoiled,NY18C!
spoiled,spoiled,NY19
spoiled,spoiled,NY20A
spoiled,spoiled,NY20B
spoiled,spoiled,NY21
spoiled,spoiled,NY22
spoiled,spoiled,NY23A
spoiled,spoilt,NY23B
spoiled,tainted,NY23B
spoiled,spoilt pork,NY23C
spoiled,spoilt,NY24A
spoiled,spoilt,NY24A
spoiled,spoiled,NY24B!
spoiled,spoiled,NY25A
spoiled,rancid,NY25B
spoiled,spoilt,NY25B
