Target,Response,Informant
St. Louis,,NY1
St. Louis,,NY2A
St. Louis,,NY2B
St. Louis,,NY2C
St. Louis,St. Louis,NY3A
St. Louis,St. Louis,NY3B
St. Louis,St. Louis,NY3C
St. Louis,St. Louis,NY3D
St. Louis,St. Louis,NY4A
St. Louis,St. Louis,NY4B
St. Louis,St. Louis,NY4C
St. Louis,St. Louis,NY5A
St. Louis,St. Louis,NY5B
St. Louis,St. Louis,NY5C
St. Louis,St. Louis,NY5D
St. Louis,St. Louis,NY5E
St. Louis,St. Louis,NY5F
St. Louis,St. Louis,NY5G
St. Louis,St. Louis,NY5H!
St. Louis,St. Louis,NY5I!
St. Louis,St. Louis,NY6A
St. Louis,St. Louis,NY6B
St. Louis,St. Louis,NY7A
St. Louis,St. Louis,NY7B
St. Louis,St. Louis,NY7C
St. Louis,St. Louis,NY7D
St. Louis,St. Louis,NY7E
St. Louis,St. Louis,NY7F
St. Louis,St. Louis,NY7G
St. Louis,St. Louis,NY7H
St. Louis,St. Louis,NY7I
St. Louis,St. Louis,NY7J!
St. Louis,St. Louis,NY7K!
St. Louis,St. Louis,NY7L!
St. Louis,St. Louis,NY7M!
St. Louis,St. Louis,NY8
St. Louis,St. Louis,NY9A
St. Louis,St. Louis,NY9B
St. Louis,St. Louis,NY9C
St. Louis,St. Louis,NY10A
St. Louis,St. Louis,NY10B!
St. Louis,St. Louis,NY11
St. Louis,St. Louis,NY12A
St. Louis,St. Louis,NY12B
St. Louis,St. Louis,NY12B
St. Louis,St. Louis,NY12C!
St. Louis,St. Louis,NY13A
St. Louis,St. Louis,NY13B!
St. Louis,St. Louis,NY14A
St. Louis,St. Louis,NY14B
St. Louis,St. Louis,NY15A
St. Louis,St. Louis,NY15B
St. Louis,St. Louis,NY16A
St. Louis,St. Louis,NY16B
St. Louis,St. Louis,NY17A
St. Louis,St. Louis,NY17B
St. Louis,St. Louis,NY18A
St. Louis,St. Louis,NY18B
St. Louis,St. Louis,NY18C!
St. Louis,St. Louis,NY19
St. Louis,St. Louis,NY20A
St. Louis,St. Louis,NY20B
St. Louis,St. Louis,NY21
St. Louis,St. Louis,NY22
St. Louis,,NY23A
