Target,Response,Informant
stairs,,NY1
stairs,,NY2A
stairs,,NY2B
stairs,,NY2C
stairs,stairs,NY3A
stairs,staircase,NY3B
stairs,stairs,NY3C
stairs,stairs,NY3D
stairs,stairs,NY4A
stairs,stairs,NY4B
stairs,stairs,NY4C
stairs,stairs,NY5A
stairs,stairs,NY5B
stairs,stairs,NY5C
stairs,stairs,NY5D
stairs,stairs,NY5E
stairs,stairs,NY5F
stairs,stairs,NY5G
stairs,stairs,NY5H!
stairs,steps,NY5H!
stairs,stairs,NY5I!
stairs,stairs,NY6A
stairs,stairs,NY6B
stairs,stairs,NY7A
stairs,stairs,NY7B
stairs,stairs,NY7C
stairs,stairway,NY7C
stairs,stairs,NY7D
stairs,stairs,NY7E
stairs,pair of stairs,NY7F
stairs,stairs,NY7G
stairs,stairs,NY7H
stairs,stairs,NY7I
stairs,stairs,NY7J!
stairs,stairs,NY7K!
stairs,stairs,NY7L!
stairs,stairs,NY7M!
stairs,stairs,NY8
stairs,stairs,NY9A
stairs,stairs,NY9B
stairs,stairs,NY9C
stairs,stairs,NY10A
stairs,stairs,NY10B!
stairs,stairs,NY11
stairs,stairs,NY12A
stairs,stairs,NY12A
stairs,stairsteps,NY12A
stairs,stairs,NY12B
stairs,stairs,NY12C!
stairs,stairsteps,NY13A
stairs,steps,NY13A
stairs,stairs,NY13B!
stairs,stairs,NY14A
stairs,stairs,NY14B
stairs,pair of stairs,NY15A
stairs,stairs,NY15B
stairs,stairs,NY16A
stairs,stairs,NY16B
stairs,stairsteps,NY17A
stairs,stairs,NY17A
stairs,stairs,NY17A
stairs,stairs,NY17B
stairs,stairs,NY18A
stairs,stairs,NY18B
stairs,stairs,NY18C!
stairs,stairs,NY19
stairs,stairs,NY20A
stairs,stairs,NY20B
stairs,stairs,NY21
stairs,stairs,NY22
stairs,stairs,NY23A
stairs,stairway,NY23B
stairs,stairs,NY23B
stairs,stairs,NY23B
stairs,ladder,NY23B
stairs,stairs,NY23C
stairs,stairs,NY24A
stairs,stairs,NY24B!
stairs,ladder,NY25A
stairs,stairs,NY25A
stairs,stairway,NY25B
stairs,stairway,NY26A
stairs,a stairs,NY26B
stairs,stairs,NY26C
stairs,ladders,NY27A
stairs,stairs,NY27A
stairs,stairs,NY27B
stairs,stairs,NY27B
stairs,stairs,NY27C
stairs,stairs,NY28A
stairs,staircase,NY28B
stairs,stairs,NY28B
stairs,stairs,NY28C
stairs,bannisters,NY28C
stairs,wooden stairs,NY29A
stairs,upstairs,NY29A
stairs,stairway,NY29B
stairs,ladder,NY29B
stairs,stairway,NY29C
stairs,stairs,NY30A
stairs,steps,NY30A
stairs,stairs,NY30B
stairs,stairway,NY30B
stairs,ladder,NY30C
stairs,stairs,NY30C
stairs,stairs,NY30D
stairs,stairway,NY30E
stairs,stairs,NY31A
stairs,stairway,NY31B
stairs,ladder,NY32A
stairs,stairway,NY32A
stairs,stairs,NY32B
stairs,stairs,NY33A
stairs,stairway,NY33B
stairs,stairway,NY33C
stairs,staircase,NY33C
stairs,stairs,NY34A
stairs,staircase,NY34B
stairs,stairs,NY34C
stairs,staircase,NY34C
stairs,stairway,NY34C
stairs,stairs,NY34D!
stairs,staircase,NY34D!
stairs,stairs,NY35A
stairs,stairs,NY35B
stairs,stairs,NY35C!
stairs,stairs,NY36A
stairs,stairs,NY36B
stairs,stairs,NY37A
stairs,stairs,NY37B
stairs,stairs,NY37C!
stairs,stairs,NY38A
stairs,stairs,NY38B
stairs,stairs,NY38C
stairs,stairs,NY39A
stairs,stairs,NY39B
stairs,stairs,NY40A
stairs,stairs,NY40B
stairs,stairs,NY41
stairs,stairs,NY42A
stairs,stairs,NY42B
stairs,stairs,NY43A
stairs,stairs,NY43B
stairs,stairs,NY43C!
stairs,stairs,NY44A
stairs,stairs,NY44B
stairs,stairs,NY45A
stairs,stairs,NY45B
stairs,stairway,NY45C
stairs,stairs,NY45D!
stairs,fan,NY45D!
stairs,staircase,NY45D!
stairs,stairs,NY46A
stairs,a stairsteps,NY46A
stairs,stairsteps,NY46A
stairs,an outside stairs,NY46A
stairs,,NY46B
stairs,stairway,NY46C
stairs,upstairs,NY46C
stairs,steps,NY46C
stairs,stairs,NY46C
stairs,stairsteps,NY47A
stairs,stairways,NY47A
stairs,steps,NY47A
stairs,stairs,NY47B
stairs,stairs,NY48A
stairs,,NY48B
stairs,staircase,NY48C
stairs,stairway,NY48C
stairs,stairway,NY48D
stairs,steps,NY49A
