Target,Response,Informant
strain the milk,strain the milk,NY1
strain the milk,strain the milk,NY2A
strain the milk,strain the milk,NY2B
strain the milk,strain the milk,NY2C
strain the milk,strain the milk,NY3A
strain the milk,strain the milk,NY3B
strain the milk,strain the milk,NY3C
strain the milk,strain the milk,NY3D
strain the milk,strain the milk,NY4A
strain the milk,strain the milk,NY4B
strain the milk,strain the milk,NY4C
strain the milk,strain the milk,NY5A
strain the milk,strain the milk,NY5B
strain the milk,strain the milk,NY5C
strain the milk,strain the milk,NY5D
strain the milk,strain the milk,NY5E
strain the milk,strain the milk,NY5F
strain the milk,strain the milk,NY5G
strain the milk,strain the milk,NY5H!
strain the milk,strain the milk,NY5I!
strain the milk,strain the milk,NY6A
strain the milk,strain the milk,NY6B
strain the milk,strain the milk,NY7A
strain the milk,strain the milk,NY7B
strain the milk,strain the milk,NY7C
strain the milk,strain the milk,NY7D
strain the milk,strain the milk,NY7E
strain the milk,strain the milk,NY7F
strain the milk,strain the milk,NY7G
strain the milk,strain the milk,NY7H
strain the milk,strain the milk,NY7I
strain the milk,strain the milk,NY7J!
strain the milk,strain the milk,NY7K!
strain the milk,strain the milk,NY7L!
strain the milk,strain the milk,NY7M!
strain the milk,strain the milk,NY8
strain the milk,strain the milk,NY9A
strain the milk,strain the milk,NY9B
strain the milk,strain the milk,NY9C
strain the milk,strain the milk,NY10A
strain the milk,strain the milk,NY10B!
strain the milk,strain the milk,NY11
strain the milk,strain the milk,NY12A
strain the milk,strain the milk,NY12A
strain the milk,strain the milk,NY12B
strain the milk,strain the milk,NY12C!
strain the milk,strain the milk,NY13A
strain the milk,strain the milk,NY13B!
strain the milk,strain the milk,NY14A
strain the milk,apple pudding,NY14A
strain the milk,strain the milk,NY14B
strain the milk,strain the milk,NY15A
strain the milk,strain the milk,NY15B
strain the milk,strain the milk,NY16A
strain the milk,strain the milk,NY16B
strain the milk,strain the milk,NY17A
strain the milk,strain the milk,NY17B
strain the milk,strain the milk,NY18A
strain the milk,strain the milk,NY18B
strain the milk,strain the milk,NY18C!
strain the milk,strain the milk,NY19
strain the milk,strain the milk,NY20A
strain the milk,strain the milk,NY20B
strain the milk,strain the milk,NY21
strain the milk,strain the milk,NY22
strain the milk,strain it,NY23A
strain the milk,strain the milk,NY23B
strain the milk,skim the cream off,NY23C
strain the milk,the milk,NY23C
strain the milk,milk was strained,NY23C
strain the milk,strained,NY23C
strain the milk,milk,NY23C
strain the milk,strain the milk,NY24A
strain the milk,strain the milk,NY24B!
strain the milk,strained the milk,NY25A
strain the milk,strain the milk,NY25B
strain the milk,strain the milk,NY25B
strain the milk,strain it,NY26A
strain the milk,milk,NY26A
strain the milk,strain the milk,NY26B
strain the milk,strained,NY26B
strain the milk,,NY26C
strain the milk,strain,NY27A
strain the milk,skim the milk,NY27B
strain the milk,strain the milk,NY27B
strain the milk,strain the milk,NY27C
strain the milk,strain the milk,NY28A
strain the milk,skim it,NY28B
strain the milk,the milk,NY28B
strain the milk,strain it,NY28B
strain the milk,,NY28C
strain the milk,strain the milk,NY29A
strain the milk,strain the milk,NY29B
strain the milk,strain the milk,NY29C
strain the milk,strain the milk,NY30A
strain the milk,milk,NY30B
strain the milk,strain the milk,NY30B
strain the milk,milking,NY30C
strain the milk,strain the milk,NY30D
strain the milk,strain the milk,NY30E
strain the milk,milk,NY31A
strain the milk,strain the milk,NY31A
strain the milk,strain it,NY31A
strain the milk,applejack,NY31A
strain the milk,strain the milk,NY31B
