Target,Response,Informant
Sunday before last,,NY1
Sunday before last,,NY2A
Sunday before last,,NY2B
Sunday before last,,NY2C
Sunday before last,Sunday before last,NY3A
Sunday before last,Sunday before last,NY3B
Sunday before last,Sunday before last,NY3C
Sunday before last,Sunday before last,NY3D
Sunday before last,Sunday before last,NY4A
Sunday before last,Sunday before last,NY4B
Sunday before last,Sunday before last,NY4C
Sunday before last,Sunday before last,NY5A
Sunday before last,Sunday before last,NY5B
Sunday before last,Sunday a week ago,NY5C
Sunday before last,Sunday before last,NY5D
Sunday before last,Sunday before last,NY5E
Sunday before last,Sunday a week ago,NY5F
Sunday before last,Sunday before last,NY5G
Sunday before last,Sunday before last,NY5H!
Sunday before last,Sunday before last,NY5I!
Sunday before last,Sunday before last,NY6A
Sunday before last,Sunday before last,NY6B
Sunday before last,Sunday before last,NY7A
Sunday before last,Sunday a week ago,NY7B
Sunday before last,Sunday before last,NY7C
Sunday before last,Sunday a week ago,NY7D
Sunday before last,Sunday a week,NY7D
Sunday before last,Sunday before last,NY7E
Sunday before last,Sunday before last,NY7F
Sunday before last,Sunday a week ago,NY7G
Sunday before last,Sunday before last,NY7H
Sunday before last,Sunday before last,NY7I
Sunday before last,Sunday before last,NY7J!
Sunday before last,Sunday a week ago,NY7K!
Sunday before last,Sunday before last,NY7L!
Sunday before last,Sunday before last,NY7M!
Sunday before last,Sunday week,NY8
Sunday before last,Sunday before last,NY9A
Sunday before last,Sunday before last,NY9B
Sunday before last,Sunday before last,NY9C
Sunday before last,Sunday before last,NY10A
Sunday before last,Sunday before last,NY10B!
Sunday before last,Sunday before last,NY11
Sunday before last,Sunday before last,NY12A
Sunday before last,a week ago Sunday,NY12B
Sunday before last,Sunday before last,NY12C!
Sunday before last,Sunday before last,NY13A
Sunday before last,Sunday before last,NY13B!
Sunday before last,a week ago last Sunday,NY14A
Sunday before last,Sunday before last,NY14B
Sunday before last,Sunday before last,NY15A
Sunday before last,Sunday before last,NY15B
Sunday before last,Sunday before last,NY16A
Sunday before last,Sunday before last,NY16B
Sunday before last,Sunday before last,NY17A
Sunday before last,Sunday before last,NY17B
Sunday before last,Sunday before last,NY18A
Sunday before last,Sunday before last,NY18B
Sunday before last,Sunday before last,NY18C!
Sunday before last,Sunday before last,NY19
Sunday before last,Sunday before last,NY20A
Sunday before last,Sunday before last,NY20B
Sunday before last,Sunday before last,NY21
Sunday before last,Sunday before last,NY22
Sunday before last,,NY23A
Sunday before last,a week ago Sunday,NY23B
Sunday before last,Sunday before last,NY23B
Sunday before last,Sunday before last,NY23C
Sunday before last,Sunday before last,NY24A
Sunday before last,Sunday before last,NY24B!
Sunday before last,a week ago Sunday,NY25A
Sunday before last,a week ago last Sunday,NY25B
Sunday before last,a week ago Saturday,NY26A
Sunday before last,a week ago Sunday,NY26B
Sunday before last,,NY26C
Sunday before last,a week ago Sunday,NY27A
Sunday before last,Sunday before last,NY27A
Sunday before last,,NY27B
Sunday before last,a week ago Sunday,NY27C
Sunday before last,a week ago Sunday,NY28A
Sunday before last,Saturday before,NY28B
Sunday before last,,NY28C
Sunday before last,a week before Sunday,NY29A
Sunday before last,a week ago Sunday,NY29B
Sunday before last,a week ago Sunday,NY29C
Sunday before last,a week ago Sunday,NY30A
Sunday before last,a week ago Sunday,NY30B
Sunday before last,,NY30C
Sunday before last,,NY30D
Sunday before last,Sunday before,NY30E
