Target,Response,Informant
Sunday week,,NY1
Sunday week,,NY2A
Sunday week,,NY2B
Sunday week,,NY2C
Sunday week,Sunday after next,NY3A
Sunday week,Sunday after next,NY3B
Sunday week,Sunday after next,NY3C
Sunday week,Sunday after next,NY3D
Sunday week,Sunday after next,NY4A
Sunday week,Sunday a week,NY4B
Sunday week,Sunday a week,NY4C
Sunday week,Sunday after next,NY5A
Sunday week,Sunday after next,NY5B
Sunday week,a week from Sunday,NY5C
Sunday week,Sunday after next,NY5D
Sunday week,Sunday after next,NY5E
Sunday week,Sunday after next,NY5F
Sunday week,Sunday a week,NY5G
Sunday week,Sunday after next,NY5H!
Sunday week,Sunday after next,NY5I!
Sunday week,Sunday after next,NY6A
Sunday week,Sunday after next,NY6B
Sunday week,Sunday after next,NY7A
Sunday week,Sunday week,NY7B
Sunday week,Sunday after next,NY7C
Sunday week,Sunday a week,NY7D
Sunday week,Sunday after next,NY7E
Sunday week,Sunday after next,NY7F
Sunday week,Sunday after next,NY7G
Sunday week,Sunday a week,NY7H
Sunday week,Sunday after next,NY7I
Sunday week,Sunday after next,NY7J!
Sunday week,Sunday a week,NY7K!
Sunday week,Sunday after next,NY7L!
Sunday week,Sunday after next,NY7M!
Sunday week,Sunday week,NY8
Sunday week,Sunday after next,NY9A
Sunday week,Sunday after next,NY9B
Sunday week,a week from Sunday,NY9C
Sunday week,Sunday after next,NY10A
Sunday week,Sunday after next,NY10B!
Sunday week,Sunday after next,NY11
Sunday week,Sunday after next,NY12A
Sunday week,a week from Sunday,NY12B
Sunday week,Sunday after next,NY12C!
Sunday week,Sunday after next,NY13A
Sunday week,Sunday after next,NY13B!
Sunday week,a week from Sunday,NY14A
Sunday week,Sunday after next,NY14B
Sunday week,Sunday after next,NY15A
Sunday week,Sunday after next,NY15B
Sunday week,Sunday after next,NY16A
Sunday week,Sunday after next,NY16B
Sunday week,Sunday after next,NY17A
Sunday week,Sunday after next,NY17B
Sunday week,Sunday after next,NY18A
Sunday week,a week from Sunday,NY18B
Sunday week,Sunday after next,NY18B
Sunday week,a week from Sunday,NY18C!
Sunday week,Sunday after next,NY19
Sunday week,Sunday after next,NY20A
Sunday week,Sunday after next,NY20B
Sunday week,Sunday after next,NY21
Sunday week,Sunday after next,NY22
Sunday week,,NY23A
Sunday week,a week from Sunday,NY23B
Sunday week,Sunday next,NY23C
Sunday week,a week from Sunday,NY23C
Sunday week,Sunday after next,NY24A
Sunday week,Sunday after next,NY24B!
Sunday week,the following Sunday,NY25A
Sunday week,Sunday following,NY25B
Sunday week,the following Sunday,NY26A
Sunday week,the Sunday following,NY26B
Sunday week,Sunday week,NY26B
Sunday week,,NY26C
Sunday week,a week from Sunday,NY27A
Sunday week,,NY27B
Sunday week,next Sunday week,NY27C
Sunday week,a week from Sunday,NY28A
Sunday week,the following Saturday,NY28B
Sunday week,,NY28C
Sunday week,a week from Sunday,NY29A
Sunday week,a week from Sunday,NY29B
Sunday week,a week from Sunday,NY29C
Sunday week,a week from Sunday,NY30A
Sunday week,a week from Sunday,NY30B
Sunday week,,NY30C
Sunday week,,NY30D
Sunday week,a week from Sunday,NY30E
Sunday week,a week from Sunday,NY31A
Sunday week,a week from Sunday,NY31B
Sunday week,a week from Sunday,NY32A
Sunday week,a week from next Saturday,NY32B
Sunday week,,NY33A
Sunday week,next Sunday,NY33B
Sunday week,a week from Sunday,NY33C
Sunday week,a week from next Sunday,NY34A
Sunday week,,NY34B
Sunday week,,NY34C
Sunday week,a week from Sunday,NY34D!
Sunday week,Sunday after next,NY35A
Sunday week,Sunday after next,NY35B
Sunday week,,NY35C!
Sunday week,Sunday after next,NY36A
Sunday week,Sunday after next,NY36B
Sunday week,Sunday after next,NY37A
Sunday week,Sunday after next,NY37B
Sunday week,Sunday after next,NY37C!
Sunday week,Sunday after next,NY38A
Sunday week,Sunday after next,NY38B
Sunday week,,NY38C
Sunday week,Sunday after next,NY39A
Sunday week,Sunday after next,NY39B
Sunday week,Sunday after next,NY40A
Sunday week,Sunday after next,NY40B
Sunday week,Sunday after next,NY41
Sunday week,Sunday after next,NY42A
Sunday week,Sunday after next,NY42B
Sunday week,,NY43A
Sunday week,Sunday after next,NY43B
Sunday week,Sunday after next,NY43C!
Sunday week,Sunday after next,NY44A
Sunday week,Sunday after next,NY44B
Sunday week,a week from Sunday,NY45A
Sunday week,,NY45B
Sunday week,,NY45C
Sunday week,the Sunday after,NY45D!
Sunday week,Sunday after,NY46A
Sunday week,a week from Tuesday,NY46B
Sunday week,a week from Tuesday,NY46B
Sunday week,a week from Tuesday,NY46B
Sunday week,next week Sunday,NY46C
Sunday week,Sunday after next,NY47A
Sunday week,Sunday after next,NY47B
Sunday week,a week from Sunday,NY48A
Sunday week,,NY48B
