Target,Response,Informant
sundown,sunset,NY1
sundown,,NY2A
sundown,sundown,NY2B
sundown,sunset,NY2B
sundown,,NY2C
sundown,sundown,NY3A
sundown,sundown,NY3B
sundown,sunset,NY3C
sundown,sundown,NY3D
sundown,sundown,NY4A
sundown,sundown,NY4B
sundown,sundown,NY4C
sundown,sunset,NY5A
sundown,sundown,NY5B
sundown,sundown,NY5C
sundown,sunset,NY5D
sundown,sunset,NY5E
sundown,sunset,NY5F
sundown,sunset,NY5G
sundown,sunset,NY5H!
sundown,sundown,NY5I!
sundown,sundown,NY6A
sundown,sunset,NY6B
sundown,sunset,NY7A
sundown,sundown,NY7B
sundown,sundown,NY7C
sundown,sunset,NY7C
sundown,sundown,NY7D
sundown,sunset,NY7E
sundown,sundown,NY7F
sundown,sunset,NY7G
sundown,sundown,NY7H
sundown,sundown,NY7I
sundown,sunset,NY7J!
sundown,sunset,NY7K!
sundown,sunset,NY7L!
sundown,sunset,NY7M!
sundown,sunset,NY8
sundown,sundown,NY9A
sundown,sundown,NY9B
sundown,sunset,NY9C
sundown,sundown,NY10A
sundown,sundown,NY10B!
sundown,sundown,NY11
sundown,sunset,NY12A
sundown,sundown,NY12B
sundown,sunset,NY12C!
sundown,sunset,NY13A
sundown,sundown,NY13B!
sundown,sundown,NY14A
sundown,sundown,NY14B
sundown,sundown,NY15A
sundown,sunset,NY15B
sundown,sunset,NY16A
sundown,sundown,NY16B
sundown,sunset,NY17A
sundown,sunset,NY17B
sundown,sundown,NY18A
sundown,sunset,NY18B
sundown,sundown,NY18C!
sundown,sunset,NY19
sundown,sunset,NY20A
sundown,sunset,NY20B
sundown,sundown,NY21
sundown,sunset,NY22
sundown,,NY23A
sundown,sundown,NY23B
sundown,sunset,NY23C
sundown,sunset,NY24A
sundown,sundown,NY24B!
sundown,sundown,NY25A
sundown,sundown,NY25A
sundown,sunset,NY25B
sundown,sundown,NY25B
sundown,sunsets,NY26A
sundown,sundown,NY26A
sundown,sundown,NY26B
sundown,sunset,NY26B
sundown,,NY26C
sundown,sunset,NY27A
sundown,sundown,NY27A
sundown,,NY27B
sundown,sundown,NY27C
sundown,sunset,NY28A
sundown,sunset,NY28B
sundown,,NY28C
sundown,sunset,NY29A
sundown,sunset,NY29B
sundown,sundown,NY29C
sundown,sundown,NY30A
sundown,sundown,NY30B
sundown,,NY30C
sundown,,NY30D
sundown,sunset,NY30E
sundown,sundown,NY30E
sundown,sundown,NY31A
sundown,sunset,NY31A
sundown,sundown,NY31B
sundown,sundown,NY32A
sundown,sunset,NY32B
sundown,sundown,NY32B
sundown,sunset,NY32B
sundown,,NY33A
sundown,sundown,NY33B
sundown,sundown,NY33B
sundown,sundown,NY33B
sundown,sundown,NY33C
sundown,dark,NY33C
sundown,sunset,NY34A
sundown,sundown,NY34A
sundown,,NY34B
sundown,,NY34C
sundown,sunset,NY34D!
sundown,sundown,NY35A
sundown,sunset,NY35B
sundown,,NY35C!
sundown,sundown,NY36A
sundown,sundown,NY36B
sundown,sundown,NY37A
sundown,sunset,NY37B
sundown,sundown,NY37C!
sundown,sundown,NY38A
sundown,sunset,NY38B
sundown,,NY38C
sundown,sunset,NY39A
sundown,sundown,NY39B
sundown,sundown,NY40A
sundown,sunset,NY40B
sundown,sunset,NY41
sundown,sunset,NY42A
sundown,sundown,NY42B
sundown,,NY43A
sundown,sundown,NY43B
sundown,sunset,NY43C!
sundown,sundown,NY44A
sundown,sundown,NY44B
sundown,sunset,NY45A
sundown,sundown,NY45A
sundown,,NY45B
sundown,,NY45C
sundown,sunset,NY45D!
sundown,sundown,NY46A
sundown,sunset,NY46B
sundown,sunset,NY46C
sundown,sunset,NY47A
sundown,sunset,NY47B
sundown,sunset,NY48A
sundown,,NY48B
sundown,sundown,NY48C
sundown,sundown,NY48C
sundown,sundown,NY48D
sundown,sunset,NY48D
sundown,,NY49A
sundown,,NY49B
sundown,sunset,NY49C
sundown,sunset,NY49D
sundown,sundown,NY50A
sundown,sundown,NY50B
sundown,sundown,NY51A
sundown,sundown,NY51B
sundown,sunset,NY51C
sundown,,NY51D
sundown,,NY51E!
sundown,sunset,NY52A
sundown,sundown,NY52A
sundown,sunset,NY52A
sundown,,NY52B
sundown,dark,NY52C
sundown,sunset,NY52C
sundown,sundown,NY53A
sundown,sunset,NY53A
sundown,sunset,NY53B!
sundown,sunset,NY53B!
sundown,,NY54A
