Target,Response,Informant
swamp,bog,NY1
swamp,swamp,NY1
swamp,marsh,NY1
swamp,swamp,NY2A
swamp,muck hole,NY2A
swamp,Slough,NY2A
swamp,meadow bog,NY2A
swamp,bog,NY2B
swamp,marsh,NY2B
swamp,slough,NY2B
swamp,marsh,NY2B
swamp,swamp,NY2B
swamp,bog,NY2C
swamp,swamp,NY2C
swamp,swamp,NY3A
swamp,swamp,NY3B
swamp,swamp,NY3C
swamp,swamp,NY3D
swamp,swamp,NY4A
swamp,swamp,NY4B
swamp,swamp,NY4C
swamp,swamp,NY5A
swamp,bog,NY5B
swamp,swamp,NY5B
swamp,swamp,NY5C
swamp,swamp,NY5D
swamp,swamp,NY5E
swamp,swamp,NY5F
swamp,bog,NY5G
swamp,swamp,NY5G
swamp,swamp,NY5H!
swamp,swamp,NY5I!
swamp,swamp,NY6A
swamp,swamp,NY6B
swamp,swamp,NY7A
swamp,swamp,NY7B
swamp,swamp,NY7C
swamp,swamp,NY7D
swamp,swamp,NY7E
swamp,swamp,NY7F
swamp,swamp,NY7G
swamp,bog,NY7G
swamp,swamp,NY7H
swamp,swamp,NY7I
swamp,bog,NY7I
swamp,swamp,NY7J!
swamp,swamp,NY7K!
swamp,swamp,NY7L!
swamp,swamp,NY7M!
swamp,swamp,NY8
swamp,swamp,NY9A
swamp,swamp,NY9B
swamp,swamp,NY9C
swamp,swamp,NY10A
swamp,swamp,NY10B!
swamp,swamp,NY11
swamp,swamp,NY12A
swamp,swamp,NY12B
swamp,fly,NY12C!
swamp,swamp,NY12C!
swamp,The Green Fly,NY12C!
swamp,fly,NY13A
swamp,swamp,NY13A
swamp,swamp,NY13B!
swamp,The Fly,NY14A
swamp,swamp,NY14A
swamp,swamp,NY14B
swamp,Vly Mountain,NY15A
swamp,swamp,NY15A
swamp,swamp,NY15B
swamp,fly,NY16A
swamp,swamp,NY16A
swamp,swamp,NY16B
swamp,swamp,NY17A
swamp,swamp,NY17B
swamp,swamp,NY18A
swamp,flat,NY18B
swamp,swamp,NY18B
swamp,swamp,NY18C!
swamp,swamp,NY19
swamp,swamp,NY20A
swamp,The Fly,NY20A
swamp,swamp,NY20B
swamp,fly,NY20B
swamp,swamp,NY21
swamp,swamp,NY22
swamp,fly,NY22
swamp,wild grass,NY23A
swamp,fly,NY23A
swamp,swamp,NY23A
swamp,swamp,NY23B
swamp,bogland,NY23B
swamp,swamp,NY23B
swamp,bog,NY23B
swamp,fly,NY23B
swamp,marshland,NY23B
swamp,marsh,NY23C
swamp,marsh,NY23C
swamp,fly,NY23C
swamp,peat bogs,NY23C
swamp,swamp,NY23C
swamp,mire,NY23C
swamp,swamp,NY24A
swamp,swamp,NY24B!
swamp,interval,NY25A
swamp,swamps,NY25A
swamp,fly,NY25A
swamp,intervale,NY25A
swamp,swampy,NY25B
swamp,teeters,NY26A
swamp,swamp ground,NY26A
swamp,swamp,NY26B
swamp,fly,NY26B
swamp,bog hay,NY26B
swamp,swale,NY26B
swamp,bog,NY26B
swamp,Elm Lake,NY26C
swamp,fly,NY27A
swamp,swamp,NY27A
swamp,pond hole,NY27A
swamp,swampy land,NY27B
swamp,swamp,NY27C
swamp,swamp land,NY28A
swamp,swamp,NY28B
swamp,,NY28C
swamp,interval,NY29A
swamp,bog,NY29A
swamp,springy water,NY29B
swamp,swamp,NY29B
swamp,bog,NY29B
swamp,swamp,NY29B
swamp,boggy,NY29C
swamp,swamp,NY29C
swamp,marsh,NY30A
swamp,swamp,NY30A
swamp,swamp land,NY30B
swamp,swamp,NY30C
swamp,swampy,NY30C
swamp,frog hole,NY30C
swamp,swamp,NY30C
swamp,marsh,NY30C
swamp,swampy,NY30D
swamp,swamp,NY30D
swamp,bog hole,NY30D
swamp,swamp,NY30E
swamp,swamp,NY30E
swamp,swamps,NY31A
swamp,swamp land,NY31A
swamp,swamp,NY31A
swamp,swamp land,NY31A
swamp,marsh,NY31A
swamp,swamp,NY31B
swamp,marsh,NY31B
swamp,marsh,NY31B
swamp,swamp,NY32A
swamp,swamp,NY32A
swamp,swamp,NY32B
swamp,swamp,NY33A
swamp,,NY33B
swamp,swamp,NY33C
swamp,bog,NY33C
swamp,swamp,NY33C
swamp,bogs,NY34A
swamp,swamp,NY34A
swamp,,NY34B
swamp,marsh grass,NY34C
swamp,swamp,NY34C
swamp,bog,NY34C
swamp,marsh,NY34C
swamp,swamp,NY34D!
swamp,marsh,NY34D!
swamp,bog,NY35A
swamp,swamp,NY35A
swamp,swamp,NY35B
swamp,The Fly,NY35B
swamp,swamp,NY35C!
swamp,The Fly,NY36A
swamp,swamp,NY36A
swamp,swamp,NY36B
swamp,swamp,NY37A
swamp,swamp,NY37B
swamp,fly,NY37B
swamp,swamp,NY37C!
swamp,swamp,NY38A
swamp,fly,NY38A
swamp,fly,NY38B
swamp,swamp,NY38C
swamp,swamp,NY39A
swamp,The Fly,NY39A
swamp,swamp,NY39B
swamp,swamp,NY40A
swamp,swamp,NY40B
swamp,swamp,NY41
swamp,swamp,NY42A
swamp,swamp,NY42B
swamp,swamp,NY43A
swamp,swamp,NY43B
swamp,swamp,NY43C!
swamp,swamp,NY44A
swamp,swamp,NY44B
swamp,boggy piece,NY45A
swamp,swampy,NY45A
swamp,swamp,NY45A
swamp,boggy land,NY45A
swamp,swamp,NY45B
swamp,bog ground,NY45C
swamp,swamp,NY45C
swamp,swamp,NY45C
swamp,swamps,NY45D!
swamp,swampy,NY45D!
swamp,swamp,NY46A
swamp,swamp grass,NY46A
swamp,marshes,NY46A
swamp,swamp land,NY46B
swamp,swamp,NY46C
swamp,swamp,NY47A
swamp,swamp,NY47A
swamp,swamp,NY47B
swamp,swamp,NY48A
swamp,bog,NY48A
swamp,,NY48B
swamp,swamp,NY48C
swamp,swamp,NY48D
swamp,swamp,NY49A
swamp,swamp,NY49B
swamp,swamp,NY49C
swamp,swamp,NY49C
swamp,swamp land,NY49C
swamp,swamp,NY49D
swamp,chair flag,NY49D
swamp,swamp,NY50A
swamp,swamp,NY50B
swamp,swamp land,NY50B
swamp,swamp,NY51A
swamp,bog,NY51A
swamp,cedar swamp,NY51A
swamp,swamp,NY51B
swamp,swampy land,NY51B
swamp,swamp,NY51C
swamp,slough hole,NY51C
swamp,,NY51D
swamp,marshy land,NY51E!
swamp,swamp,NY51E!
swamp,bog,NY51E!
swamp,marsh,NY51E!
swamp,Montezuma Marshes,NY51E!
swamp,swamp,NY52A
swamp,swamp,NY52A
swamp,marsh,NY52B
swamp,swamp,NY52B
swamp,swamp,NY52B
swamp,swamp,NY52C
swamp,swamp,NY53A
swamp,pond,NY53A
swamp,swamp,NY53B!
swamp,swamp,NY53B!
swamp,swamp,NY54A
swamp,swampy,NY54A
swamp,swamp,NY54B
swamp,swamp,NY55A
swamp,swamp,NY55B
swamp,swamp,NY55B
swamp,swamp,NY56A
swamp,swampy land,NY56B
swamp,bog,NY56B
swamp,swamp land,NY57A
swamp,swamp,NY57B
swamp,bog,NY57B
swamp,sink holes,NY57B
swamp,marsh,NY57C!
swamp,mud hole,NY57C!
swamp,swamp,NY57C!
swamp,swamp land,NY58A
swamp,swamp,NY58B
swamp,swamp,NY58B
swamp,swamp,NY58B
swamp,marshes,NY58B
swamp,swamp,NY58C
swamp,bogs,NY58C
swamp,bog,NY58D!
swamp,swamp,NY58D!
swamp,marsh,NY58D!
swamp,bog,NY58D!
swamp,marsh,NY58D!
swamp,swamp,NY58E!
swamp,swamp,NY58F!
swamp,swamp,NY59A
swamp,,NY59B
swamp,swamp,NY60A
swamp,swamp,NY60B!
swamp,marsh,NY60B!
swamp,elms,NY60B!
swamp,wild rice,NY60B!
swamp,swamp elm,NY60B!
swamp,marsh land,NY60B!
swamp,swamp drainage,NY60B!
swamp,swale,NY61A
swamp,swamps,NY61A
swamp,springy,NY61A
swamp,slashing,NY61A
swamp,swamp land,NY61B
swamp,bog land,NY61B
swamp,swamp,NY61B
swamp,swamps,NY62A
swamp,swamp land,NY62B
swamp,swampy land,NY62C
swamp,bog land,NY62D!
swamp,swamp,NY62D!
swamp,swamp,NY63A
swamp,swampy,NY63A
swamp,swamps,NY63B
