Target,Response,Informant
syrup,syrup,NY1
syrup,maple syrup,NY1
syrup,maple syrup,NY2A
syrup,genuine maple syrup,NY2B
syrup,syrup,NY2C
syrup,maple syrup,NY2C
syrup,maple syrup,NY3A
syrup,syrup,NY3B
syrup,maple syrup,NY3C
syrup,maple syrup,NY3D
syrup,maple syrup,NY4A
syrup,maple syrup,NY4B
syrup,maple syrup,NY4C
syrup,maple syrup,NY5A
syrup,maple syrup,NY5B
syrup,maple syrup,NY5C
syrup,maple syrup,NY5D
syrup,maple syrup,NY5E
syrup,syrup,NY5E
syrup,maple syrup,NY5F
syrup,maple syrup,NY5G
syrup,maple syrup,NY5H!
syrup,maple syrup,NY5I!
syrup,maple syrup,NY6A
syrup,maple syrup,NY6B
syrup,maple syrup,NY7A
syrup,maple syrup,NY7B
syrup,maple syrup,NY7C
syrup,maple syrup,NY7D
syrup,maple syrup,NY7E
syrup,maple syrup,NY7F
syrup,maple syrup,NY7G
syrup,maple syrup,NY7H
syrup,maple syrup,NY7I
syrup,maple syrup,NY7J!
syrup,maple syrup,NY7K!
syrup,maple syrup,NY7L!
syrup,maple syrup,NY7M!
syrup,maple syrup,NY8
syrup,maple syrup,NY9A
syrup,maple syrup,NY9B
syrup,maple syrup,NY9C
syrup,maply syrup,NY10A
syrup,maple syrup,NY10B!
syrup,maple syrup,NY11
syrup,maple syrup,NY12A
syrup,maple syrup,NY12A
syrup,maple syrup,NY12B
syrup,maple syrup,NY12C!
syrup,maple syrup,NY13A
syrup,maple syrup,NY13B!
syrup,maple syrup,NY14A
syrup,maple syrup,NY14B
syrup,maple syrup,NY15A
syrup,maple syrup,NY15B
syrup,maple syrup,NY16A
syrup,maple syrup,NY16B
syrup,maple syrup,NY17A
syrup,maple syrup,NY17B
syrup,maple syrup,NY18A
syrup,maple syrup,NY18B
syrup,maple syrup,NY18C!
syrup,syrup,NY19
syrup,maple syrup,NY19
syrup,maple syrup,NY20A
syrup,maple syrup,NY20B
syrup,maple syrup,NY21
syrup,maple syrup,NY22
syrup,syrup,NY23A
syrup,syrup,NY23A
syrup,maple syrup,NY23A
syrup,white syrup,NY23B
