Target,Response,Informant
ten,ten,NY1
ten,,NY2A
ten,ten,NY2B
ten,,NY2C
ten,ten,NY3A
ten,ten,NY3B
ten,ten,NY3C
ten,ten,NY3D
ten,ten,NY4A
ten,ten,NY4B
ten,ten,NY4C
ten,ten,NY5A
ten,ten,NY5B
ten,ten,NY5C
ten,ten,NY5D
ten,ten,NY5E
ten,ten,NY5F
ten,ten,NY5G
ten,ten,NY5H!
ten,ten,NY5I!
ten,ten,NY6A
ten,ten,NY6B
ten,ten,NY7A
ten,ten,NY7B
ten,ten,NY7C
ten,ten,NY7D
ten,ten,NY7E
ten,ten,NY7F
ten,ten,NY7G
ten,ten,NY7H
ten,ten,NY7I
ten,ten,NY7J!
ten,ten,NY7K!
ten,ten,NY7L!
ten,ten,NY7M!
ten,ten,NY8
ten,ten,NY9A
ten,ten,NY9B
ten,ten,NY9C
ten,ten,NY10A
ten,ten,NY10B!
ten,ten,NY11
ten,ten,NY12A
ten,ten,NY12B
ten,ten,NY12C!
ten,ten,NY13A
ten,ten,NY13B!
ten,ten,NY14A
ten,ten,NY14B
ten,ten,NY15A
ten,ten,NY15B
ten,ten,NY16A
ten,ten,NY16B
ten,ten,NY17A
ten,ten,NY17B
ten,ten,NY18A
ten,ten,NY18B
ten,ten,NY18C!
ten,ten,NY19
ten,ten,NY20A
ten,ten,NY20B
ten,ten,NY21
ten,ten,NY22
ten,,NY23A
ten,ten,NY23B
ten,ten,NY23C
ten,ten,NY23C
ten,ten,NY24A
ten,ten,NY24B!
ten,ten,NY25A
ten,ten,NY25B
ten,ten,NY26A
ten,ten,NY26A
ten,ten,NY26B
ten,ten,NY26C
ten,ten,NY27A
ten,ten,NY27B
ten,ten,NY27C
ten,ten,NY28A
ten,ten,NY28B
ten,ten,NY28B
ten,ten,NY28C
ten,ten,NY29A
ten,ten,NY29B
ten,ten,NY29C
ten,ten,NY30A
ten,ten,NY30B
ten,,NY30C
ten,ten,NY30D
ten,ten,NY30E
ten,ten,NY31A
ten,ten,NY31A
ten,ten,NY31B
ten,ten,NY32A
ten,ten,NY32A
ten,ten,NY32B
ten,ten,NY33A
ten,ten,NY33B
ten,ten,NY33C
ten,ten,NY33C
ten,ten,NY34A
ten,,NY34B
ten,ten,NY34C
ten,ten,NY34D!
ten,ten,NY35A
ten,ten,NY35B
ten,,NY35C!
ten,ten,NY36A
ten,ten,NY36B
ten,ten,NY37A
ten,ten,NY37B
ten,ten,NY37C!
ten,ten,NY38A
ten,ten,NY38B
ten,,NY38C
ten,ten,NY39A
ten,ten,NY39B
ten,ten,NY40A
ten,ten,NY40B
ten,ten,NY41
ten,ten,NY42A
ten,ten,NY42B
ten,,NY43A
ten,ten,NY43B
ten,ten,NY43C!
ten,ten,NY44A
ten,ten,NY44B
ten,ten,NY45A
ten,ten,NY45B
ten,ten,NY45C
ten,ten,NY45D!
ten,ten,NY46A
ten,ten,NY46B
ten,ten,NY46C
ten,ten,NY47A
ten,ten,NY47A
ten,ten,NY47B
ten,ten,NY48A
ten,ten,NY48A
ten,ten,NY48B
ten,ten,NY48B
ten,ten,NY48C
ten,ten,NY48C
ten,ten,NY48D
ten,ten,NY49A
ten,,NY49B
ten,ten,NY49C
ten,ten,NY49C
ten,ten,NY49C
ten,ten,NY49D
ten,ten,NY50A
ten,ten,NY50A
ten,ten,NY50B
ten,ten,NY50B
ten,ten,NY51A
ten,ten,NY51B
ten,ten,NY51C
ten,ten,NY51D
ten,ten,NY51E!
ten,ten,NY52A
ten,ten,NY52B
ten,ten,NY52C
ten,ten,NY53A
ten,ten,NY53A
ten,ten,NY53B!
ten,ten,NY54A
ten,ten,NY54B
ten,ten,NY55A
ten,ten,NY55B
ten,ten,NY56A
ten,ten,NY56A
ten,ten,NY56B
ten,ten,NY57A
ten,ten,NY57B
ten,ten,NY57C!
