Target,Response,Informant
Tennessee,Tennessee,NY1
Tennessee,,NY2A
Tennessee,Tennessee,NY2B
Tennessee,,NY2C
Tennessee,Tennessee,NY3A
Tennessee,Tennessee,NY3B
Tennessee,Tennessee,NY3C
Tennessee,Tennessee,NY3D
Tennessee,Tennessee,NY4A
Tennessee,Tennessee,NY4B
Tennessee,Tennessee,NY4C
Tennessee,Tennessee,NY5A
Tennessee,Tennessee,NY5B
Tennessee,Tennessee,NY5C
Tennessee,Tennessee,NY5D
Tennessee,Tennessee,NY5E
Tennessee,Tennessee,NY5F
Tennessee,Tennessee,NY5G
Tennessee,Tennessee,NY5H!
Tennessee,Tennessee,NY5I!
Tennessee,Tennessee,NY6A
Tennessee,Tennessee,NY6B
Tennessee,Tennessee,NY7A
Tennessee,Tennessee,NY7B
Tennessee,Tennessee,NY7C
Tennessee,Tennessee,NY7D
Tennessee,Tennessee,NY7E
Tennessee,Tennessee,NY7F
Tennessee,Tennessee,NY7G
Tennessee,Tennessee,NY7H
Tennessee,Tennessee,NY7I
Tennessee,Tennessee,NY7J!
Tennessee,Tennessee,NY7K!
Tennessee,Tennessee,NY7L!
Tennessee,Tennessee,NY7M!
Tennessee,Tennessee,NY8
Tennessee,Tennessee,NY9A
Tennessee,Tennessee,NY9B
Tennessee,Tennessee,NY9C
Tennessee,Tennessee,NY10A
Tennessee,Tennessee,NY10B!
Tennessee,Tennessee,NY11
Tennessee,Tennessee,NY12A
Tennessee,Tennessee,NY12B
Tennessee,Tennessee,NY12C!
Tennessee,Tennessee,NY13A
Tennessee,Tennessee,NY13B!
Tennessee,Tennessee,NY14A
Tennessee,Tennessee,NY14B
Tennessee,Tennessee,NY15A
Tennessee,Tennessee,NY15B
Tennessee,Tennessee,NY16A
Tennessee,Tennessee,NY16B
Tennessee,Tennessee,NY17A
Tennessee,Tennessee,NY17B
Tennessee,Tennessee,NY18A
Tennessee,Tennessee,NY18B
Tennessee,Tennessee,NY18C!
Tennessee,Tennessee,NY19
Tennessee,Tennessee,NY20A
Tennessee,Tennessee,NY20B
Tennessee,Tennessee,NY21
Tennessee,Tennessee,NY22
Tennessee,,NY23A
Tennessee,Tennessee,NY23B
Tennessee,Tennessee,NY23C
Tennessee,Tennessee,NY24A
Tennessee,Tennessee,NY24B!
Tennessee,Tennessee,NY25A
Tennessee,Tennessee,NY25B
Tennessee,Tennessee,NY26A
Tennessee,Tennessee,NY26B
Tennessee,,NY26C
Tennessee,Tennessee,NY27A
Tennessee,Tennessee,NY27B
Tennessee,Tennessee,NY27C
Tennessee,Tennessee,NY28A
Tennessee,Tennessee,NY28B
Tennessee,,NY28C
Tennessee,,NY29A
Tennessee,Tennessee,NY29B
Tennessee,Tennessee,NY29C
Tennessee,Tennessee,NY30A
Tennessee,Tennessee,NY30B
Tennessee,,NY30C
Tennessee,,NY30D
Tennessee,Tennessee,NY30E
Tennessee,Tennessee,NY31A
Tennessee,Tennessee,NY31B
Tennessee,Tennessee,NY32A
Tennessee,Tennessee,NY32B
Tennessee,,NY33A
Tennessee,Tennessee,NY33B
Tennessee,Tennessee,NY33C
Tennessee,Tennessee,NY34A
Tennessee,,NY34B
Tennessee,,NY34C
Tennessee,Tennessee,NY34D!
Tennessee,Tennessee,NY35A
Tennessee,Tennessee,NY35B
Tennessee,,NY35C!
Tennessee,Tennessee,NY36A
Tennessee,Tennessee,NY36B
Tennessee,Tennessee,NY37A
Tennessee,Tennessee,NY37B
Tennessee,Tennessee,NY37C!
Tennessee,Tennessee,NY38A
Tennessee,Tennessee,NY38B
Tennessee,,NY38C
Tennessee,Tennessee,NY39A
Tennessee,Tennessee,NY39B
Tennessee,Tennessee,NY40A
Tennessee,Tennessee,NY40B
Tennessee,Tennessee,NY41
Tennessee,Tennessee,NY42A
Tennessee,Tennessee,NY42B
Tennessee,Tennessee,NY43A
Tennessee,Tennessee,NY43B
Tennessee,Tennessee,NY43C!
Tennessee,Tennessee,NY44A
Tennessee,Tennessee,NY44B
Tennessee,,NY45A
Tennessee,,NY45B
Tennessee,,NY45C
Tennessee,Tennessee,NY45D!
Tennessee,Tennessee,NY46A
Tennessee,,NY46B
Tennessee,Tennessee,NY46C
Tennessee,Tennessee,NY47A
Tennessee,Tennessee,NY47B
Tennessee,Tennessee,NY48A
Tennessee,,NY48B
Tennessee,Tennessee,NY48C
Tennessee,Tennessee,NY48D
Tennessee,,NY49A
Tennessee,,NY49B
Tennessee,Tennessee,NY49C
Tennessee,Tennessee,NY49D
Tennessee,Tennessee,NY49D
Tennessee,Tennessee,NY50A
Tennessee,Tennessee,NY50B
Tennessee,Tennessee,NY51A
Tennessee,Tennessee,NY51B
Tennessee,,NY51C
Tennessee,,NY51D
Tennessee,,NY51E!
Tennessee,Tennessee,NY52A
Tennessee,,NY52B
Tennessee,Tennessee,NY52C
Tennessee,Tennessee,NY53A
Tennessee,Tennessee,NY53B!
Tennessee,Tennessee,NY54A
Tennessee,Tennessee,NY54B
Tennessee,Tennessee,NY55A
Tennessee,Tennessee,NY55B
Tennessee,Tennessee,NY56A
Tennessee,Tennessee,NY56B
Tennessee,Tennessee,NY57A
Tennessee,,NY57B
Tennessee,Tennessee,NY57C!
Tennessee,Tennessee,NY58A
Tennessee,Tennessee,NY58B
Tennessee,,NY58C
Tennessee,Tennessee,NY58D!
Tennessee,Tennessee,NY58E!
Tennessee,,NY58F!
Tennessee,Tennessee,NY59A
Tennessee,Tennessee,NY59B
Tennessee,Tennessee,NY60A
Tennessee,Tennessee,NY60B!
Tennessee,Tennessee,NY61A
Tennessee,Tennessee,NY61B
Tennessee,,NY62A
Tennessee,Tennessee,NY62B
Tennessee,Tennessee,NY62C
Tennessee,Tennessee,NY62D!
Tennessee,Tennessee,NY63A
Tennessee,Tennessee,NY63B
Tennessee,Tennessee,NY63C
Tennessee,Tennessee,NY63D!
Tennessee,Tennessee,NY64A
Tennessee,Tennessee,NY64B
Tennessee,,NY64C!
Tennessee,Tennessee,NJ1A
Tennessee,Tennessee,NJ1B
Tennessee,Tennessee,NJ2A
Tennessee,Tennessee,NJ2B
Tennessee,Tennessee,NJ3A
Tennessee,Tennessee,NJ3B
Tennessee,Tennessee,NJ4A
Tennessee,Tennessee,NJ4B
Tennessee,Tennessee,NJ5A
Tennessee,Tennessee,NJ5B
Tennessee,Tennessee,NJ6A
Tennessee,Tennessee,NJ6B
Tennessee,Tennessee,NJ7A
Tennessee,Tennessee,NJ7B!
Tennessee,Tennessee,NJ8A
Tennessee,Tennessee,NJ8B
Tennessee,Tennessee,NJ9A
Tennessee,Tennessee,NJ9B
Tennessee,Tennessee,NJ10A
Tennessee,Tennessee,NJ10B
Tennessee,Tennessee,NJ10C
Tennessee,Tennessee,NJ10D!
Tennessee,Tennessee,NJ11A
Tennessee,Tennessee,NJ11B
Tennessee,Tennessee,NJ11C
Tennessee,Tennessee,NJ12A
Tennessee,Tennessee,NJ12B
Tennessee,Tennessee,NJ13A
Tennessee,Tennessee,NJ13B
Tennessee,Tennessee,NJ14A
Tennessee,Tennessee,NJ14B
Tennessee,Tennessee,NJ15A
Tennessee,Tennessee,NJ15B
Tennessee,Tennessee,NJ16A
Tennessee,Tennessee,NJ16B
Tennessee,Tennessee,NJ17A
Tennessee,Tennessee,NJ17B
Tennessee,Tennessee,NJ18A
Tennessee,Tennessee,NJ18B
Tennessee,Tennessee,NJ18C!
Tennessee,Tennessee,NJ18D!
Tennessee,Tennessee,NJ19A
Tennessee,Tennessee,NJ19B!
Tennessee,Tennessee,NJ20A
Tennessee,Tennessee,NJ20B
Tennessee,Tennessee,NJ21A
Tennessee,Tennessee,NJ21B
Tennessee,Tennessee,PA1A
Tennessee,Tennessee,PA1B
Tennessee,Tennessee,PA1C
Tennessee,Tennessee,PA1D
Tennessee,Tennessee,PA1E!
Tennessee,Tennessee,PA1F!
Tennessee,Tennessee,PA1G!
Tennessee,Tennessee,PA1H!
Tennessee,Tennessee,PA2A
Tennessee,Tennessee,PA2B
Tennessee,Tennessee,PA3A
Tennessee,Tennessee,PA3B
Tennessee,Tennessee,PA3C
