Target,Response,Informant
that tree,that tree,NY2A
that tree,that tree,NY2C
that tree,yonder tree,WV4B
that tree,that tree,DE2A
that tree,that tree,DE5A
that tree,that tree,MD4C
that tree,that tree,MD13E!
that tree,that tree,MD16
that tree,that tree,MD20A
that tree,that tree,MD22A
that tree,that tree,DC1A
that tree,that tree,VA14A
that tree,that tree,VA23B
that tree,that tree,VA26A
that tree,that tree,VA30C!
that tree,that tree,VA34A
that tree,that tree,VA38
that tree,that tree,VA45A
that tree,that tree,VA46A
that tree,that tree,VA54A
that tree,that tree,VA55A
that tree,that tree,VA61C
that tree,yon tree,VA61C
that tree,that there tree,VA65B
that tree,that tree,VA65B
that tree,that tree over yonder,VA70A
that tree,that tree,VA70A
that tree,that tree,NC7A
that tree,that tree,NC14B
that tree,that tree,NC20A
that tree,yonder tree,NC25B
that tree,that tree,NC29A
that tree,that tree,NC32A
that tree,that tree,NC35A
that tree,that tree,NC40A
that tree,yon tree,NC54A
that tree,that tree,NC67B
that tree,yon tree,NC67B
that tree,that tree,NC69B
that tree,that tree,SC12B
that tree,that tree,SC12B
that tree,that tree,SC14A
that tree,that tree,SC22B
that tree,yonder tree,SC25A
that tree,that tree,SC25A
that tree,that tree,SC41A
that tree,that tree,GA1F!
that tree,yonder tree,GA3A
that tree,them trees,GA6A
that tree,that tree,GA10A
that tree,that tree,GA13A
