Target,Response,Informant
the orchard,that owns the orchard,NY1
the orchard,that owns the orchard,NY2A
the orchard,that owns the orchard,NY2B
the orchard,that owns the orchard,NY2C
the orchard,that owns the orchard,NY3A
the orchard,that owns the orchard,NY3B
the orchard,that owns the orchard,NY3C
the orchard,that owns the orchard,NY3D
the orchard,that owns the orchard,NY4A
the orchard,that owns the orchard,NY4B
the orchard,that owns the orchard,NY4C
the orchard,that owns the orchard,NY5A
the orchard,that owns the orchard,NY5B
the orchard,that owns the orchard,NY5C
the orchard,who owns the orchard,NY5C
the orchard,who owns the orchard,NY5D
the orchard,that owns the orchard,NY5E
the orchard,that owns the orchard,NY5F
the orchard,that owns the orchard,NY5G
the orchard,that owns the orchard,NY5H!
the orchard,who owns the orchard,NY5I!
the orchard,that owns the orhcard,NY6A
the orchard,that owns the orchard,NY6B
the orchard,that owns the orchard,NY7A
the orchard,that owns the orchard,NY7B
the orchard,that owns the orchard,NY7C
the orchard,that owns the orchard,NY7D
the orchard,who owns the orchard,NY7E
the orchard,that owns the orchard,NY7F
the orchard,that owns the orchard,NY7G
the orchard,that owns the orchard,NY7H
the orchard,that owns the orchard,NY7I
the orchard,who owns the orchard,NY7J!
the orchard,who owns the orchard,NY7K!
the orchard,that owns the orchard,NY7L!
the orchard,that owns the orchard,NY7M!
the orchard,who owns,NY7M!
the orchard,that owns the orchard,NY8
the orchard,that owns the orchard,NY9A
the orchard,that owns the orhcard,NY9B
the orchard,that owns the orchard,NY9C
the orchard,that owns the orchard,NY10A
the orchard,that owns the orchard,NY10B!
the orchard,that owns the orchard,NY11
the orchard,that owns the orchard,NY12A
the orchard,owns the orchard,NY12A
the orchard,that owns the orchard,NY12B
the orchard,that owns the orchard,NY12C!
the orchard,that owns the ochard,NY13A
the orchard,who owns the orchard,NY13B!
the orchard,that owns the orchard,NY14A
the orchard,that owns the orchard,NY14B
the orchard,that owns the orchard,NY15A
the orchard,that owns the orchard,NY15B
the orchard,that owns the orchard,NY16A
the orchard,that owns the orchard,NY16B
the orchard,that owns the orchard,NY17A
the orchard,that owns the orchard,NY17B
the orchard,that owns the orchard,NY18A
the orchard,that owns the orchard,NY18B
the orchard,that owns the orchard,NY18C!
the orchard,that owns the orchard,NY19
the orchard,that owns the orchard,NY20A
the orchard,that owns the orchard,NY20B
the orchard,that owns the orchard,NY21
the orchard,that owns the orchard,NY22
the orchard,who I've,NY23A
the orchard,orchard,NY23B
the orchard,he's the man owns it,NY23B
the orchard,one that's going to have one,NY23B
the orchard,apple orchard,NY23C
the orchard,there's a man has a commercial orchard,NY23C
the orchard,that owns the orchard,NY24A
the orchard,that owns the orchard,NY24B!
the orchard,I had a cousin setting the corner of the fence in his corn,NY25A
the orchard,there wouldn't be nobody know anything,NY25A
the orchard,a fellow come out from Canada got lost,NY25A
the orchard,a boy aint good for nothing else got some of it in him,NY25A
the orchard,there was nobody use any coal,NY25A
the orchard,people comes along eats it,NY25A
the orchard,"wouldn't touch it, they foul",NY25A
the orchard,there's one concern puts out,NY25B
the orchard,them there owns it,NY25B
the orchard,some that raised rye,NY25B
the orchard,there used to be seeders come down,NY25B
the orchard,a man was living,NY26A
the orchard,beyond,NY26A
the orchard,we had a little brook run all the way,NY26B
the orchard,there is people does it,NY26B
