Target,Response,Informant
themselves,for themselves,NY1
themselves,themselves,NY2A
themselves,for themselves,NY2B
themselves,for themselves,NY2C
themselves,for themselves,NY3A
themselves,for themselves,NY3B
themselves,for themselves,NY3C
themselves,for themselves,NY3D
themselves,for themselves,NY4A
themselves,for themselves,NY4B
themselves,for themselves,NY4C
themselves,for themselves,NY5A
themselves,for themselves,NY5B
themselves,for themselves,NY5C
themselves,for themselves,NY5D
themselves,for themselves,NY5E
themselves,for themselves,NY5F
themselves,for themselves,NY5G
themselves,for themselves,NY5H!
themselves,for themselves,NY5I!
themselves,for themselves,NY6A
themselves,for themselves,NY6B
themselves,for themselves,NY7A
themselves,for themselves,NY7B
themselves,for themselves,NY7C
themselves,for themselves,NY7D
themselves,for themselves,NY7E
themselves,for themselves,NY7F
themselves,for themselves,NY7G
themselves,for themselves,NY7H
themselves,for themselves,NY7I
themselves,for themselves,NY7J!
themselves,for themselves,NY7K!
themselves,for themselves,NY7L!
themselves,for themselves,NY8
themselves,for themselves,NY9A
themselves,for themselves,NY9B
themselves,for themselves,NY9C
themselves,for themselves,NY10A
themselves,for themselves,NY10B!
themselves,for themselves,NY11
themselves,for theirselves,NY12A
themselves,for themselves,NY12A
themselves,for themselves,NY12B
themselves,for themselves,NY12C!
themselves,for themselves,NY13A
themselves,for themselves,NY13B!
themselves,for themselves,NY14A
themselves,themselves,NY14B
themselves,for themselves,NY15A
themselves,for themselves,NY15B
themselves,for themsleves,NY16A
themselves,for theirselves,NY16B
themselves,for theirselves,NY17A
themselves,for themselves,NY17B
themselves,for themselves,NY18A
themselves,for themselves,NY18B
themselves,for themselves,NY18C!
themselves,for themselves,NY19
themselves,for theirselves,NY19
themselves,for themselves,NY20A
themselves,for themselves,NY20B
themselves,for themselves,NY21
themselves,for themselves,NY22
themselves,,NY23A
themselves,for themselves,NY23B
themselves,themselves,NY23C
themselves,for themselves,NY23C
themselves,for themselves,NY24A
themselves,for themselves,NY24B!
themselves,themselves,NY25A
themselves,themselves,NY25B
themselves,themselves,NY26A
themselves,wash themselves,NY26A
themselves,ourselves,NY26A
themselves,themselves,NY26B
themselves,,NY26C
themselves,themselves,NY27A
themselves,,NY27B
themselves,themselves,NY27C
themselves,themselves,NY28A
themselves,themselves,NY28B
themselves,,NY28C
themselves,themselves,NY29A
themselves,themselves,NY29B
themselves,themselves,NY29C
themselves,themselves,NY30A
themselves,themselves,NY30B
themselves,,NY30C
themselves,,NY30D
themselves,themselves,NY30E
themselves,themselves,NY31A
themselves,ourselves,NY31A
themselves,themselves,NY31A
themselves,themselves,NY31A
themselves,themselves,NY31B
themselves,themselves,NY32A
themselves,themselves,NY32A
themselves,themselves,NY32B
themselves,ourselves,NY32B
themselves,for themselves,NY33A
themselves,themselves,NY33B
themselves,themselves,NY33B
themselves,themselves,NY33C
themselves,themselves,NY34A
themselves,,NY34B
themselves,,NY34C
themselves,themselves,NY34D!
themselves,for themselves,NY35A
themselves,for themselves,NY35B
themselves,for themselves,NY35C!
themselves,themselves,NY36A
themselves,for themselves,NY36B
themselves,for themselves,NY37A
themselves,for themselves,NY37B
themselves,for themselves,NY37C!
themselves,for themselves,NY38A
themselves,for themselves,NY38B
themselves,for themselves,NY38C
themselves,for themselves,NY39A
themselves,themselves,NY39B
themselves,for theirselves,NY40A
themselves,for themselves,NY40B
themselves,for themselves,NY41
themselves,for themselves,NY42A
themselves,for themselves,NY42B
themselves,for themselves,NY43A
themselves,for themselves,NY43B
themselves,for themselves,NY43C!
themselves,for theirselves,NY44A
themselves,for themselves,NY44B
themselves,,NY45A
themselves,,NY45B
themselves,theirself,NY45C
themselves,ourselves,NY45C
themselves,theirself,NY45C
themselves,yourself,NY45D!
themselves,themselves,NY45D!
themselves,themselves,NY46A
themselves,themselves,NY46B
themselves,themselves,NY46C
themselves,themselves,NY47A
themselves,for themselves,NY47B
themselves,themselves,NY48A
themselves,themselves,NY48A
themselves,themselves,NY48A
themselves,themselves,NY48C
themselves,themselves,NY48D
themselves,themselves,NY49A
themselves,for themselves,NY49B
themselves,themselves,NY49C
themselves,themselves,NY49D
themselves,for themselves,NY50A
themselves,themselves,NY50B
themselves,themselves,NY51A
themselves,themselves,NY51A
themselves,themselves,NY51B
themselves,themselves,NY51B
themselves,themselves,NY51C
themselves,ourself,NY51C
themselves,,NY51D
themselves,themselves,NY51E!
themselves,themselves,NY52A
themselves,themselves,NY52B
themselves,themself,NY52C
themselves,themselves,NY53A
themselves,themselves,NY53B!
themselves,theirself,NY54A
themselves,themselves,NY54B
themselves,themselves,NY55A
themselves,themselves,NY55B
themselves,themselves,NY55B
themselves,themselves,NY56A
themselves,themselves,NY56B
themselves,themselves,NY57A
themselves,,NY57B
themselves,themselves,NY57C!
themselves,themselves,NY58A
themselves,themselves,NY58B
themselves,,NY58C
themselves,themselves,NY58D!
themselves,ourselves,NY58D!
themselves,themselves,NY58E!
themselves,themselves,NY58E!
themselves,,NY58F!
themselves,themselves,NY59A
themselves,ourselves,NY59A
themselves,for themselves,NY59B
themselves,themselves,NY60A
themselves,themselves,NY60A
themselves,themselves,NY60B!
themselves,themselves,NY61A
themselves,themself,NY61B
themselves,themselves,NY62A
themselves,bury themselves,NY62A
themselves,themselves,NY62B
themselves,themselves,NY62C
themselves,themselves,NY62D!
themselves,themselves,NY63A
themselves,themselves,NY63B
themselves,for themselves,NY63C
themselves,themselves,NY63D!
themselves,ourselves,NY63D!
themselves,themselves,NY64A
themselves,themselves,NY64A
themselves,themselves,NY64B
themselves,to themselves,NY64B
themselves,,NY64C!
themselves,theirself,NJ1A
themselves,for themselves,NJ1B
themselves,for themselves,NJ2A
themselves,for themselves,NJ2B
themselves,theirselves,NJ3A
themselves,for themselves,NJ3B
themselves,for themselves,NJ4A
themselves,for theirselves,NJ4B
themselves,for theirselves,NJ5A
themselves,for theirselves,NJ5B
themselves,for themselves,NJ6A
themselves,for theirself,NJ6B
themselves,for themselves,NJ7A
themselves,themselves,NJ7B!
themselves,for themselves,NJ8A
themselves,for themselves,NJ8B
themselves,for themselves,NJ9A
themselves,for themselves,NJ9B
themselves,for themselves,NJ10A
themselves,for themselves,NJ10B
themselves,for themselves,NJ10C
themselves,for themselves,NJ10D!
themselves,for themselves,NJ11A
themselves,for themselves,NJ11B
themselves,for themselves,NJ11C
themselves,for themselves,NJ12A
themselves,for themselves,NJ12B
themselves,for theirselves,NJ13A
themselves,for themselves,NJ13B
themselves,for themselves,NJ14A
themselves,for themselves,NJ14B
themselves,for themsleves,NJ15A
themselves,for themselves,NJ15B
themselves,for themselves,NJ16A
themselves,for themselves,NJ16B
themselves,for themselves,NJ17A
themselves,for themselves,NJ17B
themselves,for themselves,NJ18A
themselves,for themselves,NJ18B
themselves,for themselves,NJ18C!
themselves,for themselves,NJ18D!
themselves,for themselves,NJ19A
themselves,for themselves,NJ19B!
themselves,for themselves,NJ20A
themselves,for themselves,NJ20B
themselves,for themselves,NJ21A
themselves,for themselves,NJ21B
themselves,for themselves,PA1A
themselves,themselves,PA1B
themselves,for themselves,PA1C
themselves,for themselves,PA1D
themselves,for themselves,PA1E!
themselves,for themselves,PA1F!
themselves,for themselves,PA1G!
themselves,themselves,PA1H!
themselves,for theirselves,PA2A
themselves,for themselves,PA2B
themselves,for themselves,PA3A
themselves,for themselves,PA3B
themselves,for themselves,PA3C
themselves,for themselves,PA4A
themselves,for themselves,PA4B!
themselves,for themselves,PA5A
themselves,for themselves,PA5A
themselves,for themsleves,PA5B
themselves,for themselves,PA5C
themselves,for themselves,PA5D
themselves,for themselves,PA5E!
themselves,themselfs,PA6A
themselves,for themselves,PA6B
themselves,for themselves,PA6C
themselves,for themselves,PA6D!
themselves,themselves,PA7A
themselves,for themselves,PA7B
themselves,for themselves,PA7C
themselves,for themselves,PA7D!
themselves,for theirselves,PA8A
themselves,for themselves,PA8B
themselves,for themselfs,PA8C
themselves,for themselves,PA8D!
themselves,for themself,PA9A
themselves,for theirself,PA9B
themselves,for themselves,PA9C!
themselves,for themselves,PA10
themselves,theirselves,PA11A
themselves,for themselves,PA11B
themselves,for themselves,PA11B
themselves,for themselves,PA12A
themselves,for themselves,PA12B
themselves,for themselves,PA13A
themselves,for themselves,PA13B
themselves,themselves,PA14A
themselves,themselves,PA14B
themselves,for themself,PA14C
themselves,for themselves,PA15A
themselves,for themselves,PA15B
themselves,themselves,PA15C!
themselves,for themselves,PA16A
themselves,for themselves,PA16B
themselves,for themselves,PA16C
themselves,for themselves,PA17A
themselves,for themselves,PA17B
themselves,themselves,PA18A
themselves,for themselves,PA18B!
themselves,for themselves,PA19A
themselves,for theirselves,PA19B
themselves,for themselves,PA20A
themselves,for themselves,PA20B
themselves,for themselves,PA21A
themselves,for themselves,PA21B
themselves,for themselves,PA22A
themselves,for themselves,PA22B
themselves,for themselves,PA23A
themselves,for themselves,PA23B
themselves,for themselves,PA24A
themselves,for themselves,PA24B
themselves,for themsleves,PA25A
themselves,for themselves,PA25B
themselves,for themselves,PA26A
themselves,for theirselves,PA26B
themselves,for themselves,PA27A
themselves,for themselves,PA27B
themselves,for themself,PA28A
themselves,for themselves,PA28B!
themselves,for themselves,PA29A
themselves,for themselves,PA29B
themselves,for themselves,PA30A
themselves,for themselves,PA30B
themselves,for themselves,PA31A
themselves,for themselves,PA31B
themselves,for themselves,PA32A
themselves,for themselves,PA32B
themselves,for themselves,PA33A
themselves,for theirselves,PA33B
themselves,for themselves,PA34A
themselves,for themselves,PA34B
themselves,for themselves,PA34C!
themselves,for themselves,PA35A
themselves,for themselves,PA35B
themselves,,PA35C
themselves,for themselves,PA36A
themselves,for themselves,PA36B
themselves,for themselves,PA37A
themselves,for themselves,PA37B
themselves,,PA37C
themselves,for themselves,PA38A
themselves,for themselves,PA38B
themselves,for themselves,PA39A
themselves,for themselves,PA39B
themselves,for themselves,PA40A
themselves,for themselves,PA40B
themselves,for themselves,PA41A
themselves,for themselves,PA41B
themselves,for themselves,PA42A
themselves,for themselves,PA42B
themselves,for themselves,PA43A
themselves,for themselves,PA43B
themselves,for themselves,PA44A
themselves,for themselves,PA44B
themselves,for themselves,PA45A
themselves,for themselves,PA45B
themselves,for themselves,PA46A
themselves,for themselves,PA46B
themselves,themselves,PA47A
themselves,theirselves,PA47B
themselves,for themselves,PA48A
themselves,for themselves,PA48B
themselves,for themselves,PA48C
themselves,for themselves,PA49A
themselves,for themselves,PA49B
themselves,,PA50A
themselves,for themselves,PA50B
themselves,for themselves,PA50C!
themselves,for themselves,PA51A
themselves,for themselves,PA51B
themselves,for themselves,PA52A
themselves,for themselves,PA52B!
themselves,for themselves,PA53A
themselves,for themselves,PA53B
themselves,theirselves,PA54A
themselves,for themselves,PA54B
themselves,for themselves,PA55A
themselves,for themselves,PA55B
themselves,for themselves,PA56A
themselves,for theirselves,PA56A
themselves,for themselves,PA56B
themselves,for themselves,PA57A
themselves,for themselves,PA57B
themselves,for themselves,PA58A
themselves,for themselves,PA58B
themselves,for theirselves,PA59A
themselves,for themselves,PA59B
themselves,for themselves,PA60A
themselves,for themselves,PA60B
themselves,for themselves,PA61B
themselves,for themselves,PA62A
themselves,for themselves,PA62B
themselves,for themselves,PA63A
themselves,for themselves,PA63B
themselves,for themselves,PA64A
themselves,for themselves,PA64B
themselves,for themselves,PA65A
themselves,for themselves,PA65B
themselves,for themselves,PA66A
themselves,for themselves,PA66B
themselves,for themselves,PA67A
themselves,for themselves,PA67B
themselves,for themselves,WV1!
themselves,for themselves,WV2
themselves,for theirselves,WV3
themselves,for themselves,WV4A
themselves,for themselves,WV4B
themselves,for themselves,WV5
themselves,for theirselves,WV6A
themselves,for themselves,WV6B
