Target,Response,Informant
thirteen,thirteen,NY1
thirteen,,NY2A
thirteen,thirteen,NY2B
thirteen,,NY2C
thirteen,thirteen,NY3A
thirteen,thirteen,NY3B
thirteen,thirteen,NY3C
thirteen,thirteen,NY3D
thirteen,thirteen,NY4A
thirteen,thirteen,NY4B
thirteen,thirteen,NY4C
thirteen,thirteen,NY5A
thirteen,thirteen,NY5B
thirteen,thirteen,NY5C
thirteen,thirteen,NY5D
thirteen,thirteen,NY5E
thirteen,thirteen,NY5F
thirteen,thirteen,NY5G
thirteen,thirteen,NY5H!
thirteen,thirteen,NY5I!
thirteen,thirteen,NY6A
thirteen,thirteen,NY6B
thirteen,thirteen,NY7A
thirteen,thirteen,NY7B
thirteen,thirteen,NY7C
thirteen,thirteen,NY7D
thirteen,thirteen,NY7E
thirteen,thirteen,NY7F
thirteen,thirteen,NY7G
thirteen,thirteen,NY7H
thirteen,thirteen,NY7I
thirteen,thirteen,NY7J!
thirteen,thirteen,NY7K!
thirteen,thirteen,NY7L!
thirteen,thirteen,NY7M!
thirteen,thirteen,NY8
thirteen,thirteen,NY9A
thirteen,thirteen,NY9B
thirteen,thirteen,NY9C
thirteen,thirteen,NY10A
thirteen,thirteen,NY10B!
thirteen,thirteen,NY11
thirteen,thirteen,NY12A
thirteen,thirteen,NY12B
thirteen,thirteen,NY12C!
thirteen,thirteen,NY13A
thirteen,thirteen,NY13B!
thirteen,thirteen,NY14A
thirteen,thirteen,NY14B
thirteen,thirteen,NY15A
thirteen,thirteen,NY15B
thirteen,thirteen,NY16A
thirteen,thirteen,NY16B
thirteen,thirteen,NY17A
thirteen,thirteen,NY17B
thirteen,thirteen,NY18A
thirteen,thirteen,NY18B
thirteen,thirteen,NY18C!
thirteen,thirteen,NY19
thirteen,thirteen,NY20A
thirteen,thirteen,NY20B
thirteen,thirteen,NY21
thirteen,thirteen,NY22
thirteen,,NY23A
thirteen,thirteen,NY23B
thirteen,thirteen,NY23C
thirteen,thirteen,NY24A
thirteen,thirteen,NY24B!
thirteen,thirteen,NY25A
thirteen,thirteen,NY25B
thirteen,thirteen,NY26A
thirteen,thirteen,NY26B
thirteen,,NY26C
thirteen,thirteen,NY27A
thirteen,,NY27B
thirteen,thirteen,NY27C
thirteen,thirteen,NY27C
thirteen,thirteen,NY28A
thirteen,thirteen,NY28B
thirteen,,NY28C
thirteen,thirteen,NY29A
thirteen,thirteen,NY29B
thirteen,thirteen,NY29C
thirteen,thirteen,NY30A
thirteen,thirteen,NY30B
thirteen,thirteen,NY30C
thirteen,,NY30D
thirteen,thirteen,NY30E
thirteen,thirteen,NY31A
thirteen,thirteen,NY31B
thirteen,thirteen,NY32A
thirteen,thirteen,NY32B
thirteen,thirteen,NY33A
thirteen,thirteen,NY33B
thirteen,thirteen,NY33C
thirteen,thirteenth,NY34A
thirteen,,NY34B
thirteen,,NY34C
thirteen,thirteen,NY34D!
thirteen,thirteen,NY35A
thirteen,thirteen,NY35B
thirteen,,NY35C!
thirteen,thirteen,NY36A
thirteen,thirteen,NY36B
thirteen,thirteen,NY37A
thirteen,thirteen,NY37B
thirteen,thirteen,NY37C!
thirteen,thirteen,NY38A
thirteen,thirteen,NY38B
thirteen,,NY38C
thirteen,thirteen,NY39A
thirteen,thirteen,NY39B
thirteen,thirteen,NY40A
thirteen,thirteen,NY40B
thirteen,thirteen,NY41
thirteen,thirteen,NY42A
thirteen,thirteen,NY42B
thirteen,,NY43A
thirteen,thirteen,NY43B
thirteen,thirteen,NY43C!
thirteen,thirteen,NY44A
thirteen,thirteen,NY44B
thirteen,thirteen,NY45A
thirteen,,NY45B
thirteen,,NY45C
thirteen,thirteen,NY45D!
thirteen,thirteen,NY46A
thirteen,thirteen,NY46B
thirteen,thirteen,NY46B
thirteen,thirteen,NY46C
thirteen,thirteen,NY47A
thirteen,thirteen,NY47A
thirteen,thirteen,NY47A
thirteen,thirteen,NY47A
thirteen,thirteen,NY47B
thirteen,thirteen,NY48A
thirteen,,NY48B
thirteen,thirteen,NY48C
thirteen,thirteen,NY48D
thirteen,,NY49A
thirteen,,NY49B
thirteen,thirteen,NY49C
thirteen,thirteen,NY49C
thirteen,thirteen,NY49D
thirteen,thirteen,NY50A
thirteen,thirteen,NY50B
thirteen,thirteen,NY51A
thirteen,thirteen,NY51B
thirteen,thirteen,NY51B
thirteen,thirteen,NY51C
thirteen,,NY51D
thirteen,,NY51E!
thirteen,thirteen,NY52A
thirteen,thirteen,NY52B
thirteen,thirteen,NY52C
thirteen,thirteenth,NY53A
thirteen,thirteen,NY53B!
thirteen,thirteen,NY54A
thirteen,thirteen,NY54B
thirteen,thirteen,NY55A
thirteen,thirteen,NY55A
thirteen,thirteen,NY55B
thirteen,thirteen,NY56A
thirteen,thirteen,NY56B
thirteen,thirteen,NY57A
thirteen,thirteen,NY57A
thirteen,thirteen,NY57A
thirteen,,NY57B
thirteen,thirteen,NY57C!
thirteen,thirteen,NY58A
thirteen,thirteen,NY58B
thirteen,,NY58C
thirteen,thirteen,NY58D!
thirteen,thirteen,NY58E!
thirteen,,NY58F!
thirteen,thirteen,NY59A
thirteen,thirteen,NY59B
thirteen,thirteen,NY60A
thirteen,thirteen,NY60B!
thirteen,thirteen,NY61A
thirteen,thirteen,NY61B
thirteen,thirteen,NY62A
thirteen,thirteen,NY62B
thirteen,thirteen,NY62C
thirteen,thirteenth,NY62C
thirteen,thirteen,NY62D!
thirteen,thirteen,NY63A
thirteen,thirteen,NY63B
thirteen,thirteen,NY63C
thirteen,thirteen,NY63D!
thirteen,thirteen,NY64A
thirteen,thirteen,NY64B
thirteen,,NY64C!
thirteen,thirteen,NJ1A
thirteen,thirteen,NJ1B
thirteen,thirteen,NJ2A
thirteen,thirteen,NJ2B
thirteen,thirteen,NJ3A
thirteen,thirteen,NJ3B
thirteen,thirteen,NJ4A
thirteen,thirteen,NJ4B
thirteen,thirteen,NJ5A
thirteen,thirteen,NJ5B
thirteen,thirteen,NJ6A
thirteen,thirteen,NJ6B
thirteen,thirteen,NJ7A
thirteen,thirteen,NJ7B!
thirteen,thirteen,NJ8A
thirteen,thirteen,NJ8B
thirteen,thirteen,NJ9A
thirteen,thirteen,NJ9B
thirteen,thirteen,NJ10A
thirteen,thirteen,NJ10B
thirteen,thirteen,NJ10C
thirteen,thirteen,NJ10D!
thirteen,thirteen,NJ11A
thirteen,thirteen,NJ11B
thirteen,thirteen,NJ11C
thirteen,thirteen,NJ12A
thirteen,thirteen,NJ12B
thirteen,thirteen,NJ13A
thirteen,thirteen,NJ13B
thirteen,thirteen,NJ14A
thirteen,thirteen,NJ14B
thirteen,thirteen,NJ15A
thirteen,thirteen,NJ15B
