Target,Response,Informant
thirty,thirty,NY1
thirty,,NY2A
thirty,thirty,NY2B
thirty,,NY2C
thirty,thirty,NY3A
thirty,thirty,NY3B
thirty,thirty,NY3C
thirty,thirty,NY3D
thirty,thirty,NY4A
thirty,thirty,NY4B
thirty,thirty,NY4C
thirty,thirty,NY5A
thirty,thirty,NY5B
thirty,thirty,NY5C
thirty,thirty,NY5D
thirty,thirty,NY5E
thirty,thirty,NY5F
thirty,thirty,NY5G
thirty,thirty,NY5H!
thirty,thirty,NY5I!
thirty,thirty,NY6A
thirty,thirty,NY6B
thirty,thirty,NY7A
thirty,thirty,NY7B
thirty,thirty,NY7C
thirty,thirty,NY7D
thirty,thirty,NY7E
thirty,thirty,NY7F
thirty,thirty,NY7G
thirty,thirty,NY7H
thirty,thirty,NY7I
thirty,thirty,NY7J!
thirty,thirty,NY7K!
thirty,thirty,NY7L!
thirty,thirty,NY7M!
thirty,thirty,NY8
thirty,thirty,NY9A
thirty,thirty,NY9B
thirty,thirty,NY9C
thirty,thirty,NY10A
thirty,thirty,NY10B!
thirty,thirty,NY11
thirty,thirty,NY12A
thirty,thirty,NY12B
thirty,thirty,NY12C!
thirty,thirty,NY13A
thirty,thirty,NY13B!
thirty,thirty,NY14A
thirty,thirty,NY14B
thirty,thirty,NY15A
thirty,thirty,NY15B
thirty,thirty,NY16A
thirty,thirty,NY16B
thirty,thirty,NY17A
thirty,thirty,NY17B
thirty,thirty,NY18A
thirty,thirty,NY18B
thirty,thirty,NY18C!
thirty,thirty,NY19
thirty,thirty,NY20A
thirty,thirty,NY20B
thirty,thirty,NY21
thirty,thirty,NY22
thirty,,NY23A
thirty,thirty,NY23B
thirty,thirty,NY23C
thirty,thirty,NY24A
thirty,thirty,NY24B!
thirty,thirty,NY25A
thirty,thirty,NY25B
thirty,thirty,NY26A
thirty,thirty,NY26B
thirty,thirty,NY26B
thirty,thirty,NY26C
thirty,thirty,NY27A
thirty,,NY27B
thirty,thirty,NY27C
thirty,thirty,NY27C
thirty,thirty,NY28A
thirty,thirty,NY28B
thirty,thirty,NY28B
thirty,thirty,NY28C
thirty,thirty,NY29A
thirty,thirty,NY29B
thirty,thirty,NY29B
thirty,thirty,NY29C
thirty,,NY30A
thirty,thirty,NY30B
thirty,thirty,NY30C
thirty,thirty,NY30D
thirty,thirty,NY30E
thirty,thirty,NY31A
thirty,thirty,NY31B
thirty,thirty,NY32A
thirty,thirty,NY32B
thirty,thirty,NY33A
thirty,thirty,NY33B
thirty,thirty,NY33C
thirty,thirty,NY34A
thirty,,NY34B
thirty,thirty,NY34C
thirty,thirty,NY34D!
thirty,thirty,NY35A
thirty,thirty,NY35B
thirty,,NY35C!
thirty,thirty,NY36A
thirty,thirty,NY36B
thirty,thirty,NY37A
thirty,thirty,NY37B
thirty,thirty,NY37C!
thirty,thirty,NY38A
thirty,thirty,NY38B
thirty,,NY38C
thirty,thirty,NY39A
thirty,thirty,NY39B
thirty,thirty,NY40A
thirty,thirty,NY40B
thirty,thirty,NY41
thirty,thirty,NY42A
thirty,thirty,NY42B
thirty,,NY43A
thirty,thirty,NY43B
thirty,thirty,NY43C!
thirty,thirty,NY44A
thirty,thirty,NY44B
thirty,thirty,NY45A
thirty,thirty,NY45B
thirty,,NY45C
thirty,thirty,NY45D!
thirty,thirty,NY46A
thirty,thirty,NY46B
thirty,thirty,NY46C
thirty,thirty,NY47A
thirty,thirty,NY47B
thirty,thirty,NY48A
thirty,,NY48B
thirty,thirty,NY48C
thirty,thirtieth,NY48D
thirty,thirty,NY49A
thirty,,NY49B
thirty,thirty,NY49C
thirty,thirty,NY49C
thirty,thirty,NY49D
thirty,thirty,NY50A
thirty,thirty,NY50A
thirty,thirty,NY50B
thirty,thirty,NY51A
thirty,thirty,NY51B
thirty,thirty,NY51C
thirty,thirty,NY51D
thirty,thirty,NY51E!
thirty,thirty,NY52A
thirty,thirty,NY52B
thirty,thirty,NY52C
thirty,thirty,NY53A
thirty,thirty,NY53B!
thirty,thirty,NY54A
thirty,thirty,NY54B
thirty,thirty,NY55A
thirty,thirty,NY55B
thirty,thirty,NY56A
thirty,thirty,NY56A
thirty,thirty,NY56B
thirty,,NY57A
thirty,,NY57B
thirty,thirty,NY57C!
thirty,thirty,NY58A
thirty,thirty,NY58B
thirty,thirty,NY58B
thirty,thirty,NY58C
thirty,thirty,NY58D!
thirty,thirty,NY58E!
thirty,,NY58F!
thirty,thirty,NY59A
