Target,Response,Informant
this year,this year,NY1
this year,,NY2A
this year,this year,NY2B
this year,,NY2C
this year,this year,NY3A
this year,this year,NY3B
this year,this year,NY3C
this year,this year,NY3D
this year,this year,NY4A
this year,this year,NY4B
this year,this year,NY4C
this year,this year,NY5A
this year,this year,NY5B
this year,this year,NY5C
this year,this year,NY5D
this year,this year,NY5E
this year,this year,NY5F
this year,this year,NY5G
this year,this year,NY5H!
this year,this year,NY5I!
this year,this year,NY6A
this year,this year,NY6B
this year,this year,NY7A
this year,this year,NY7B
this year,this year,NY7C
this year,this year,NY7D
this year,this year,NY7E
this year,this year,NY7F
this year,this year,NY7G
this year,this year,NY7H
this year,this year,NY7I
this year,this year,NY7J!
this year,this year,NY7K!
this year,this year,NY7L!
this year,this year,NY7M!
this year,this year,NY8
this year,this year,NY9A
this year,this year,NY9B
this year,this year,NY9C
this year,this year,NY10A
this year,this year,NY10B!
this year,this year,NY11
this year,this year,NY12A
this year,this year,NY12B
this year,this year,NY12C!
this year,this year,NY13A
this year,this year,NY13B!
this year,this year,NY14A
this year,this year,NY14B
this year,this year,NY15A
this year,this year,NY15B
this year,this year,NY16A
this year,this year,NY16B
this year,this year,NY17A
this year,this year,NY17B
this year,this year,NY18A
this year,this year,NY18B
this year,this year,NY18C!
this year,this year,NY19
this year,this year,NY20A
this year,this year,NY20B
this year,this year,NY21
this year,this year,NY22
this year,,NY23A
this year,this year,NY23B
this year,this year,NY23C
this year,this year,NY24A
this year,this year,NY24B!
this year,last year,NY25A
this year,this year,NY25A
this year,this year,NY25B
this year,this year,NY26A
this year,this year,NY26B
this year,,NY26C
this year,this year,NY27A
this year,,NY27B
this year,this year,NY27C
this year,this year,NY28A
this year,this year,NY28B
this year,this year,NY28B
this year,this year,NY28B
this year,this year,NY28C
this year,this year,NY29A
this year,this year,NY29B
this year,next year,NY29B
this year,this year,NY29C
this year,this year,NY30A
this year,this year,NY30B
this year,,NY30C
this year,,NY30D
this year,this year,NY30E
this year,last year,NY31A
this year,this year,NY31A
this year,this year,NY31B
this year,this year,NY32A
this year,next year,NY32A
this year,this year,NY32B
this year,this year,NY33A
this year,this year,NY33B
this year,this year,NY33C
this year,this year,NY34A
this year,,NY34B
this year,this year,NY34C
this year,this year,NY34D!
this year,this year,NY35A
this year,this year,NY35B
this year,,NY35C!
this year,this year,NY36A
this year,this year,NY36B
this year,this year,NY37A
this year,this year,NY37B
this year,this year,NY37C!
this year,this year,NY38A
this year,this year,NY38B
this year,,NY38C
this year,this year,NY39A
this year,this year,NY39B
this year,this year,NY40A
this year,this year,NY40B
this year,this year,NY41
this year,this year,NY42A
this year,this year,NY42B
this year,,NY43A
this year,this year,NY43B
this year,this year,NY43C!
this year,this year,NY44A
this year,this year,NY44B
this year,this year,NY45A
this year,,NY45B
this year,,NY45C
this year,this year,NY45D!
this year,this year,NY46A
this year,this year,NY46A
this year,this year,NY46B
this year,this year,NY46C
this year,this year,NY47A
this year,last year,NY47A
this year,,NY47B
this year,this year,NY48A
this year,,NY48B
this year,this year,NY48C
this year,this year,NY48C
this year,this year,NY48D
this year,,NY49A
this year,,NY49B
this year,this year,NY49C
this year,this year,NY49C
this year,this year,NY49D
this year,last year,NY50A
this year,this year,NY50A
this year,this year,NY50B
this year,last year,NY51A
this year,last year,NY51A
this year,this year,NY51A
this year,this year,NY51A
this year,this year,NY51B
this year,last year,NY51C
this year,this year,NY51D
this year,last year,NY51E!
this year,this year,NY52A
this year,this year,NY52B
this year,this year,NY52C
this year,this year,NY52C
this year,last year,NY53A
this year,this year,NY53A
this year,this year,NY53B!
this year,this year,NY54A
this year,this year,NY54B
this year,last year,NY55A
this year,this year,NY55A
this year,this year,NY55B
this year,last year,NY56A
this year,this year,NY56A
this year,this year,NY56B
this year,this year,NY57A
this year,last year,NY57B
this year,this year,NY57B
this year,this year,NY57C!
this year,this year,NY58A
this year,this year,NY58A
this year,last year,NY58A
this year,last year,NY58A
this year,this year,NY58B
this year,,NY58C
this year,this year,NY58D!
this year,this year,NY58D!
this year,this year,NY58E!
this year,this year,NY58F!
this year,this year,NY59A
this year,this year,NY59B
this year,this year,NY60A
this year,this year,NY60B!
this year,this year,NY61A
this year,this year,NY61B
this year,this year,NY62A
this year,this year,NY62B
this year,this year,NY62B
this year,this year,NY62C
this year,this year,NY62D!
this year,this year,NY63A
this year,next year,NY63A
this year,this year,NY63B
this year,this year,NY63C
this year,this year,NY63D!
this year,next year,NY64A
this year,this year,NY64A
this year,last year,NY64B
this year,this year,NY64B
this year,next year,NY64C!
this year,this year,NY64C!
this year,this year,NJ1A
this year,this year,NJ1B
this year,this year,NJ2A
this year,this year,NJ2B
this year,this year,NJ3A
this year,this year,NJ3B
this year,this year,NJ4A
this year,this year,NJ4B
this year,this year,NJ5A
this year,this year,NJ5B
this year,this year,NJ6A
this year,this year,NJ6B
this year,this year,NJ7A
this year,this year,NJ7B!
this year,this year,NJ8A
this year,this year,NJ8B
this year,this year,NJ9A
this year,this year,NJ9B
this year,this year,NJ10A
this year,this year,NJ10B
this year,this year,NJ10C
this year,this year,NJ10D!
this year,this year,NJ11A
this year,this year,NJ11B
this year,this year,NJ11C
this year,this year,NJ12A
this year,this year,NJ12B
this year,this year,NJ13A
this year,this year,NJ13B
this year,this year,NJ14A
this year,this year,NJ14B
this year,this year,NJ15A
this year,this year,NJ15B
this year,this year,NJ16A
this year,this year,NJ16B
this year,this year,NJ17A
this year,this year,NJ17B
this year,this year,NJ18A
this year,this year,NJ18B
this year,this year,NJ18C!
this year,this year,NJ18D!
this year,this year,NJ19A
this year,this year,NJ19B!
this year,this year,NJ20A
this year,this year,NJ20B
this year,this year,NJ21A
this year,this year,NJ21B
this year,this year,PA1A
this year,this year,PA1B
this year,this year,PA1C
this year,this year,PA1D
this year,this year,PA1E!
this year,this year,PA1F!
this year,this year,PA1G!
this year,this year,PA1H!
this year,this year,PA2A
this year,this year,PA2B
this year,this year,PA3A
this year,this year,PA3B
this year,this year,PA3C
this year,this year,PA4A
this year,this year,PA4B!
this year,this year,PA5A
this year,this year,PA5B
this year,this year,PA5C
this year,this year,PA5D
this year,this year,PA5E!
this year,this year,PA6A
this year,this year,PA6B
this year,this year,PA6C
this year,this year,PA6D!
this year,this year,PA7A
this year,this year,PA7B
this year,this year,PA7C
this year,this year,PA7D!
this year,this year,PA8A
this year,this year,PA8B
this year,this year,PA8C
this year,this year,PA8D!
this year,this year,PA9A
this year,this year,PA9B
this year,this year,PA9C!
this year,this year,PA10
this year,this year,PA11A
this year,this year,PA11B
this year,this year,PA12A
this year,this year,PA12B
this year,this year,PA13A
this year,this year,PA13B
this year,this year,PA14A
this year,this year,PA14B
this year,,PA14C
this year,this year,PA15A
this year,this year,PA15B
this year,this year,PA15C!
this year,this year,PA16A
