Target,Response,Informant
those boys,those boys,NY1
those boys,those boys,NY3C
those boys,those boys,NY3D
those boys,those boys,NY4A
those boys,those boys,NY4C
those boys,those boys,NY5A
those boys,them states,NY5A
those boys,those boys,NY5B
those boys,the other boys,NY5C
those boys,those boys,NY5D
those boys,those boys,NY5E
those boys,those boys,NY5F
those boys,those boys,NY5G
those boys,those boys,NY5H!
those boys,those boys,NY5I!
those boys,them boys,NY6A
those boys,those boys,NY6B
those boys,the other boys,NY7A
those boys,them boys,NY7B
those boys,them boys,NY7C
those boys,those boys,NY7D
those boys,those boys,NY7E
those boys,those boys,NY7F
those boys,those boys,NY7G
those boys,those boys,NY7H
those boys,those boys,NY7I
those boys,those boys,NY7J!
those boys,those boys,NY7K!
those boys,those boys,NY7L!
those boys,those boys,NY7M!
those boys,those boys,NY8
those boys,those boys,NY9A
those boys,the other boys,NY9B
those boys,those boys,NY9C
those boys,them boys,NY10A
those boys,those boys,NY10B!
those boys,those boys,NY11
those boys,those boys,NY12B
those boys,those boys,NY12C!
those boys,those boys,NY13A
those boys,those boys,NY13B!
those boys,them boys,NY14A
those boys,those boys,NY14B
those boys,those boys,NY15B
those boys,those boys,NY16A
those boys,those boys,NY16B
those boys,them boys,NY17A
those boys,those boys,NY17B
those boys,those boys,NY18B
those boys,those boys,NY18C!
those boys,those boys,NY19
those boys,those boys,NY20A
those boys,those boys,NY20B
those boys,those days,NY23C
those boys,them other boys,NY24A
those boys,those boys,NY24B!
those boys,them razorbacks,NY25A
those boys,them days,NY25A
those boys,we was boys,NY25A
those boys,them days,NY25A
those boys,them darn bees,NY25A
those boys,them days,NY25A
those boys,a boy,NY25A
those boys,them days,NY25B
those boys,them apples,NY26A
those boys,them days,NY26A
those boys,those children,NY26B
those boys,those other damn things,NY26C
those boys,them old houses,NY26C
those boys,them days,NY27A
those boys,boys,NY27B
those boys,those days,NY27B
those boys,those days,NY27C
those boys,those old buildings,NY28A
those boys,them days,NY28A
those boys,those days,NY28B
those boys,these two meals,NY28B
those boys,those boys,NY28B
those boys,those days,NY28C
those boys,them days,NY29A
those boys,them's,NY29A
those boys,them days,NY29B
those boys,those days,NY29C
those boys,those boys,NY29C
those boys,good boy,NY30A
those boys,them old guns,NY30A
those boys,those days,NY30B
those boys,them days,NY30B
those boys,them days,NY30B
those boys,them hotels,NY30B
those boys,them things,NY30C
those boys,them days,NY30D
those boys,those fellows,NY30E
those boys,those things,NY31A
those boys,them shades,NY31B
those boys,them days,NY32A
those boys,them days,NY32A
those boys,those trees,NY32A
those boys,them sticks,NY32A
those boys,those days,NY32B
those boys,this here,NY32B
those boys,those days,NY32B
those boys,that there was,NY32B
those boys,them days,NY33A
those boys,them boys,NY33A
those boys,them fellows,NY33B
those boys,those boys,NY33C
those boys,those times,NY34A
those boys,those days,NY34B
those boys,boys,NY34C
