Target,Response,Informant
three,three,NY1
three,,NY2A
three,three,NY2B
three,,NY2C
three,three,NY3A
three,three,NY3B
three,three,NY3C
three,three,NY3D
three,three,NY4A
three,three,NY4B
three,three,NY4C
three,three,NY5A
three,three,NY5B
three,three,NY5C
three,three,NY5D
three,three,NY5E
three,three,NY5F
three,three,NY5G
three,three,NY5H!
three,three,NY5I!
three,three,NY6A
three,three,NY6B
three,three,NY7A
three,three,NY7B
three,three,NY7C
three,three,NY7D
three,three,NY7E
three,three,NY7F
three,three,NY7G
three,three,NY7H
three,three,NY7I
three,three,NY7J!
three,three,NY7K!
three,three,NY7L!
three,three,NY7M!
three,three,NY8
three,three,NY9A
three,three,NY9B
three,three,NY9C
three,three,NY10A
three,three,NY10B!
three,three,NY11
three,three,NY12A
three,three,NY12B
three,three,NY12C!
three,three,NY13A
three,three,NY13B!
three,three,NY14A
three,three,NY14B
three,three,NY15A
three,three,NY15B
three,three,NY16A
three,three,NY16B
three,three,NY17A
three,three,NY17B
three,three,NY18A
three,three,NY18B
three,three,NY18C!
three,three,NY19
three,three,NY20A
three,three,NY20B
three,three,NY21
three,three,NY22
three,three,NY23A
three,three,NY23B
three,three,NY23C
three,three,NY23C
three,three,NY24A
three,three,NY24B!
three,three,NY25A
three,three,NY25A
three,three,NY25A
three,three,NY25B
three,three,NY26A
three,three,NY26B
three,three,NY26B
three,,NY26C
three,three,NY27A
three,three,NY27A
three,three,NY27B
three,three,NY27B
three,three,NY27C
three,three,NY28A
three,three,NY28A
three,three,NY28B
three,,NY28C
three,three,NY29A
three,three,NY29B
three,three,NY29C
three,three,NY30A
three,three,NY30B
three,three,NY30B
three,three,NY30C
three,three,NY30D
three,three,NY30E
three,three,NY31A
three,three,NY31A
three,three,NY31A
three,three,NY31B
three,three,NY32A
three,three,NY32B
three,,NY33A
three,three,NY33B
three,three,NY33C
three,three,NY33C
three,three,NY34A
three,,NY34B
three,three,NY34C
three,three,NY34D!
three,three,NY35A
three,three,NY35B
three,,NY35C!
three,three,NY36A
three,three,NY36B
three,three,NY37A
three,three,NY37B
three,three,NY37C!
three,three,NY38A
three,three,NY38B
three,,NY38C
three,three,NY39A
three,three,NY39B
three,three,NY40A
three,three,NY40B
three,three,NY41
three,three,NY42A
three,three,NY42B
three,,NY43A
three,three,NY43B
three,three,NY43C!
three,three,NY44A
three,three,NY44B
three,three,NY45A
three,three,NY45A
three,three,NY45B
three,three,NY45C
three,three,NY45D!
three,three,NY46A
three,three,NY46B
three,three,NY46B
three,three,NY46C
three,three,NY46C
three,three,NY47A
three,three,NY47A
three,three,NY47B
three,three,NY48A
three,three,NY48B
three,three,NY48B
three,three,NY48C
three,three,NY48C
three,three,NY48D
three,three,NY48D
three,three,NY49A
three,,NY49B
three,three,NY49C
three,three,NY49D
three,three,NY50A
three,three,NY50A
three,three,NY50A
three,three,NY50B
three,three,NY50B
three,three,NY51A
three,three,NY51B
three,three,NY51C
three,three,NY51D
three,three,NY51E!
three,three,NY51E!
three,three,NY52A
three,three,NY52A
three,three,NY52B
three,three,NY52C
three,three,NY53A
three,three,NY53B!
three,three,NY54A
three,three,NY54B
three,three,NY55A
three,three,NY55B
three,three,NY56A
three,three,NY56A
three,three,NY56B
three,three,NY57A
three,three,NY57A
three,three,NY57B
three,three,NY57B
three,three,NY57C!
three,three,NY58A
three,three,NY58B
three,three,NY58B
three,three,NY58B
three,three,NY58C
three,three,NY58D!
three,three,NY58D!
three,three,NY58E!
three,three,NY58E!
three,three,NY58F!
three,three,NY59A
three,three,NY59B
three,three,NY60A
three,three,NY60A
three,three,NY60B!
three,three,NY61A
three,three,NY61A
three,three,NY61A
three,three,NY61B
three,three,NY61B
three,three,NY62A
three,three,NY62B
three,three,NY62B
three,three,NY62B
three,three,NY62B
three,three,NY62B
three,three,NY62C
three,three,NY62D!
three,three,NY62D!
three,three,NY63A
three,three,NY63B
three,three,NY63C
three,three,NY63D!
three,three,NY63D!
three,three,NY64A
three,three,NY64B
three,three,NY64C!
three,three,NJ1A
three,three,NJ1B
three,three,NJ2A
three,three,NJ2B
three,three,NJ3A
three,three,NJ3B
three,three,NJ4A
three,three,NJ4B
three,three,NJ5A
three,three,NJ5B
three,three,NJ6A
three,three,NJ6B
three,three,NJ7A
three,three,NJ7B!
three,three,NJ8A
three,three,NJ8B
three,three,NJ9A
three,three,NJ9B
three,three,NJ10A
three,three,NJ10B
three,three,NJ10C
three,three,NJ10D!
three,three,NJ11A
three,three,NJ11B
three,three,NJ11C
three,three,NJ12A
three,three,NJ12B
three,three,NJ13A
three,three,NJ13B
three,three,NJ14A
three,three,NJ14B
three,three,NJ15A
three,three,NJ15B
three,three,NJ16A
three,three,NJ16B
three,three,NJ17A
three,three,NJ17B
three,three,NJ18A
three,three,NJ18B
three,three,NJ18C!
three,three,NJ18D!
three,three,NJ19A
three,three,NJ19B!
three,three,NJ20A
three,drie,NJ20A
three,three,NJ20B
three,three,NJ21A
three,three,NJ21B
three,three,PA1A
three,three,PA1B
three,three,PA1C
three,three,PA1D
three,three,PA1E!
three,three,PA1F!
three,three,PA1G!
three,three,PA1H!
three,three,PA2A
three,three,PA2B
three,three,PA3A
three,three,PA3B
three,three,PA3C
three,three,PA4A
three,three,PA4B!
three,three,PA5A
three,three,PA5B
three,three,PA5C
three,three,PA5D
three,three,PA5E!
three,three,PA6A
three,three,PA6B
three,three,PA6C
three,three,PA6D!
three,three,PA7A
three,three,PA7B
three,three,PA7C
three,three,PA7D!
three,three,PA8A
three,three,PA8B
three,three,PA8C
three,three,PA8D!
three,three,PA9A
three,three,PA9B
three,three,PA9C!
three,three,PA10
three,three,PA11A
three,three,PA11B
three,three,PA12A
three,three,PA12B
three,three,PA13A
three,three,PA13B
three,three,PA14A
three,three,PA14B
three,,PA14C
three,three,PA15A
three,three,PA15B
three,three,PA15C!
three,three,PA16A
three,three,PA16B
three,,PA16C
three,three,PA17A
three,three,PA17B
three,three,PA18A
three,three,PA18B!
three,three,PA19A
three,three,PA19B
three,three,PA20A
three,three,PA20B
three,three,PA21A
three,three,PA21B
three,three,PA22A
three,three,PA22B
three,three,PA23A
three,three,PA23B
three,three,PA24A
three,three,PA24B
three,three,PA25A
three,three,PA25B
three,three,PA26A
three,three,PA26B
three,three,PA27A
three,three,PA27B
three,three,PA28A
three,three,PA28B!
three,three,PA29A
three,three,PA29B
three,three,PA30A
three,three,PA30B
three,three,PA31A
three,three,PA31B
three,three,PA32A
three,three,PA32B
three,three,PA33A
three,three,PA33B
three,three,PA34A
three,three,PA34B
three,,PA34C!
three,three,PA35A
three,three,PA35B
three,three,PA35C
three,three,PA36A
three,three,PA36B
three,three,PA37A
three,three,PA37B
three,,PA37C
three,three,PA38A
three,three,PA38B
three,three,PA39A
three,three,PA39B
three,three,PA40A
three,three,PA40B
three,three,PA41A
three,three,PA41B
three,three,PA42A
three,three,PA42B
three,three,PA43A
three,three,PA43B
three,three,PA44A
three,three,PA44B
three,three,PA45A
three,three,PA45B
three,three,PA46A
three,three,PA46B
three,three,PA47A
three,three,PA47B
three,three,PA48A
three,three,PA48B
three,three,PA48C
three,three,PA49A
three,three,PA49B
three,,PA50A
three,three,PA50B
three,three,PA50C!
three,three,PA51A
three,three,PA51B
three,three,PA52A
three,three,PA52B!
three,three,PA53A
three,three,PA53B
three,three,PA54A
three,three,PA54B
three,three,PA55A
three,three,PA55B
three,three,PA56A
three,three,PA56B
three,three,PA57A
three,three,PA57B
three,three,PA58A
three,three,PA58B
three,three,PA59A
three,three,PA59B
three,three,PA60A
three,three,PA60B
three,three,PA61A
three,three,PA61B
three,three,PA62A
three,three,PA62B
three,three,PA63A
three,three,PA63B
three,three,PA64A
three,three,PA64B
three,three,PA65A
three,three,PA65B
three,three,PA66A
three,three,PA66B
three,three,PA67A
three,three,PA67B
three,three,WV1!
three,three,WV2
three,three,WV3
three,three,WV4A
three,three,WV4B
three,three,WV5
three,three,WV6A
three,three,WV6B
three,three,WV7A
three,three,WV7B
three,three,WV8A
three,three,WV8B
three,three,WV9A
three,three,WV9B
three,three,WV10A
three,three,WV10B
three,three,WV10C
three,three,WV11A
three,three,WV11B!
three,three,WV12A
three,three,WV12B
three,three,WV13A
three,three,WV13B
three,three,WV14A
three,three,WV14B
three,three,WV15A
three,three,WV15B
three,three,WV16A
three,three,WV16B
three,,WV17A
three,three,WV17B
three,three,WV17C
three,three,WV18A
three,three,WV18B
three,three,WV19A
three,three,WV19B
three,three,WV20A
three,three,WV20B
three,three,WV21A
three,three,WV21B
three,three,WV22A
three,three,WV22B
three,three,WV23A
three,three,WV23B
three,three,WV24A
three,three,WV24B
three,three,WV25A
three,three,WV25B
three,three,WV26A
three,three,WV26B
three,three,WV27A
