Target,Response,Informant
three years old,years old,NY1
three years old,,NY2A
three years old,years old,NY2B
three years old,,NY2C
three years old,three years old,NY3A
three years old,three years old,NY3B
three years old,three years old,NY3C
three years old,three years old,NY3D
three years old,three years old,NY4A
three years old,three year old,NY4B
three years old,three years old,NY4C
three years old,three years old,NY5A
three years old,three years old,NY5A
three years old,three years old,NY5B
three years old,three years old,NY5C
three years old,three years old,NY5D
three years old,three years old,NY5E
three years old,three years old,NY5F
three years old,three years old,NY5G
three years old,three years old,NY5H!
three years old,three years old,NY5I!
three years old,three years old,NY6A
three years old,three years old,NY6B
three years old,three years old,NY7A
three years old,three years old,NY7B
three years old,three years old,NY7C
three years old,three years old,NY7D
three years old,three years old,NY7E
three years old,three years old,NY7F
three years old,three years old,NY7G
three years old,three years old,NY7H
three years old,three years old,NY7I
three years old,three years old,NY7J!
three years old,three years old,NY7K!
three years old,three years old,NY7L!
three years old,three years old,NY7M!
three years old,three years old,NY8
three years old,three years old,NY9A
three years old,three years old,NY9B
three years old,three years old,NY9C
three years old,three years old,NY10A
three years old,three years old,NY10B!
three years old,three years old,NY11
three years old,three years old,NY12A
three years old,three years old,NY12B
three years old,three years old,NY12C!
three years old,three years old,NY13A
three years old,three years old,NY13B!
three years old,three years old,NY14A
three years old,three years old,NY14B
three years old,three year old,NY15A
three years old,three years old,NY15B
three years old,three years old,NY16A
three years old,three years old,NY16B
three years old,three years old,NY17A
three years old,three years old,NY17B
three years old,three years old,NY18A
three years old,three years old,NY18B
three years old,three years old,NY18C!
three years old,three years old,NY19
three years old,three years old,NY20A
three years old,three years old,NY20B
three years old,three years old,NY21
three years old,three years old,NY22
three years old,four years old,NY23A
three years old,four years old,NY23B
three years old,five years old,NY23C
three years old,three years old,NY24A
three years old,three years old,NY24B!
three years old,six years old,NY25A
three years old,three years old,NY25A
three years old,three years old,NY25B
three years old,years,NY25B
three years old,two years old,NY26A
three years old,seven years old,NY26B
three years old,two years old,NY26B
three years old,,NY26C
three years old,four years,NY27A
three years old,hundred years,NY27A
three years old,hundred years old,NY27A
three years old,two years old,NY27B
three years old,three years old,NY27B
three years old,three years old,NY27C
three years old,two years old,NY28A
three years old,twelve years old,NY28B
three years old,three years old,NY28B
three years old,a year and a half old,NY28B
three years old,ten years old,NY28C
three years old,twelve years old,NY29A
three years old,four years old,NY29B
three years old,four years old,NY29C
three years old,three year old,NY29C
three years old,nine year old,NY30A
three years old,twenty year,NY30A
three years old,three years old,NY30B
three years old,,NY30C
three years old,,NY30D
three years old,twelve years old,NY30E
three years old,three years old,NY30E
three years old,two years,NY30E
three years old,five years old,NY31A
three years old,hundred years old,NY31A
three years old,ten year old,NY31A
three years old,three year old,NY31A
three years old,six years old,NY31A
three years old,big as a patch on your britches,NY31A
three years old,three years old,NY31B
three years old,hundred years old,NY31B
three years old,three years old,NY32A
three years old,a couple of year,NY32A
three years old,three years old,NY32B
three years old,a year old,NY32B
three years old,two years old,NY33A
three years old,eight years old,NY33B
three years old,two years,NY33B
three years old,ten years old,NY33C
three years old,ten years old,NY33C
three years old,a year old,NY33C
three years old,three years old,NY34A
three years old,five years old,NY34B
three years old,six years old,NY34C
three years old,fifteen years,NY34D!
three years old,six years old,NY34D!
three years old,three years old,NY35A
three years old,three years old,NY35B
three years old,,NY35C!
three years old,three year old,NY36A
three years old,three years old,NY36B
three years old,three years old,NY37A
three years old,three years old,NY37B
three years old,three years old,NY37C!
three years old,three years old,NY38A
three years old,three years old,NY38B
three years old,,NY38C
three years old,three years old,NY39A
three years old,three years old,NY39B
three years old,three years old,NY40A
three years old,three years old,NY40B
three years old,three years old,NY41
three years old,three years old,NY42A
three years old,three years old,NY42B
three years old,,NY43A
three years old,three years old,NY43B
three years old,three years old,NY43C!
three years old,three years old,NY44A
three years old,three years old,NY44B
three years old,four years old,NY45A
three years old,four years old,NY45A
three years old,ten years,NY45A
three years old,nine years old,NY45B
three years old,,NY45C
three years old,six years old,NY45D!
three years old,ten years old,NY46A
three years old,three years old,NY46B
three years old,three years old,NY46B
three years old,three years old,NY46B
three years old,three years old,NY46C
three years old,two years,NY46C
three years old,five or six years old,NY46C
three years old,fourteen years,NY46C
three years old,twelve years old,NY47A
three years old,five years old,NY47A
three years old,three years old,NY47B
three years old,two year old,NY48A
three years old,three years old,NY48B
three years old,a hundred years,NY48B
three years old,three years old,NY48C
three years old,eighteen year,NY48D
three years old,ten years old,NY48D
three years old,sixteen year old,NY49A
three years old,,NY49B
three years old,forty-six and a half years,NY49C
three years old,three years old,NY49C
three years old,three years old,NY49D
three years old,years,NY49D
three years old,eighteen years old,NY50A
three years old,ten years old,NY50A
three years old,two years old,NY50B
three years old,nine year old,NY51A
three years old,eleven years old,NY51A
three years old,five years old,NY51B
three years old,two years old,NY51C
three years old,twenty years,NY51D
three years old,ten years,NY51D
three years old,six years old,NY51D
three years old,four years,NY51E!
three years old,four years old,NY51E!
three years old,three years old,NY52A
three years old,eight years old,NY52A
three years old,four years old,NY52A
three years old,three years old,NY52B
three years old,three years old,NY52C
three years old,two years,NY53A
three years old,four years old,NY53A
three years old,three year old,NY53A
three years old,five years old,NY53B!
three years old,five years old,NY53B!
three years old,twenty years,NY54A
three years old,three years old,NY54B
three years old,three years old,NY54B
three years old,four years old,NY55A
three years old,two years,NY55A
three years old,twenty-five years,NY55B
three years old,five years old,NY55B
three years old,two years old,NY56A
three years old,eight years old,NY56A
three years old,nine years old,NY56B
three years old,two years old,NY56B
three years old,years,NY57A
three years old,two years old,NY57A
three years old,ten years old,NY57B
three years old,four years old,NY57C!
three years old,twenty years,NY57C!
three years old,nine years old,NY58A
three years old,seven years,NY58B
three years old,three years,NY58B
three years old,two years old,NY58B
three years old,,NY58C
three years old,seven years old,NY58D!
three years old,six years old,NY58E!
three years old,,NY58F!
three years old,eight years old,NY59A
three years old,three years old,NY59A
three years old,three years old,NY59B
three years old,three years old,NY60A
three years old,five years old,NY60A
three years old,twelve years old,NY60B!
three years old,nine years old,NY61A
three years old,three years old,NY61B
three years old,two years,NY61B
three years old,hundred years old,NY62A
three years old,eight years old,NY62A
three years old,two years old,NY62B
three years old,hundred and twenty years old,NY62C
three years old,hundred years old,NY62D!
three years old,hundred years old,NY62D!
three years old,fifteen years old,NY63A
three years old,years,NY63A
three years old,third year,NY63A
three years old,two years old,NY63B
three years old,three years old,NY63C
three years old,ten years old,NY63D!
three years old,three years old,NY64A
three years old,a hundred years,NY64A
three years old,a few years,NY64B
three years old,sixteen years old,NY64B
three years old,six years old,NY64C!
three years old,three years old,NJ1A
three years old,three year old,NJ1B
three years old,three year old,NJ2A
three years old,three year old,NJ2B
three years old,three year old,NJ3A
three years old,three year old,NJ3B
three years old,three years old,NJ4A
three years old,three years old,NJ4B
three years old,three year old,NJ5A
three years old,three year old,NJ5B
three years old,three years old,NJ6A
three years old,three year old,NJ6B
three years old,three years old,NJ7A
three years old,three years old,NJ7B!
three years old,three years old,NJ8A
three years old,three years old,NJ8B
three years old,three years old,NJ9A
three years old,three years old,NJ9B
three years old,three years old,NJ10A
three years old,three years old,NJ10B
three years old,three years old,NJ10C
three years old,three years old,NJ10D!
three years old,three years old,NJ11A
three years old,three years old,NJ11B
three years old,three years old,NJ11C
three years old,three years old,NJ12A
three years old,three years old,NJ12B
three years old,three years old,NJ13A
three years old,three years old,NJ13B
three years old,three years old,NJ14A
three years old,three years old,NJ14B
three years old,three years old,NJ15A
three years old,three years old,NJ15B
three years old,three years old,NJ16A
three years old,three years old,NJ16B
three years old,three years old,NJ17A
three years old,three years old,NJ17B
three years old,three years old,NJ18A
three years old,three years old,NJ18B
three years old,three years old,NJ18C!
three years old,three years old,NJ18D!
three years old,three years old,NJ19A
three years old,three years old,NJ19B!
three years old,three years old,NJ20A
three years old,three years old,NJ20B
three years old,three years old,NJ21A
three years old,three years old,NJ21B
three years old,three years old,PA1A
three years old,three years old,PA1B
three years old,three years old,PA1C
three years old,three years old,PA1D
three years old,three years old,PA1E!
three years old,three years old,PA1F!
three years old,three years old,PA1G!
three years old,I was five year old,PA1H!
three years old,three years old,PA1H!
three years old,three year old,PA2A
three years old,three years old,PA2B
three years old,three years old,PA3A
three years old,three years old,PA3B
three years old,three years old,PA3C
three years old,three years old,PA4A
three years old,three years old,PA4B!
three years old,three years old,PA5A
three years old,three years old,PA5B
three years old,three years old,PA5C
three years old,three years old,PA5D
three years old,three years old,PA5E!
three years old,three years old,PA6A
three years old,three years old,PA6B
three years old,three years old,PA6C
three years old,three years old,PA6D!
three years old,three years old,PA7A
three years old,three years old,PA7B
three years old,three years old,PA7C
three years old,three years old,PA7D!
three years old,three years old,PA8A
