Target,Response,Informant
thunderstorm,thunderstorm,NY1
thunderstorm,,NY2A
thunderstorm,thundershower,NY2B
thunderstorm,,NY2C
thunderstorm,thundershower,NY3A
thunderstorm,thundershower,NY3B
thunderstorm,thunderstorm,NY3C
thunderstorm,thunderstorm,NY3D
thunderstorm,thundershower,NY4A
thunderstorm,thunderstorm,NY4B
thunderstorm,thunderstorm,NY4C
thunderstorm,thunderstorm,NY5A
thunderstorm,thunderstorm,NY5B
thunderstorm,thunderstorm,NY5C
thunderstorm,storm,NY5D
thunderstorm,thundershower,NY5E
thunderstorm,thunderstorm,NY5E
thunderstorm,thunderstorm,NY5F
thunderstorm,thundershower,NY5G
thunderstorm,thunderstorm,NY5H!
thunderstorm,thunderstorm,NY5I!
thunderstorm,thundershower,NY6A
thunderstorm,thunderstorm,NY6B
thunderstorm,thunderstorm,NY7A
thunderstorm,thundershower,NY7B
thunderstorm,thunderstorm,NY7C
thunderstorm,thundershower,NY7D
thunderstorm,thunderstorm,NY7E
thunderstorm,thunderstorm,NY7F
thunderstorm,thunderstorm,NY7G
thunderstorm,thunderstorm,NY7H
thunderstorm,thunderstorm,NY7I
thunderstorm,thunderstorm,NY7J!
thunderstorm,thunderstorm,NY7K!
thunderstorm,thunderstorm,NY7L!
thunderstorm,thunderstorm,NY7M!
thunderstorm,thundershower,NY8
thunderstorm,thunderstorm,NY9A
thunderstorm,thunderstorm,NY9B
thunderstorm,thundershower,NY9C
thunderstorm,thundershower,NY10A
thunderstorm,thunderstorm,NY10B!
thunderstorm,thunderstorm,NY11
thunderstorm,thunderstorm,NY12A
thunderstorm,thundershower,NY12B
thunderstorm,thundershower,NY12C!
thunderstorm,thunderstorm,NY13A
thunderstorm,thunderstorm,NY13B!
thunderstorm,thundershower,NY13B!
thunderstorm,thundershower,NY14A
thunderstorm,thundershower,NY14B
thunderstorm,thundershower,NY15A
thunderstorm,thundershower,NY15B
thunderstorm,thundershower,NY16A
thunderstorm,thunderstorm,NY16B
thunderstorm,thundershower,NY17A
thunderstorm,thundershower,NY17B
thunderstorm,thundershower,NY18A
thunderstorm,thundershower,NY18B
thunderstorm,thundershower,NY18C!
thunderstorm,thunderstorm,NY19
thunderstorm,thundershower,NY20A
thunderstorm,thundershower,NY20B
thunderstorm,thundershower,NY21
thunderstorm,thundershower,NY22
thunderstorm,,NY23A
thunderstorm,thunderstorm,NY23B
thunderstorm,thunderstorm,NY23C
thunderstorm,thundershower,NY23C
thunderstorm,shower,NY23C
thunderstorm,thunder and lightning storm,NY23C
thunderstorm,tempest,NY23C
thunderstorm,windstorms,NY23C
thunderstorm,thundershower,NY24A
thunderstorm,thunderstorm,NY24B!
thunderstorm,thundershower,NY25A
thunderstorm,bad storm,NY25A
thunderstorm,tempest,NY25A
thunderstorm,storm,NY25A
thunderstorm,storm,NY25A
thunderstorm,thunder and lightning storm,NY25A
thunderstorm,hurricane,NY25A
thunderstorm,hurricane,NY25A
thunderstorm,thunderstorm,NY25B
thunderstorm,electrical storm,NY25B
thunderstorm,electric storm,NY25B
thunderstorm,thundershower,NY25B
thunderstorm,thundershower,NY26A
thunderstorm,thunderstorm,NY26A
thunderstorm,thundershower,NY26B
thunderstorm,hurricane,NY26B
thunderstorm,thunderstorm,NY26B
thunderstorm,thundershower,NY26B
thunderstorm,,NY26C
thunderstorm,storm,NY27A
thunderstorm,thunder and lightning shower,NY27A
thunderstorm,thundershower,NY27A
thunderstorm,storm,NY27A
thunderstorm,,NY27B
thunderstorm,storms,NY27C
thunderstorm,thundershower,NY27C
thunderstorm,thundershowers,NY27C
thunderstorm,big storms,NY27C
thunderstorm,thunderstorm,NY28A
thunderstorm,electric storm,NY28A
thunderstorm,thundershower,NY28A
thunderstorm,storm,NY28B
thunderstorm,hard wind,NY28B
thunderstorm,thunderstorm,NY28B
thunderstorm,,NY28C
thunderstorm,thunderstorm,NY29A
thunderstorm,thundershower,NY29A
thunderstorm,thunderstorm,NY29B
thunderstorm,tornado,NY29B
thunderstorm,thunderstorm,NY29C
thunderstorm,thundershower,NY29C
thunderstorm,electric storm,NY30A
thunderstorm,thunderstorm,NY30A
thunderstorm,thunderstorm,NY30B
thunderstorm,,NY30C
thunderstorm,,NY30D
thunderstorm,thunderstorm,NY30E
thunderstorm,squall,NY31A
thunderstorm,thunderstorm,NY31A
thunderstorm,squall,NY31B
thunderstorm,thunderstorm,NY31B
thunderstorm,thunder and lightning storm,NY32A
thunderstorm,lightning storm,NY32A
thunderstorm,thunderstorm,NY32A
thunderstorm,thunderstorm,NY32B
thunderstorm,,NY33A
thunderstorm,thunderstorm,NY33B
thunderstorm,windfall,NY33B
thunderstorm,thunderstorm,NY33C
thunderstorm,squall,NY34A
thunderstorm,thunderstorm,NY34A
thunderstorm,storm windows,NY34B
thunderstorm,storm,NY34B
thunderstorm,,NY34C
thunderstorm,electrical storm,NY34D!
thunderstorm,squall,NY34D!
thunderstorm,thunderstorm,NY34D!
thunderstorm,thunderstorm,NY35A
thunderstorm,thunderstorm,NY35B
thunderstorm,,NY35C!
thunderstorm,thunderstorm,NY36A
thunderstorm,thunderstorm,NY36B
thunderstorm,thundershower,NY37A
thunderstorm,thunderstorm,NY37B
thunderstorm,thunderstorm,NY37C!
thunderstorm,thunderstorm,NY38A
thunderstorm,thunderstorm,NY38B
thunderstorm,,NY38C
thunderstorm,thundershower,NY39A
thunderstorm,thunderstorm,NY39B
thunderstorm,,NY40A
thunderstorm,thundershower,NY40B
thunderstorm,thundershower,NY41
thunderstorm,thundershower,NY42A
thunderstorm,thundershower,NY42B
thunderstorm,,NY43A
thunderstorm,thunderstorm,NY43B
thunderstorm,thunderstorm,NY43C!
thunderstorm,thunderstorm,NY44A
thunderstorm,thunderstorm,NY44B
thunderstorm,cyclone,NY45A
thunderstorm,thunderstorm,NY45A
thunderstorm,thunderstorm,NY45A
thunderstorm,electric storm,NY45A
thunderstorm,,NY45B
thunderstorm,,NY45C
thunderstorm,snow squall,NY45D!
thunderstorm,thunderstorm,NY45D!
thunderstorm,blinger,NY46A
thunderstorm,thunderstorm,NY46A
thunderstorm,storms,NY46A
thunderstorm,electric storm,NY46B
thunderstorm,tornado,NY46B
thunderstorm,thundershower,NY46C
thunderstorm,thundershower,NY47A
thunderstorm,thunderstorm,NY47A
thunderstorm,thunder,NY47A
thunderstorm,thundershower,NY47B
thunderstorm,cyclone,NY48A
thunderstorm,thunderstorm,NY48A
thunderstorm,thundershower,NY48A
thunderstorm,,NY48B
thunderstorm,thundershower,NY48C
thunderstorm,twister,NY48C
thunderstorm,thunderstorm,NY48C
thunderstorm,cyclone,NY48C
thunderstorm,storm,NY48D
thunderstorm,thundershower,NY48D
thunderstorm,thunderstorm,NY49A
thunderstorm,,NY49B
thunderstorm,thunderstorm,NY49C
thunderstorm,electric storm,NY49D
thunderstorm,thundershower,NY50A
thunderstorm,storm,NY50B
thunderstorm,thundershower,NY50B
thunderstorm,electric storm,NY51A
thunderstorm,snow storm,NY51A
thunderstorm,twisters,NY51A
thunderstorm,storm,NY51A
thunderstorm,thunderstorm,NY51A
thunderstorm,storm,NY51A
thunderstorm,thundershower,NY51B
thunderstorm,thunderstorm,NY51C
thunderstorm,storming,NY51C
thunderstorm,snow storm,NY51D
thunderstorm,,NY51E!
thunderstorm,electric storm,NY52A
thunderstorm,snow showers,NY52A
thunderstorm,thundershowers,NY52A
thunderstorm,electric storms,NY52A
thunderstorm,,NY52B
thunderstorm,electrical storm,NY52C
thunderstorm,thunderstorm,NY52C
thunderstorm,storm,NY53A
thunderstorm,tornado,NY53A
thunderstorm,thunder and lightning storm,NY53A
thunderstorm,electric storm,NY53B!
thunderstorm,thunderstorm,NY53B!
thunderstorm,thundershower,NY54A
thunderstorm,thunderstorm,NY54B
thunderstorm,thunderstorm,NY55A
