Target,Response,Informant
Thursday,Thursday,NY1
Thursday,,NY2A
Thursday,Thursday,NY2B
Thursday,,NY2C
Thursday,Thursday,NY3A
Thursday,Thursday,NY3B
Thursday,Thursday,NY3C
Thursday,Thursday,NY3D
Thursday,Thursday,NY4A
Thursday,Thursday,NY4B
Thursday,Thursday,NY4C
Thursday,Thursday,NY5A
Thursday,Thursday,NY5B
Thursday,Thursday,NY5C
Thursday,Thursday,NY5D
Thursday,Thursday,NY5E
Thursday,Thursday,NY5F
Thursday,Thursday,NY5G
Thursday,Thursday,NY5H!
Thursday,Thursday,NY5I!
Thursday,Thursday,NY6A
Thursday,Thursday,NY6B
Thursday,Thursday,NY7A
Thursday,Thursday,NY7B
Thursday,Thursday,NY7C
Thursday,Thursday,NY7D
Thursday,Thursday,NY7E
Thursday,Thursday,NY7F
Thursday,Thursday,NY7F
Thursday,Thursday,NY7G
Thursday,Thursday,NY7H
Thursday,Thursday,NY7I
Thursday,Thursday,NY7J!
Thursday,Thursday,NY7K!
Thursday,Thursday,NY7L!
Thursday,Thursday,NY7M!
Thursday,Thursday,NY8
Thursday,Thursday,NY9A
Thursday,Thursday,NY9B
Thursday,Thursday,NY9C
Thursday,Thursday,NY10A
Thursday,Thursday,NY10B!
Thursday,Thursday,NY11
Thursday,Thursday,NY12A
Thursday,Thursday,NY12B
Thursday,Thursday,NY12C!
Thursday,Thursday,NY13A
Thursday,Thursday,NY13B!
Thursday,Thursday,NY14A
Thursday,Thursday,NY14B
Thursday,Thursday,NY15A
Thursday,Thursday,NY15B
Thursday,Thursday,NY16A
Thursday,Thursday,NY16B
Thursday,Thursday,NY17A
Thursday,Thursday,NY17B
Thursday,Thursday,NY18A
Thursday,Thursday,NY18B
Thursday,Thursday,NY18C!
Thursday,Thursday,NY19
Thursday,Thursday,NY20A
Thursday,Thursday,NY20B
Thursday,Thursday,NY21
Thursday,Thursday,NY22
Thursday,,NY23A
Thursday,Thursday,NY23B
Thursday,Thursday,NY23C
Thursday,Thursday,NY24A
Thursday,Thursday,NY24B!
Thursday,Thursday,NY25A
Thursday,Thursday,NY25B
Thursday,Thursday,NY26A
Thursday,Thursday,NY26B
Thursday,,NY26C
Thursday,Thursday,NY27A
Thursday,,NY27B
Thursday,Thursday,NY27C
Thursday,Thursday,NY28A
Thursday,Thursday,NY28B
Thursday,,NY28C
Thursday,Thursday,NY29A
Thursday,Thursday,NY29B
Thursday,Thursday,NY29C
Thursday,Thursday,NY30A
Thursday,Thursday,NY30B
Thursday,,NY30C
Thursday,,NY30D
Thursday,Thursday,NY30E
Thursday,Thursday,NY31A
Thursday,Thursday,NY31B
Thursday,Thursday,NY32A
Thursday,Thursday,NY32B
Thursday,,NY33A
Thursday,Thursday,NY33B
Thursday,Thursday,NY33C
Thursday,Thursday,NY34A
Thursday,,NY34B
Thursday,Thursday,NY34C
Thursday,Thursday,NY34D!
Thursday,Thursday,NY35A
Thursday,Thursday,NY35B
Thursday,,NY35C!
Thursday,Thursday,NY36A
Thursday,Thursday,NY36B
Thursday,Thursday,NY37A
Thursday,Thursday,NY37B
Thursday,Thursday,NY37C!
Thursday,Thursday,NY38A
Thursday,Thursday,NY38B
Thursday,,NY38C
Thursday,Thursday,NY39A
Thursday,Thursday,NY39B
Thursday,Thursday,NY40A
Thursday,Thursday,NY40B
Thursday,Thursday,NY41
Thursday,Thursday,NY42A
Thursday,Thursday,NY42B
Thursday,,NY43A
Thursday,Thursday,NY43B
Thursday,Thursday,NY43C!
Thursday,Thursday,NY44A
Thursday,Thursday,NY44B
Thursday,Thursday,NY45A
Thursday,Thursday,NY45B
Thursday,,NY45C
Thursday,Thursday,NY45D!
Thursday,Thursday,NY46A
Thursday,Thursday,NY46B
Thursday,Thursday,NY46C
Thursday,Thursday,NY47A
Thursday,Thursday,NY47B
Thursday,Thursday,NY48A
Thursday,,NY48B
Thursday,Thursday,NY48C
Thursday,Thursday,NY48D
Thursday,,NY49A
Thursday,,NY49B
