Target,Response,Informant
tomorrow,tomorrow,NY1
tomorrow,,NY2A
tomorrow,tomorrow,NY2B
tomorrow,,NY2C
tomorrow,tomorrow,NY3A
tomorrow,tomorrow,NY3B
tomorrow,tomorrow,NY3C
tomorrow,tomorrow,NY3D
tomorrow,tomorrow,NY4A
tomorrow,tomorrow,NY4B
tomorrow,tomorrow,NY4C
tomorrow,tomorrow,NY5A
tomorrow,tomorrow,NY5B
tomorrow,tomorrow,NY5C
tomorrow,tomorrow,NY5D
tomorrow,tomorrow,NY5E
tomorrow,tomorrow,NY5F
tomorrow,tomorrow,NY5G
tomorrow,tomorrow,NY5H!
tomorrow,tomorrow,NY5I!
tomorrow,tomorrow,NY6A
tomorrow,tomorrow,NY6B
tomorrow,tomorrow,NY7A
tomorrow,tomorrow,NY7B
tomorrow,tomorrow,NY7C
tomorrow,tomorrow,NY7D
tomorrow,tomorrow,NY7E
tomorrow,tomorrow,NY7F
tomorrow,tomorrow,NY7G
tomorrow,tomorrow,NY7H
tomorrow,tomorrow,NY7I
tomorrow,tomorrow,NY7J!
tomorrow,tomorrow,NY7K!
tomorrow,tomorrow,NY7L!
tomorrow,tomorrow,NY7M!
tomorrow,tomorrow,NY8
tomorrow,tomorrow,NY9A
tomorrow,tomorrow,NY9B
tomorrow,tomorrow,NY9C
tomorrow,tomorrow,NY10A
tomorrow,tomorrow,NY10B!
tomorrow,tomorrow,NY11
tomorrow,tomorrow,NY12A
tomorrow,tomorrow,NY12B
tomorrow,tomorrow,NY12C!
tomorrow,tomorrow,NY13A
tomorrow,tomorrow,NY13B!
tomorrow,tomorrow,NY14A
tomorrow,tomorrow,NY14B
tomorrow,tomorrow,NY15A
tomorrow,tomorrow,NY15B
tomorrow,tomorrow,NY16A
tomorrow,tomorrow,NY16B
tomorrow,tomorrow,NY17A
tomorrow,tomorrow,NY17B
tomorrow,tomorrow,NY18A
tomorrow,tomorrow,NY18B
tomorrow,tomorrow,NY18C!
tomorrow,tomorrow,NY19
tomorrow,tomorrow,NY20A
tomorrow,tomorrow,NY20B
tomorrow,tomorrow,NY21
tomorrow,tomorrow,NY22
tomorrow,tomorrow,NY23A
tomorrow,tomorrow,NY23B
tomorrow,tomorrow,NY23C
tomorrow,tomorrow,NY24A
tomorrow,tomorrow,NY24B!
tomorrow,tomorrow,NY25A
tomorrow,tomorrow,NY25B
tomorrow,tomorrow,NY26A
tomorrow,tomorrow,NY26A
tomorrow,tomorrow,NY26B
tomorrow,tomorrow,NY26B
tomorrow,tomorrow,NY26C
tomorrow,tomorrow,NY27A
tomorrow,tomorrow,NY27A
tomorrow,tomorrow,NY27B
tomorrow,tomorrow,NY27B
tomorrow,tomorrow,NY27C
tomorrow,tomorrow,NY28A
tomorrow,tomorrow,NY28B
tomorrow,tomorrow,NY28C
tomorrow,tomorrow,NY29A
tomorrow,tomorrow,NY29B
tomorrow,tomorrow,NY29C
tomorrow,tomorrow,NY30A
tomorrow,tomorrow,NY30B
tomorrow,tomorrow,NY30B
tomorrow,,NY30C
tomorrow,tomorrow,NY30D
tomorrow,tomorrow,NY30E
tomorrow,tomorrow,NY31A
tomorrow,tomorrow,NY31B
tomorrow,tomorrow,NY31B
tomorrow,tomorrow,NY32A
tomorrow,tomorrow,NY32A
tomorrow,tomorrow,NY32B
tomorrow,tomorrow,NY32B
tomorrow,tomorrow,NY33A
tomorrow,tomorrow,NY33B
tomorrow,tomorrow,NY33B
tomorrow,tomorrow,NY33C
tomorrow,tomorrow,NY33C
tomorrow,tomorrow,NY34A
tomorrow,,NY34B
tomorrow,,NY34C
tomorrow,tomorrow,NY34D!
tomorrow,tomorrow,NY35A
tomorrow,tomorrow,NY35B
tomorrow,,NY35C!
tomorrow,tomorrow,NY36A
tomorrow,tomorrow,NY36B
tomorrow,tomorrow,NY37A
tomorrow,tomorrow,NY37B
tomorrow,tomorrow,NY37C!
tomorrow,tomorrow,NY38A
tomorrow,tomorrow,NY38B
tomorrow,,NY38C
tomorrow,tomorrow,NY39A
tomorrow,tomorrow,NY39B
tomorrow,tomorrow,NY40A
tomorrow,tomorrow,NY40B
tomorrow,tomorrow,NY41
tomorrow,tomorrow,NY42A
tomorrow,tomorrow,NY42B
tomorrow,,NY43A
tomorrow,tomorrow,NY43B
tomorrow,tomorrow,NY43C!
tomorrow,tomorrow,NY44A
tomorrow,tomorrow,NY44B
tomorrow,tomorrow,NY45A
tomorrow,tomorrow,NY45A
tomorrow,,NY45B
tomorrow,tomorrow,NY45C
tomorrow,tomorrow,NY45D!
tomorrow,tomorrow,NY46A
tomorrow,tomorrow,NY46B
tomorrow,tomorrow,NY46C
tomorrow,tomorrow,NY47A
tomorrow,tomorrow,NY47A
tomorrow,tomorrow,NY47B
tomorrow,tomorrow,NY48A
tomorrow,tomorrow,NY48A
tomorrow,,NY48B
tomorrow,tomorrow,NY48C
tomorrow,tomorrow,NY48D
tomorrow,,NY49A
tomorrow,,NY49B
tomorrow,tomorrow,NY49C
tomorrow,tomorrow,NY49D
tomorrow,tomorrow,NY50A
tomorrow,tomorrow,NY50A
tomorrow,tomorrow,NY50B
tomorrow,tomorrow,NY51A
tomorrow,tomorrow,NY51A
tomorrow,tomorrow,NY51A
tomorrow,tomorrow,NY51B
tomorrow,tomorrow,NY51C
tomorrow,tomorrow,NY51D
tomorrow,,NY51E!
tomorrow,tomorrow,NY52A
tomorrow,,NY52B
tomorrow,tomorrow,NY52C
tomorrow,tomorrow,NY52C
tomorrow,tomorrow,NY53A
tomorrow,tomorrow,NY53A
tomorrow,tomorrow,NY53A
tomorrow,tomorrow,NY53B!
tomorrow,tomorrow,NY53B!
tomorrow,tomorrow,NY54A
tomorrow,tomorrow,NY54B
tomorrow,tomorrow,NY55A
tomorrow,tomorrow,NY55A
tomorrow,tomorrow,NY55B
tomorrow,tomorrow,NY56A
tomorrow,tomorrow,NY56B
