Target,Response,Informant
Tuesday,Tuesday,NY1
Tuesday,,NY2A
Tuesday,Tuesday,NY2B
Tuesday,,NY2C
Tuesday,Tuesday,NY3A
Tuesday,Tuesday,NY3B
Tuesday,Tuesday,NY3C
Tuesday,Tuesday,NY3D
Tuesday,Tuesday,NY4A
Tuesday,Tuesday,NY4B
Tuesday,Tuesday,NY4C
Tuesday,Tuesday,NY5A
Tuesday,Tuesday,NY5B
Tuesday,Tuesday,NY5C
Tuesday,Tuesday,NY5D
Tuesday,Tuesday,NY5E
Tuesday,Tuesday,NY5F
Tuesday,Tuesday,NY5G
Tuesday,Tuesday,NY5H!
Tuesday,Tuesday,NY5I!
Tuesday,Tuesday,NY6A
Tuesday,Tuesday,NY6B
Tuesday,Tuesday,NY7A
Tuesday,Tuesday,NY7B
Tuesday,Tuesday,NY7C
Tuesday,Tuesday,NY7D
Tuesday,Tuesday,NY7E
Tuesday,Tuesday,NY7F
Tuesday,Tuesday,NY7G
Tuesday,Tuesday,NY7H
Tuesday,Tuesday,NY7I
Tuesday,Tuesday,NY7J!
Tuesday,Tuesday,NY7K!
Tuesday,Tuesday,NY7L!
Tuesday,Tuesday,NY7M!
Tuesday,Tuesday,NY8
Tuesday,Tuesday,NY9A
Tuesday,Tuesday,NY9B
Tuesday,Tuesday,NY9C
Tuesday,Tuesday,NY10A
Tuesday,Tuesday,NY10B!
Tuesday,Tuesday,NY11
Tuesday,Tuesday,NY12A
Tuesday,Tuesday,NY12B
Tuesday,Tuesday,NY12C!
Tuesday,Tuesday,NY13A
Tuesday,Tuesday,NY13B!
Tuesday,Tuesday,NY14A
Tuesday,Tuesday,NY14B
Tuesday,Tuesday,NY15A
Tuesday,Tuesday,NY15B
Tuesday,Tuesday,NY16A
Tuesday,Tuesday,NY16B
Tuesday,Tuesday,NY17A
Tuesday,Tuesday,NY17B
Tuesday,Tuesday,NY18A
Tuesday,Tuesday,NY18B
Tuesday,Tuesday,NY18C!
Tuesday,Tuesday,NY19
Tuesday,Tuesday,NY20A
Tuesday,Tuesday,NY20B
Tuesday,Tuesday,NY21
Tuesday,Tuesday,NY22
Tuesday,,NY23A
Tuesday,Tuesday,NY23B
Tuesday,Tuesday,NY23B
Tuesday,Tuesday,NY23C
Tuesday,Tuesday,NY24A
Tuesday,Tuesday,NY24B!
Tuesday,Tuesday,NY25A
Tuesday,Tuesday,NY25B
Tuesday,Tuesday,NY26A
Tuesday,Tuesday,NY26B
Tuesday,,NY26C
Tuesday,Tuesday,NY27A
Tuesday,,NY27B
Tuesday,Tuesday,NY27C
Tuesday,Tuesdays,NY28A
Tuesday,Tuesday,NY28B
Tuesday,Tuesdays,NY28C
Tuesday,Tuesday,NY29A
Tuesday,Tuesday,NY29B
Tuesday,Tuesday,NY29C
Tuesday,Tuesday,NY30A
Tuesday,Tuesday,NY30A
Tuesday,Tuesday,NY30B
Tuesday,,NY30C
Tuesday,,NY30D
Tuesday,Tuesday,NY30E
Tuesday,Tuesday,NY31A
Tuesday,Tuesday,NY31A
Tuesday,Tuesday,NY31B
Tuesday,Tuesday,NY31B
Tuesday,Tuesday,NY32A
Tuesday,Tuesday,NY32B
Tuesday,Tuesday,NY33A
Tuesday,Tuesday,NY33B
Tuesday,Tuesday,NY33C
Tuesday,Tuesday,NY34A
Tuesday,Tuesday,NY34B
Tuesday,Tuesday,NY34C
Tuesday,Tuesday,NY34D!
Tuesday,Tuesday,NY35A
Tuesday,Tuesday,NY35B
Tuesday,,NY35C!
Tuesday,Tuesday,NY36A
Tuesday,Tuesday,NY36B
Tuesday,Tuesday,NY37A
Tuesday,Tuesday,NY37B
Tuesday,Tuesday,NY37C!
Tuesday,Tuesday,NY38A
Tuesday,Tuesday,NY38B
Tuesday,,NY38C
Tuesday,Tuesday,NY39A
Tuesday,Tuesday,NY39B
Tuesday,Tuesday,NY40A
Tuesday,Tuesday,NY40B
Tuesday,Tuesday,NY41
Tuesday,Tuesday,NY42A
Tuesday,Tuesday,NY42B
Tuesday,,NY43A
Tuesday,Tuesday,NY43B
Tuesday,Tuesday,NY43C!
Tuesday,Tuesday,NY44A
Tuesday,Tuesday,NY44B
Tuesday,Tuesday,NY45A
Tuesday,Tuesday,NY45B
Tuesday,,NY45C
Tuesday,Tuesday,NY45D!
Tuesday,Tuesday,NY46A
Tuesday,Tuesday,NY46B
Tuesday,Tuesday,NY46C
Tuesday,Tuesday,NY47A
Tuesday,Tuesday,NY47B
Tuesday,Tuesday,NY48A
Tuesday,Tuesday,NY48A
Tuesday,Tuesdays,NY48B
Tuesday,Tuesday,NY48C
Tuesday,Tuesday,NY48D
Tuesday,,NY49A
Tuesday,,NY49B
