Target,Response,Informant
twelve,twelve,NY1
twelve,,NY2A
twelve,twelve,NY2B
twelve,,NY2C
twelve,twelve,NY3A
twelve,twelve,NY3B
twelve,twelve,NY3C
twelve,twelve,NY3D
twelve,twelve,NY4A
twelve,twelve,NY4B
twelve,twelve,NY4C
twelve,twelve,NY5A
twelve,twelve,NY5B
twelve,twelve,NY5C
twelve,twelve,NY5D
twelve,twelve,NY5E
twelve,twelve,NY5F
twelve,twelve,NY5G
twelve,twelve,NY5H!
twelve,twelve,NY5I!
twelve,twelve,NY6A
twelve,twelve,NY6B
twelve,twelve,NY7A
twelve,twelve,NY7B
twelve,twelve,NY7C
twelve,twelve,NY7D
twelve,twelve,NY7E
twelve,twelve,NY7F
twelve,twelve,NY7G
twelve,twelve,NY7H
twelve,twelve,NY7I
twelve,twelve,NY7J!
twelve,twelve,NY7K!
twelve,twelve,NY7L!
twelve,twelve,NY7M!
twelve,twelve,NY8
twelve,twelve,NY9A
twelve,twelve,NY9B
twelve,twelve,NY9C
twelve,twelve,NY10A
twelve,twelve,NY10B!
twelve,twelve,NY11
twelve,twelve,NY12A
twelve,twelve,NY12B
twelve,twelve,NY12C!
twelve,twelve,NY13A
twelve,twelve,NY13B!
twelve,twelve,NY14A
twelve,twelve,NY14B
twelve,twelve,NY15A
twelve,twelve,NY15B
twelve,twelve,NY16A
twelve,twelve,NY16B
twelve,twelve,NY17A
twelve,twelve,NY17B
twelve,twelve,NY18A
twelve,twelve,NY18B
twelve,twelve,NY18C!
twelve,twelve,NY19
twelve,twelve,NY20A
twelve,twelve,NY20B
twelve,twelve,NY21
twelve,twelve,NY22
twelve,twelve,NY23A
twelve,twelve,NY23B
twelve,twelve,NY23C
twelve,twelve,NY24A
twelve,twelve,NY24B!
twelve,twelve,NY25A
twelve,twelve,NY25B
twelve,twelve,NY26A
twelve,twelve,NY26A
twelve,twelve,NY26B
twelve,,NY26C
twelve,twelve,NY27A
twelve,,NY27B
twelve,twelve,NY27C
twelve,twelve,NY28A
twelve,twelve,NY28B
twelve,,NY28C
twelve,twelve,NY29A
twelve,twelve,NY29B
twelve,twelve,NY29C
twelve,twelve,NY30A
twelve,twelve,NY30B
twelve,twelve,NY30C
twelve,,NY30D
twelve,twelve,NY30E
twelve,twelve,NY30E
twelve,twelve,NY31A
twelve,twelve,NY31A
twelve,twelve,NY31B
twelve,twelve,NY32A
twelve,twelve,NY32B
twelve,,NY33A
twelve,twelve,NY33B
twelve,twelve,NY33C
twelve,twelve,NY34A
twelve,,NY34B
twelve,twelve,NY34C
twelve,twelve,NY34D!
twelve,twelfth,NY34D!
twelve,twelve,NY35A
twelve,twelve,NY35B
twelve,,NY35C!
twelve,twelve,NY36A
twelve,twelve,NY36B
twelve,twelve,NY37A
twelve,twelve,NY37B
twelve,twelve,NY37C!
twelve,twelve,NY38A
twelve,twelve,NY38B
twelve,,NY38C
twelve,twelve,NY39A
twelve,twelve,NY39B
twelve,twelve,NY40A
twelve,twelve,NY40B
twelve,twelve,NY41
twelve,twelve,NY42A
twelve,twelve,NY42B
twelve,,NY43A
twelve,twelve,NY43B
twelve,twelve,NY43C!
twelve,twelve,NY44A
twelve,twelve,NY44B
twelve,twelve,NY45A
twelve,twelve,NY45B
twelve,twelve,NY45C
twelve,twelve,NY45D!
twelve,twelve,NY46A
twelve,twelve,NY46B
twelve,twelve,NY46B
twelve,twelve,NY46B
twelve,twelve,NY46C
twelve,twelve,NY47A
twelve,twelve,NY47B
twelve,twelve,NY48A
twelve,twelve,NY48A
twelve,,NY48B
twelve,twelve,NY48C
twelve,twelve feet,NY48C
twelve,twelve,NY48D
twelve,,NY49A
twelve,,NY49B
twelve,twelve,NY49C
twelve,twelve,NY49C
twelve,twelve,NY49C
twelve,twelve,NY49D
twelve,twelve,NY50A
twelve,twelve,NY50B
twelve,twelve,NY51A
twelve,twelve,NY51A
twelve,twelve,NY51B
twelve,twelve,NY51C
twelve,twelve,NY51D
twelve,twelve,NY51E!
twelve,twelve,NY51E!
twelve,twelve,NY52A
twelve,,NY52B
