Target,Response,Informant
twenty,twenty,NY1
twenty,,NY2A
twenty,twenty,NY2B
twenty,,NY2C
twenty,twenty,NY3A
twenty,twenty,NY3B
twenty,twenty,NY3C
twenty,twenty,NY3D
twenty,twenty,NY4A
twenty,twenty,NY4B
twenty,twenty,NY4C
twenty,twenty,NY5A
twenty,twenty,NY5B
twenty,twenty,NY5C
twenty,twenty,NY5D
twenty,twenty,NY5E
twenty,twenty,NY5F
twenty,twenty,NY5G
twenty,twenty,NY5H!
twenty,twenty,NY5I!
twenty,twenty,NY6A
twenty,twenty,NY6B
twenty,twenty,NY7A
twenty,twenty,NY7B
twenty,twenty,NY7C
twenty,twenty,NY7D
twenty,twenty,NY7E
twenty,twenty,NY7F
twenty,twenty,NY7G
twenty,twenty,NY7H
twenty,twenty,NY7I
twenty,twenty,NY7J!
twenty,twenty,NY7K!
twenty,twenty,NY7L!
twenty,twenty,NY7M!
twenty,twenty,NY8
twenty,twenty,NY9A
twenty,twenty,NY9B
twenty,twenty,NY9C
twenty,twenty,NY10A
twenty,twenty,NY10B!
twenty,twenty,NY11
twenty,twenty,NY12A
twenty,twenty,NY12B
twenty,twenty,NY12C!
twenty,twenty,NY13A
twenty,twenty,NY13B!
twenty,twenty,NY14A
twenty,twenty,NY14B
twenty,twenty,NY15A
twenty,twenty,NY15B
twenty,twenty,NY16A
twenty,twenty,NY16B
twenty,twenty,NY17A
twenty,twenty,NY17B
twenty,twenty,NY18A
twenty,twenty,NY18B
twenty,twenty,NY18C!
twenty,twenty,NY19
twenty,twenty,NY20A
twenty,twenty,NY20B
twenty,twenty,NY21
twenty,twenty,NY22
twenty,twenty,NY23A
twenty,twenty,NY23B
twenty,twenty,NY23C
twenty,twenty,NY24A
twenty,twenty,NY24B!
twenty,twenty,NY25A
twenty,twenty,NY25B
twenty,twenty,NY25B
twenty,twenty,NY26A
twenty,twenty,NY26B
twenty,,NY26C
twenty,twenty,NY27A
twenty,twenty,NY27A
twenty,twenty,NY27A
twenty,twenty,NY27B
twenty,twenty,NY27C
twenty,twenty,NY27C
twenty,twenty,NY28A
twenty,twenty,NY28B
twenty,twenty,NY28C
twenty,twenty,NY29A
twenty,twenty,NY29B
twenty,twenty,NY29C
twenty,twenty,NY30A
twenty,twenty,NY30A
twenty,twenty,NY30B
twenty,twenty,NY30C
twenty,twenty,NY30C
twenty,,NY30D
twenty,twenty,NY30E
twenty,twenty,NY31A
twenty,twenty,NY31A
twenty,twenty,NY31B
twenty,twenty,NY32A
twenty,twenty,NY32B
twenty,twenty,NY33A
twenty,twenty,NY33B
twenty,twenty,NY33C
twenty,twenty,NY34A
twenty,,NY34B
twenty,twenty,NY34C
twenty,twenty,NY34D!
twenty,twenty,NY35A
twenty,twenty,NY35B
twenty,,NY35C!
twenty,twenty,NY36A
twenty,twenty,NY36B
twenty,twenty,NY37A
twenty,twenty,NY37B
twenty,twenty,NY37C!
twenty,twenty,NY38A
twenty,twenty,NY38B
twenty,,NY38C
twenty,twenty,NY39A
twenty,twenty,NY39B
twenty,twenty,NY40A
twenty,twenty,NY40B
twenty,twenty,NY41
twenty,twenty,NY42A
twenty,twenty,NY42B
twenty,,NY43A
twenty,twenty,NY43B
twenty,twenty,NY43C!
twenty,twenty,NY44A
twenty,twenty,NY44B
twenty,twenty,NY45A
twenty,twenty,NY45A
twenty,twenty,NY45B
twenty,twenty,NY45C
twenty,twenty,NY45D!
twenty,twenty,NY46A
twenty,twenty,NY46B
twenty,twenty,NY46C
twenty,twenty,NY47A
twenty,twenty,NY47A
twenty,twenty,NY47A
twenty,twenty,NY47B
twenty,twenty,NY48A
twenty,twenty,NY48B
twenty,twenty,NY48C
twenty,twenty,NY48D
twenty,,NY49A
twenty,,NY49B
twenty,twenty,NY49C
twenty,twenty,NY49C
twenty,twenty,NY49D
twenty,twenty,NY50A
twenty,twenty,NY50B
twenty,twenty,NY50B
twenty,twenty,NY51A
twenty,twenty,NY51B
twenty,twenty,NY51C
twenty,twenty,NY51D
twenty,twenty,NY51D
twenty,twenty,NY51E!
twenty,twenty,NY51E!
twenty,twenty,NY52A
twenty,,NY52B
twenty,twenty,NY52C
twenty,twenty,NY53A
twenty,twenty,NY53B!
twenty,twenty,NY54A
twenty,twenty,NY54A
twenty,twenty,NY54B
twenty,twenty,NY55A
twenty,twenty,NY55B
twenty,twenty,NY56A
twenty,twenty,NY56A
twenty,twenty,NY56B
twenty,twenty,NY57A
twenty,twenty,NY57B
twenty,twenty,NY57C!
twenty,twenty,NY57C!
twenty,twenty,NY58A
twenty,twenty,NY58B
twenty,,NY58C
twenty,twenty,NY58D!
twenty,twenty,NY58D!
twenty,twenty,NY58E!
twenty,,NY58F!
twenty,twenty,NY59A
twenty,twenty,NY59B
twenty,twenty,NY60A
twenty,twenty,NY60B!
twenty,twenty,NY60B!
twenty,twenty,NY61A
twenty,twenty,NY61B
twenty,twenty,NY62A
twenty,twenty,NY62B
twenty,twenty,NY62C
twenty,twenty,NY62D!
twenty,twenty,NY63A
twenty,twenty,NY63B
twenty,twenty,NY63C
twenty,twenty,NY63D!
twenty,twenty,NY64A
twenty,twenty,NY64B
twenty,twenty,NY64C!
twenty,twenty,NJ1A
twenty,twenty,NJ1B
twenty,twenty,NJ2A
twenty,twenty,NJ2B
twenty,twenty,NJ3A
twenty,twenty,NJ3B
twenty,twenty,NJ4A
twenty,twenty,NJ4B
twenty,twenty,NJ5A
twenty,twenty,NJ5B
twenty,twenty,NJ6A
twenty,twenty,NJ6B
twenty,twenty,NJ7A
twenty,twenty,NJ7B!
twenty,twenty,NJ8A
twenty,twenty,NJ8B
twenty,twenty,NJ9A
twenty,twenty,NJ9B
twenty,twenty,NJ10A
twenty,twenty,NJ10B
twenty,twenty,NJ10C
twenty,twenty,NJ10D!
twenty,twenty,NJ11A
twenty,twenty,NJ11B
twenty,twenty,NJ11C
twenty,twenty,NJ12A
twenty,twenty,NJ12B
twenty,twenty,NJ13A
twenty,twenty,NJ13B
twenty,twenty,NJ14A
twenty,twenty,NJ14B
twenty,twenty,NJ15A
twenty,twenty,NJ15B
twenty,twenty,NJ16A
twenty,twenty,NJ16B
twenty,twenty,NJ17A
twenty,twenty,NJ17B
twenty,twenty,NJ18A
twenty,twenty,NJ18B
twenty,twenty,NJ18C!
twenty,twenty,NJ18D!
twenty,twenty,NJ19A
twenty,twenty,NJ19B!
twenty,twenty,NJ20A
twenty,twintig,NJ20A
twenty,twenty,NJ20B
twenty,twenty,NJ21A
twenty,twenty,NJ21B
twenty,twenty,PA1A
twenty,twenty,PA1B
twenty,twenty,PA1C
twenty,twenty,PA1D
twenty,twenty,PA1E!
twenty,twenty,PA1F!
twenty,twenty,PA1G!
twenty,twenty,PA1H!
twenty,twenty,PA2A
twenty,twenty,PA2B
twenty,twenty,PA3A
twenty,twenty,PA3B
twenty,twenty,PA3C
twenty,twenty,PA4A
twenty,twenty,PA4B!
twenty,twenty,PA5A
twenty,twenty,PA5B
twenty,twenty,PA5C
twenty,twenty,PA5D
twenty,twenty,PA5E!
twenty,twenty,PA6A
twenty,twenty,PA6B
twenty,twenty,PA6C
twenty,twenty,PA6D!
twenty,twenty,PA7A
twenty,twenty,PA7B
twenty,twenty,PA7C
twenty,twenty,PA7D!
twenty,twenty,PA8A
twenty,twenty,PA8B
twenty,twenty,PA8C
twenty,twenty,PA8D!
twenty,twenty,PA9A
twenty,twenty,PA9B
twenty,twenty,PA9C!
twenty,twenty,PA10
twenty,twenty,PA11A
twenty,twenty,PA11B
twenty,twenty,PA12A
twenty,twenty,PA12B
twenty,twenty,PA13A
twenty,twenty,PA13B
twenty,twenty,PA14A
twenty,twenty,PA14B
twenty,,PA14C
twenty,twenty,PA15A
twenty,twenty,PA15B
twenty,twenty,PA15C!
twenty,twenty,PA16A
twenty,twenty,PA16B
twenty,,PA16C
twenty,twenty,PA17A
twenty,twenty,PA17B
twenty,twenty,PA18A
twenty,twenty,PA18B!
twenty,twenty,PA19A
twenty,twenty,PA19B
twenty,twenty,PA20A
twenty,twenty,PA20B
twenty,twenty,PA21A
twenty,twenty,PA21B
twenty,twenty,PA22A
twenty,twenty,PA22B
twenty,twenty,PA23A
twenty,twenty,PA23B
twenty,twenty,PA24A
twenty,twenty,PA24B
twenty,twenty,PA25A
twenty,twenty,PA25B
twenty,twenty,PA26A
twenty,twenty,PA26B
twenty,twenty,PA27A
twenty,twenty,PA27B
twenty,twenty,PA28A
twenty,twenty,PA28B!
twenty,twenty,PA29A
twenty,twenty,PA29B
twenty,twenty,PA30A
twenty,twenty,PA30B
twenty,twenty,PA31A
twenty,twenty,PA31B
twenty,twenty,PA32A
twenty,twenty,PA32B
twenty,twenty,PA33A
twenty,twenty,PA33B
twenty,twenty,PA34A
twenty,twenty,PA34B
twenty,,PA34C!
twenty,twenty,PA35A
twenty,twenty,PA35B
twenty,,PA35C
twenty,twenty,PA36A
twenty,twenty,PA36B
twenty,twenty,PA37A
twenty,twenty,PA37B
twenty,,PA37C
twenty,twenty,PA38A
twenty,twenty,PA38B
twenty,twenty,PA39A
twenty,twenty,PA39B
twenty,twenty,PA40A
twenty,twenty,PA40B
twenty,twenty,PA41A
twenty,twenty,PA41B
twenty,twenty,PA42A
twenty,twenty,PA42B
twenty,twenty,PA43A
twenty,twenty,PA43B
twenty,twenty,PA44A
twenty,twenty,PA44B
twenty,twenty,PA45A
twenty,twenty,PA45B
twenty,twenty,PA46A
twenty,twenty,PA46B
twenty,twenty,PA47A
twenty,twenty,PA47B
twenty,twenty,PA48A
twenty,twenty,PA48B
twenty,twenty,PA48C
twenty,twenty,PA49A
twenty,twenty,PA49B
twenty,,PA50A
twenty,twenty,PA50B
twenty,twenty,PA50C!
twenty,twenty,PA51A
twenty,twenty,PA51B
twenty,twenty,PA52A
twenty,twenty,PA52B!
twenty,twenty,PA53A
twenty,twenty,PA53B
twenty,twenty,PA54A
twenty,twenty,PA54B
twenty,twenty,PA55A
twenty,twenty,PA55B
twenty,twenty,PA56A
twenty,twenty,PA56B
twenty,twenty,PA57A
twenty,twenty,PA57B
twenty,twenty,PA58A
twenty,twenty,PA58B
twenty,twenty,PA59A
twenty,twenty,PA59B
twenty,twenty,PA60A
twenty,twenty,PA60B
twenty,twenty,PA61A
twenty,twenty,PA61B
twenty,twenty,PA62A
twenty,twenty,PA62B
twenty,twenty,PA63A
twenty,twenty,PA63B
twenty,twenty,PA64A
twenty,twenty,PA64B
twenty,twenty,PA65A
twenty,twenty,PA65B
twenty,twenty,PA66A
twenty,twenty,PA66B
twenty,twenty,PA67A
twenty,twenty,PA67B
twenty,twenty,WV1!
twenty,twenty,WV2
twenty,twenty,WV3
twenty,twenty,WV4A
twenty,twenty,WV4B
twenty,twenty,WV5
twenty,twenty,WV6A
twenty,twenty,WV6B
twenty,twenty,WV7A
twenty,twenty,WV7B
twenty,twenty,WV8A
twenty,twenty,WV8B
twenty,twenty,WV9A
twenty,twenty,WV9B
twenty,twenty,WV10A
twenty,twenty,WV10B
twenty,twenty,WV10C
twenty,twenty,WV11A
twenty,twenty,WV11B!
twenty,twenty,WV12A
twenty,twenty,WV12B
twenty,twenty,WV13A
twenty,twenty,WV13B
twenty,twenty,WV14A
twenty,twenty,WV14B
twenty,twenty,WV15A
twenty,twenty,WV15B
twenty,twenty,WV16A
twenty,twenty,WV16B
twenty,,WV17A
twenty,twenty,WV17B
twenty,twenty,WV17C
twenty,twenty,WV18A
twenty,twenty,WV18B
twenty,twenty,WV19A
twenty,twenty,WV19B
twenty,twenty,WV20A
twenty,twenty,WV20B
twenty,twenty,WV21A
twenty,twenty,WV21B
twenty,twenty,WV22A
twenty,twenty,WV22B
twenty,twenty,WV23A
twenty,twenty,WV23B
twenty,twenty,WV24A
twenty,twenty,WV24B
twenty,twenty,WV25A
twenty,twenty,WV25B
twenty,twenty,WV26A
twenty,twenty,WV26B
twenty,twenty,WV27A
twenty,twenty,WV27B
twenty,twenty,WV28A
twenty,twenty,WV28B
twenty,twenty,WV29A
twenty,twenty,WV29B
twenty,twenty,WV30A
twenty,twenty,WV30B
twenty,twenty,WV31A
twenty,twenty,WV31B
twenty,twenty,WV32A
twenty,twenty,WV32B
twenty,twenty,WV33A
twenty,twenty,WV33B
twenty,twenty,WV34A
twenty,twenty,WV34B
twenty,twenty,WV35A
twenty,twenty,WV35B
twenty,twenty,WV36A
twenty,twenty,WV36B
twenty,twenty,WV37A
twenty,twenty,WV37B!
twenty,twenty,WV38A
twenty,twenty,WV38B
twenty,twenty,WV39A
twenty,twenty,WV39B
twenty,twenty,WV39C!
twenty,twenty,WV40A
twenty,twenty,WV40B
twenty,twenty,WV41A
twenty,twenty,WV41B
twenty,twenty,WV42A
twenty,twenty,WV42B
twenty,twenty,WV43A
twenty,twenty,WV43B
twenty,twenty,WV44A
twenty,twenty,WV44B
twenty,twenty,WV45A
twenty,twenty,WV45B
twenty,twenty,WV46A
twenty,twenty,WV46B
twenty,twenty,WV47A
twenty,twenty,WV47B
twenty,twenty,WV48A
twenty,,WV48B
twenty,,WV48C
twenty,twenty,WV48D
twenty,twenty,WV49A
twenty,twenty,WV49B
twenty,twenty,WV50A
twenty,twenty,WV50B
twenty,twenty,WV51A
twenty,twenty,WV51B
twenty,twenty,WV52A
twenty,twenty,WV52B
twenty,twenty,WV52C!
twenty,twenty,WV53A
twenty,,WV53B
twenty,twenty,WV53C!
twenty,twenty,WV54A
twenty,twenty,WV54B
twenty,twenty,DE1A
twenty,twenty,DE1B
twenty,twenty,DE1C!
twenty,twenty,DE2A
twenty,twenty,DE2B
twenty,,DE2C
twenty,twenty,DE3A
twenty,twenty,DE3B
twenty,twenty,DE3C!
twenty,twenty,DE4
twenty,twenty,DE5A
twenty,twenty,DE5B
twenty,twenty,DE6A
twenty,twenty,DE6B
twenty,twenty,MD1A
twenty,twenty,MD1B
twenty,twenty,MD2A
twenty,twenty,MD2B
twenty,twenty,MD3A
twenty,twenty,MD3B
twenty,twenty,MD4A
twenty,twenty,MD4B
twenty,twenty,MD4C
twenty,twenty,MD5A
twenty,twenty,MD5B
twenty,twenty,MD6A
twenty,twenty,MD6B
twenty,twenty,MD7A
twenty,twenty,MD7B
twenty,twenty,MD7C!
twenty,twenty,MD8A
twenty,twenty,MD8B
twenty,twenty,MD9N
twenty,twenty,MD9A
twenty,twenty,MD9B
twenty,twenty,MD10A
twenty,twenty,MD10B
twenty,twenty,MD11
twenty,twenty,MD12A
twenty,twenty,MD12B
twenty,twenty,MD13A
twenty,twenty,MD13B
twenty,twenty,MD13C
twenty,twenty,MD13D!
twenty,twenty,MD13E!
twenty,twenty,MD13F!
twenty,,MD13G
twenty,twenty,MD14
twenty,twenty,MD15A
twenty,twenty,MD15B
twenty,twenty,MD16
twenty,twenty,MD17A
twenty,twenty,MD17B
twenty,twenty,MD18A
twenty,twenty,MD18B
twenty,twenty,MD19A
twenty,twenty,MD19B
twenty,twenty,MD20A
twenty,twenty,MD20B
twenty,twenty,MD20C!
twenty,twenty,MD21A
twenty,twenty,MD21B
twenty,,MD22N
twenty,twenty,MD22M
twenty,twenty,MD22A
twenty,twenty,MD22B
twenty,twenty,MD22C!
twenty,twenty,MD23A
twenty,,MD23B
twenty,twenty,MD23C
twenty,twenty,MD24
twenty,twenty,MD25
twenty,twenty,MD26A
twenty,,MD26B
twenty,twenty,MD27A
twenty,twenty,MD27B
twenty,twenty,DC1A
twenty,twenty,DC1B!
twenty,twenty,VA1!
twenty,twenty,VA2A
twenty,twenty,VA2B
twenty,twenty,VA3A
twenty,twenty,VA3B
twenty,,VA3C
twenty,twenty,VA4N
twenty,twenty,VA5A
twenty,twenty,VA5B
twenty,twenty,VA6A
twenty,twenty,VA6B
twenty,twenty,VA7A
twenty,twenty,VA7B
twenty,twenty,VA8A
twenty,twenty,VA8B
twenty,twenty,VA8C!
twenty,twenty,VA9A
twenty,twenty,VA9B!
twenty,twenty,VA10A
twenty,twenty,VA10B
twenty,twenty,VA11A
twenty,twenty,VA11B
twenty,twenty,VA12N
twenty,twenty,VA12A
twenty,twenty,VA12B!
twenty,twenty,VA13A
twenty,twenty,VA13B
twenty,twenty,VA14A
twenty,twenty,VA14B
twenty,twenty,VA14C
twenty,,VA15N
twenty,twenty,VA15A
twenty,twenty,VA15B
twenty,twenty,VA16A
twenty,twenty,VA16B
twenty,twenty,VA17A
twenty,twenty,VA17B
twenty,twenty,VA18
twenty,twenty,VA19A
twenty,twenty,VA19B
twenty,twenty,VA19C!
twenty,twenty,VA20A
twenty,twenty,VA20B
twenty,,VA20C
twenty,twenty,VA21N
twenty,twenty,VA21A
twenty,twenty,VA21B
twenty,twenty,VA22
twenty,twenty,VA23A
twenty,twenty,VA23B
twenty,twenty,VA24
twenty,twenty,VA25
twenty,,VA26A
twenty,twenty,VA26B
twenty,twenty,VA26C
twenty,twenty,VA27
twenty,twenty,VA28A
twenty,twenty,VA28B
twenty,twenty,VA29
twenty,twenty,VA30A
twenty,,VA30B!
twenty,twenty,VA30C!
twenty,twenty,VA30D!
twenty,twenty,VA30E!
twenty,,VA31A
twenty,twenty,VA31B
twenty,twenty,VA31C
twenty,twenty,VA32!
twenty,twenty,VA33A
twenty,twenty,VA33B
twenty,twenty,VA34A
twenty,twenty,VA34B
twenty,twenty,VA35A
twenty,twenty,VA35B
twenty,twenty,VA36A
twenty,twenty,VA36B
twenty,twenty,VA37
twenty,twenty,VA38
twenty,twenty,VA39!
twenty,twenty,VA40A
twenty,twenty,VA40B
twenty,twenty,VA41A
twenty,twenty,VA41B
twenty,twenty,VA42A
twenty,twenty,VA42B
twenty,twenty,VA43N
twenty,twenty,VA43A
twenty,twenty,VA43B
twenty,twenty,VA44A
twenty,twenty,VA44B
twenty,twenty,VA45A
twenty,twenty,VA45B
twenty,twenty,VA46N
twenty,,VA46A
twenty,twenty,VA46B!
twenty,twenty,VA47
twenty,twenty,VA48A
