Target,Response,Informant
twenty-seven,twenty-seven,NY1
twenty-seven,,NY2A
twenty-seven,twenty-seven,NY2B
twenty-seven,,NY2C
twenty-seven,twenty-seven,NY3A
twenty-seven,twenty-seven,NY3B
twenty-seven,twenty-seven,NY3C
twenty-seven,twenty-seven,NY3D
twenty-seven,twenty-seven,NY4A
twenty-seven,twenty-seven,NY4B
twenty-seven,twenty-seven,NY4C
twenty-seven,twenty-seven,NY5A
twenty-seven,twenty-seven,NY5B
twenty-seven,twenty-seven,NY5C
twenty-seven,twenty-seven,NY5D
twenty-seven,twenty-seven,NY5E
twenty-seven,twenty-seven,NY5F
twenty-seven,twenty-seven,NY5G
twenty-seven,twenty-seven,NY5H!
twenty-seven,twenty-seven,NY5I!
twenty-seven,twenty-seven,NY6A
twenty-seven,twenty-seven,NY6B
twenty-seven,twenty-seven,NY7A
twenty-seven,twenty-seven,NY7B
twenty-seven,twenty-seven,NY7C
twenty-seven,twenty-seven,NY7D
twenty-seven,twenty-seven,NY7E
twenty-seven,twenty-seven,NY7F
twenty-seven,twenty-seven,NY7G
twenty-seven,twenty-seven,NY7H
twenty-seven,twenty-seven,NY7I
twenty-seven,twenty-seven,NY7J!
twenty-seven,twenty-seven,NY7K!
twenty-seven,twenty-seven,NY7L!
twenty-seven,twenty-seven,NY7M!
twenty-seven,twenty-seven,NY8
twenty-seven,twenty-seven,NY9A
twenty-seven,twenty-seven,NY9B
twenty-seven,twenty-seven,NY9C
twenty-seven,twenty-seven,NY10A
twenty-seven,twenty-seven,NY10B!
twenty-seven,twenty-seven,NY11
twenty-seven,twenty-seven,NY12A
twenty-seven,twenty-seven,NY12B
twenty-seven,twenty-seven,NY12C!
twenty-seven,twenty-seven,NY13A
twenty-seven,twenty-seven,NY13B!
twenty-seven,twenty-seven,NY14A
twenty-seven,twenty-seven,NY14B
twenty-seven,twenty-seven,NY15A
twenty-seven,twenty-seven,NY15B
twenty-seven,twenty-seven,NY16A
twenty-seven,twenty-seven,NY16B
twenty-seven,twenty-seven,NY17A
twenty-seven,twenty-seven,NY17B
twenty-seven,twenty-seven,NY18A
twenty-seven,twenty-seven,NY18B
twenty-seven,twenty-seven,NY18C!
twenty-seven,twenty-seven,NY19
twenty-seven,twenty-seven,NY20A
twenty-seven,twenty-seven,NY20B
twenty-seven,twenty-seven,NY21
twenty-seven,twenty-seven,NY22
twenty-seven,,NY23A
twenty-seven,twenty-five,NY23B
twenty-seven,twenty-seven,NY23B
twenty-seven,twenty-seven,NY23C
twenty-seven,twenty-seven,NY24A
twenty-seven,twenty-seven,NY24B!
twenty-seven,twenty-seven,NY25A
twenty-seven,twenty-five,NY25A
twenty-seven,twenty-seven,NY25B
twenty-seven,twenty-five,NY25B
twenty-seven,twenty-seven,NY26A
twenty-seven,twenty-seven,NY26B
twenty-seven,,NY26C
twenty-seven,twenty-five,NY27A
twenty-seven,twenty-seven,NY27A
twenty-seven,,NY27B
twenty-seven,twenty-seven,NY27C
twenty-seven,twenty-seven,NY28A
twenty-seven,twenty-seven,NY28B
twenty-seven,twenty-five,NY28B
twenty-seven,,NY28C
twenty-seven,,NY29A
twenty-seven,twenty-seven,NY29B
twenty-seven,twenty-two,NY29C
twenty-seven,twenty-nine,NY29C
twenty-seven,twenty-seven,NY29C
twenty-seven,twenty-seven,NY30A
twenty-seven,twenty-seven,NY30B
twenty-seven,twenty-five,NY30B
twenty-seven,twenty-seven,NY30C
twenty-seven,,NY30D
