Target,Response,Informant
two,two,NY1
two,,NY2A
two,two,NY2B
two,two,NY2B
two,,NY2C
two,two,NY3A
two,two,NY3B
two,two,NY3C
two,two,NY3D
two,two,NY4A
two,two,NY4B
two,two,NY4C
two,two,NY5A
two,two,NY5B
two,two,NY5C
two,two,NY5D
two,two,NY5E
two,two,NY5F
two,two,NY5G
two,two,NY5H!
two,two,NY5I!
two,two,NY6A
two,two,NY6B
two,two,NY7A
two,two,NY7B
two,two,NY7C
two,two,NY7D
two,two,NY7E
two,two,NY7F
two,two,NY7G
two,two,NY7H
two,two,NY7I
two,two,NY7J!
two,two,NY7K!
two,two,NY7L!
two,two,NY7M!
two,two,NY8
two,two,NY9A
two,two,NY9B
two,two,NY9C
two,two,NY10A
two,two,NY10B!
two,two,NY11
two,two,NY12A
two,two,NY12B
two,two,NY12C!
two,two,NY13A
two,two,NY13B!
two,two,NY14A
two,two,NY14B
two,two,NY15A
two,two,NY15B
two,two,NY16A
two,two,NY16B
two,two,NY17A
two,two,NY17B
two,two,NY18A
two,two,NY18B
two,two,NY18C!
two,two,NY19
two,two,NY20A
two,two,NY20B
two,two,NY21
two,two,NY22
two,,NY23A
two,two,NY23B
two,two,NY23B
two,two,NY23C
two,two,NY24A
two,two,NY24B!
two,two,NY25A
two,two,NY25A
two,two,NY25B
two,two,NY26A
two,two,NY26A
two,two,NY26B
two,two,NY26C
two,two,NY27A
two,two,NY27B
two,two,NY27B
two,two,NY27B
two,two,NY27C
two,two,NY28A
two,two,NY28B
two,two,NY28B
two,,NY28C
two,two,NY29A
two,two,NY29B
two,two,NY29B
two,two,NY29C
two,two,NY30A
two,two,NY30A
two,two,NY30B
two,two,NY30C
two,two,NY30D
two,two,NY30D
two,two,NY30E
two,two,NY31A
two,two,NY31A
two,two,NY31A
two,two,NY31B
two,two,NY32A
two,two,NY32B
two,two,NY32B
two,two,NY32B
two,,NY33A
two,two,NY33A
two,two,NY33B
two,two,NY33C
two,two,NY33C
two,two,NY34A
two,two,NY34A
two,two,NY34B
two,two,NY34C
two,two,NY34D!
two,two,NY35A
two,two,NY35B
two,,NY35C!
two,two,NY36A
two,two,NY36B
two,two,NY37A
two,two,NY37B
two,two,NY37C!
two,two,NY38A
two,two,NY38B
two,,NY38C
two,two,NY39A
two,two,NY39B
two,two,NY40A
two,two,NY40B
two,two,NY41
two,two,NY42A
two,two,NY42B
two,,NY43A
two,two,NY43B
two,two,NY43C!
two,two,NY44A
two,two,NY44B
two,two,NY45A
two,two,NY45A
two,two,NY45A
two,two,NY45B
two,two,NY45C
two,two,NY45C
two,two,NY45D!
two,two,NY46A
two,two,NY46A
two,two,NY46A
two,two,NY46B
two,two,NY46B
two,two,NY46C
two,two,NY46C
two,two,NY47A
two,two,NY47B
two,two,NY48A
two,two,NY48A
two,two,NY48B
two,two,NY48B
two,two,NY48C
two,two,NY48D
two,two,NY49A
two,,NY49B
two,two,NY49C
two,two,NY49C
two,two,NY49C
two,two,NY49C
two,two,NY49D
two,two,NY50A
two,two,NY50A
two,two,NY50B
two,two,NY50B
two,two,NY51A
two,two,NY51A
two,two,NY51B
two,two,NY51B
two,two,NY51B
two,two,NY51B
two,two,NY51C
two,two,NY51C
two,,NY51D
two,two,NY51E!
two,two,NY51E!
two,two,NY52A
two,two,NY52A
two,two,NY52B
two,two,NY52B
two,two,NY52C
two,two,NY52C
two,two,NY53A
two,two,NY53A
two,two,NY53B!
two,two,NY53B!
two,two,NY54A
two,two,NY54A
two,two,NY54B
two,two,NY55A
two,two,NY55A
two,two,NY55B
two,two,NY55B
two,two,NY55B
two,two,NY55B
two,two,NY56A
two,two,NY56A
two,two,NY56B
two,two,NY57A
two,two,NY57A
two,two,NY57A
two,two,NY57A
two,two,NY57B
two,two,NY57C!
two,two,NY58A
two,two,NY58A
two,two,NY58A
two,two,NY58B
two,two,NY58B
two,,NY58C
two,two,NY58D!
two,two,NY58D!
two,two,NY58E!
two,two,NY58F!
two,two,NY59A
two,two,NY59A
two,two,NY59B
two,two,NY60A
two,two,NY60A
two,two,NY60B!
two,two,NY61A
two,two,NY61A
two,two,NY61B
two,two,NY61B
two,two,NY62A
two,two,NY62B
two,two,NY62B
two,two,NY62C
two,two,NY62C
two,two,NY62C
two,two,NY62D!
two,two,NY63A
two,two,NY63A
two,two,NY63B
two,two,NY63C
two,two,NY63D!
two,two,NY63D!
two,two,NY64A
two,two,NY64B
two,two,NY64B
two,two,NY64C!
two,two,NY64C!
two,two,NJ1A
two,two,NJ1B
two,two,NJ2A
two,two,NJ2B
two,two,NJ3A
two,two,NJ3B
two,two,NJ4A
two,two,NJ4B
two,two,NJ5A
two,two,NJ5B
two,two,NJ6A
two,two,NJ6B
two,two,NJ7A
two,two,NJ7B!
two,two,NJ8A
two,two,NJ8B
two,two,NJ9A
two,two,NJ9B
two,two,NJ10A
two,two,NJ10B
two,two,NJ10C
two,two,NJ10D!
two,two,NJ11A
two,two,NJ11B
two,two,NJ11C
two,two,NJ12A
two,two,NJ12B
two,two,NJ13A
two,two,NJ13B
two,two,NJ14A
two,two,NJ14B
two,two,NJ15A
two,two,NJ15B
two,two,NJ16A
two,two,NJ16B
two,two,NJ17A
two,two,NJ17B
two,two,NJ18A
two,two,NJ18B
two,two,NJ18C!
two,two,NJ18D!
two,two,NJ19A
two,two,NJ19B!
two,twee,NJ20A
two,two,NJ20A
two,two,NJ20B
two,two,NJ21A
two,two,NJ21B
two,two,PA1A
two,two,PA1B
two,two,PA1C
two,two,PA1D
two,two,PA1E!
two,two,PA1F!
two,two,PA1G!
two,two,PA1H!
two,two,PA2A
two,two,PA2B
two,two,PA3A
two,two,PA3B
two,two,PA3C
two,two,PA4A
two,two,PA4B!
two,two,PA5A
two,two,PA5B
two,two,PA5C
two,two,PA5D
two,two,PA5E!
two,two,PA6A
two,two,PA6B
two,two,PA6C
two,two,PA6D!
two,two,PA7A
two,two,PA7B
two,two,PA7C
two,two,PA7D!
two,two,PA8A
two,two,PA8B
two,two,PA8C
two,two,PA8D!
two,two,PA9A
two,two,PA9B
two,two,PA9C!
two,two,PA10
two,two,PA11A
two,two,PA11B
two,two,PA12A
two,two,PA12B
two,two,PA13A
two,two,PA13B
two,two,PA14A
two,two,PA14B
two,,PA14C
