Target,Response,Informant
umbrella,umbrella,NY1
umbrella,umbrella,NY2A
umbrella,umbrella,NY2A
umbrella,umbrella,NY2B
umbrella,umbrella,NY2C
umbrella,umbrella,NY3A
umbrella,umbrella,NY3B
umbrella,umbrella,NY3C
umbrella,umbrella,NY3D
umbrella,umbrella,NY4A
umbrella,umbrella,NY4B
umbrella,umbrella,NY4C
umbrella,umbrella,NY5A
umbrella,umbrella,NY5B
umbrella,umbrella,NY5C
umbrella,umbrella,NY5D
umbrella,umbrella,NY5E
umbrella,umbrella,NY5F
umbrella,umbrella,NY5G
umbrella,umbrella,NY5H!
umbrella,umbrella,NY5I!
umbrella,umbrella,NY6A
umbrella,umbrella,NY6B
umbrella,umbrella,NY7A
umbrella,umbrella,NY7B
umbrella,umbrella,NY7C
umbrella,umbrella,NY7D
umbrella,umbrella,NY7E
umbrella,umbrella,NY7F
umbrella,umbrella,NY7G
umbrella,umbrella,NY7H
umbrella,umbrella,NY7I
umbrella,umbrella,NY7J!
umbrella,umbrella,NY7K!
umbrella,umbrella,NY7L!
umbrella,umbrella,NY7M!
umbrella,umbrella,NY8
umbrella,umbrella,NY9A
umbrella,umbrella,NY9B
umbrella,umbrella,NY9C
umbrella,umbrella,NY10A
umbrella,umbrella,NY10B!
umbrella,umbrella,NY11
umbrella,umbrella,NY12A
umbrella,umbrella,NY12A
umbrella,them little numbrellae,NY12A
umbrella,umbrella,NY12B
umbrella,umbrella,NY12C!
umbrella,umbrella,NY13A
umbrella,umbrella,NY13B!
umbrella,umbrella,NY14A
umbrella,umbrella,NY14B
umbrella,umbrella,NY15A
umbrella,umbrella,NY15B
umbrella,umbrella,NY16A
umbrella,umbrella,NY16B
umbrella,umbrella,NY17A
umbrella,umbrella,NY17A
umbrella,umbrella,NY17B
umbrella,umbrella,NY18A
umbrella,umbrella,NY18B
umbrella,umbrella,NY18C!
umbrella,umbrella,NY19
umbrella,umbrella,NY20A
umbrella,umbrella,NY20B
umbrella,umbrella,NY21
umbrella,umbrella,NY22
umbrella,umbrella,NY23A
umbrella,umbrella,NY23A
umbrella,umbrella,NY23B
umbrella,sunshades,NY23C
umbrella,umbrella,NY23C
umbrella,parasols,NY23C
umbrella,umbrella,NY24A
umbrella,umbrella,NY24B!
umbrella,umbrella,NY25A
umbrella,rainbrella,NY25B
umbrella,umbrella,NY25B
umbrella,umbrella,NY26A
umbrella,umbrella,NY26B
umbrella,umbrella,NY26C
umbrella,umbrella,NY27A
umbrella,umbrella,NY27B
umbrella,umbrella,NY27C
umbrella,parasol,NY28A
umbrella,umbrella,NY28A
umbrella,sun umbrella,NY28B
umbrella,umbrella,NY28B
umbrella,,NY28C
umbrella,umbrella,NY29A
umbrella,umbrella,NY29B
umbrella,umbrella,NY29C
umbrella,umbrella,NY30A
umbrella,umbrella,NY30B
umbrella,umbrella,NY30C
umbrella,umbrella,NY30D
umbrella,umbrella,NY30E
umbrella,umbrella,NY31A
umbrella,umbrella,NY31B
umbrella,shade,NY31B
umbrella,umbrella,NY32A
umbrella,umbrella,NY32B
umbrella,umbrella,NY33A
umbrella,umbrella,NY33B
umbrella,umbrella,NY33C
umbrella,umbrella,NY34A
umbrella,,NY34B
umbrella,umbrella,NY34C
umbrella,umbrella,NY34D!
umbrella,umbrella,NY35A
umbrella,umbrella,NY35B
umbrella,umbrella,NY35C!
umbrella,umbrella,NY36A
umbrella,umbrella,NY36B
umbrella,umbrella,NY37A
umbrella,umbrella,NY37B
umbrella,umbrella,NY37C!
umbrella,umbrella,NY38A
umbrella,umbrella,NY38B
umbrella,umbrella,NY38C
umbrella,umbrella,NY39A
umbrella,umbrella,NY39B
umbrella,umbrella,NY40A
umbrella,umbrella,NY40B
umbrella,umbrella,NY41
umbrella,umbrella,NY42A
umbrella,umbrella,NY42B
umbrella,umbrella,NY43A
umbrella,umbrella,NY43B
umbrella,umbrella,NY43C!
umbrella,umbrella,NY44A
umbrella,umbrella,NY44B
umbrella,parasol,NY45A
umbrella,umbrellas,NY45B
umbrella,umbrella,NY45C
umbrella,umbrella,NY45D!
umbrella,parasol,NY45D!
umbrella,umbrella,NY46A
umbrella,umbrella,NY46B
umbrella,umbrella,NY46B
umbrella,,NY46C
umbrella,umbrella,NY47A
umbrella,umbrella,NY47A
umbrella,parasol,NY47A
umbrella,umbrella,NY47B
umbrella,umbrella,NY48A
umbrella,umbrella,NY48A
umbrella,,NY48B
umbrella,parasol,NY48C
umbrella,umbrella,NY48C
umbrella,umbrella,NY48D
umbrella,umbrella,NY48D
umbrella,umbrella,NY49A
umbrella,umbrella,NY49B
umbrella,umbrella,NY49C
umbrella,umbrella,NY49D
umbrella,bumbershoot,NY49D
umbrella,sun,NY50A
umbrella,parasol,NY50A
umbrella,umbrella,NY50A
umbrella,rain,NY50A
umbrella,umbrella,NY50B
umbrella,umbrella,NY51A
umbrella,parasol,NY51A
umbrella,umbrella,NY51A
umbrella,umbrella,NY51B
umbrella,umbrella,NY51C
umbrella,,NY51D
umbrella,umbrella,NY51E!
umbrella,parasol,NY52A
umbrella,umbrella,NY52A
umbrella,umbrella,NY52B
umbrella,umbrella,NY52C
umbrella,umbrella,NY53A
umbrella,umbrella,NY53B!
umbrella,umbrella,NY54A
umbrella,umbrella,NY54B
umbrella,umbrella,NY55A
umbrella,umbrella,NY55B
umbrella,umbrella,NY56A
umbrella,umbrella,NY56B
umbrella,umbrella,NY57A
umbrella,umbrella,NY57B
umbrella,umbrella,NY57C!
umbrella,umbrella,NY58A
umbrella,umbrellas,NY58B
umbrella,whalebone or rattan,NY58B
umbrella,umbrella,NY58C
umbrella,umbrella,NY58D!
umbrella,umbrella,NY58D!
umbrella,parasol,NY58D!
umbrella,umbrella,NY58E!
umbrella,umbrella,NY58F!
umbrella,umbrella,NY59A
umbrella,umbrella,NY59A
umbrella,umbrella,NY59B
umbrella,parasol,NY60A
umbrella,umbrella,NY60A
umbrella,parasol,NY60B!
umbrella,umbrella,NY60B!
umbrella,umbrella,NY61A
umbrella,umbrella,NY61B
umbrella,umbrella,NY62A
umbrella,umbrella,NY62B
umbrella,umbrella,NY62C
umbrella,umbrella,NY62D!
umbrella,carriage parasols,NY62D!
umbrella,parasols,NY62D!
umbrella,umbrella,NY63A
umbrella,umbrella,NY63A
umbrella,parasol,NY63A
umbrella,umbrella,NY63B
umbrella,umbrella,NY63C
umbrella,umbrella,NY63D!
umbrella,parasol,NY63D!
umbrella,bumbershoots,NY64A
umbrella,umbrella,NY64A
umbrella,umbrella,NY64B
umbrella,umbrella,NY64C!
umbrella,parasol,NY64C!
umbrella,umbrella,NJ1A
umbrella,umbrella,NJ1B
umbrella,umbrella,NJ2A
umbrella,umbrella,NJ2A
umbrella,umbrella,NJ2B
umbrella,umbrella,NJ3A
