Target,Response,Informant
vegetables,garden truck,NY1
vegetables,vegetables,NY1
vegetables,garden sass,NY1
vegetables,vegetables,NY2A
vegetables,garden sass,NY2A
vegetables,vegetables,NY2B
vegetables,garden sass,NY2B
vegetables,garden truck,NY2B
vegetables,green vegetables,NY2C
vegetables,garden sass,NY2C
vegetables,vegetables,NY3A
vegetables,vegetables,NY3B
vegetables,vegetables,NY3C
vegetables,vegetables,NY3D
vegetables,vegetables,NY4A
vegetables,vegetables,NY4B
vegetables,vegetables,NY4C
vegetables,vegetables,NY5A
vegetables,vegetables,NY5B
vegetables,vegetables,NY5C
vegetables,vegetables,NY5D
vegetables,vegetables,NY5E
vegetables,vegetables,NY5F
vegetables,vegetables,NY5G
vegetables,vegetables,NY5H!
vegetables,vegetables,NY5I!
vegetables,vegetables,NY6A
vegetables,vegetables,NY6B
vegetables,vegetables,NY7A
vegetables,vegetables,NY7B
vegetables,vegetables,NY7C
vegetables,vegetables,NY7D
vegetables,vegetables,NY7E
vegetables,vegetables,NY7F
vegetables,vegetables,NY7G
vegetables,vegetables,NY7H
vegetables,vegetables,NY7I
vegetables,vegetables,NY7J!
vegetables,vegetables,NY7K!
vegetables,vegetables,NY7L!
vegetables,vegetables,NY7M!
vegetables,vegetables,NY8
vegetables,vegetables,NY9A
vegetables,garden sass,NY9B
vegetables,garden truck,NY9B
vegetables,vegetables,NY9B
vegetables,vegetables,NY9C
vegetables,garden sass,NY10A
vegetables,garden stuff,NY10A
vegetables,vegetables,NY10A
vegetables,vegetables,NY10B!
vegetables,vegetables,NY11
vegetables,vegetables,NY12A
vegetables,vegetables,NY12A
vegetables,garden truck,NY12A
vegetables,vegetables,NY12A
vegetables,vegetables,NY12B
vegetables,vegetables,NY12C!
vegetables,vegetables,NY13A
vegetables,vegetables,NY13B!
vegetables,vegetables,NY14A
vegetables,vegetables,NY14B
vegetables,vegetables,NY15A
vegetables,vegetables,NY15B
vegetables,vegetables,NY16A
vegetables,vegetables,NY16B
vegetables,vegetables,NY17A
vegetables,vegetables,NY17B
vegetables,garden sass,NY18A
vegetables,vegetables,NY18A
vegetables,vegetables,NY18B
vegetables,vegetables,NY18C!
vegetables,vegetables,NY19
vegetables,vegetables,NY20A
vegetables,vegetables,NY20B
vegetables,vegetables,NY21
vegetables,vegetables,NY22
vegetables,side dish,NY23A
vegetables,vegetables,NY23A
vegetables,produce,NY23B
vegetables,vegetables,NY23B
vegetables,vegetables,NY23C
vegetables,vegetables,NY24A
vegetables,vegetables,NY24B!
vegetables,vegetables,NY25A
vegetables,vegetables,NY25B
vegetables,vegetables,NY26A
vegetables,side dish,NY26A
vegetables,vegetables,NY26B
vegetables,garden sass,NY26B
vegetables,vegetable,NY26B
vegetables,garden stuff,NY26B
vegetables,truck garden,NY26C
vegetables,vegetables,NY27A
vegetables,vegetables,NY27B
vegetables,home grown,NY27B
vegetables,garden stuff,NY27C
vegetables,boiled dinner,NY28A
vegetables,vegetables,NY28A
vegetables,vegetables,NY28B
vegetables,vegetables,NY28C
vegetables,vegetables,NY29A
vegetables,vegetables,NY29B
vegetables,garden truck,NY29C
vegetables,vegetables,NY29C
vegetables,garden vegetables,NY30A
vegetables,garden stuff,NY30A
vegetables,garden stuff,NY30B
vegetables,vegetables,NY30B
vegetables,,NY30C
vegetables,,NY30D
vegetables,side dishes,NY30E
vegetables,vegetables,NY30E
vegetables,garden stuff,NY31A
vegetables,vegetable,NY31B
vegetables,vegetable,NY31B
vegetables,garden vegetables,NY32A
vegetables,garden truck,NY32B
vegetables,vegetables,NY32B
vegetables,vegetables,NY33A
vegetables,,NY33B
vegetables,vegetables,NY33C
vegetables,vegetables,NY34A
vegetables,,NY34B
vegetables,vegetable,NY34C
vegetables,vegetables,NY34C
vegetables,garden stuff,NY34C
vegetables,vegetables,NY34D!
vegetables,vegetables,NY35A
vegetables,vegetables,NY35B
vegetables,vegetables,NY35C!
vegetables,vegetables,NY36A
vegetables,garden sass,NY36B
vegetables,vegetables,NY36B
vegetables,vegetables,NY37A
