Target,Response,Informant
Virginia,Virginia,NY1
Virginia,,NY2A
Virginia,Virginia,NY2B
Virginia,,NY2C
Virginia,Virginia,NY3A
Virginia,Virginia,NY3B
Virginia,Virginia,NY3C
Virginia,Virginia,NY3D
Virginia,Virginia,NY4A
Virginia,Virginia,NY4B
Virginia,Virginia,NY4C
Virginia,Virginia,NY5A
Virginia,Virginia,NY5B
Virginia,Virginia,NY5C
Virginia,Virginia,NY5D
Virginia,Virginia,NY5E
Virginia,Virginia,NY5F
Virginia,Virginia,NY5G
Virginia,Virginia,NY5H!
Virginia,Virginia,NY5I!
Virginia,Virginia,NY6A
Virginia,Virginia,NY6B
Virginia,Virginia,NY7A
Virginia,Virginia,NY7B
Virginia,Virginia,NY7C
Virginia,Virginia,NY7D
Virginia,Virginia,NY7E
Virginia,Virginia,NY7F
Virginia,Virginia,NY7G
Virginia,Virginia,NY7H
Virginia,Virginia,NY7I
Virginia,Virginia,NY7J!
Virginia,Virginia,NY7K!
Virginia,Virginia,NY7L!
Virginia,Virginia,NY7M!
Virginia,Virginia,NY8
Virginia,Virginia,NY9A
Virginia,Virginia,NY9B
Virginia,Virginia,NY9C
Virginia,Virginia,NY10A
Virginia,Virginia,NY10B!
Virginia,Virginia,NY11
Virginia,Virginia,NY12A
Virginia,Virginia,NY12B
Virginia,Virginia,NY12C!
Virginia,Virginia,NY13A
Virginia,Virginia,NY13B!
Virginia,Virginia,NY14A
Virginia,Virginia,NY14B
Virginia,Virginia,NY15A
Virginia,Virginia,NY15B
Virginia,Virginia,NY16A
Virginia,Virginia,NY16B
Virginia,Virginia,NY17A
Virginia,Virginia,NY17B
Virginia,Virginia,NY18A
Virginia,Virginia,NY18B
Virginia,Virginia,NY18C!
Virginia,Virginia,NY19
Virginia,Virginia,NY20A
Virginia,Virginia,NY20B
Virginia,Virginia,NY21
Virginia,Virginia,NY22
Virginia,,NY23A
Virginia,Virginia,NY23B
Virginia,Virginia,NY23C
Virginia,Virginia,NY24A
Virginia,Virginia,NY24B!
Virginia,Virginia,NY25A
Virginia,Virginia,NY25B
Virginia,Virginia,NY26A
Virginia,Virginia,NY26B
Virginia,,NY26C
Virginia,Virginia,NY27A
Virginia,,NY27B
Virginia,Virginia,NY27C
Virginia,Virginia,NY27C
Virginia,Virginia,NY28A
Virginia,Virginia,NY28B
Virginia,,NY28C
Virginia,,NY29A
Virginia,Virginia,NY29B
Virginia,Virginia,NY29C
Virginia,Virginia,NY30A
Virginia,Virginia,NY30A
Virginia,Virginia,NY30B
Virginia,,NY30C
Virginia,,NY30D
Virginia,Virginia,NY30E
Virginia,Virginia,NY31A
Virginia,Virginia,NY31A
Virginia,Virginia,NY31B
Virginia,Virginia leaf,NY32A
Virginia,Virginia,NY32B
Virginia,,NY33A
Virginia,Virginia,NY33B
Virginia,Virginia,NY33C
Virginia,Virginia,NY34A
Virginia,,NY34B
Virginia,Virginia,NY34C
Virginia,Virginia,NY34D!
Virginia,Virginia,NY35A
Virginia,Virginia,NY35B
Virginia,,NY35C!
Virginia,Virginia,NY36A
Virginia,Virginia,NY36B
Virginia,Virginia,NY37A
Virginia,Virginia,NY37B
Virginia,Virginia,NY37C!
Virginia,Virginia,NY38A
Virginia,Virginia,NY38B
Virginia,,NY38C
Virginia,Virginia,NY39A
Virginia,Virginia,NY39B
Virginia,Virginia,NY40A
Virginia,Virginia,NY40B
Virginia,Virginia,NY41
Virginia,Virginia,NY42A
Virginia,Virginia,NY42B
Virginia,Virginia,NY43A
Virginia,Virginia,NY43B
Virginia,Virginia,NY43C!
Virginia,Virginia,NY44A
Virginia,Virginia,NY44B
Virginia,,NY45A
Virginia,,NY45B
Virginia,,NY45C
Virginia,Virginia,NY45D!
Virginia,Virginia,NY46A
Virginia,,NY46B
Virginia,Virginia,NY46C
Virginia,Virginia,NY46C
