Target,Response,Informant
wardrobe,,NY1
wardrobe,clotheshorse,NY2A
wardrobe,,NY2B
wardrobe,,NY2C
wardrobe,wardrobe,NY3A
wardrobe,wardrobe,NY3B
wardrobe,wardrobe,NY3C
wardrobe,wardrobe,NY3D
wardrobe,wardrobe,NY4A
wardrobe,wardrobe,NY4B
wardrobe,wardrobe,NY4C
wardrobe,wardrobe,NY5A
wardrobe,case,NY5A
wardrobe,wardrobe,NY5B
wardrobe,wardrobe,NY5C
wardrobe,wardrobe,NY5D
wardrobe,wardrobe,NY5E
wardrobe,wardrobe,NY5F
wardrobe,wardrobe,NY5G
wardrobe,wardrobe,NY5H!
wardrobe,wardrobe,NY5I!
wardrobe,wardrobe,NY6A
wardrobe,wardrobe,NY6B
wardrobe,wardrobe,NY7A
wardrobe,wardrobe,NY7B
wardrobe,wardrobe,NY7C
wardrobe,wardrobe,NY7D
wardrobe,wardrobe,NY7E
wardrobe,wardrobe,NY7F
wardrobe,wardrobe,NY7G
wardrobe,wardrobe,NY7H
wardrobe,wardrobe,NY7I
wardrobe,wardrobe,NY7J!
wardrobe,wardrobe,NY7K!
wardrobe,wardrobe,NY7L!
wardrobe,wardrobe,NY7M!
wardrobe,wardrobe,NY8
wardrobe,wardrobe,NY9A
wardrobe,wardrobe,NY9B
wardrobe,wardrobe,NY9C
wardrobe,wardrobe,NY10A
wardrobe,wardrobe,NY10B!
wardrobe,wardrobe,NY11
wardrobe,wardrobe,NY12A
wardrobe,wardrobe,NY12B
wardrobe,wardrobe,NY12C!
wardrobe,wardrobe,NY13A
wardrobe,wardrobe,NY13B!
wardrobe,wardrobe,NY14A
wardrobe,wardrobe,NY14B
wardrobe,wardrobe,NY15A
wardrobe,wardrobe,NY15B
wardrobe,wardrobe,NY16A
wardrobe,wardrobe,NY16B
wardrobe,clothes cupboard,NY16B
wardrobe,wardrobe,NY17A
wardrobe,wardrobe,NY17B
wardrobe,wardrobe,NY18A
wardrobe,wardrobe,NY18B
wardrobe,wardrobe,NY18C!
wardrobe,wardrobe,NY19
wardrobe,wardrobe,NY20A
wardrobe,wardrobe,NY20B
wardrobe,wardrobe,NY21
wardrobe,wardrobe,NY22
wardrobe,wardrobes,NY23A
wardrobe,wardrobe,NY23B
wardrobe,wardrobe,NY23B
wardrobe,presses,NY23C
wardrobe,wardrobe,NY23C
wardrobe,wardrobe,NY24A
wardrobe,wardrobe,NY24B!
wardrobe,clothespress,NY25A
wardrobe,wardrobe,NY25B
wardrobe,hall tree,NY25B
wardrobe,,NY26A
wardrobe,wardrobe,NY26B
wardrobe,clothespress,NY26C
wardrobe,wardrobe,NY26C
wardrobe,wardrobe,NY27A
wardrobe,wardrobe,NY27B
wardrobe,wardrobe,NY27C
wardrobe,wardrobe,NY28A
wardrobe,wardrobe,NY28A
wardrobe,clothespress,NY28B
wardrobe,,NY28C
wardrobe,clothespress,NY29A
wardrobe,commode,NY29A
wardrobe,,NY29B
wardrobe,,NY29C
wardrobe,clothespress,NY30A
wardrobe,cupboards,NY30B
wardrobe,wardrobe,NY30C
wardrobe,,NY30D
wardrobe,wardrobes,NY30E
wardrobe,clothes cabinet,NY31A
wardrobe,cabinet,NY31A
