Target,Response,Informant
Washington,,NY1
Washington,,NY2A
Washington,,NY2B
Washington,,NY2C
Washington,Washington,NY3A
Washington,Washington,NY3B
Washington,Washington,NY3C
Washington,Washington,NY3D
Washington,Washington,NY4A
Washington,Washington,NY4B
Washington,Washington,NY4C
Washington,Washington,NY5A
Washington,Washington,NY5B
Washington,Washington,NY5C
Washington,Washington,NY5D
Washington,Washington,NY5E
Washington,Washington,NY5F
Washington,Washington,NY5G
Washington,Washington,NY5H!
Washington,Washington,NY5I!
Washington,Washington,NY6A
Washington,Washington,NY6B
Washington,Washington,NY7A
Washington,Washington,NY7B
Washington,Washington,NY7C
Washington,Washington,NY7D
Washington,Washington,NY7E
Washington,Washington,NY7F
Washington,Washington,NY7G
Washington,Washington,NY7H
Washington,Washington,NY7I
Washington,Washington,NY7J!
Washington,Washington,NY7K!
Washington,Washington,NY7L!
Washington,Washington,NY7M!
Washington,Washington,NY8
Washington,Washington,NY9A
Washington,Washington,NY9B
Washington,Washington,NY9C
Washington,Washington,NY10A
Washington,Washington,NY10B!
Washington,Washington,NY11
Washington,Washington,NY12A
Washington,Washington,NY12B
Washington,Washington,NY12C!
Washington,Washington,NY13A
Washington,Washington,NY13B!
Washington,Washington,NY14A
Washington,Washington,NY14B
Washington,Washington,NY15A
Washington,Washington,NY15B
Washington,Washington,NY16A
Washington,Washington,NY16B
Washington,Washington,NY17A
Washington,Washington,NY17B
Washington,Washington,NY18A
Washington,Washington,NY18B
Washington,Washington,NY18C!
Washington,Washington,NY19
Washington,Washington,NY20A
Washington,Washington,NY20B
Washington,Washington,NY21
Washington,Washington,NY22
Washington,,NY23A
Washington,Washington,NY23B
Washington,Washington,NY23C
Washington,Washington,NY24A
Washington,Washington,NY24B!
Washington,Washington,NY25A
Washington,Washington,NY25B
Washington,Washington,NY26A
Washington,Washington,NY26B
Washington,,NY26C
Washington,Washington,NY27A
Washington,,NY27B
Washington,Washington,NY27C
Washington,Washington,NY28A
Washington,Washington,NY28B
Washington,,NY28C
Washington,,NY29A
Washington,Washington,NY29B
Washington,Washington,NY29C
Washington,Washington,NY30A
Washington,Washington,NY30B
Washington,,NY30C
Washington,,NY30D
Washington,Washington,NY30E
Washington,Washington,NY31A
Washington,Washington,NY31A
Washington,Washington,NY31A
