Target,Response,Informant
watch,watch,NY1
watch,,NY2A
watch,watch,NY2B
watch,,NY2C
watch,watch,NY3A
watch,watch,NY3B
watch,watch,NY3C
watch,watch,NY3D
watch,watch,NY4A
watch,watch,NY4B
watch,watch,NY4C
watch,watch,NY5A
watch,watch,NY5B
watch,watch,NY5C
watch,watch,NY5D
watch,watch,NY5E
watch,watch,NY5E
watch,watch,NY5F
watch,watch,NY5G
watch,watch,NY5H!
watch,watch,NY5I!
watch,watch,NY6A
watch,watch,NY6B
watch,watch,NY7A
watch,watch,NY7B
watch,watch,NY7C
watch,watch,NY7D
watch,watch,NY7E
watch,watch,NY7F
watch,watch,NY7G
watch,watch,NY7H
watch,watch,NY7I
watch,watch,NY7J!
watch,watch,NY7K!
watch,watch,NY7L!
watch,watch,NY7M!
watch,watch,NY8
watch,watch,NY9A
watch,watch,NY9B
watch,watch,NY9C
watch,watch,NY10A
watch,watch,NY10B!
watch,watch,NY11
watch,watch,NY12A
watch,watch,NY12B
watch,watch,NY12C!
watch,watch,NY13A
watch,watch,NY13B!
watch,watch,NY14A
watch,watch,NY14B
watch,watch,NY15A
watch,watch,NY15B
watch,watch,NY16A
watch,watch,NY16B
watch,watch,NY17A
watch,watch,NY17B
watch,watch,NY18A
watch,watch,NY18B
watch,watch,NY18C!
watch,watch,NY19
watch,watch,NY20A
watch,watch,NY20B
watch,watch,NY21
watch,watch,NY22
watch,,NY23A
watch,gold watch,NY23B
watch,double case watch,NY23C
watch,watch,NY23C
watch,open-faced watches,NY23C
watch,watch,NY24A
watch,watch,NY24B!
watch,watch,NY25A
watch,wooden clock,NY25A
watch,watch,NY25B
watch,open-faced watches,NY25B
watch,double case watch,NY26A
watch,watch,NY26A
watch,watch,NY26B
watch,wound with a key,NY26B
watch,,NY26C
watch,watch,NY27A
watch,,NY27B
watch,watch,NY27C
watch,watch,NY28A
watch,Waltham watch,NY28A
watch,watch,NY28B
watch,,NY28C
watch,wristwatch,NY29A
watch,watch,NY29A
watch,watch,NY29B
watch,watch,NY29C
watch,watch,NY30A
watch,watch,NY30B
watch,watch,NY30C
watch,,NY30D
watch,watch me,NY30E
watch,watch,NY30E
watch,wristwatch,NY31A
watch,silver watch,NY31A
watch,hunting case,NY31A
watch,watch,NY31B
watch,hunting case watch,NY31B
watch,open-faced watch,NY31B
watch,watching,NY32A
watch,watch,NY32A
watch,watch,NY32B
watch,watch,NY33A
watch,watch,NY33B
watch,watch,NY33C
watch,watch,NY34A
watch,watch,NY34A
watch,key winding,NY34A
watch,,NY34B
watch,watch,NY34C
watch,watch,NY34D!
watch,watch,NY35A
watch,watch,NY35B
watch,,NY35C!
watch,watch,NY36A
watch,watch,NY36B
watch,watch,NY37A
watch,watch,NY37B
watch,watch,NY37C!
watch,watch,NY38A
watch,watch,NY38B
watch,,NY38C
watch,watch,NY39A
watch,watch,NY39B
watch,watch,NY40A
watch,watch,NY40B
watch,watch,NY41
watch,watch,NY42A
watch,watch,NY42B
watch,,NY43A
watch,watch,NY43B
watch,watch,NY43C!
watch,watch,NY44A
watch,watch,NY44B
watch,watch,NY45A
watch,watched,NY45B
watch,,NY45C
watch,watch,NY45D!
watch,watch,NY45D!
watch,watch,NY46A
watch,wristwatch,NY46B
watch,wristwatch,NY46B
watch,watch,NY46B
watch,wristwatch,NY46C
watch,wristwatch,NY46C
watch,watch,NY46C
watch,turnip,NY47A
watch,turnip,NY47A
