Target,Response,Informant
weatherboarding,clapboards,NY1
weatherboarding,clapboards,NY2A
weatherboarding,clapboards,NY2B
weatherboarding,clapboards,NY2C
weatherboarding,novelty siding,NY3A
weatherboarding,clapboards,NY3A
weatherboarding,clapboards,NY3B
weatherboarding,clapboards,NY3C
weatherboarding,clapboards,NY3D
weatherboarding,clapboards,NY4A
weatherboarding,siding,NY4B
weatherboarding,clapboards,NY4C
weatherboarding,clapboards,NY5A
weatherboarding,,NY5B
weatherboarding,clapboards,NY5C
weatherboarding,clapboards,NY5D
weatherboarding,clapboards,NY5E
weatherboarding,siding,NY5F
weatherboarding,clapboards,NY5G
weatherboarding,clapboards,NY5H!
weatherboarding,clapboards,NY5I!
weatherboarding,clapboards,NY6A
weatherboarding,weatherboards,NY6A
weatherboarding,weatherboards,NY6B
weatherboarding,clapboards,NY6B
weatherboarding,clapboards,NY7A
weatherboarding,novelty siding,NY7B
weatherboarding,,NY7C
weatherboarding,,NY7D
weatherboarding,clapboards,NY7E
weatherboarding,clapboards,NY7F
weatherboarding,,NY7G
weatherboarding,clapboard,NY7H
weatherboarding,blackboard,NY7H
weatherboarding,clapboards,NY7I
weatherboarding,clapboards,NY7J!
weatherboarding,clapboards,NY7K!
weatherboarding,clapboards,NY7L!
weatherboarding,clapboards,NY7M!
weatherboarding,weatherboards,NY8
weatherboarding,clapboards,NY9A
weatherboarding,clapboards,NY9B
weatherboarding,clapboards,NY9C
weatherboarding,clapboards,NY10A
weatherboarding,siding,NY10A
weatherboarding,clapboards,NY10B!
weatherboarding,siding,NY11
weatherboarding,siding,NY12A
weatherboarding,clapboards,NY12A
weatherboarding,clapboards,NY12A
weatherboarding,clapboards,NY12B
weatherboarding,clapboards,NY12C!
weatherboarding,clapboards,NY13A
weatherboarding,siding,NY13A
weatherboarding,clapboards,NY13B!
weatherboarding,siding,NY14A
weatherboarding,clapboards,NY14A
weatherboarding,clapboards,NY14B
weatherboarding,siding,NY14B
weatherboarding,clapboards,NY15A
weatherboarding,siding,NY15B
weatherboarding,clapboards,NY15B
weatherboarding,clapboards,NY16A
weatherboarding,clapboards,NY16B
weatherboarding,siding,NY16B
weatherboarding,clapboards,NY17A
weatherboarding,clapboards,NY17A
weatherboarding,siding,NY17A
weatherboarding,siding,NY17B
weatherboarding,clapboards,NY17B
weatherboarding,clapboards,NY18A
weatherboarding,clapboards,NY18B
weatherboarding,siding,NY18B
weatherboarding,clapboards,NY18C!
weatherboarding,siding,NY19
weatherboarding,clapboards,NY19
weatherboarding,siding,NY20A
weatherboarding,clapboards,NY20A
weatherboarding,siding,NY20B
weatherboarding,clapboards,NY20B
weatherboarding,clapboards,NY21
weatherboarding,clapboards,NY22
weatherboarding,clapboards,NY23A
weatherboarding,clapboards,NY23B
weatherboarding,grooved,NY23B
weatherboarding,novelty siding,NY23B
weatherboarding,clapboards,NY23C
weatherboarding,clapboards,NY24A
weatherboarding,clapboards,NY24B!
weatherboarding,novelty siding,NY25A
weatherboarding,clapboards,NY25A
weatherboarding,sheeting board,NY25B
weatherboarding,clapboards,NY25B
weatherboarding,shiplap,NY25B
weatherboarding,clapboards,NY26A
weatherboarding,clapboards,NY26B
weatherboarding,clapboards,NY26C
weatherboarding,tongued and grooved,NY27A
weatherboarding,clapboard,NY27A
weatherboarding,novelty,NY27A
weatherboarding,clapboarded,NY27B
weatherboarding,clapboards,NY27C
weatherboarding,clapboards,NY28A
weatherboarding,clapboarded,NY28B
weatherboarding,clapboards,NY28B
weatherboarding,clapboards,NY28C
weatherboarding,clapboarded,NY29A
weatherboarding,double boarding,NY29A
weatherboarding,clapboards,NY29B
weatherboarding,clapboards,NY29C
weatherboarding,clapboards,NY30A
weatherboarding,clapboards,NY30B
weatherboarding,clapboards,NY30B
weatherboarding,double boarded,NY30C
weatherboarding,papered,NY30C
weatherboarding,clapboarded,NY30C
weatherboarding,weatherboards,NY30C
weatherboarding,clapboards,NY30D
weatherboarding,clapboards,NY30E
weatherboarding,clear pine,NY31A
weatherboarding,clapboard,NY31A
weatherboarding,clapboards,NY31A
weatherboarding,battens,NY31B
weatherboarding,clapboards,NY31B
weatherboarding,shiplap,NY31B
weatherboarding,clapboard,NY32A
weatherboarding,matched siding,NY32A
weatherboarding,shiplap,NY32A
weatherboarding,clapboards,NY32B
weatherboarding,clapboards,NY33A
weatherboarding,,NY33B
weatherboarding,clapboards,NY33C
weatherboarding,slabs,NY33C
weatherboarding,clapboards,NY34A
weatherboarding,clapboards,NY34B
weatherboarding,clapboards,NY34C
weatherboarding,clapboards,NY34C
weatherboarding,clapboards,NY34D!
weatherboarding,siding,NY35A
weatherboarding,clapboard,NY35A
weatherboarding,clapboards,NY35B
weatherboarding,clapboards,NY35C!
weatherboarding,clapboards,NY36A
weatherboarding,clapboards,NY36B
weatherboarding,clapboards,NY37A
weatherboarding,clapboards,NY37B
weatherboarding,clapboards,NY37C!
weatherboarding,clapboards,NY38A
weatherboarding,clapboards,NY38B
weatherboarding,clapboards,NY38C
weatherboarding,siding,NY39A
