Target,Response,Informant
Wednesday,Wednesday,NY1
Wednesday,,NY2A
Wednesday,Wednesday,NY2B
Wednesday,,NY2C
Wednesday,Wednesday,NY3A
Wednesday,Wednesday,NY3B
Wednesday,Wednesday,NY3C
Wednesday,Wednesday,NY3D
Wednesday,Wednesday,NY4A
Wednesday,Wednesday,NY4B
Wednesday,Wednesday,NY4C
Wednesday,Wednesday,NY5A
Wednesday,Wednesday,NY5B
Wednesday,Wednesday,NY5C
Wednesday,Wednesday,NY5D
Wednesday,Wednesday,NY5E
Wednesday,Wednesday,NY5F
Wednesday,Wednesday,NY5G
Wednesday,Wednesday,NY5H!
Wednesday,Wednesday,NY5I!
Wednesday,Wednesday,NY6A
Wednesday,Wednesday,NY6B
Wednesday,Wednesday,NY7A
Wednesday,Wednesday,NY7B
Wednesday,Wednesday,NY7C
Wednesday,Wednesday,NY7D
Wednesday,Wednesday,NY7E
Wednesday,Wednesday,NY7F
Wednesday,Wednesday,NY7G
Wednesday,Wednesday,NY7H
Wednesday,Wednesday,NY7I
Wednesday,Wednesday,NY7J!
Wednesday,Wednesday,NY7K!
Wednesday,Wednesday,NY7L!
Wednesday,Wednesday,NY7M!
Wednesday,Wednesday,NY8
Wednesday,Wednesday,NY8
Wednesday,Wednesday,NY9A
Wednesday,Wednesday,NY9B
Wednesday,Wednesday,NY9C
Wednesday,Wednesday,NY10A
Wednesday,Wednesday,NY10B!
Wednesday,Wednesday,NY11
Wednesday,Wednesday,NY12A
Wednesday,Wednesday,NY12B
Wednesday,Wednesday,NY12C!
Wednesday,Wednesday,NY13A
Wednesday,Wednesday,NY13B!
Wednesday,Wednesday,NY14A
Wednesday,Wednesday,NY14B
Wednesday,Wednesday,NY15A
Wednesday,Wednesday,NY15B
Wednesday,Wednesday,NY16A
Wednesday,Wednesday,NY16B
Wednesday,Wednesday,NY17A
Wednesday,Wednesday,NY17B
Wednesday,Wednesday,NY18A
Wednesday,Wednesday,NY18B
Wednesday,Wednesday,NY18C!
Wednesday,Wednesday,NY19
Wednesday,Wednesday,NY20A
Wednesday,Wednesday,NY20B
Wednesday,Wednesday,NY21
Wednesday,Wednesday,NY22
Wednesday,,NY23A
Wednesday,Wednesday,NY23B
Wednesday,Wednesday,NY23C
Wednesday,Wednesday,NY24A
Wednesday,Wednesday,NY24B!
Wednesday,Wednesday,NY25A
Wednesday,Wednesday,NY25B
Wednesday,Wednesday,NY26A
Wednesday,Wednesday,NY26B
Wednesday,,NY26C
Wednesday,Wednesday,NY27A
Wednesday,,NY27B
Wednesday,Wednesday,NY27C
Wednesday,Wednesday,NY28A
Wednesday,Wednesday,NY28B
Wednesday,,NY28C
Wednesday,Wednesday,NY29A
Wednesday,Wednesday,NY29B
Wednesday,Wednesday,NY29C
Wednesday,Wednesday,NY30A
Wednesday,Wednesday,NY30A
Wednesday,Wednesday,NY30B
Wednesday,,NY30C
Wednesday,,NY30D
Wednesday,Wednesday,NY30E
Wednesday,Wednesday,NY31A
Wednesday,Wednesday,NY31B
Wednesday,Wednesday,NY32A
Wednesday,Wednesday,NY32B
Wednesday,,NY33A
Wednesday,Wednesday,NY33B
Wednesday,Wednesday,NY33C
Wednesday,Wednesday,NY34A
Wednesday,Wednesday,NY34B
Wednesday,Wednesday,NY34C
