Target,Response,Informant
what,what,NY1
what,how,NY2A
what,what,NY2A
what,what,NY2B
what,what,NY2C
what,what,NY3A
what,what,NY3B
what,what,NY3C
what,what,NY3D
what,what,NY4A
what,what,NY4B
what,what,NY4C
what,what,NY5A
what,what,NY5B
what,what,NY5C
what,what,NY5D
what,what's that,NY5E
what,what,NY5F
what,what,NY5G
what,what,NY5H!
what,what,NY5I!
what,what,NY6A
what,what,NY6B
what,what,NY7A
what,what,NY7B
what,what's that,NY7C
what,what,NY7D
what,what,NY7E
what,what,NY7F
what,what,NY7G
what,what's that,NY7H
what,what,NY7I
what,what,NY7J!
what,what,NY7K!
what,what,NY7L!
what,what,NY7M!
what,what,NY8
what,what,NY9A
what,how's that,NY9B
what,what,NY9C
what,hey,NY10A
what,what,NY10A
what,what say,NY10B!
what,what,NY11
what,what,NY12A
what,what,NY12A
what,what,NY12B
what,what,NY12C!
what,what,NY13A
what,what,NY13B!
what,huh,NY14A
what,what,NY14A
what,what,NY14B
what,what,NY15A
what,how's that,NY15B
what,huh,NY16A
what,what,NY16A
what,what,NY16B
what,what,NY17A
what,what,NY17B
what,what,NY18A
what,what did you say,NY18B
what,what,NY18C!
what,what,NY18C!
what,what,NY19
what,what,NY20A
what,what,NY20B
what,what,NY21
what,what,NY22
what,do what,NY23A
what,what's that,NY23B
what,what's that,NY23C
what,what,NY24A
what,huh,NY24A
what,what,NY24B!
what,how was that,NY25A
what,what's that,NY25B
what,ay,NY25B
what,what,NY25B
what,how's that,NY26A
what,what did you do,NY26A
what,what,NY26A
what,huh,NY26A
what,what's that,NY26A
what,what,NY26A
what,what,NY26A
what,what is that,NY26B
what,hm,NY26C
what,ay,NY27A
what,ay,NY27A
what,how was that,NY27A
what,,NY27B
what,how was that,NY27C
what,how's that,NY28A
what,how is that,NY28B
what,do what,NY28B
what,what,NY28B
what,how what,NY28C
what,eh,NY29A
what,how was that,NY29A
what,hm,NY29A
what,how's that,NY29B
what,hm,NY29C
what,is that so,NY29C
what,how is that,NY30A
what,what are you talking about,NY30B
what,how's that,NY30B
what,what's that,NY30C
what,how's that,NY30C
what,what's that,NY30D
what,hm,NY30D
what,how is that,NY30E
what,how was that,NY30E
what,how,NY31A
what,what was that,NY31A
what,how's that,NY31B
what,,NY32A
what,how's that,NY32B
what,what's that,NY33A
what,huh,NY33B
what,how was that,NY33C
what,huh,NY34A
what,beg pardon,NY34B
what,how,NY34B
what,,NY34C
what,how,NY34D!
what,mm,NY34D!
what,what,NY35A
what,what,NY35B
what,what,NY35C!
what,what,NY36A
what,what,NY36B
what,what,NY37A
what,what,NY37B
what,what,NY37C!
what,what,NY38A
what,what,NY38B
what,what,NY38C
what,what,NY39A
what,what,NY39B
what,how,NY40A
what,what,NY40B
what,what,NY41
what,what,NY42A
what,what,NY42B
what,what,NY43A
what,what,NY43B
what,what,NY43C!
what,what,NY44A
what,what,NY44B
what,hm,NY45A
what,how's that,NY45A
what,how,NY45A
what,,NY45B
what,how,NY45C
what,how was that,NY45D!
what,hm,NY46A
what,what's that,NY46B
what,what is that,NY46C
what,what was that,NY47A
what,ay,NY47A
what,what,NY47B
what,pardon,NY48A
what,do what,NY48A
what,,NY48B
what,,NY48C
what,what,NY48D
what,what was that,NY48D
what,how's that,NY49A
what,how's that,NY49A
what,what,NY49B
what,how was that,NY49C
what,how was that,NY49C
what,pardon,NY49D
what,what's that,NY49D
what,what did you say,NY49D
what,eh,NY49D
what,what is it,NY49D
what,how was that,NY50A
what,what's that,NY50A
what,beg pardon,NY50A
what,what,NY50A
what,hm,NY50A
what,what's that,NY50A
what,how was that,NY50B
what,what,NY51A
what,how's that,NY51A
what,what say,NY51B
what,sir,NY51B
what,how,NY51B
what,hm,NY51C
what,what's that,NY51C
what,what,NY51C
what,do what,NY51D
what,what's that,NY51D
what,,NY51E!
what,what's that,NY52A
what,,NY52B
what,hm,NY52C
what,what did you say,NY52C
what,hm,NY53A
what,do what,NY53A
what,hm,NY53A
what,what's that,NY53A
what,,NY53B!
what,what was that,NY54A
what,uh,NY54B
what,repeat that,NY54B
what,how,NY55A
what,what is that,NY55A
what,I didn't quite get that,NY55B
what,what was that,NY55B
what,hm,NY56A
what,what was that,NY56A
what,huh,NY56B
what,how,NY56B
what,any what,NY56B
what,huh,NY57A
what,a what,NY57B
what,hm,NY57B
what,how is that,NY57C!
what,in which,NY57C!
what,hm,NY58A
what,do what,NY58A
what,what's that,NY58B
what,how would that be,NY58B
what,,NY58C
what,hm,NY58D!
what,what did you say,NY58E!
what,,NY58F!
what,what's that,NY59A
what,a what,NY59A
what,how,NY59B
what,what,NY60A
what,huh,NY60A
what,how,NY60A
what,what's that,NY60B!
what,hm,NY61A
what,do what,NY61A
what,how was that,NY61A
what,do what,NY61A
what,any what,NY61A
what,huh,NY61B
what,how was that,NY61B
what,hm,NY61B
what,what's that,NY62A
what,how's that,NY62A
what,hm,NY62B
what,how's that,NY62B
what,do what,NY62B
what,hm,NY62B
what,hey,NY62B
what,huh,NY62B
what,the what,NY62B
what,did what,NY62B
what,hm,NY62C
what,pardon,NY62D!
what,how,NY63A
what,huh,NY63A
what,mm,NY63B
what,what,NY63C
what,what is it,NY63D!
what,how's that,NY63D!
what,what was that,NY64A
what,what's that,NY64A
what,what's that,NY64B
what,,NY64C!
what,what do you say,NJ1A
what,what,NJ1B
what,what,NJ2A
what,what do you say,NJ2B
what,what,NJ3A
what,huh,NJ3B
what,what,NJ3B
what,how's that,NJ4A
what,what,NJ4B
what,what do you say,NJ5A
what,what,NJ5B
what,how's that,NJ5B
what,what,NJ6A
what,what do you say,NJ6B
what,what,NJ7A
what,what,NJ7B!
what,what,NJ8A
what,what,NJ8B
what,what,NJ9A
what,what,NJ9B
what,how,NJ10A
what,eh,NJ10B
what,what,NJ10B
what,what,NJ10C
what,what,NJ10D!
what,what,NJ11A
what,what,NJ11B
what,what,NJ11C
what,what,NJ12A
what,what,NJ12B
