Target,Response,Informant
wheat bread,bread,NY1
wheat bread,light bread,NY2A
wheat bread,raised bread,NY2A
wheat bread,raised bread,NY2B
wheat bread,rise,NY2B
wheat bread,raised bread,NY2C
wheat bread,bread,NY3A
wheat bread,bread,NY3B
wheat bread,bread,NY3C
wheat bread,bread,NY3D
wheat bread,bread,NY4A
wheat bread,bread,NY4B
wheat bread,bread,NY4C
wheat bread,bread,NY5A
wheat bread,bread,NY5B
wheat bread,bread,NY5C
wheat bread,bread,NY5D
wheat bread,bread,NY5E
wheat bread,bread,NY5F
wheat bread,bread,NY5G
wheat bread,bread,NY5H!
wheat bread,bread,NY5I!
wheat bread,bread,NY6A
wheat bread,bread,NY6B
wheat bread,bread,NY7A
wheat bread,bread,NY7B
wheat bread,bread,NY7C
wheat bread,bread,NY7D
wheat bread,bread,NY7E
wheat bread,bread,NY7F
wheat bread,bread,NY7G
wheat bread,bread,NY7H
wheat bread,bread,NY7I
wheat bread,bread,NY7J!
wheat bread,bread,NY7K!
wheat bread,bread,NY7L!
wheat bread,bread,NY8
wheat bread,bread,NY9A
wheat bread,bread,NY9B
wheat bread,bread,NY9C
wheat bread,bread,NY10A
wheat bread,bread,NY10B!
wheat bread,bread,NY11
wheat bread,bread,NY12A
wheat bread,bread,NY12A
wheat bread,bread,NY12B
wheat bread,bread,NY12C!
wheat bread,bread,NY13A
wheat bread,bread,NY13B!
wheat bread,bread,NY14A
wheat bread,bread,NY14B
wheat bread,bread,NY15A
wheat bread,bread,NY15B
wheat bread,bread,NY16A
wheat bread,bread,NY16B
wheat bread,bread,NY17A
wheat bread,bread,NY17B
wheat bread,bread,NY18A
wheat bread,bread,NY18B
wheat bread,bread,NY18C!
wheat bread,bread,NY19
wheat bread,bread,NY20A
wheat bread,bread,NY20B
wheat bread,bread,NY21
wheat bread,bread,NY22
wheat bread,bread,NY23A
wheat bread,wheat bread,NY23A
wheat bread,wheat bread,NY23B
wheat bread,bread,NY23B
wheat bread,homemade bread,NY23B
wheat bread,wheat bread,NY23C
wheat bread,bread,NY23C
wheat bread,bread,NY24A
wheat bread,bread,NY24B!
wheat bread,grain bread,NY25A
wheat bread,white bread,NY25A
wheat bread,bread,NY25A
wheat bread,wheat bread,NY25A
wheat bread,siler ellis bread,NY25A
wheat bread,white bread,NY25B
wheat bread,grain bread,NY25B
wheat bread,brown bread,NY25B
wheat bread,grain muffins,NY25B
wheat bread,wheat bread,NY26A
wheat bread,white bread,NY26B
wheat bread,,NY26C
wheat bread,raise bread,NY27A
wheat bread,loaf of bread,NY27A
wheat bread,white bread,NY27B
wheat bread,brown bread,NY27C
wheat bread,white bread,NY27C
wheat bread,wheat bread,NY27C
wheat bread,bread,NY28A
wheat bread,white bread,NY28A
wheat bread,white bread,NY28B
wheat bread,raise bread,NY28B
wheat bread,bread,NY28B
wheat bread,hop bread,NY28B
wheat bread,wheat bread,NY28B
wheat bread,yeast,NY28B
wheat bread,salt rising bread,NY28B
wheat bread,hops and emptings,NY28B
wheat bread,homemade bread,NY28C
wheat bread,wheat bread,NY29A
wheat bread,bread,NY29A
wheat bread,white bread,NY29B
wheat bread,bread,NY29B
wheat bread,brown bread,NY29B
