Target,Response,Informant
who is poor,that's poor,NY1
who is poor,who,NY1
who is poor,that's poor,NY2A
who is poor,who,NY2A
who is poor,that's poor,NY2B
who is poor,who,NY2B
who is poor,that's poor,NY2C
who is poor,who,NY2C
who is poor,that's poor,NY3A
who is poor,that's poor,NY3B
who is poor,that's poor,NY3C
who is poor,that's poor,NY3D
who is poor,that's poor,NY4A
who is poor,that's poor,NY4B
who is poor,that's poor,NY4C
who is poor,that's poor,NY5A
who is poor,that's poor,NY5B
who is poor,that's poor,NY5C
who is poor,who is poor,NY5D
who is poor,that's poor,NY5E
who is poor,that's poor,NY5F
who is poor,that's poor,NY5G
who is poor,that's poor,NY5H!
who is poor,who's poor,NY5I!
who is poor,that's poor,NY6A
who is poor,that's poor,NY6B
who is poor,that's poor,NY7A
who is poor,who's poor,NY7B
who is poor,that's poor,NY7C
who is poor,that's poor,NY7D
who is poor,that's poor,NY7E
who is poor,that's poor,NY7F
who is poor,that's poor,NY7G
who is poor,that's poor,NY7H
who is poor,that's poor,NY7I
who is poor,who's poor,NY7J!
who is poor,that's poor,NY7K!
who is poor,that's poor,NY7L!
who is poor,that's poor,NY7M!
who is poor,that's poor,NY8
who is poor,that's poor,NY9A
who is poor,that's poor,NY9B
who is poor,that's poor,NY9C
who is poor,that's poor,NY10A
who is poor,that's poor,NY10B!
who is poor,that's poor,NY11
who is poor,that's poor,NY12A
who is poor,that's poor,NY12A
who is poor,that's poor,NY12B
who is poor,that's poor,NY12C!
who is poor,that's poor,NY13A
who is poor,who's poor,NY13B!
who is poor,that's poor,NY14A
who is poor,that's poor,NY14B
who is poor,that's poor,NY15A
who is poor,that's poor,NY15B
who is poor,that's poor,NY16A
who is poor,that's poor,NY16B
who is poor,that's poor,NY17A
who is poor,that poor,NY17B
who is poor,that's poor,NY18A
who is poor,that's poor,NY18B
who is poor,that's poor,NY18C!
who is poor,that's poor,NY19
who is poor,that's poor,NY20A
who is poor,that's poor,NY20B
who is poor,that's poor,NY21
who is poor,that's poor,NY22
who is poor,,NY23A
who is poor,a man that's rich,NY23B
who is poor,that's living,NY23C
who is poor,that's poor,NY24A
who is poor,that's poor,NY24B!
who is poor,a man was rich,NY25A
who is poor,that's poor,NY25B
who is poor,them that's drownded,NY26A
who is poor,poor thing,NY26B
who is poor,I had a sister was,NY26B
who is poor,I had a brother went,NY26B
who is poor,,NY26C
who is poor,a man that's poor,NY27A
who is poor,anything that was clean,NY27B
who is poor,who was rich,NY27C
who is poor,a man who was wealthy,NY28A
who is poor,a niece who's a widow,NY28B
who is poor,,NY28C
who is poor,,NY29A
who is poor,a man that's poor,NY29B
who is poor,a man that was poor,NY29C
who is poor,a man that's poor,NY30A
who is poor,a dry ceder post that sit right accross the road,NY30B
who is poor,people that were poor,NY30C
who is poor,,NY30D
who is poor,people that were poor,NY30E
who is poor,,NY31A
who is poor,,NY31B
who is poor,,NY32A
who is poor,,NY32B
who is poor,,NY33A
who is poor,poor,NY33B
who is poor,who's poor,NY33B
who is poor,who's poor,NY33C
who is poor,,NY34A
who is poor,poor,NY34B
who is poor,people who were careful,NY34B
who is poor,,NY34C
who is poor,a poor man,NY34D!
who is poor,one who wanted,NY34D!
who is poor,that's poor,NY35A
who is poor,that's poor,NY35B
who is poor,that's poor,NY35C!
who is poor,that's poor,NY36A
who is poor,that's poor,NY36B
who is poor,that's poor,NY37A
who is poor,that's poor,NY37B
who is poor,that's poor,NY37C!
who is poor,that's poor,NY38A
who is poor,that's poor,NY38B
who is poor,that's poor,NY38C
who is poor,that's poor,NY39A
who is poor,that's poor,NY39B
who is poor,that's poor,NY40A
who is poor,that's poor,NY40B
who is poor,that's poor,NY41
