Target,Response,Informant
whose,who's father's,NY1
whose,that his father,NY2A
whose,that his father,NY2B
whose,that his father's,NY2C
whose,whose,NY2C
whose,whose father's,NY3A
whose,whose father's,NY3B
whose,that his father's,NY3C
whose,that his father's,NY3D
whose,that his father's,NY4A
whose,his father's,NY4B
whose,whose father's,NY4C
whose,that his father's,NY4C
whose,whose father's,NY5A
whose,whose father's,NY5B
whose,whose father's,NY5C
whose,whose father's,NY5D
whose,that his father,NY5E
whose,that his father's,NY5F
whose,whose father's,NY5G
whose,bother,NY5H!
whose,whose father,NY5H!
whose,whose father's,NY5I!
whose,his father's,NY6A
whose,that his father's,NY6B
whose,that his father's,NY7A
whose,whose father is,NY7B
whose,his father's,NY7C
whose,father is,NY7D
whose,bother,NY7D
whose,that his father's,NY7E
whose,his father's,NY7E
whose,whose father's,NY7F
whose,bother,NY7F
whose,father's,NY7F
whose,whose father's,NY7G
whose,that his father's,NY7H
whose,whose father's,NY7I
whose,whose father's,NY7J!
whose,whose father's,NY7K!
whose,whose father's,NY7L!
whose,whose father's,NY7M!
whose,whose father's,NY8
whose,whose father's,NY9A
whose,whose father's,NY9B
whose,whose father's,NY9C
whose,that his father's,NY10A
whose,whose father's,NY10B!
whose,whose father's,NY11
whose,his father's,NY12A
whose,that his father's,NY12A
whose,whose father's,NY12B
whose,whose father's,NY12C!
whose,that his father's,NY13A
whose,whose father's,NY13B!
whose,that his father's,NY14A
whose,bother,NY14B
whose,whose father's,NY14B
whose,that his father's,NY15A
whose,that his father's,NY15B
whose,that his father's,NY16A
whose,that his father's,NY16B
whose,his father's,NY17A
whose,his father's,NY17B
whose,his father's,NY18A
whose,that his father's,NY18B
whose,whose father's,NY18C!
whose,that his father's,NY19
whose,that his father's,NY20A
whose,that his father's,NY20B
whose,his father's,NY21
whose,that his father's,NY22
whose,,NY23A
whose,his father,NY23B
whose,his name was,NY23C
whose,that his father's,NY24A
whose,whose father's,NY24B!
whose,that there father's,NY25A
whose,that its leaves,NY25B
whose,whose father,NY25B
whose,a boy his father,NY26A
whose,whose son,NY26B
whose,,NY26C
whose,a tree that the limb,NY27A
whose,,NY27B
whose,whose father's,NY27C
whose,that there mine,NY28A
whose,whose father,NY28B
whose,,NY28C
whose,his name was,NY29A
whose,a boy his father,NY29B
whose,whose father,NY29C
whose,,NY30A
whose,his father,NY30B
whose,a man his father,NY30C
whose,,NY30D
whose,whose father,NY30E
whose,whose father,NY31A
whose,a barrel the hoops,NY31B
whose,,NY32A
whose,a boy his father,NY32B
whose,that his father,NY33A
whose,whose name,NY33B
whose,whose father,NY33C
whose,,NY34A
whose,,NY34B
whose,,NY34C
whose,whose father,NY34D!
whose,his father's,NY35A
whose,that his father's,NY35B
whose,whose father's,NY35C!
whose,that his father's,NY36A
whose,that his father's,NY36B
whose,that his father's,NY37A
whose,his father's,NY37B
whose,whose father's,NY37C!
whose,his father's,NY38A
whose,whose father's,NY38B
whose,his father's,NY38B
whose,whose father's,NY38C
whose,that his father's,NY38C
whose,his father's,NY39A
whose,that his father's,NY39B
whose,that his father's,NY40A
whose,his father's,NY40B
whose,that his father's,NY41
whose,that his father's,NY42A
whose,that his father's,NY42B
whose,that his father's,NY43A
whose,whose father's,NY43B
whose,whose father's,NY43C!
whose,that his father's,NY44B
whose,,NY45A
whose,,NY45B
whose,,NY45C
whose,whose father,NY45D!
whose,a man his name was,NY46A
whose,a stone fence that my father picked all the stones,NY46B
whose,that's the one they eat the legs,NY46C
whose,whose father,NY46C
whose,that his father,NY47A
