Target,Response,Informant
year ago,year ago,NY1
year ago,,NY2A
year ago,year ago,NY2B
year ago,,NY2C
year ago,year ago,NY3A
year ago,year ago,NY3B
year ago,year ago,NY3C
year ago,year ago,NY3D
year ago,year ago,NY4A
year ago,year ago,NY4B
year ago,year ago,NY4C
year ago,year ago,NY5A
year ago,year ago,NY5A
year ago,year ago,NY5B
year ago,year ago,NY5C
year ago,year ago,NY5D
year ago,year ago,NY5E
year ago,year ago,NY5F
year ago,year ago,NY5G
year ago,year ago,NY5H!
year ago,year ago,NY5I!
year ago,year ago,NY6A
year ago,year ago,NY6B
year ago,year ago,NY7A
year ago,year ago,NY7B
year ago,year ago,NY7C
year ago,year ago,NY7D
year ago,year ago,NY7E
year ago,year ago,NY7F
year ago,year ago,NY7G
year ago,year ago,NY7H
year ago,year ago,NY7I
year ago,year ago,NY7J!
year ago,year ago,NY7K!
year ago,year ago,NY7L!
year ago,year ago,NY7M!
year ago,year ago,NY8
year ago,year ago,NY9A
year ago,year ago,NY9B
year ago,year ago,NY9C
year ago,year ago,NY10A
year ago,year ago,NY10B!
year ago,year ago,NY11
year ago,year ago,NY12A
year ago,year ago,NY12B
year ago,year ago,NY12C!
year ago,year ago,NY13A
year ago,year ago,NY13B!
year ago,year ago,NY14A
year ago,year ago,NY14B
year ago,year ago,NY15A
year ago,year ago,NY15B
year ago,year ago,NY16A
year ago,year ago,NY16B
year ago,year ago,NY17A
year ago,year ago,NY17B
year ago,year ago,NY18A
year ago,year ago,NY18B
year ago,year ago,NY18C!
year ago,year ago,NY19
year ago,year ago,NY20A
year ago,year ago,NY20B
year ago,year ago,NY21
year ago,year ago,NY22
year ago,year ago,NY23A
year ago,year ago,NY23B
year ago,year ago,NY23B
year ago,year ago,NY23C
year ago,year ago,NY24A
year ago,year ago,NY24B!
year ago,year ago,NY25A
year ago,year ago,NY25B
year ago,twenty years ago,NY25B
year ago,year ago,NY26A
year ago,years ago,NY26B
year ago,year ago,NY26B
year ago,,NY26C
year ago,year ago,NY27A
year ago,year ago,NY27B
year ago,year ago,NY27C
year ago,year ago,NY28A
year ago,year ago,NY28B
year ago,,NY28C
year ago,year ago,NY29A
year ago,year ago,NY29B
year ago,year ago,NY29C
year ago,year ago,NY30A
year ago,year ago,NY30B
year ago,year ago,NY30B
year ago,six years ago,NY30B
year ago,,NY30C
year ago,,NY30D
year ago,year ago,NY30E
year ago,year or two,NY30E
year ago,year ago,NY31A
year ago,year ago,NY31A
year ago,two years ago,NY31A
year ago,year ahead,NY31A
year ago,year ago,NY31B
year ago,year or two,NY31B
year ago,year ago,NY32A
year ago,a spell ago,NY32B
year ago,year ago,NY32B
year ago,year ago,NY33A
year ago,year ago now,NY33B
year ago,year ago,NY33C
year ago,year ago,NY34A
year ago,,NY34B
year ago,year ago,NY34C
year ago,year ago,NY34D!
year ago,year ago,NY35A
year ago,year ago,NY35B
year ago,,NY35C!
year ago,year ago,NY36A
year ago,year ago,NY36B
year ago,year ago,NY37A
year ago,year ago,NY37B
year ago,year ago,NY37C!
year ago,year ago,NY38A
year ago,year ago,NY38B
year ago,,NY38C
year ago,year ago,NY39A
year ago,year ago,NY39B
year ago,year ago,NY40A
year ago,year ago,NY40B
year ago,year ago,NY41
year ago,year ago,NY42A
year ago,year ago,NY42B
year ago,,NY43A
year ago,year ago,NY43B
year ago,year ago,NY43C!
year ago,year ago,NY44A
year ago,year ago,NY44B
year ago,year ago,NY45A
year ago,a year's flour,NY45B
year ago,,NY45C
year ago,year ago,NY45D!
year ago,year ago,NY46A
year ago,year ago,NY46B
year ago,just a year ago,NY46C
year ago,year ago,NY47A
year ago,year ago,NY47A
year ago,year ago,NY47B
year ago,year ago,NY48A
year ago,year ago,NY48B
year ago,year ago,NY48C
year ago,year or two ago,NY48D
year ago,year ago,NY48D
year ago,,NY49A
year ago,,NY49B
year ago,twelve years ago,NY49C
year ago,one year,NY49C
year ago,one year ago,NY49C
year ago,year ago,NY49D
year ago,year ago,NY50A
year ago,year ago,NY50A
year ago,year ago,NY50B
year ago,year ago,NY50B
year ago,year ago,NY51A
year ago,year or two ago,NY51B
year ago,year ago,NY51B
year ago,year ago,NY51C
year ago,,NY51D
year ago,year ago,NY51E!
year ago,year ago,NY52A
year ago,year ago,NY52B
year ago,year ago,NY52C
year ago,year ago,NY53A
year ago,year ago,NY53B!
year ago,seven years ago,NY54A
year ago,year ago,NY54A
year ago,year ago,NY54B
year ago,year ago,NY55A
year ago,year apart,NY55A
year ago,year ago,NY55B
year ago,year ago,NY56A
year ago,year ago,NY56B
year ago,year or two,NY57A
year ago,year ago,NY57A
year ago,,NY57B
year ago,year ago,NY57C!
year ago,two years ago,NY58A
year ago,year ago,NY58A
year ago,year or two,NY58A
year ago,year ago,NY58B
year ago,,NY58C
year ago,year ago,NY58D!
year ago,year ago,NY58E!
year ago,,NY58F!
year ago,year ago,NY59A
year ago,year ago,NY59B
year ago,year ago,NY60A
year ago,year ago,NY60B!
year ago,year ago,NY61A
year ago,an hour or two,NY61A
year ago,year or two,NY61A
year ago,year ago,NY61B
year ago,year ago,NY62A
year ago,year ago,NY62B
year ago,year ago,NY62B
year ago,year or so,NY62B
year ago,year ago,NY62C
year ago,year ago,NY62D!
year ago,year ago now,NY63A
year ago,sixty years ago,NY63A
year ago,year ago,NY63B
year ago,year or two,NY63B
year ago,year ago,NY63C
year ago,year ago,NY63D!
year ago,year ago,NY64A
year ago,year ago,NY64B
year ago,year ago,NY64C!
year ago,year ago,NJ1A
year ago,year ago,NJ1B
year ago,year ago,NJ2A
year ago,year ago,NJ2B
year ago,year ago,NJ3A
year ago,year ago,NJ3B
year ago,year ago,NJ4A
year ago,year ago,NJ4B
year ago,year ago,NJ5A
year ago,year ago,NJ5B
year ago,year ago,NJ6A
year ago,year ago,NJ6B
year ago,year ago,NJ7A
year ago,year ago,NJ7B!
year ago,year ago,NJ8A
year ago,year ago,NJ8B
year ago,year ago,NJ9A
year ago,year ago,NJ9B
year ago,year ago,NJ10A
year ago,year ago,NJ10B
year ago,year ago,NJ10C
year ago,year ago,NJ10D!
year ago,year ago,NJ11A
year ago,year ago,NJ11B
year ago,year ago,NJ11C
year ago,year ago,NJ12A
year ago,year ago,NJ12B
year ago,year ago,NJ13A
year ago,year ago,NJ13B
year ago,year ago,NJ14A
year ago,year ago,NJ14B
year ago,year ago,NJ15A
year ago,year ago,NJ15B
year ago,year ago,NJ16A
year ago,year ago,NJ16B
year ago,year ago,NJ17A
year ago,year ago,NJ17B
year ago,year ago,NJ18A
year ago,year ago,NJ18B
year ago,year ago,NJ18C!
year ago,year ago,NJ18D!
year ago,year ago,NJ19A
year ago,year ago,NJ19B!
year ago,year ago,NJ20A
year ago,year ago,NJ20B
year ago,year ago,NJ21A
year ago,year ago,NJ21B
year ago,year ago,PA1A
year ago,year ago,PA1B
year ago,year ago,PA1C
year ago,year ago,PA1D
year ago,year ago,PA1E!
year ago,year ago,PA1F!
year ago,year ago,PA1G!
year ago,year ago,PA1H!
year ago,year ago,PA2A
year ago,year ago,PA2B
year ago,year ago,PA3A
year ago,year ago,PA3B
year ago,year ago,PA3C
year ago,year ago,PA4A
year ago,year ago,PA4B!
year ago,year ago,PA5A
year ago,year ago,PA5B
year ago,year ago,PA5C
year ago,year ago,PA5D
year ago,year ago,PA5E!
year ago,year ago,PA6A
year ago,year ago,PA6B
year ago,year ago,PA6C
year ago,year ago,PA6D!
year ago,year ago,PA7A
year ago,year ago,PA7B
year ago,year ago,PA7C
year ago,year ago,PA7D!
year ago,year ago,PA8A
